baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Advance	[u'Lot: 6,534 sqft', u'Single Family', u'Built in 2005', u'62 days on Zillow', u'Views since listing: 934', u'All time views: 1,512', u'8 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $214,800', u'Last sale price/sqft: $89', u'MLS #: 798550', u'View Virtual Tour', u'Fireplace', u'Parking: 440 sqft garage', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,404 sqft', u'Last remodel year: 2005', u'Parcel #: C8010A0287', u'Zillow Home ID: 68706110']	http://photos1.zillowstatic.com/p_e/ISyz5gntnkj8vk0000000000.jpg	214800.0	[]	2404.0	NC	225075.0	27006	68706110
3.5	4	Advance	[u'Lot: 0.77 acres', u'Single Family', u'Built in 1978', u'14 days on Zillow', u'All time views: 8,005', u'40 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $210,000', u'Last sale price/sqft: $72', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Fenced Yard', u'Fireplace', u'Gated Entry', u'Parking: 546 sqft garage', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Exterior material: Vinyl', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,928 sqft', u'Last remodel year: 1978', u'Parcel #: D8020A0012', u'Zillow Home ID: 68712353']	http://photos2.zillowstatic.com/p_e/IS17e2ld0ple9f1000000000.jpg	210000.0	[]	2928.0	NC	276665.0	27006	68712353
4.5	6	Advance	[u'Lot: 13.14 acres', u'Single Family', u'Built in 1980', u'All time views: 4,860', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $505,000', u'Last sale price/sqft: $95', u'1517 sqft basement', u'Basketball Court', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Gated Entry', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 624 sqft garage', u'Patio', u'Porch', u'Security System', u'Skylight', u'Sprinkler System', u'Tennis Court', u'Vaulted Ceiling', u'Creek', u'Tennis Court', u'13+ acres', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Sun room', u'Walk-in closet', u'Exterior material: Cement concrete, Stone, Stucco', u'Roof type: Shake Shingle', u'Room count: 22', u'Stories: 2', u'Structure type: Tudor', u'Unit count: 1', u'Floor size: 5,289 sqft', u'Heating: Electric', u'Last remodel year: 1980', u'Parcel #: E80000000602', u'Zillow Home ID: 68722219']	http://photos3.zillowstatic.com/p_e/ISxztm81ddbi0u1000000000.jpg	505000.0	[]	5289.0	NC	547976.0	27006	68722219
2.0	3	Advance	[u'Lot: 0.8 acres', u'Single Family', u'Built in 2000', u'All time views: 3,352', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $265,000', u'Last sale price/sqft: $117', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 440 sqft garage', u'Sprinkler System', u'Dishwasher', u'Microwave', u'Pantry', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,274 sqft', u'Heating: Electric', u'Last remodel year: 2000', u'Parcel #: G9090B0001', u'Zillow Home ID: 68718640']	http://photos3.zillowstatic.com/p_e/ISx7ob2zou7fhg1000000000.jpg	265000.0	[]	2274.0	NC	277972.0	27006	68718640
3.0	4	Advance	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1997', u'511 days on Zillow', u'Views since listing: 4,638', u'All time views: 4,753', u'38 shoppers saved this home', u'HOA Fee: $25/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $234,000', u'Last sale price/sqft: $97', u'MLS #: 751452', u'View Virtual Tour', u'570 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 570 sqft garage', u'Patio', u'Golf course lot', u'Dishwasher', u'Range / Oven', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,408 sqft', u'Heating: Gas', u'Last remodel year: 1997', u'Parcel #: E900000212', u'Zillow Home ID: 68713078']	http://photos3.zillowstatic.com/p_e/ISlau0ojulj5k40000000000.jpg	234000.0	[]	2408.0	NC	239801.0	27006	68713078
3.0	3	Advance	[u'Baths: 2 full, 1 half', u'Lot: 0.26 acres', u'Single Family', u'Built in 1995', u'11 days on Zillow', u'Views since listing: 2,492', u'All time views: 2,553', u'1 shopper saved this home', u'HOA Fee: $33/mo', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Jul 2016 for $188,000', u'Last sale price/sqft: $78', u'247 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 468 sqft garage', u'Partial basement', u'Security System', u'Tennis Court', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 3', u'Structure type: Other', u'Floor size: 2,418 sqft', u'Heating: Gas', u'Last remodel year: 2016', u'Laundry: In Unit', u'Parcel #: E900000126', u'Zillow Home ID: 68708251']	http://photos2.zillowstatic.com/p_e/ISe40nd4esqlfp0000000000.jpg	188000.0	[]	2418.0	NC	260732.0	27006	68708251
3.1	4	Advance	[u'Baths: 3 full, 1 half', u'Lot: 0.77 acres', u'Single Family', u'Built in 1973', u'All time views: 1,994', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $430,000', u'Last sale price/sqft: $134', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached, 536 sqft garage', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,200 sqft', u'Heating: Electric', u'Last remodel year: 1979', u'Parcel #: D8070A0025', u'Zillow Home ID: 68714246']	http://photos2.zillowstatic.com/p_e/ISatcayvmqx0ky0000000000.jpg	430000.0	[]	3200.0	NC	379622.0	27006	68714246
2.5	3	Advance	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2016', u'All time views: 420', u'HOA Fee: $48/mo', u'Cooling: Central', u'Last sold: Jul 2016 for $237,000', u'Last sale price/sqft: $90', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Clubhouse', u'Granite countertop', u'New property', u'Playground', u'Stainless steel appliances', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Stories: 2', u'Floor size: 2,638 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100763422']	http://photos3.zillowstatic.com/p_e/IS9pt85g97wbia1000000000.jpg	237000.0	[]	2638.0	NC	227832.0	27006	2100763422
2.0	4	Advance	[u'Lot: 0.56 acres', u'Single Family', u'Built in 2006', u'All time views: 5,203', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $235,000', u'Last sale price/sqft: $93', u'Fireplace', u'Parking: 625 sqft garage', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,518 sqft', u'Last remodel year: 2006', u'Parcel #: E6050A0016', u'Zillow Home ID: 68708082']	http://photos3.zillowstatic.com/p_e/IStkfujc77e07f1000000000.jpg	235000.0	[]	2518.0	NC	209425.0	27006	68708082
2.5	3	Advance	[u'Baths: 2 full, 1 half', u'Lot: 3,154 sqft', u'Single Family', u'Built in 2005', u'All time views: 230', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $358,450', u'Last sale price/sqft: $152', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 600 sqft garage', u'Porch', u'Sprinkler System', u'Attic Description: Access Only', u'Attic Description: Partially Floored', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Lot Description: Golf Course Lot', u'Status: Pending', u'Water: Public', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Pantry', u'Solid Surface Counter', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Insulated Doors', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Appliances: Disposal', u'Smoke Alarm', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Elementary School: Call School Board', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 2,353 sqft', u'Heating: Electric', u'Last remodel year: 2005', u'Parcel #: D9090D0030', u'Zillow Home ID: 82793856']	http://photos2.zillowstatic.com/p_e/IShje7cj0ko0a21000000000.jpg	358450.0	[]	2353.0	NC	384111.0	27006	82793856
3.0	3	Advance	[u'Baths: 2 full, 1 half', u'Lot: 487 acres', u'Single Family', u'Built in 1978', u'All time views: 3,990', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $204,000', u'Last sale price/sqft: $87', u'744 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Garden', u'Parking: Garage - Attached, 576 sqft garage', u'Patio', u'Security System', u'Skylight', u'Dishwasher', u'Roof type: Asphalt', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,356 sqft', u'Last remodel year: 1978', u'Parcel #: I700000067', u'Zillow Home ID: 68723822']	http://photos1.zillowstatic.com/p_e/ISp5pgmtjeq1b31000000000.jpg	204000.0	[]	2356.0	NC	195913.0	27006	68723822
3.0	4	Advance	[u'Baths: 2 full, 1 half', u'Lot: 7,666 sqft', u'Single Family', u'Built in 2001', u'All time views: 3,047', u'HOA Fee: $48/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $263,000', u'Last sale price/sqft: $85', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 528 sqft garage', u'Patio', u'Porch', u'Security System', u'Sprinkler System', u'Wired', u'granite countertops', u'stainless steel appliances', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Exterior material: Cement concrete', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,092 sqft', u'Heating: Gas', u'Last remodel year: 2001', u'Parcel #: C8010A0046', u'Zillow Home ID: 68711449']	http://photos2.zillowstatic.com/p_e/ISd407dlmm5f681000000000.jpg	263000.0	[]	3092.0	NC	247928.0	27006	68711449
3.0	3	Advance	[u'Baths: 2 full, 1 half', u'Lot: 5.02 acres', u'Single Family', u'Built in 1994', u'All time views: 1,645', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $327,000', u'Last sale price/sqft: $129', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 4 spaces, 676 sqft garage', u'Porch', u'Security System', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,544 sqft', u'Heating: Electric', u'Last remodel year: 1994', u'Parcel #: G9090A0004', u'Zillow Home ID: 68714355']	http://photos1.zillowstatic.com/p_e/ISxv2nv8vi482h1000000000.jpg	327000.0	[]	2544.0	NC	301788.0	27006	68714355
2.0	2	Advance	[u'Lot: 7,667 sqft', u'Single Family', u'Built in 1978', u'All time views: 603', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $173,000', u'Last sale price/sqft: $88', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Detached', u'Patio', u'Skylight', u'Appliances: Exhaust Fan', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'HOA Fee Paid 1: Monthly', u'Lot Description: Golf Course Lot', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Pantry', u'Solid Surface Counter', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Sewer: Public', u'Elementary School: Call School Board', u'Lot Description: Cul De Sac', u'Property Sub Type: Site Built', u'Dishwasher', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 1,966 sqft', u'Heating: Electric, Gas, Propane butane', u'Last remodel year: 1988', u'Parcel #: D8070D0023', u'Zillow Home ID: 68711993']	http://photos1.zillowstatic.com/p_e/ISxfmzx8ofoxqr0000000000.jpg	173000.0	[]	1966.0	NC	172435.0	27006	68711993
2.0	3	Advance	[u'Lot: 3.71 acres', u'Single Family', u'Built in 1960', u'All time views: 4,584', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $140,000', u'Last sale price/sqft: $73', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Detached, 2 spaces', u'Patio', u'Pond', u'Cooling System: Central', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,925 sqft', u'Heating: Electric', u'Last remodel year: 1975', u'Parcel #: E8150A0007', u'Zillow Home ID: 68715948']	http://photos2.zillowstatic.com/p_e/IS1nicoj588enp0000000000.jpg	140000.0	[]	1925.0	NC	182994.0	27006	68715948
