baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Angier	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1981', u'56 days on Zillow', u'Views since listing: 2,030', u'All time views: 2,210', u'56 shoppers saved this home', u'Last sold: Aug 2016 for $140,000', u'Last sale price/sqft: $107', u'MLS #: 2076198', u'Floor size: 1,313 sqft', u'Parcel #: 13D04075C', u'Zillow Home ID: 69118762']	http://photos1.zillowstatic.com/p_e/ISy7g1h5hk1st20000000000.jpg	140000.0	[]	1313.0	NC	133139.0	27501	69118762
1.0	2	Angier	[u'Lot: 1 acre', u'Single Family', u'Built in 1910', u'All time views: 3,339', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $128,500', u'Last sale price/sqft: $101', u'Barbecue', u'Fenced Yard', u'Garden', u'Lawn', u'Parking: Garage - Detached, Off street', u'Patio', u'Porch', u'View: Territorial', u'Qualifies for 100% USDA Financing!', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,274 sqft', u'Last remodel year: 1960', u'Parcel #: 040684    0036 02', u'Zillow Home ID: 71869511']	http://photos2.zillowstatic.com/p_e/ISh75gr5x9qqli0000000000.jpg	128500.0	[]	1274.0	NC	100919.0	27501	71869511
2.0	3	Angier	[u'Lot: 0.95 acres', u'Single Family', u'Built in 1987', u'All time views: 961', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $163,000', u'Last sale price/sqft: $136', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'Patio', u'Porch', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,196 sqft', u'Heating: Electric', u'Last remodel year: 1990', u'Parcel #: 13D04013K', u'Zillow Home ID: 69113073']	http://photos1.zillowstatic.com/p_e/ISdcurn9vkj5v61000000000.jpg	163000.0	[]	1196.0	NC	150716.0	27501	69113073
3.0	3	Angier	[u'Baths: 2 full, 1 half', u'Lot: 1.03 acres', u'Single Family', u'Built in 1999', u'All time views: 3,059', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $309,500', u'Last sale price/sqft: $104', u'Attic', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 3 spaces, 808 sqft garage', u'Security System', u'View: Territorial', u'Lot Size: 1-2 Acres', u'Age: 11-20 Years Old', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,975 sqft', u'Heating: Electric', u'Last remodel year: 1999', u'Parcel #: 13C03036I', u'Zillow Home ID: 69128734']	http://photos1.zillowstatic.com/p_e/IS9p13qizp0yba0000000000.jpg	309500.0	[]	2975.0	NC	289067.0	27501	69128734
2.5	3	Angier	[u'Baths: 2 full, 1 half', u'Lot: 0.43 acres', u'Single Family', u'Built in 2000', u'All time views: 1,037', u'17 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $146,500', u'Last sale price/sqft: $101', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: 576 sqft garage', u'Patio', u'View: Water', u'Basement Description: No Basement', u'Shower', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Roof: Shingle', u'Style: Traditional', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Design: 2 Story', u'Lot Description: Open', u'Equipment: Garage Opener', u'Equipment: Self Clean Oven', u'Parking: Concrete', u'Foundation: Slab', u'Attic Description: Exhaust Fan', u'Special Conditions: Seller Lic. RE Prfssnl.', u'Attic Description: Skuttle', u'Subdivision: Benton Pointe', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: .26-.5 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,445 sqft', u'Last remodel year: 2000', u'Laundry: In Unit', u'Parcel #: 040673    0095 31', u'Zillow Home ID: 71884995']	http://photos2.zillowstatic.com/p_e/ISts1xu2l0qxt91000000000.jpg	146500.0	[]	1445.0	NC	139771.0	27501	71884995
2.0	3	Angier	[u'Lot: 0.27 acres', u'Single Family', u'Built in 2011', u'All time views: 634', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $139,900', u'Last sale price/sqft: $106', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, 240 sqft garage', u'Porch', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'HO Fees Include: HO Fees Include None', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Utility Room', u'Parking: Front', u'Other Area: Main', u'A: C Age 3-6 Years', u'Dining: Eat-in Kitchen', u'Fenced Yard', u'Garage Floor: Main', u'Style: Ranch', u'Heating: Heat Age 3-6 Yrs', u'Other Rooms: Entry Foyer', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Style: Transitional', u'Water: County Water', u'Accessibility: Main Floor Laundry', u'Water: County Sewer', u'Subdivision: Waterford', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: .26-.5 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,325 sqft', u'Heating: Gas', u'Last remodel year: 2011', u'Laundry: In Unit', u'Parcel #: 040662    0002 50', u'Zillow Home ID: 97880250']	http://photos3.zillowstatic.com/p_e/ISu8udf93nd3m81000000000.jpg	139900.0	[]	1325.0	NC	140512.0	27501	97880250
2.0	3	Angier	[u'Lot: 0.49 acres', u'Single Family', u'Built in 2007', u'All time views: 2,731', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $157,900', u'Last sale price/sqft: $115', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 576 sqft garage', u'Porch', u'Vaulted Ceiling', u'Appliance: RANGE', u'GARDEN TUB', u'PropertyType: Residential', u'Sewer: Septic Tank', u'Style: Ranch', u'TypeHeat: C', u'GAS LOGS', u'SEPARATE SHOWER', u'Construction Type: Vinyl Siding', u'Water: Public Works', u'Misc: MBR DOWNSTAIRS', u'Misc: OTHER BR DOWNSTAIRS', u'Miscellaneous: CRAWLSPACE', u'Condition: Good', u'SiteDescription: CORNER LOT', u'Contingency Type: Contingent on closing', u'SqFt Range: 1301 TO 1400', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Mud room', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,370 sqft', u'Heating: Electric', u'Last remodel year: 2007', u'Parcel #: 13D04006I', u'Zillow Home ID: 84699928']	http://photos3.zillowstatic.com/p_e/IS6anyf57df6kl0000000000.jpg	157900.0	[]	1370.0	NC	161703.0	27501	84699928
2.5	3	Angier	[u'Baths: 2 full, 1 half', u'Lot: 10,018 sqft', u'Single Family', u'Built in 2007', u'36 days on Zillow', u'All time views: 4,351', u'62 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $163,500', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 400 sqft garage', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Gutters', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Roof: Shingle', u'Attic Description: Pull Down', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Parking: Front', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Garden Tub', u'Equipment: Range Hood', u'Parking: Concrete', u'Style: Transitional', u'Special Conditions: Lender Owned', u'Subdivision: Glen Meadow', u'Parking: Garage', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,783 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 040674    0067 06', u'Zillow Home ID: 71894179']	http://photos2.zillowstatic.com/p_e/ISa130mi575o421000000000.jpg	163500.0	[]	1783.0	NC	164141.0	27501	71894179
3.0	3	Angier	[u'Lot: 0.28 acres', u'Single Family', u'Built in 2001', u'All time views: 3,967', u'HOA Fee: $78/mo', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Jul 2016 for $187,900', u'Last sale price/sqft: $87', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 4 spaces, 528 sqft garage', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Community pool and playground', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Composition', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 2,169 sqft', u'Heating: Electric', u'Last remodel year: 2012', u'Parcel #: 040673    0125 02', u'Zillow Home ID: 71873345']	http://photos1.zillowstatic.com/p_e/ISa1rqmr9d9ia90000000000.jpg	187900.0	[]	2169.0	NC	191430.0	27501	71873345
2.0	3	Angier	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2007', u'All time views: 2,716', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jul 2016 for $183,000', u'Last sale price/sqft: $112', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 4 spaces, 462 sqft garage', u'Porch', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Wooded Lot', u'Other Rooms: Utility Room', u'Parking: Front', u'Breakfast Room Floor: Main', u'Garage Floor: Main', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Garden Tub', u'Parking: Concrete', u'Style: Transitional', u'Water: County Water', u'Warranty Program', u'Subdivision: Harvest Ridge', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Solid Surface Counter Top', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'10Ft+ Ceiling', u'Acres: .76-.99 Acres', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,641 sqft', u'Heating: Gas', u'Last remodel year: 2007', u'Laundry: In Unit', u'Parcel #: 13D04038M', u'Zillow Home ID: 84701754']	http://photos2.zillowstatic.com/p_e/IShf3k3fr6th8l1000000000.jpg	183000.0	[]	1641.0	NC	182113.0	27501	84701754
