baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Apex	[u'Baths: 2 full, 1 half', u'Lot: 3.73 acres', u'Single Family', u'Built in 1998', u'All time views: 7,962', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $440,000', u'Last sale price/sqft: $179', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Vaulted Ceiling', u'Look whats planted in the yard', u'pear trees', u'nectarine trees', u'kiwi vines', u'apple trees', u'Fig Trees', u'1 Pomegranate tree. There are rhubarb bushes and sellers even had chickens on the property. A wonderful country home that is minutes to nearby amenities.', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,462 sqft', u'Heating: Gas', u'Parcel #: 0066485', u'Zillow Home ID: 74946655']	http://photos3.zillowstatic.com/p_e/IS5idcmeqlj4hq0000000000.jpg	440000.0	[]	2462.0	NC	440217.0	27523	74946655
3.0	4	Apex	[u'Baths: 2 full, 1 half', u'Lot: 0.31 acres', u'Single Family', u'Built in 1997', u'All time views: 1,194', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $360,000', u'Last sale price/sqft: $148', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 528 sqft garage', u'Porch', u'Skylight', u'Tennis Court', u'Vaulted Ceiling', u'Screened in porch', u'community pool', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,434 sqft', u'Heating: Gas', u'Last remodel year: 1997', u'Parcel #: 073207594640000', u'Zillow Home ID: 6558949']	http://photos2.zillowstatic.com/p_e/ISm2wkirg8t7qp1000000000.jpg	360000.0	[]	2434.0	NC	343950.0	27523	6558949
2.5	4	Apex	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 2000', u'All time views: 6,451', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Aug 2016 for $1,725', u'Last sale price/sqft: $1', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached, 4 spaces, 440 sqft garage', u'Pool', u'Sports Court', u'Tennis Court', u'Granite countertop', u'Playground', u'Stainless steel appliances', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,001 sqft', u'Last remodel year: 2000', u'Laundry: In Unit', u'Parcel #: 073304510330000', u'Zillow Home ID: 50116010']	http://photos3.zillowstatic.com/p_e/ISir4hj6oibkll0000000000.jpg	1725.0	[]	2001.0	NC	277429.0	27523	50116010
3.0	5	Apex	[u'Lot: 8,712 sqft', u'Single Family', u'Built in 2003', u'All time views: 3,062', u'HOA Fee: $38/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $369,000', u'Last sale price/sqft: $125', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, Off street, 440 sqft garage', u'Security System', u'Transportation', u'Vaulted Ceiling', u'View: Territorial', u'Wired', u'Granite Countertops', u'Fenced in Backyard', u'Surround Sound pre-wired', u'Hardwood Flooring', u'New Carpets', u'Neighborhood Pool & Clubhouse', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Other, Wood products', u'Roof type: Shake Shingle', u'Room count: 14', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,963 sqft', u'Heating: Gas', u'Last remodel year: 2003', u'Laundry: In Unit', u'Parcel #: 073304922528000', u'Zillow Home ID: 50113843']	http://photos3.zillowstatic.com/p_e/IS95m9h97tvuim0000000000.jpg	369000.0	[]	2963.0	NC	373463.0	27523	50113843
2.0	3	Apex	[u'Lot: 10,454 sqft', u'Single Family', u'Built in 1996', u'All time views: 5,548', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $244,500', u'Last sale price/sqft: $188', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Lawn', u'Parking: None', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,303 sqft', u'Heating: Gas', u'Last remodel year: 1996', u'Parcel #: 073304815957000', u'Zillow Home ID: 6552736']	http://photos3.zillowstatic.com/p_e/IShbkqgpkxdcna1000000000.jpg	244500.0	[]	1303.0	NC	210077.0	27523	6552736
3.0	4	Apex	[u'Baths: 2 full, 1 half', u'Lot: 0.31 acres', u'Single Family', u'Built in 1996', u'All time views: 1,125', u'Heating: Forced air', u'Last sold: Jul 2016 for $423,000', u'Last sale price/sqft: $118', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Jetted Tub', u'Parking: Carport, Garage - Attached, 506 sqft garage', u'Patio', u'Security System', u'Vaulted Ceiling', u'Wet Bar', u'Wired', u'Irrigation System; Transfer Switch for Generator', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,580 sqft', u'Heating: Gas', u'Last remodel year: 1996', u'Parcel #: 073207581922000', u'Zillow Home ID: 6558973']	http://photos3.zillowstatic.com/p_e/ISlmvp9yisfqtn1000000000.jpg	423000.0	[]	3580.0	NC	452289.0	27523	6558973
4.0	4	Apex	[u'Baths: 3 full, 1 half', u'Lot: 0.25 acres', u'Single Family', u'Built in 2001', u'All time views: 5,482', u'HOA Fee: $30/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $355,000', u'Last sale price/sqft: $118', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 529 sqft garage', u'Pool', u'Porch', u'Sports Court', u'Tennis Court', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Exterior material: Brick, Other', u'Roof type: Other', u'Room count: 10', u'Stories: 3', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,999 sqft', u'Heating: Gas', u'Last remodel year: 2001', u'Parcel #: 073201497300000', u'Zillow Home ID: 6558958']	http://photos3.zillowstatic.com/p_e/IShr4hzaew19nq1000000000.jpg	355000.0	[]	2999.0	NC	371395.0	27523	6558958
3.0	4	Apex	[u'Baths: 2 full, 1 half', u'Lot: 0.26 acres', u'Single Family', u'Built in 2000', u'All time views: 931', u'HOA Fee: $19/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $405,000', u'Last sale price/sqft: $147', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 440 sqft garage', u'Patio', u'Pool', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,748 sqft', u'Last remodel year: 2000', u'Parcel #: 074303132959000', u'Zillow Home ID: 50117866']	http://photos3.zillowstatic.com/p_e/ISt8yoebugikga1000000000.jpg	405000.0	[]	2748.0	NC	419925.0	27523	50117866
3.0	3	Apex	[u'Baths: 2 full, 1 half', u'Lot: 1,754 sqft', u'Single Family', u'Built in 2012', u'All time views: 3,657', u'HOA Fee: $143/mo', u'Last sold: Jul 2016 for $246,000', u'Last sale price/sqft: $96', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces, 375 sqft garage', u'Porch', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Exterior material: Other, Stone', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 3', u'Floor size: 2,557 sqft', u'Zillow Home ID: 2098551231']	http://photos3.zillowstatic.com/p_e/ISxrn8nrtltqc80000000000.jpg	246000.0	[]	2557.0	NC	242971.0	27523	2098551231
2.5	4	Apex	[u'Baths: 2 full, 1 half', u'Lot: 10,454 sqft', u'Single Family', u'Built in 1998', u'All time views: 1,330', u'Heating: Forced air', u'Last sold: Jul 2016 for $350,000', u'Last sale price/sqft: $159', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: 180 sqft garage', u'Pool', u'Porch', u'Security System', u'Skylight', u'Tennis Court', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Gutters', u'Foundation: Crawl Space', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Washer Dryer Location: Utility Room WD', u'Lot Description: Landscaped', u'Roof: Shingle', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Area: Main', u'Bedroom 4 Floor: Second', u'A: C Age 3-6 Years', u'Dining: Eat-in Kitchen', u'Fenced Yard', u'Garage Floor: Main', u'Heating: Heat Age 3-6 Yrs', u'Equipment: Elec. Dryer HU', u'Garden Tub', u'HO Fees Include: Street Lights', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Style: Transitional', u'Utility Room Floor: Second', u'Irrigation System', u'Subdivision: Walden Creek', u'Parking: Garage', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Quarterly', u'Heated Floors', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,204 sqft', u'Heating: Gas', u'Last remodel year: 1998', u'Laundry: In Unit', u'Parcel #: 073304516007000', u'Zillow Home ID: 6559306']	http://photos3.zillowstatic.com/p_e/IS5m40qz6pmd3r0000000000.jpg	350000.0	[]	2204.0	NC	321294.0	27523	6559306
3.0	4	Apex	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1999', u'All time views: 2,225', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $390,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, Off street, 2 spaces, 228 sqft garage', u'Patio', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Tennis Court', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,924 sqft', u'Heating: Gas', u'Last remodel year: 1999', u'Laundry: In Unit', u'Parcel #: 073201398978000', u'Zillow Home ID: 50110037']	http://photos2.zillowstatic.com/p_e/IS1zrzlsqhstpd0000000000.jpg	390000.0	[]	2924.0	NC	381876.0	27523	50110037
3.0	5	Apex	[u'Lot: 8,276 sqft', u'Single Family', u'Built in 2008', u'All time views: 1,983', u'HOA Fee: $55/mo', u'Heating: Forced air', u'Last sold: Jul 2016 for $439,000', u'Last sale price/sqft: $149', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 247 sqft garage', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Exterior material: Wood', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,944 sqft', u'Last remodel year: 2008', u'Parcel #: 074303032216000', u'Zillow Home ID: 82668009']	http://photos1.zillowstatic.com/p_e/ISdcacalogmvtc0000000000.jpg	439000.0	[]	2944.0	NC	421942.0	27523	82668009
3.0	3	Apex	[u'Baths: 2 full, 1 half', u'Lot: 9,583 sqft', u'Single Family', u'Built in 2003', u'All time views: 1,393', u'HOA Fee: $38/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $331,000', u'Last sale price/sqft: $148', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: 2 spaces, 420 sqft garage', u'Security System', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Pantry', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,233 sqft', u'Last remodel year: 2003', u'Laundry: In Unit', u'Parcel #: 073304931247000', u'Zillow Home ID: 65330608']	http://photos2.zillowstatic.com/p_e/ISt4ntr65ngj3p1000000000.jpg	331000.0	[]	2233.0	NC	332742.0	27523	65330608
3.0	5	Apex	[u'Baths: 2 full, 1 half', u'Lot: 7,405 sqft', u'Single Family', u'Built in 2008', u'All time views: 2,164', u'Heating: Forced air', u'Last sold: Jun 2016 for $392,000', u'Last sale price/sqft: $135', u'Deck', u'Fireplace', u'Parking: 155 sqft garage', u'Exterior material: Wood', u'Stories: 2', u'Floor size: 2,896 sqft', u'Last remodel year: 2008', u'Parcel #: 074303032592000', u'Zillow Home ID: 89495531']	http://photos3.zillowstatic.com/p_e/IS9xjik9zhd33s1000000000.jpg	392000.0	[]	2896.0	NC	403385.0	27523	89495531
2.0	3	Apex	[u'Lot: 7,840 sqft', u'Single Family', u'Built in 1998', u'All time views: 2,855', u'HOA Fee: $30/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $282,000', u'Last sale price/sqft: $155', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 440 sqft garage', u'Porch', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,818 sqft', u'Heating: Gas', u'Last remodel year: 1998', u'Laundry: In Unit', u'Parcel #: 073303409518000', u'Zillow Home ID: 50101177']	http://photos3.zillowstatic.com/p_e/IS5y55ctb0i1un1000000000.jpg	282000.0	[]	1818.0	NC	288402.0	27523	50101177
3.0	4	Apex	[u'Baths: 2 full, 1 half', u'Lot: 0.31 acres', u'Single Family', u'Built in 1997', u'13 days on Zillow', u'Views since listing: 1,247', u'All time views: 3,220', u'19 shoppers saved this home', u'HOA Fee: $30/mo', u'Heating: Forced air', u'Last sold: Jun 2016 for $366,000', u'Last sale price/sqft: $131', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 580 sqft garage', u'Pool', u'Porch', u'Tennis Court', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Equipment: Ice Maker Connection', u'Gutters', u'A: C Age 6+ Years', u'Shower', u'Tub', u'Foundation: Crawl Space', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Lot Description: Landscaped', u'Roof: Shingle', u'Living Room Floor: Main', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Design: 2 Story', u'Utility Room Floor: Main', u'Storm Doors', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Other Rooms: Utility Room', u'Parking: Front', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Other Rooms: Separate Living room', u'Equipment: Elec. Dryer HU', u'Equipment: Garage Opener', u'Garden Tub', u'Equipment: Cooktop ? Electric', u'Equipment: Self Clean Oven', u'Ceramic Bath Wall', u'Other Rooms: Finish', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Style: Transitional', u'Irrigation System', u'Special Conditions: Seller Lic. RE Prfssnl.', u'Community Rec Avail.', u'Water Heater: Water Htr Age 0-3 Yrs', u'Attic Description: Skuttle', u'Subdivision: Walden Creek', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Solid Surface Counter Top', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Quarterly', u'Acres: .26-.5 Acres', u'Pantry', u'DSL Available', u'Butler?s Pantry', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,794 sqft', u'Heating: Gas', u'Last remodel year: 1997', u'Laundry: In Unit', u'Parcel #: 073207598820000', u'Zillow Home ID: 6559124']	http://photos1.zillowstatic.com/p_e/ISdgx0caq339k71000000000.jpg	366000.0	[]	2794.0	NC	382339.0	27523	6559124
2.5	3	Apex	[u'Baths: 2 full, 1 half', u'Lot: 5,662 sqft', u'Single Family', u'Built in 2011', u'All time views: 1,169', u'Heating: Forced air', u'Last sold: Jun 2016 for $321,000', u'Last sale price/sqft: $145', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Parking: 114 sqft garage', u'Patio', u'Porch', u'A: C', u'Attic Description: Unfinished Att', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Equipment: Ice Maker Connection', u'Gutters', u'Shower', u'Tub', u'Fuel Heat: Electric Fuel', u'Heating: Dual Zone Heat', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Washer Dryer Location: Utility Room WD', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Other Rooms: Office', u'Other Rooms: Utility Room', u'Parking: Front', u'Office: Main', u'Breakfast Room Floor: Main', u'A: C Age 3-6 Years', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Heating: Heat Age 3-6 Yrs', u'Other Rooms: Entry Foyer', u'Equipment: Garage Opener', u'Garden Tub', u'Insulated Windows', u'Ceramic Bath Wall', u'Other Rooms: Walk In Pantry', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Style: Transitional', u'Lvng Area: Second', u'Insulated Glass', u'Foundation: Slab', u'Utility Room Floor: Second', u'Other Rooms: Study', u'Fiberglass Bath', u'ENERGY STAR Appliances', u'Other Rooms: Bonus Hall Acc', u'Green Building Cert: ENERGY STAR Homes', u'Other Rooms: Loft Rm', u'Subdivision: Ellington Place', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Quarterly', u'Pantry', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Stories: 0', u'Floor size: 2,213 sqft', u'Heating: Gas', u'Last remodel year: 2011', u'Laundry: In Unit', u'Parcel #: 075317018132000', u'Zillow Home ID: 113223966']	http://photos1.zillowstatic.com/p_e/ISppo12205jhtu0000000000.jpg	321000.0	[]	2213.0	NC	309221.0	27523	113223966
3.0	4	Apex	[u'Baths: 2 full, 1 half', u'Lot: 0.3 acres', u'Single Family', u'Built in 1999', u'All time views: 8,792', u'HOA Fee: $30/mo', u'Heating: Forced air', u'Last sold: Jun 2016 for $340,000', u'Last sale price/sqft: $118', u'Fireplace', u'Parking: 209 sqft garage', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,893 sqft', u'Last remodel year: 1999', u'Parcel #: 073303309985000', u'Zillow Home ID: 50110013']	http://photos1.zillowstatic.com/p_e/IS1jf3s8958nlk0000000000.jpg	340000.0	[]	2893.0	NC	382836.0	27523	50110013
