baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Asheboro	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1973', u'All time views: 1,205', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $145,000', u'Last sale price/sqft: $84', u'648 sqft basement', u'Ceiling Fan', u'Finished basement', u'Fireplace', u'Lawn', u'Parking: Garage - Attached, 1 space', u'Patio', u'Pool', u'Dishwasher', u'Roof type: Asphalt', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,722 sqft', u'Parcel #: 7790115269', u'Zillow Home ID: 50060177']	http://photos3.zillowstatic.com/p_e/ISegxgkb9l3cz81000000000.jpg	145000.0	[]	1722.0	NC	139465.0	27205	50060177
2.0	3	Asheboro	[u'Lot: 0.47 acres', u'Single Family', u'Built in 1988', u'All time views: 650', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $125,000', u'Last sale price/sqft: $89', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 350 sqft garage', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Gas Logs', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Association: Asheboro Randolph', u'Lot Description: Partially Cleared', u'Built Information: Estimated', u'Elementary School: Guy B Teachey', u'Property Sub Type: Site Built', u'Dishwasher', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Electric', u'Last remodel year: 1988', u'Parcel #: 7750233551', u'Zillow Home ID: 50074574']	http://photos3.zillowstatic.com/p_e/ISlehly8bi60ie0000000000.jpg	125000.0	[]	1400.0	NC	123458.0	27205	50074574
3.0	3	Asheboro	[u'Baths: 2 full, 1 half', u'Lot: 4 acres', u'Single Family', u'Built in 2003', u'All time views: 3,989', u'Cooling: Central', u'Heating: Heat pump, Stove', u'Last sold: Jul 2016 for $152,000', u'Last sale price/sqft: $69', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Lawn', u'Security System', u'Vaulted Ceiling', u'Attic Description: Access Only', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Dryer Connection', u'Gas Logs', u'Separate Shower', u'Garage Description: None', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Wooded', u'Sewer: Septic', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Status: Active', u'Water: Well', u'Water Heater: Electric', u'Garden Tub', u'Fenced', u'Lot Description: Fence(s)', u'Association: Asheboro Randolph', u'Lot Description: Partially Wooded', u'Lot Description: Partially Cleared', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 2', u'Floor size: 2,204 sqft', u'Heating: Electric', u'Last remodel year: 2003', u'Laundry: In Unit', u'Parcel #: 7731697273', u'Zillow Home ID: 61731168']	http://photos2.zillowstatic.com/p_e/IStwka97x574li1000000000.jpg	152000.0	[]	2204.0	NC	162754.0	27205	61731168
3.5	3	Asheboro	[u'Baths: 3 full, 1 half', u'Lot: 2.69 acres', u'Single Family', u'Built in 1999', u'All time views: 755', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $335,000', u'Last sale price/sqft: $99', u'728 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Garden', u'Parking: Garage - Attached, 574 sqft garage', u'Porch', u'Built Information: Existing', u'Paved Drive', u'Security Lighting', u'Neighborhood Pool', u'Status: Pending', u'Water: Public', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Pantry', u'Separate Shower', u'Foundation Basement: Basement', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Miscellaneous: Great Room', u'Sewer: Septic', u'Story Number: 2', u'Accent Lighting', u'Style: Transitional', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Garden Tub', u'Built-in Furniture', u'Heating: Multi-Zone', u'Attic Description: Eave Storage', u'Association: Asheboro Randolph', u'Lot Description: Partially Wooded', u'Remarks', u'Lot Description: Partially Cleared', u'Lot Description: Rolling', u'Elementary School: Charles W McCrary', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Range / Oven', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 3,368 sqft', u'Heating: Electric, Gas', u'Parcel #: 7752274993', u'Zillow Home ID: 50071474']	http://photos2.zillowstatic.com/p_e/ISp1qyls22oqv51000000000.jpg	335000.0	[]	3368.0	NC	337981.0	27205	50071474
2.0	2	Asheboro	[u'Lot: 2.45 acres', u'Single Family', u'Built in 1938', u'All time views: 1,390', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $78,000', u'Last sale price/sqft: $67', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Off street', u'Range / Oven', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,159 sqft', u'Heating: Electric', u'Last remodel year: 1938', u'Parcel #: 7720412409', u'Zillow Home ID: 50081190']	http://photos1.zillowstatic.com/p_e/ISxngglcyrth5g0000000000.jpg	78000.0	[]	1159.0	NC	83474.0	27205	50081190
2.0	3	Asheboro	[u'Lot: 0.53 acres', u'Single Family', u'Built in 1997', u'All time views: 2,943', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $130,000', u'Last sale price/sqft: $105', u'Ceiling Fan', u'Deck', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached, 322 sqft garage', u'Porch', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Garage Door Opener(s)', u'Attic Description: Pulldown Stairs', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Attic Description: Floored Attic', u'Association: Asheboro Randolph', u'Elementary School: Guy B Teachey', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,237 sqft', u'Heating: Electric', u'Last remodel year: 1997', u'Parcel #: 7649968513', u'Zillow Home ID: 50095662']	http://photos2.zillowstatic.com/p_e/IS5y1u8s65m9hv1000000000.jpg	130000.0	[]	1237.0	NC	124287.0	27205	50095662
2.0	3	Asheboro	[u'Lot: 1 acre', u'Single Family', u'Built in 1998', u'All time views: 3,987', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $127,500', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space, 288 sqft garage', u'Porch', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Story Number: 1', u'Association: Asheboro Randolph', u'Elementary School: Farmer', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,156 sqft', u'Heating: Electric', u'Last remodel year: 1998', u'Parcel #: 7720635910', u'Zillow Home ID: 50081147']	http://photos2.zillowstatic.com/p_e/IS1n20wgpqqd0z0000000000.jpg	127500.0	[]	1156.0	NC	127795.0	27205	50081147
4.5	4	Asheboro	[u'Baths: 4 full, 1 half', u'Lot: 1.98 acres', u'Single Family', u'Built in 2001', u'All time views: 2,858', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $525,000', u'Last sale price/sqft: $99', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 972 sqft garage', u'Patio', u'Pool', u'Porch', u'Security System', u'Sprinkler System', u'Wet Bar', u'Appliances: Cook Top', u'Attic Description: Walk in Attic', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Built-in Shelves', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Sewer: Septic', u'Story Number: 2', u'Style: Transitional', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Appliances: Double Oven', u'Association: Asheboro Randolph', u'Circle Drive', u'Lot Description: Partially Cleared', u'Remarks', u'Elementary School: Charles W McCrary', u'Exterior Finish: Brick', u'Dishwasher', u'Microwave', u'Refrigerator', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 5,282 sqft', u'Heating: Gas', u'Last remodel year: 2001', u'Parcel #: 7752076664', u'Zillow Home ID: 58188480']	http://photos3.zillowstatic.com/p_e/IStkjdp0mz7q881000000000.jpg	525000.0	[]	5282.0	NC	663288.0	27205	58188480
2.5	4	Asheboro	[u'Baths: 2 full, 1 half', u'Lot: 0.97 acres', u'Single Family', u'Built in 1991', u'All time views: 5,074', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $230,000', u'Last sale price/sqft: $95', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 4 spaces, 624 sqft garage', u'Porch', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Dryer Connection', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Miscellaneous: Great Room', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Laundry Room - Main Level', u'Sewer: Public', u'Association: Asheboro Randolph', u'Lot Description: Partially Wooded', u'Lot Description: Partially Cleared', u'Elementary School: Guy B Teachey', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Stone, Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,431 sqft', u'Heating: Gas', u'Parcel #: 7750224807', u'Zillow Home ID: 50074556']	http://photos1.zillowstatic.com/p_e/ISluxguoraa3rh1000000000.jpg	230000.0	[]	2431.0	NC	194787.0	27205	50074556
4.0	4	Asheboro	[u'Lot: 0.98 acres', u'Single Family', u'Built in 1959', u'All time views: 2,139', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $275,000', u'Last sale price/sqft: $85', u'930 sqft basement', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport', u'Patio', u'Porch', u'Dishwasher', u'Range / Oven', u'Dining room', u'Laundry room', u'Office', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 3,250 sqft', u'Heating: Gas', u'Last remodel year: 1959', u'Parcel #: 7751198347', u'Zillow Home ID: 50073313']	http://photos2.zillowstatic.com/p_e/IS1zjl5wo0y6ws1000000000.jpg	275000.0	[]	3250.0	NC	238641.0	27205	50073313
