baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Aulander	[u'Baths: 2 full, 1 half', u'Lot: 2.03 acres', u'Single Family', u'Built in 2006', u'All time views: 2,724', u'Heating: Forced air', u'Last sold: Aug 2016 for $99,000', u'Last sale price/sqft: $55', u'Parking: Garage - Attached, 2 spaces', u'Exterior material: Wood', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 2', u'Floor size: 1,788 sqft', u'Parcel #: 5877-83-7518', u'Zillow Home ID: 106943603']	http://photos3.zillowstatic.com/p_e/ISl631zpz4wdqe1000000000.jpg	99000.0	[]	1788.0	NC	136118.0	27805	106943603
2.5	3	Aulander	[u'Baths: 2 full, 1 half', u'Lot: 1.2 acres', u'Single Family', u'Built in 1973', u'37 days on Zillow', u'Views since listing: 426', u'All time views: 1,901', u'2 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2015 for $56,000', u'Last sale price/sqft: $30', u'MLS #: 117054', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Security System', u'Storage Building', u'Construction: Site Built', u'Fencing: None', u'A: Central', u'Windows: Insulated', u'Sewer: Septic', u'Foundation: Crawl Space', u'Asphalt Drive', u'Misc Info: None', u'Views: Country', u'Basement: None', u'Style: Ranch', u'Windows: Vinyl Clad', u'Attic: Pull-down Stairs', u'Water: County Water', u'Flooring: Carpet', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,862 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 5963-64-3306', u'Zillow Home ID: 113753580']	http://photos2.zillowstatic.com/p_e/IS2r5djbq8h6vl1000000000.jpg	56000.0	[]	1862.0	NC	137119.0	27805	113753580
2.0	3	Aulander	[u'Single Family', u'Built in 1966', u'All time views: 295', u'Last sold: Jul 2014 for $119,000', u'Last sale price/sqft: $84', u'Floor size: 1,422 sqft', u'Parcel #: 5961-24-2378', u'Zillow Home ID: 113753495']	http://photos1.zillowstatic.com/p_e/ISdsum8skmuniq0000000000.jpg	119000.0	[]	1422.0	NC	90994.0	27805	113753495
2.0	4	Aulander	[u'Lot: 0.72 acres', u'Single Family', u'Built in 2006', u'All time views: 378', u'Last sold: Jul 2014 for $76,000', u'Last sale price/sqft: $37', u'Floor size: 2,052 sqft', u'Zillow Home ID: 2107704049']	http://photos1.zillowstatic.com/p_e/ISl6vm6cgvb6if1000000000.jpg	76000.0	[]	2052.0	NC	155721.0	27805	2107704049
1.0	3	Aulander	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1982', u'All time views: 601', u'Last sold: Jun 2014 for $13,995', u'Last sale price/sqft: $14', u'Floor size: 1,032 sqft', u'Zillow Home ID: 2126794371']	http://photos3.zillowstatic.com/p_e/ISlmvp5nbo582h0000000000.jpg	13995.0	[]	1032.0	NC	63474.0	27805	2126794371
1.0	3	Aulander	[u'Lot: 1.01 acres', u'Single Family', u'Built in 1976', u'All time views: 735', u'Last sold: May 2014 for $20,600', u'Last sale price/sqft: $17', u'Floor size: 1,194 sqft', u'Parcel #: 5961-99-4765', u'Zillow Home ID: 119779964']	http://photos1.zillowstatic.com/p_e/IS9dk9if8lwk4g0000000000.jpg	20600.0	[]	1194.0	NC	89479.0	27805	119779964
1.0	3	Aulander	[u'Lot: 0.37 acres', u'Single Family', u'Built in 1957', u'171 days on Zillow', u'Views since listing: 473', u'All time views: 478', u'6 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2014 for $67,500', u'Last sale price/sqft: $61', u'MLS #: 81696', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Water Heater: Electric', u'Sewer: City Sewer', u'Type & Style: One Story', u'Water: City Water', u'Foundation: Crawl Space', u'Attic: Pull Down Stairs', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Ownership Rights: Not Applicable', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Rooms: Other', u'Garage: Garage-None', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Drive: Dirt', u'Owner Acc Financing: USDA', u'Workshop', u'Rooms: Utility Room', u'Construction: Brick Veneer & Other', u'Fenced Back Yard', u'Full Fence', u'Privacy Fence', u'Flood Zone: None', u'County: Bertie', u'Handicap Access', u'Handicap Access', u'Chain Link Fence', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,100 sqft', u'Heating: Gas', u'Parcel #: 5950-74-6564', u'Zillow Home ID: 106944595']	http://photos3.zillowstatic.com/p_e/IS23rlt555pc7z0000000000.jpg	67500.0	[]	1100.0	NC	65512.0	27805	106944595
1.0	3	Aulander	[u'Lot: 1 acre', u'Single Family', u'Built in 1972', u'All time views: 498', u'Heating: Heat pump', u'Last sold: Jan 2014 for $55,500', u'Last sale price/sqft: $51', u'Parking: Garage - Attached', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,081 sqft', u'Parcel #: 5857-63-9289', u'Zillow Home ID: 106943213']	http://photos2.zillowstatic.com/p_e/ISh7htt598xrrz0000000000.jpg	55500.0	[]	1081.0	NC	60869.0	27805	106943213
3.0	3	Aulander	[u'Baths: 2 full, 1 half', u'Lot: 2.03 acres', u'Single Family', u'Built in 2006', u'All time views: 2,728', u'Heating: Forced air', u'Last sold: Aug 2016 for $99,000', u'Last sale price/sqft: $55', u'Parking: Garage - Attached, 2 spaces', u'Exterior material: Wood', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 2', u'Floor size: 1,788 sqft', u'Parcel #: 5877-83-7518', u'Zillow Home ID: 106943603']	http://photos3.zillowstatic.com/p_e/ISl631zpz4wdqe1000000000.jpg	99000.0	[]	1788.0	NC	136118.0	27805	106943603
2.5	3	Aulander	[u'Baths: 2 full, 1 half', u'Lot: 1.2 acres', u'Single Family', u'Built in 1973', u'37 days on Zillow', u'Views since listing: 424', u'All time views: 1,899', u'2 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2015 for $56,000', u'Last sale price/sqft: $30', u'MLS #: 117054', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Detached', u'Porch', u'Security System', u'Storage Building', u'Construction: Site Built', u'Fencing: None', u'A: Central', u'Windows: Insulated', u'Sewer: Septic', u'Foundation: Crawl Space', u'Asphalt Drive', u'Misc Info: None', u'Views: Country', u'Basement: None', u'Style: Ranch', u'Windows: Vinyl Clad', u'Attic: Pull-down Stairs', u'Water: County Water', u'Flooring: Carpet', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,862 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 5963-64-3306', u'Zillow Home ID: 113753580']	http://photos2.zillowstatic.com/p_e/IS2r5djbq8h6vl1000000000.jpg	56000.0	[]	1862.0	NC	137119.0	27805	113753580
