baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Aurora	[u'Lot: 5.76 acres', u'Single Family', u'Built in 1987', u'All time views: 2,117', u'Heating: Heat pump', u'Last sold: Jul 2015 for $191,000', u'Last sale price/sqft: $103', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Detached, 2 spaces', u'Patio', u'Porch', u'Bedroom 1 Level: 1', u'Driveway: Concrete', u'Attic: Pull-Down Stairs', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Other Room 1 Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'Driveway: Gravel', u'Water: Public', u'None', u'WindowTreatments: All Existing', u'Zoning: Residential', u'Appliances: Cooktop-Electric', u'ExteriorConstruction: Cedar Siding', u'Water: Existing Well', u'Attic: Partially Floored', u'Area: BEAUFORT COUNTY', u'Schools: Beaufort County Schools', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,852 sqft', u'Laundry: Shared', u'Zillow Home ID: 2105986764']	http://photos1.zillowstatic.com/p_e/ISlehxv61d1jkh1000000000.jpg	191000.0	[]	1852.0	NC	80656.0	27806	2105986764
2.0	3	Aurora	[u'Lot: 2.59 acres', u'Single Family', u'Built in 1995', u'All time views: 6,331', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2015 for $247,500', u'Last sale price/sqft: $127', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Attached, 1 space', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Fencing: None', u'HoaAmenities: None', u'MiscSearch2: 1-3 Acres', u'Type: Site Built', u'WaterAndSewer: Septic Tank', u'Home Owners Association Y: Yes', u'DiningAndLiving: Formal Dining', u'BasementAndFoundation: Other-See Remarks', u'Attic: Other-See Remarks', u'WindowsAndDoors: Other-See Remarks', u'Appliances: Other-See Remarks', u'MiscSearch1: Other-See Remarks', u'Disclosures: Restrictive covenants', u'Construction: Cedar', u'Dryer', u'Refrigerator', u'Trash compactor', u'Washer', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Structure type: Contemporary', u'Floor size: 1,951 sqft', u'Heating: Gas, Other', u'Laundry: In Unit', u'Zillow Home ID: 2112609361']	http://photos3.zillowstatic.com/p_e/ISxfmz9ekrhpy21000000000.jpg	247500.0	[]	1951.0	NC	251698.0	27806	2112609361
1.0	3	Aurora	[u'Single Family', u'Built in 1950', u'All time views: 2,619', u'Last sold: Jun 2015 for $45,000', u'Last sale price/sqft: $39', u'Floor size: 1,161 sqft', u'Zillow Home ID: 2104612215']	http://photos3.zillowstatic.com/p_e/IShf7zxnfsbs8p0000000000.jpg	45000.0	[]	1161.0	NC	65824.0	27806	2104612215
2.0	3	Aurora	[u'Lot: 1.13 acres', u'Single Family', u'Built in 1990', u'98 days on Zillow', u'Views since listing: 2,577', u'All time views: 2,633', u'35 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $360,000', u'Last sale price/sqft: $174', u'MLS #: 70033304', u'View Virtual Tour', u'Attic', u'Ceiling Fan', u'Deck', u'Dock', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, 3 spaces', u'Porch', u'View: Water', u'Waterfront', u'1st Floor Master', u'Fuel Tank: Gas', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Attic: Floored', u'Basement: None', u'Construction: Wood Frame', u'Rooms: Living Room', u'Fuel Tank: Propane Above Ground', u'Heating System: Electric', u'Parking: Paved', u'Thermal Doors', u'Thermal Windows', u'Road Type: Private', u'Rooms: Bedroom 1', u'Fencing: Chain Link', u'Foundation: Pilings', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Bulkhead', u'Deeded Water Access', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Exterior Structures: Workshop', u'Shades', u'Rooms: Bedroom 4', u'Flood Zone: Yes', u'Dry Connect', u'Fencing: Partial', u'Security Lighting', u'Gas Logs', u'Rooms: Bonus', u'Attic: Stairs - Pull Down', u'Whole House Fan', u'Water: Community Water Available', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Washington-Beaufort County Board of Realtors', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,065 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Zillow Home ID: 2099770082']	http://photos2.zillowstatic.com/p_e/ISt82c39sov6ln1000000000.jpg	360000.0	[]	2065.0	NC	267996.0	27806	2099770082
2.0	3	Aurora	[u'Single Family', u'Built in 1993', u'All time views: 565', u'Last sold: Mar 2015 for $55,000', u'Last sale price/sqft: $32', u'Floor size: 1,722 sqft', u'Zillow Home ID: 2103962520']	http://photos1.zillowstatic.com/p_e/IS9tgldetlm0430000000000.jpg	55000.0	[]	1722.0	NC	75865.0	27806	2103962520
2.0	3	Aurora	[u'Single Family', u'Built in 2006', u'All time views: 2,175', u'Last sold: Nov 2014 for $124,000', u'Last sale price/sqft: $74', u'Floor size: 1,680 sqft', u'Zillow Home ID: 2107133390']	http://photos1.zillowstatic.com/p_e/IS9hnm5y312c6q1000000000.jpg	124000.0	[]	1680.0	NC	136914.0	27806	2107133390
2.0	3	Aurora	[u'Lot: 5.76 acres', u'Single Family', u'Built in 1987', u'All time views: 2,118', u'Heating: Heat pump', u'Last sold: Jul 2015 for $191,000', u'Last sale price/sqft: $103', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Detached, 2 spaces', u'Patio', u'Porch', u'Bedroom 1 Level: 1', u'Driveway: Concrete', u'Attic: Pull-Down Stairs', u'Highlite: 1st Floor Master Suite', u'Kitchen Level: 1', u'Living Room Level: 1', u'Other Room 1 Level: 1', u'Sewer: Existing Septic System', u'Bedroom 3 Level: 1', u'Driveway: Gravel', u'Water: Public', u'None', u'WindowTreatments: All Existing', u'Zoning: Residential', u'Appliances: Cooktop-Electric', u'ExteriorConstruction: Cedar Siding', u'Water: Existing Well', u'Attic: Partially Floored', u'Area: BEAUFORT COUNTY', u'Schools: Beaufort County Schools', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,852 sqft', u'Laundry: Shared', u'Zillow Home ID: 2105986764']	http://photos1.zillowstatic.com/p_e/ISlehxv61d1jkh1000000000.jpg	191000.0	[]	1852.0	NC	80656.0	27806	2105986764
2.0	3	Aurora	[u'Lot: 2.59 acres', u'Single Family', u'Built in 1995', u'All time views: 6,332', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2015 for $247,500', u'Last sale price/sqft: $127', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Attached, 1 space', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Fencing: None', u'HoaAmenities: None', u'MiscSearch2: 1-3 Acres', u'Type: Site Built', u'WaterAndSewer: Septic Tank', u'Home Owners Association Y: Yes', u'DiningAndLiving: Formal Dining', u'BasementAndFoundation: Other-See Remarks', u'Attic: Other-See Remarks', u'WindowsAndDoors: Other-See Remarks', u'Appliances: Other-See Remarks', u'MiscSearch1: Other-See Remarks', u'Disclosures: Restrictive covenants', u'Construction: Cedar', u'Dryer', u'Refrigerator', u'Trash compactor', u'Washer', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Structure type: Contemporary', u'Floor size: 1,951 sqft', u'Heating: Gas, Other', u'Laundry: In Unit', u'Zillow Home ID: 2112609361']	http://photos3.zillowstatic.com/p_e/ISxfmz9ekrhpy21000000000.jpg	247500.0	[]	1951.0	NC	251698.0	27806	2112609361
1.0	3	Aurora	[u'Single Family', u'Built in 1950', u'All time views: 2,618', u'Last sold: Jun 2015 for $45,000', u'Last sale price/sqft: $39', u'Floor size: 1,161 sqft', u'Zillow Home ID: 2104612215']	http://photos3.zillowstatic.com/p_e/IShf7zxnfsbs8p0000000000.jpg	45000.0	[]	1161.0	NC	65824.0	27806	2104612215
2.0	3	Aurora	[u'Lot: 1.13 acres', u'Single Family', u'Built in 1990', u'98 days on Zillow', u'Views since listing: 2,578', u'All time views: 2,634', u'35 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $360,000', u'Last sale price/sqft: $174', u'MLS #: 70033304', u'View Virtual Tour', u'Attic', u'Ceiling Fan', u'Deck', u'Dock', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, 3 spaces', u'Porch', u'View: Water', u'Waterfront', u'1st Floor Master', u'Fuel Tank: Gas', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Attic: Floored', u'Basement: None', u'Construction: Wood Frame', u'Rooms: Living Room', u'Fuel Tank: Propane Above Ground', u'Heating System: Electric', u'Parking: Paved', u'Thermal Doors', u'Thermal Windows', u'Road Type: Private', u'Rooms: Bedroom 1', u'Fencing: Chain Link', u'Foundation: Pilings', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Bulkhead', u'Deeded Water Access', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Exterior Structures: Workshop', u'Shades', u'Rooms: Bedroom 4', u'Flood Zone: Yes', u'Dry Connect', u'Fencing: Partial', u'Security Lighting', u'Gas Logs', u'Rooms: Bonus', u'Attic: Stairs - Pull Down', u'Whole House Fan', u'Water: Community Water Available', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Washington-Beaufort County Board of Realtors', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,065 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Zillow Home ID: 2099770082']	http://photos2.zillowstatic.com/p_e/ISt82c39sov6ln1000000000.jpg	360000.0	[]	2065.0	NC	267996.0	27806	2099770082
