baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Aydlett	[u'Lot: 0.98 acres', u'Single Family', u'Built in 1999', u'All time views: 5,614', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $200,000', u'Last sale price/sqft: $77', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl', u'Jetted Tub', u'Patio', u'Porch', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'GARAGE: None', u'ROADS: Paved', u'WATER: Municipal', u'County: Currituck', u'CONSTRUCTION: Frame', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'Subdivision: None', u'OPTIONAL ROOMS: Utility Room', u'SEWER: Private Septic', u'EXTRAS: Fenced Yard', u'EXTRAS: Storm Doors', u'EXTRAS: Storage Shed', u'INTERIOR FEATURES: Attic', u'STYLE: Farm House', u'Area: Aydlett to Barco', u'Var Rate Comp.: Yes', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Microwave', u'Range / Oven', u'Family room', u'Master bath', u'Mud room', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,600 sqft', u'Heating: Propane butane', u'Parcel #: 0091000047A0000', u'Zillow Home ID: 81646954']	http://photos3.zillowstatic.com/p_e/ISlmj4lvz2tesi0000000000.jpg	200000.0	[]	2600.0	NC	229698.0	27916	81646954
2.0	3	Aydlett	[u'Lot: 4.08 acres', u'Single Family', u'Built in 2004', u'All time views: 5,438', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $250,000', u'Last sale price/sqft: $110', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Pool Description: Spa', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Stucco', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,280 sqft', u'Laundry: In Unit', u'Parcel #: 0092000079B0000', u'Zillow Home ID: 78325266']	http://photos1.zillowstatic.com/p_e/ISlqia8q1dm0m71000000000.jpg	250000.0	[]	2280.0	NC	260902.0	27916	78325266
2.0	3	Aydlett	[u'Lot: 1.09 acres', u'Single Family', u'Built in 1948', u'All time views: 1,350', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: May 2016 for $95,000', u'Last sale price/sqft: $62', u'Parking: Carport', u'Type & Style: One Story', u'Construction: Aluminum Siding', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Rooms: Kitchen', u'Water Desc: None', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Water: Well Water', u'Location Description: 1- 3 acres', u'County: Currituck', u'None', u'Range / Oven', u'Refrigerator', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,524 sqft', u'Parcel #: 0091000049A0000', u'Zillow Home ID: 78325184']	http://photos3.zillowstatic.com/p_e/ISxviz3cayjh3d1000000000.jpg	95000.0	[]	1524.0	NC	143463.0	27916	78325184
2.0	3	Aydlett	[u'Lot: 0.52 acres', u'Single Family', u'Built in 1984', u'All time views: 2,239', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Nov 2015 for $500', u'Last sale price/sqft: $0', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Security System', u'Water Heater: Electric', u'Water: County Water', u'Rooms: Great Room', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Storage Building', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'County: Currituck', u'Attic: Access Only', u'Appliances: None', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Water Desc: Other', u'Drive: Gravel', u'Flood Zone: Zone B', u'Flood Zone: X (Shaded)', u'Type & Style: 1.5 Stories', u'Construction: Shake Siding', u'Ownership Rights: Government Owned', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,476 sqft', u'Laundry: Shared', u'Parcel #: 082A00000210000', u'Zillow Home ID: 93019514']	http://photos3.zillowstatic.com/p_e/IS5e2hrnyurniw1000000000.jpg	500.0	[]	1476.0	NC	190148.0	27916	93019514
2.0	3	Aydlett	[u'Lot: 1.62 acres', u'Single Family', u'Built in 2001', u'All time views: 3,687', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Sep 2015 for $85,000', u'Last sale price/sqft: $58', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Attic: None', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Water: Well Water', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'County: Currituck', u'Owner Acc Financing: FHA', u'Flood Zone: None', u'Drive: Gravel', u'Heating System: Other', u'Air Conditioning: Other', u'Laminated Counter Tops', u'Modular: Multi Section Manufacture', u'Appliances: Hood', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,456 sqft', u'Laundry: Shared', u'Parcel #: 008200000540000', u'Zillow Home ID: 78324994']	http://photos2.zillowstatic.com/p_e/IS5ipldv0ajgz10000000000.jpg	85000.0	[]	1456.0	NC	164694.0	27916	78324994
3.0	4	Aydlett	[u'Lot: 0.57 acres', u'Single Family', u'Built in 1979', u'All time views: 5,068', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2015 for $464,000', u'Last sale price/sqft: $160', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Carport, 2 spaces, 800 sqft garage', u'RV Parking', u'Security System', u'View: Water', u'Waterfront', u'Wired', u'Construction: Cement Fiber Board', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Rooms: Great Room', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Storage Building', u'Large Master Bedroom', u'Water Desc: Bulkhead', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Raised Ranch', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'County: Currituck', u'Owner Acc Financing: VA', u'Attic: Permanent Stairs', u'Appliances: Oven-Electric', u'Workshop', u'Appliances: Disposal', u'Air Conditioning: Zone', u'Appliances: Hood', u'Flood Zone: Zone B', u'Flood Zone: X (Shaded)', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Refrigerator', u'Trash compactor', u'Walk-in closet', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Room count: 12', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,903 sqft', u'Heating: Electric, Other', u'Last remodel year: 2006', u'Parcel #: 009100000020000', u'Zillow Home ID: 120993177']	http://photos2.zillowstatic.com/p_e/IS1rxmtr6hcyr50000000000.jpg	464000.0	[]	2903.0	NC	393794.0	27916	120993177
2.0	3	Aydlett	[u'Lot: 0.76 acres', u'Single Family', u'Built in 1940', u'All time views: 798', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2015 for $225,000', u'Last sale price/sqft: $127', u'Deck', u'Disability Access', u'Lawn', u'Parking: Garage - Detached, Off street, 1536 sqft garage', u'Porch', u'Storage', u'View: Water', u'Exterior material: Wood', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,766 sqft', u'Parcel #: 0082000006B0000', u'Zillow Home ID: 78324998']	http://photos3.zillowstatic.com/p_e/ISxnk7d77y1z5u1000000000.jpg	225000.0	[]	1766.0	NC	270858.0	27916	78324998
2.0	4	Aydlett	[u'Lot: 0.69 acres', u'Single Family', u'Built in 2001', u'All time views: 2,479', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2015 for $168,000', u'Last sale price/sqft: $89', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Water Heater: Electric', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Type & Style: Raised Ranch', u'Ownership Rights: Not Applicable', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Water: Well Water', u'Garage: Garage-None', u'County: Currituck', u'Construction: Frame', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Fenced Back Yard', u'Attic: Other', u'Heating System: Electric Furnace', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Walk-in closet', u'Roof type: Composition', u'Room count: 7', u'Structure type: Ranch', u'Floor size: 1,890 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2140613563']	http://photos1.zillowstatic.com/p_e/IS9ly9ilm1ujbq1000000000.jpg	168000.0	[]	1890.0	NC	210715.0	27916	2140613563
1.0	3	Aydlett	[u'Lot: 10.5 acres', u'Single Family', u'Built in 1947', u'All time views: 1,244', u'Cooling: Central, Other', u'Heating: Forced air, Heat pump', u'Last sold: May 2015 for $325,000', u'Last sale price/sqft: $187', u'Fireplace', u'Flooring: Carpet, Tile', u'Parking: Carport', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Sun room', u'Exterior material: Vinyl, Wood', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Cape cod', u'Floor size: 1,739 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 009200000770000', u'Zillow Home ID: 78325264']	http://photos2.zillowstatic.com/p_e/IS5mwlhta6w9rt0000000000.jpg	325000.0	[]	1739.0	NC	289572.0	27916	78325264
3.0	4	Aydlett	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2005', u'All time views: 1,155', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2014 for $335,000', u'Last sale price/sqft: $128', u'Fireplace', u'Flooring: Carpet, Tile', u'Hot Tub/Spa', u'Jetted Tub', u'Parking: Carport', u'Patio', u'Exterior material: Brick', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,616 sqft', u'Parcel #: 092A00000010000', u'Zillow Home ID: 81646957']	http://photos2.zillowstatic.com/p_e/ISd40f3js4zx1q1000000000.jpg	335000.0	[]	2616.0	NC	337722.0	27916	81646957
