baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.0	3	Banner Elk	[u'Baths: 3 full, 1 half', u'Lot: 0.81 acres', u'Single Family', u'Built in 2006', u'All time views: 4,355', u'HOA Fee: $66/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $965,500', u'Last sale price/sqft: $285', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Gated Entry', u'Jetted Tub', u'Mother-in-Law Apartment', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Security System', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Wired', u'Style: Mountain', u'Heat: Radiant-Electric', u'Driveway: Private Paved', u'Fireplace: Other-See Remarks', u'Appliances: Exhaust Fan', u'Water: Private Well', u'Sewer: Private', u'Hot Water: Gas', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Zoning: Subdivision', u'Basement: Crawl Space', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Heat: C', u'Roof: Other-See Remarks', u'Appliances: Wall Oven', u'Amenities: Guest', u'Exterior: Bark Siding', u'Amenities: Horses Permitted', u'Style: Timber Frame', u'Garage: Oversized', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Elevation Range: 3501-4000 ft', u'Gated', u'Clubhouse', u'Views: Long Range View', u'Pond Access', u'Views: Seasonal View', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Stone, Wood', u'Roof type: Slate', u'Structure type: Other', u'Floor size: 3,390 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Zillow Home ID: 2120270264']	http://photos2.zillowstatic.com/p_e/IS1r9w0l1kx5pv1000000000.jpg	965500.0	[]	3390.0	NC	1106740.0	28604	2120270264
4.0	4	Banner Elk	[u'Lot: 1,742 sqft', u'Single Family', u'Built in 2007', u'All time views: 1,796', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $515,000', u'Last sale price/sqft: $214', u'600 sqft basement', u'Fireplace', u'Unfinished basement', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,410 sqft', u'Parcel #: 1889110459000', u'Zillow Home ID: 102326800']	http://photos1.zillowstatic.com/p_e/ISxztqn34zwu2l1000000000.jpg	515000.0	[]	2410.0	NC	485319.0	28604	102326800
3.0	3	Banner Elk	[u'Baths: 2 full, 1 half', u'Lot: 0.62 acres', u'Single Family', u'Built in 1969', u'All time views: 3,677', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $189,000', u'Last sale price/sqft: $180', u'330 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Carport, Garage - Detached, 2 spaces, 720 sqft garage', u'Porch', u'Vaulted Ceiling', u'View: Mountain', u'Fully furnished Guest Cottage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Laundry room', u'Master bath', u'Office', u'Workshop', u'Exterior material: Brick, Wood', u'Foundation type: Footing', u'Roof type: Metal', u'Room count: 6', u'Stories: 2', u'Floor size: 1,050 sqft', u'Heating: Electric, Oil, Propane butane', u'Last remodel year: 2008', u'Parcel #: 185819525037', u'Zillow Home ID: 114797621']	http://photos1.zillowstatic.com/p_e/ISlausdaarsmku0000000000.jpg	189000.0	[]	1050.0	NC	201852.0	28604	114797621
3.0	3	Banner Elk	[u'Baths: 2 full, 1 half', u'Lot: 1.84 acres', u'Single Family', u'Built in 2003', u'356 days on Zillow', u'Views since listing: 2,742', u'All time views: 2,765', u'27 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $552,500', u'Last sale price/sqft: $179', u'MLS #: 193985', u'View Virtual Tour', u'1166 sqft basement', u'Finished basement', u'Fireplace', u'Parking: 525 sqft garage', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Floor size: 3,084 sqft', u'Parcel #: 1980219279000', u'Zillow Home ID: 102364513']	http://photos2.zillowstatic.com/p_e/ISt43abxc4ejl11000000000.jpg	552500.0	[]	3084.0	NC	559736.0	28604	102364513
2.0	2	Sugar Mountain	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1986', u'All time views: 3,243', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: Jun 2016 for $163,000', u'Last sale price/sqft: $124', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Partial basement', u'Tennis Court', u'Vaulted Ceiling', u'Style: Mountain', u'Basement: None', u'Hot Water: Electric', u'Garage: None', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Wooded', u'Zoning: Deed Restrictions', u'Zoning: Residential', u'Heat: C', u'Road: City Maintained Paved', u'Fireplace: None', u'Water: City', u'Heat: Other-See Remarks', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Style: Ranch', u'Elevation Range: 4501-5000 ft', u'Golf', u'Clubhouse', u'Skiing', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,318 sqft', u'Heating: Electric, Propane butane, Wood / pellet', u'Last remodel year: 2008', u'Laundry: In Unit', u'Zillow Home ID: 2105012591']	http://photos2.zillowstatic.com/p_e/ISphmq1uj2928o0000000000.jpg	163000.0	[]	1318.0	NC	171891.0	28604	2105012591
2.0	2	Beech Mountain	[u'Lot: 0.35 acres', u'Single Family', u'Built in 1984', u'All time views: 4,820', u'Heating: Other', u'Last sold: Jun 2016 for $107,000', u'Last sale price/sqft: $89', u'Fireplace', u'Hot Water: Electric', u'Garage: None', u'Appliances: Exhaust Fan', u'Driveway: Private Gravel', u'Basement: Crawl Space', u'Water: City', u'Sewer: City', u'Style: Round', u'Heat: Other-See Remarks', u'Exterior: Masonry Block', u'Road: City Maintained Gravel', u'Zoning: City', u'Amenities: Rear Only Fence', u'Club Membership Available', u'Views: Seasonal View', u'Views: Potential View', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 1,200 sqft', u'Parcel #: 1950356591000', u'Zillow Home ID: 102322300']	http://photos1.zillowstatic.com/p_e/ISd0h9j7l6u8os1000000000.jpg	107000.0	[]	1200.0	NC	127304.0	28604	102322300
3.0	3	Beech Mountain	[u'Baths: 2 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1985', u'All time views: 3,636', u'Cooling: Central', u'Heating: Baseboard', u'Last sold: May 2016 for $475,000', u'Last sale price/sqft: $140', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Gated Entry', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Sauna', u'Security System', u'Skylight', u'View: Mountain', u'Kitchen Eat-in Kitchen', u'Bath Stall Shower', u'Garage Description: Garage', u'General: Smoke Detector', u'Kitchen Granite Countertops', u'Flooring: Mixed', u'Cooling: C', u'Views: Scenic', u'Interior: Beam -Ceilings', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Exterior: Sidewalk', u'Area Amenities: Biking', u'General: Storage Area', u'Exterior Living Space: Lanai', u'Bath Jacuzzi Tub', u'Interior: Blinds', u'Area Amenities: Biking Path', u'Area Amenities: Golf', u'Area Amenities: Outdoor Activities', u'Area Amenities: Area Hiking', u'Area Amenities: Area Skiing', u'Area Description: Mountain', u'General: Fire Alarms', u'Exterior: Covered Terraces', u'Community Type: Gated', u'Interior: Exercise Area', u'Property Description: Community Living', u'Area Description: Skiing', u'Special Market: Second Home', u'Area Description: Privacy', u'Interior: Bow Window', u'Bath Tub Only', u'Interior: Track lighting', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Split level', u'Floor size: 3,381 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Zillow Home ID: 2098747637']	http://photos2.zillowstatic.com/p_e/IStoahpl8wza0c1000000000.jpg	475000.0	[]	3381.0	NC	375811.0	28604	2098747637
2.0	2	Banner Elk	[u'Lot: 1.34 acres', u'Single Family', u'Built in 1999', u'All time views: 1,463', u'Heating: Other', u'Last sold: May 2016 for $111,100', u'Last sale price/sqft: $121', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Floor size: 920 sqft', u'Parcel #: 1889582033000', u'Zillow Home ID: 102345253']	http://photos2.zillowstatic.com/p_e/IStws89wl5nb2i0000000000.jpg	111100.0	[]	920.0	NC	139367.0	28604	102345253
4.0	3	Seven Devils	[u'Baths: 3 full, 1 half', u'Lot: 0.47 acres', u'Single Family', u'Built in 2005', u'All time views: 1,889', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $450,000', u'Last sale price/sqft: $119', u'1400 sqft basement', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Hot Tub/Spa', u'Jetted Tub', u'Vaulted Ceiling', u'View: Mountain', u'Hot Water: Electric', u'Garage: None', u'Appliances: Exhaust Fan', u'Attic: Yes', u'Attic: Floored', u'Sewer: Private', u'Driveway: Private Gravel', u'Amenities: Wooded', u'Zoning: Subdivision', u'Basement: Crawl Space', u'Amenities: Whirl Pool Tub', u'Zoning: Residential', u'Heat: C', u'Road: City Maintained Paved', u'Water: City', u'Exterior: Masonry Block', u'Amenities: Long Term Rental Permitted', u'Style: Log', u'Exterior: Log', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Log', u'Elevation Range: 3501-4000 ft', u'Views: Long Range View', u'Views: Long Range-Layers View', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 3', u'Structure type: Other', u'Floor size: 3,777 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 1879502180000', u'Zillow Home ID: 102257004']	http://photos2.zillowstatic.com/p_e/IShr0ixej5z4cb0000000000.jpg	450000.0	[]	3777.0	NC	572997.0	28604	102257004
2.0	4	Beech Mountain	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1972', u'All time views: 1,798', u'Heating: Other', u'Last sold: May 2016 for $68,000', u'Last sale price/sqft: $54', u'Fireplace', u'Roof type: Other', u'Room count: 6', u'Stories: 0', u'Floor size: 1,250 sqft', u'Parcel #: 1950258013000', u'Zillow Home ID: 102240653']	http://photos3.zillowstatic.com/p_e/IS5abld5nq5xcu1000000000.jpg	68000.0	[]	1250.0	NC	124190.0	28604	102240653
