baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Bath	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1950', u'All time views: 6,588', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $250,000', u'Last sale price/sqft: $88', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate, Tile', u'Garden', u'Lawn', u'Parking: Carport, Off street, 2 spaces', u'Patio', u'Porch', u'RV Parking', u'View: Water', u'Waterfront', u'Lot Size: 2 Acre', u'Age: Over 50 Years Old', u'Water: Municipal Water', u'Sewer: Septic', u'Garage Description: No Garage', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Exterior: Doors', u'Exterior: Out Building', u'Basement: Slab Foundation', u'General: Workshop', u'Area Amenities: Boating', u'Body of Water: River', u'Location: Riverfront', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Sun room', u'Workshop', u'Exterior material: Cement concrete, Vinyl', u'Roof type: Composition', u'Room count: 9', u'Stories: 2', u'Structure type: Modern', u'Floor size: 2,828 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2132790371']	http://photos1.zillowstatic.com/p_e/ISlic8c4jd89qx1000000000.jpg	250000.0	[]	2828.0	NC	279372.0	27808	2132790371
4.0	4	Bath	[u'Baths: 3 full, 1 half', u'Lot: 0.57 acres', u'Single Family', u'Built in 1982', u'All time views: 1,750', u'HOA Fee: $4/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $460,000', u'Last sale price/sqft: $181', u'Attic', u'Barbecue', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport, Garage - Attached, 4 spaces', u'Patio', u'Porch', u'Unfinished basement', u'View: Water', u'Waterfront', u'Wet Bar', u'Kitchen Eat-in Kitchen', u'Age: 31-40 Years Old', u'Water: Municipal Water', u'General: Smoke Detector', u'Exterior: Storage Shed', u'Kitchen Granite Countertops', u'Exterior Description: Cedar Siding', u'Sewer: Septic', u'General: Window Treatments', u'Area Description: Fishing', u'Area Amenities: Area Fishing', u'Exterior: Doors', u'Bath Tub and Shower', u'Lot Size: 2 - 1 Acre', u'Heating Type: Multi-Zone Heat', u'Basement: Partial', u'Exterior Living Space: Lanai', u'Other: Association Fee', u'Area Amenities: Boating', u'Area Description: Flood Area', u'Area Amenities: Deep Water Mooring', u'Exterior: Boat House', u'Creek', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 2,544 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Zillow Home ID: 2138213120']	http://photos2.zillowstatic.com/p_e/ISd83cudjmkud41000000000.jpg	460000.0	[]	2544.0	NC	462408.0	27808	2138213120
2.0	2	Bath	[u'Baths: 1 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 1950', u'All time views: 1,712', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $250,000', u'Last sale price/sqft: $210', u'Attic', u'Ceiling Fan', u'Deck', u'Dock', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'RV Parking', u'View: Water', u'Waterfront', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Attic: Floored', u'Basement: None', u'Construction: Wood Frame', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Road Type: Maintained', u'Road Type: St)', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Bulkhead', u'Deeded Water Access', u'Rooms: Kitchen', u'Appliances: Vent Hood', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Water: Septic On Site', u'Exterior Structures: Shed', u'Shades', u'Fuel Tank: None', u'Flood Zone: Yes', u'None', u'Smoke Detectors', u'Dry Connect', u'Laundry Location: Room', u'Gas Logs', u'Rooms: Bonus', u'Parking: Off Street', u'Water: Community Water', u'Attic: Stairs - Perm', u'Amenities-Neigh: None', u'Parking: Unpaved', u'Parking: Circular', u'Rooms: Other Room', u'Service Providers: Electric Provider: Tideland Electric', u'Roof: Composition', u'Service Providers: Water Provider: Beaufort County', u'List Office Board Code: Washington-Beaufort County Board of Realtors', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 1,192 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2098423766']	http://photos1.zillowstatic.com/p_e/IS9dgmp6rp8pbc1000000000.jpg	250000.0	[]	1192.0	NC	239321.0	27808	2098423766
3.0	4	Bath	[u'Lot: 1 acre', u'Single Family', u'Built in 2007', u'All time views: 4,583', u'HOA Fee: $12/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $425,000', u'Last sale price/sqft: $174', u'Attic', u'Barbecue', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Skylight', u'Sprinkler System', u'Storage', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Kitchen Eat-in Kitchen', u'Garage Count: 2 Car Garage', u'Basement: Crawl Space', u'Water: Municipal Water', u'General: Smoke Detector', u'Exterior: Storage Shed', u'Age: 6-10 Years Old', u'Kitchen Granite Countertops', u'Lot Size: 1-2 Acres', u'Sewer: Septic', u'Area Amenities: Area Fishing', u'Exterior: Doors', u'Road Type: County Street', u'Bath Tub and Shower', u'Bath Stall Shower and Tub', u'Location: Cul-de-sac', u'Flooring: Ceramic', u'Other: Association Fee', u'Area Amenities: Boating', u'Area Amenities: Area Boat Ramp', u'Area Description: Suburban', u'Kitchen Breakfast Bar', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 10', u'Structure type: Cape cod', u'Floor size: 2,449 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Zillow Home ID: 2104630088']	http://photos3.zillowstatic.com/p_e/ISxnsxma36z72u1000000000.jpg	425000.0	[]	2449.0	NC	408583.0	27808	2104630088
2.0	3	Bath	[u'Baths: 1 full, 1 half', u'Single Family', u'Built in 1973', u'All time views: 6,817', u'Cooling: Central', u'Heating: Baseboard, Forced air, Heat pump', u'Last sold: Jun 2016 for $89,000', u'Last sale price/sqft: $49', u'Ceiling Fan', u'Disability Access', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Porch', u'RV Parking', u'Range / Oven', u'Refrigerator', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Recreation room', u'Exterior material: Brick', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,798 sqft', u'Heating: Electric', u'Zillow Home ID: 2129761587']	http://photos1.zillowstatic.com/p_e/ISxng09oup1ygf1000000000.jpg	89000.0	[]	1798.0	NC	111964.0	27808	2129761587
1.5	3	Bath	[u'Baths: 1 full, 1 half', u'Lot: 2.41 acres', u'Single Family', u'Built in 1988', u'All time views: 1,867', u'Last sold: May 2016 for $98,000', u'Last sale price/sqft: $60', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Type & Style: 2 Story', u'Siding: Vinyl', u'Windows: Storm Doors', u'Windows: Thermal Windows', u'Other Utilities: Electric', u'Attic: Access Only', u'Basement: None', u'1st Floor Master Bedroom', u'Utility Building', u'Apx Age: 21 - 25', u'Water: County Water Tap', u'Water: Well Installed', u'Water: Septic Installed', u'Family Room', u'1-3 acres', u'Location Description: Rural', u'Schools: Bath', u'Type: Other-See Remarks', u'Great Room', u'Foundation: Other-See Remarks', u'Heating Type: Space Heater', u'Air Conditioning: Other-See Remarks', u'Recreational: Horses Permitted', u'Stable', u'Appliances: Electric Water Heater', u'Dryer', u'Refrigerator', u'Washer', u'Structure type: Bungalow', u'Floor size: 1,620 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit, Shared', u'Zillow Home ID: 2145830859']	http://photos2.zillowstatic.com/p_e/IShvr1ev1g34fd1000000000.jpg	98000.0	[]	1620.0	NC	129248.0	27808	2145830859
2.0	3	Bath	[u'Lot: 0.85 acres', u'Single Family', u'Built in 1977', u'All time views: 3,752', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $130,000', u'Last sale price/sqft: $85', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Carport, 2 spaces', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Basement: None', u'Construction: Wood Frame', u'Storm Doors', u'Fencing: None', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Fuel Tank: Propane Above Ground', u'Thermal Doors', u'Thermal Windows', u'Road Type: St)', u'Roof: Shingle', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Water: Well Water', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Water: Septic On Site', u'Smoke Detectors', u'Water: Community Water', u'HOA Amenities: No Amenities', u'Rooms: Other Room', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Dining room', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,527 sqft', u'Heating: Gas', u'Unit floor #: 1', u'Zillow Home ID: 2105784362']	http://photos2.zillowstatic.com/p_e/IS5uuptqzmxw0u1000000000.jpg	130000.0	[]	1527.0	NC	130198.0	27808	2105784362
2.0	3	Bath	[u'Lot: 1.85 acres', u'Single Family', u'Built in 1965', u'All time views: 1,747', u'Cooling: Central', u'Last sold: Mar 2016 for $107,500', u'Last sale price/sqft: $56', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Apx Age: Over 25', u'Windows: Storm Doors', u'Water Heater: Electric', u'Other Utilities: Electric', u'Other Utilities: Phone', u'Attic: Access Only', u'Basement: None', u'Foundation: Crawl Space', u'Type: Open', u'1st Floor Master Bedroom', u'Utility Building', u'Recreational: Other-See Remarks', u'Water: County Water Tap', u'Water: Well Installed', u'Workshop', u'Type & Style: 1 Story', u'1-3 acres', u'Location Description: Rural', u'Schools: Bath', u'Great Room', u'Windows: Storm Windows', u'Gravel Drive', u'Siding: Other-See Remarks', u'Range / Oven', u'Refrigerator', u'Dining room', u'Roof type: Composition', u'Floor size: 1,925 sqft', u'Heating: Gas, Propane butane', u'Zillow Home ID: 2102009455']	http://photos3.zillowstatic.com/p_e/ISh7du7i7eati61000000000.jpg	107500.0	[]	1925.0	NC	124463.0	27808	2102009455
3.5	3	Bath	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1997', u'All time views: 3,202', u'Last sold: Dec 2015 for $411,000', u'Last sale price/sqft: $155', u'Flooring: Carpet', u'Stories: 2', u'Floor size: 2,651 sqft', u'Zillow Home ID: 2146177018']	http://photos3.zillowstatic.com/p_e/IS9dcfdtlcc2om0000000000.jpg	411000.0	[]	2651.0	NC	371069.0	27808	2146177018
3.5	3	Bath	[u'Lot: 0.7 acres', u'Single Family', u'Built in 1998', u'All time views: 1,030', u'Last sold: Nov 2015 for $535,000', u'Last sale price/sqft: $116', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile, Other', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Water', u'Waterfront', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Composition', u'Room count: 9', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 4,600 sqft', u'Zillow Home ID: 2102119185']	http://photos1.zillowstatic.com/p_e/ISlm389ob0i9t81000000000.jpg	535000.0	[]	4600.0	NC	506849.0	27808	2102119185
