baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Benson	[u'Lot: 0.46 acres', u'Single Family', u'Built in 2008', u'All time views: 3,107', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $180,000', u'Last sale price/sqft: $100', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 552 sqft garage', u'Patio', u'Porch', u'Vaulted Ceiling', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: Utility Room', u'Bonus Room Floor: Second', u'Fenced Yard', u'Garage Floor: Main', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Garden Tub', u'Equipment: Range Hood', u'Other Rooms: Finish', u'Parking: Concrete', u'Water: County Water', u'Subdivision: Dalton Woods', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: .26-.5 Acres', u'Pantry', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,800 sqft', u'Last remodel year: 2008', u'Parcel #: 07D06040I', u'Zillow Home ID: 83958907']	http://photos1.zillowstatic.com/p_e/ISdkg6sicqf8qe1000000000.jpg	180000.0	[]	1800.0	NC	177905.0	27504	83958907
2.0	3	Benson	[u'Lot: 1.56 acres', u'Single Family', u'Built in 1996', u'All time views: 2,245', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $145,000', u'Last sale price/sqft: $110', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Porch', u'Security System', u'Vaulted Ceiling', u'A: Central Air', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Breakfast Room Floor: Main', u'Style: Ranch', u'Garden Tub', u'Other Rooms: Walk In Pantry', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Water: Community Water', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Water Heater: Water Htr Age 0-3 Yrs', u'Storage Floor: Additional', u'Special Conditions: Lender Owned', u'Subdivision: Creekstone', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,321 sqft', u'Heating: Gas', u'Last remodel year: 1997', u'Laundry: In Unit', u'Parcel #: 13E04027C', u'Zillow Home ID: 69095138']	http://photos3.zillowstatic.com/p_e/IS5uettg1cbjst0000000000.jpg	145000.0	[]	1321.0	NC	142905.0	27504	69095138
2.0	3	Benson	[u'Available now', u'Lease: One Year', u'Deposit & fees: 1050', u'Lot: 0.92 acres', u'Pets: Cats, small dogs', u'Single Family', u'Cooling: Central', u'Heating: Heat pump', u'Posted: 29 days ago', u'Views since listing: 2,332', u'All time views: 7,712', u'60 shoppers saved this home', u'Rent/sqft: $0.80', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Built in 1995', u'Floor size: 1,314 sqft', u'Last remodel year: 1995', u'Last sold: Jul 2016 for $115,712', u'Parcel #: 13D04017E', u'Zillow Home ID: 69118919']	http://photos3.zillowstatic.com/p_e/IStwc0otdbvrj90000000000.jpg	115712.0	[]	1314.0	NC	1050.0	27504	69118919
2.0	3	Benson	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1954', u'All time views: 3,233', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2016 for $120,000', u'Last sale price/sqft: $69', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Lawn', u'Parking: Off street', u'Porch', u'View: Territorial', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Sun room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,737 sqft', u'Last remodel year: 1965', u'Lot depth: 150 ft', u'Lot width: 62 ft', u'Parcel #: 01016007', u'Zillow Home ID: 69097219']	http://photos1.zillowstatic.com/p_e/ISxvqli0rgw0ci1000000000.jpg	120000.0	[]	1737.0	NC	117515.0	27504	69097219
2.0	3	Benson	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1995', u'All time views: 605', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $127,500', u'Last sale price/sqft: $115', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'Basement Description: No Basement', u'Tub', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Kitchen Floor: Main', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Fireplace: 0', u'Equipment: Elec. Dryer HU', u'Insulated Windows', u'Water: County Water', u'Subdivision: Woodsboro Crossing', u'Restrictive Covenants: Yes', u'Acres: .76-.99 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,106 sqft', u'Last remodel year: 1995', u'Laundry: In Unit', u'Parcel #: 13D04046P', u'Zillow Home ID: 68966309']	http://photos1.zillowstatic.com/p_e/IS9d49vkboe6ef1000000000.jpg	127500.0	[]	1106.0	NC	128488.0	27504	68966309
2.0	3	Benson	[u'Lot: 1.28 acres', u'Single Family', u'Built in 1999', u'All time views: 1,884', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $171,250', u'Last sale price/sqft: $113', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Detached, 4 spaces, 576 sqft garage', u'Porch', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,509 sqft', u'Last remodel year: 1999', u'Parcel #: 13E04016Q', u'Zillow Home ID: 69113914']	http://photos1.zillowstatic.com/p_e/ISxvi7mb056n9f0000000000.jpg	171250.0	[]	1509.0	NC	165502.0	27504	69113914
2.0	3	Benson	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1976', u'All time views: 2,414', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2016 for $214,900', u'Last sale price/sqft: $85', u'1100 sqft basement', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Carport', u'Partial basement', u'Pool', u'Porch', u'RV Parking', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Workshop', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,518 sqft', u'Last remodel year: 1976', u'Parcel #: 01E09047A', u'Zillow Home ID: 69099060']	http://photos3.zillowstatic.com/p_e/ISxz11p985jhhf1000000000.jpg	214900.0	[]	2518.0	NC	206458.0	27504	69099060
2.0	3	Benson	[u'Lot: 1 acre', u'Single Family', u'Built in 1986', u'All time views: 1,282', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $117,000', u'Last sale price/sqft: $102', u'Attic', u'Ceiling Fan', u'Flooring: Hardwood', u'Patio', u'Porch', u'Appliance: RANGE', u'Fireplace: None', u'PropertyType: Residential', u'Sewer: Septic Tank', u'Style: Ranch', u'SiteDescription: REAR FENCING', u'Misc: MBR DOWNSTAIRS', u'Miscellaneous: OUTSIDE STORAGE', u'Miscellaneous: CRAWLSPACE', u'Condition: Good', u'Water: Well', u'Construction Type: Brick Veneer and Frame', u'Contingency Type: Contingent on sale and closing', u'SqFt Range: 1101 TO 1200', u'Electric: DUKE PROGRESS ENERGY', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Brick, Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,150 sqft', u'Last remodel year: 1987', u'Laundry: In Unit', u'Parcel #: 01E08020B', u'Zillow Home ID: 69126561']	http://photos2.zillowstatic.com/p_e/ISybvnzjp3g2651000000000.jpg	117000.0	[]	1150.0	NC	127874.0	27504	69126561
2.0	3	Benson	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2001', u'All time views: 1,749', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $147,000', u'Last sale price/sqft: $113', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Dining: Eat-in Kitchen', u'Fenced Yard', u'Style: Ranch', u'Garden Tub', u'Water: County Water', u'Water Heater: Water Htr Age 0-3 Yrs', u'Attic Description: Skuttle', u'Washer Dryer Location: Laundry Room', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .51-.75 Acres', u'Pantry', u'LA1Agent Phone1 CountryId: United States (+1)', u'Subdivision: Parrish Farm', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,300 sqft', u'Last remodel year: 2001', u'Parcel #: 13E04034P', u'Zillow Home ID: 69087363']	http://photos2.zillowstatic.com/p_e/ISd05gkf91qr3c1000000000.jpg	147000.0	[]	1300.0	NC	146253.0	27504	69087363
2.0	3	Benson	[u'Lot: 2.63 acres', u'Single Family', u'Built in 1998', u'All time views: 1,869', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $136,000', u'Last sale price/sqft: $112', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Storm Doors', u'Kitchen Floor: Main', u'HO Fees Include: HO Fees Include None', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Fireplace: 0', u'Water: County Water', u'Subdivision: Creekstone', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Pantry', u'Dryer', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,210 sqft', u'Last remodel year: 1998', u'Laundry: In Unit', u'Parcel #: 13E04106', u'Zillow Home ID: 69104238']	http://photos3.zillowstatic.com/p_e/IShnhoyz44d6tp1000000000.jpg	136000.0	[]	1210.0	NC	138787.0	27504	69104238
