baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Eagle Springs	[u'Lot: 1.27 acres', u'Single Family', u'Built in 1938', u'All time views: 1,850', u'Cooling: Wall', u'Heating: Forced air', u'Last sold: May 2016 for $35,000', u'Last sale price/sqft: $25', u'300 sqft basement', u'Ceiling Fan', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Detached, 1 space, 300 sqft garage', u'Unfinished basement', u'Road Description: Public Paved', u'Community Type: Other', u'Carport: None', u'Tax County: Moore', u'Land Description: Interior', u'Suffix: Road', u'Sewer: Private', u'Land Description: See Remarks', u'Water: Private Well', u'Water: Private', u'Water: Septic Tank', u'Tax City: None', u'Zip Code: 27242', u'Garage Type: See Remarks', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Cement concrete, Shingle', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Floor size: 1,428 sqft', u'Heating: Oil, Other', u'Last remodel year: 2016', u'Laundry: In Unit', u'Zillow Home ID: 2101357089']	http://photos2.zillowstatic.com/p_e/ISpl9zudbytzxt0000000000.jpg	35000.0	[]	1428.0	NC	126814.0	27242	2101357089
1.0	2	Biscoe	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1950', u'All time views: 1,530', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $75,000', u'Last sale price/sqft: $75', u'1000 sqft basement', u'Attic', u'Ceiling Fan', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 2 spaces, 400 sqft garage', u'Partial basement', u'Porch', u'Wired', u'Rooms: Bedroom 2 Level: M', u'Storm Doors', u'Humidifier', u'Rooms: Kitchen', u'Zip Code: 27209', u'Driveway Type: Paved', u'Insulated Windows', u'Road Description: Public Paved', u'Water: County Sewer', u'Water: County Water', u'Water: Public', u'Sewer: Public', u'Primary Heat Source: Electric', u'Suffix: Street', u'Tax City: Other', u'Rooms: Master Bedroom Level: M', u'Rooms: Kitchen Level: M', u'Water Heater: Electric', u'Community Type: Single Family', u'Rooms: Bedroom 2', u'Rooms: Master Bedroom', u'Style: Cottage', u'Attic Storage', u'Broadband Internet Avail', u'Garage Type: None', u'Window Treatments', u'Foundation: Basement', u'Stairs to Attic', u'Outdoor Storage-Detach', u'Workshop', u'Land Description: Other', u'Tax County: Montgomery', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Vinyl, Wood', u'Foundation type: Concrete Block', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,000 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 7568 12 86 4889', u'Zillow Home ID: 114827470']	http://photos3.zillowstatic.com/p_e/IStg0g3dahc4ko1000000000.jpg	75000.0	[]	1000.0	NC	61174.0	27209	114827470
2.5	3	Biscoe	[u'Baths: 2 full, 1 half', u'Lot: 0.49 acres', u'Single Family', u'Built in 1998', u'All time views: 959', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $195,000', u'Last sale price/sqft: $79', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Carport, Garage - Attached, 2 spaces, 800 sqft garage', u'Porch', u'Security System', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Sewer: City Sewer', u'Water: City Water', u'Laundry Location: 1st Floor', u'Driveway: Concrete', u'Building - Workshop', u'Architectural Style: Traditional', u'Listing Financing: USDA', u'Property Sub Type: 1.5 Story', u'Outbuilding', u'Zoning: SFR', u'Green Certification: None', u'None', u'Parking: Garage - 2 Car', u'Driveway: Circular', u'Level', u'Dishwasher', u'Microwave', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 1.5', u'Floor size: 2,480 sqft', u'Parcel #: 7568 07 68 0540', u'Zillow Home ID: 114827809']	http://photos2.zillowstatic.com/p_e/IStshtybl1g7hy0000000000.jpg	195000.0	[]	2480.0	NC	190969.0	27209	114827809
2.0	2	Biscoe	[u'Lot: 2 acres', u'Single Family', u'Built in 1992', u'All time views: 676', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2015 for $93,500', u'Last sale price/sqft: $81', u'Driveway: Gravel', u'Equipment: Dishwasher', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Laundry Location: 1st Floor', u'Exterior Construction: Vinyl', u'Deck', u'Doors Windows: Insulated Windows', u'Property Sub Type: 1 Story', u'Equipment: Cooktop Electric', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Fireplace Description: Living Room', u'Water: County Water', u'Heating: Other', u'Zoning: SFR', u'Flooring: Other', u'Architectural Style: Ranch', u'None', u'Parking: Driveway', u'None', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,148 sqft', u'Parcel #: 7567 00 00 0062', u'Zillow Home ID: 114827348']	http://photos3.zillowstatic.com/p_e/IS9xvrzkpjvqvg0000000000.jpg	93500.0	[]	1148.0	NC	100943.0	27209	114827348
1.0	2	Eagle Springs	[u'Lot: 1.27 acres', u'Single Family', u'Built in 1938', u'All time views: 1,852', u'Cooling: Wall', u'Heating: Forced air', u'Last sold: May 2016 for $35,000', u'Last sale price/sqft: $25', u'300 sqft basement', u'Ceiling Fan', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Detached, 1 space, 300 sqft garage', u'Unfinished basement', u'Road Description: Public Paved', u'Community Type: Other', u'Carport: None', u'Tax County: Moore', u'Land Description: Interior', u'Suffix: Road', u'Sewer: Private', u'Land Description: See Remarks', u'Water: Private Well', u'Water: Private', u'Water: Septic Tank', u'Tax City: None', u'Zip Code: 27242', u'Garage Type: See Remarks', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Cement concrete, Shingle', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Floor size: 1,428 sqft', u'Heating: Oil, Other', u'Last remodel year: 2016', u'Laundry: In Unit', u'Zillow Home ID: 2101357089']	http://photos2.zillowstatic.com/p_e/ISpl9zudbytzxt0000000000.jpg	35000.0	[]	1428.0	NC	126814.0	27242	2101357089
1.0	2	Biscoe	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1950', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $75,000', u'Last sale price/sqft: $75', u'1000 sqft basement', u'Attic', u'Ceiling Fan', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 2 spaces, 400 sqft garage', u'Partial basement', u'Porch', u'Wired', u'Rooms: Bedroom 2 Level: M', u'Storm Doors', u'Humidifier', u'Rooms: Kitchen', u'Zip Code: 27209', u'Driveway Type: Paved', u'Insulated Windows', u'Road Description: Public Paved', u'Water: County Sewer', u'Water: County Water', u'Water: Public', u'Sewer: Public', u'Primary Heat Source: Electric', u'Suffix: Street', u'Tax City: Other', u'Rooms: Master Bedroom Level: M', u'Rooms: Kitchen Level: M', u'Water Heater: Electric', u'Community Type: Single Family', u'Rooms: Bedroom 2', u'Rooms: Master Bedroom', u'Style: Cottage', u'Attic Storage', u'Broadband Internet Avail', u'Garage Type: None', u'Window Treatments', u'Foundation: Basement', u'Stairs to Attic', u'Outdoor Storage-Detach', u'Workshop', u'Land Description: Other', u'Tax County: Montgomery', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Vinyl, Wood', u'Foundation type: Concrete Block', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,000 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 7568 12 86 4889', u'Zillow Home ID: 114827470']	http://photos3.zillowstatic.com/p_e/IStg0g3dahc4ko1000000000.jpg	75000.0	[]	1000.0	NC	61174.0	27209	114827470
2.5	3	Biscoe	[u'Baths: 2 full, 1 half', u'Lot: 0.49 acres', u'Single Family', u'Built in 1998', u'All time views: 968', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $195,000', u'Last sale price/sqft: $79', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Carport, Garage - Attached, 2 spaces, 800 sqft garage', u'Porch', u'Security System', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Sewer: City Sewer', u'Water: City Water', u'Laundry Location: 1st Floor', u'Driveway: Concrete', u'Building - Workshop', u'Architectural Style: Traditional', u'Listing Financing: USDA', u'Property Sub Type: 1.5 Story', u'Outbuilding', u'Zoning: SFR', u'Green Certification: None', u'None', u'Parking: Garage - 2 Car', u'Driveway: Circular', u'Level', u'Dishwasher', u'Microwave', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Stories: 1.5', u'Floor size: 2,480 sqft', u'Parcel #: 7568 07 68 0540', u'Zillow Home ID: 114827809']	http://photos2.zillowstatic.com/p_e/IStshtybl1g7hy0000000000.jpg	195000.0	[]	2480.0	NC	190969.0	27209	114827809
2.0	2	Biscoe	[u'Lot: 2 acres', u'Single Family', u'Built in 1992', u'All time views: 675', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2015 for $93,500', u'Last sale price/sqft: $81', u'Driveway: Gravel', u'Equipment: Dishwasher', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Laundry Location: 1st Floor', u'Exterior Construction: Vinyl', u'Deck', u'Doors Windows: Insulated Windows', u'Property Sub Type: 1 Story', u'Equipment: Cooktop Electric', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Fireplace Description: Living Room', u'Water: County Water', u'Heating: Other', u'Zoning: SFR', u'Flooring: Other', u'Architectural Style: Ranch', u'None', u'Parking: Driveway', u'None', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,148 sqft', u'Parcel #: 7567 00 00 0062', u'Zillow Home ID: 114827348']	http://photos3.zillowstatic.com/p_e/IS9xvrzkpjvqvg0000000000.jpg	93500.0	[]	1148.0	NC	100943.0	27209	114827348
1.0	2	Eagle Springs	[u'Lot: 1.27 acres', u'Single Family', u'Built in 1938', u'All time views: 1,849', u'Cooling: Wall', u'Heating: Forced air', u'Last sold: May 2016 for $35,000', u'Last sale price/sqft: $25', u'300 sqft basement', u'Ceiling Fan', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Detached, 1 space, 300 sqft garage', u'Unfinished basement', u'Road Description: Public Paved', u'Community Type: Other', u'Carport: None', u'Tax County: Moore', u'Land Description: Interior', u'Suffix: Road', u'Sewer: Private', u'Land Description: See Remarks', u'Water: Private Well', u'Water: Private', u'Water: Septic Tank', u'Tax City: None', u'Zip Code: 27242', u'Garage Type: See Remarks', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Laundry room', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Cement concrete, Shingle', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Floor size: 1,428 sqft', u'Heating: Oil, Other', u'Last remodel year: 2016', u'Laundry: In Unit', u'Zillow Home ID: 2101357089']	http://photos2.zillowstatic.com/p_e/ISpl9zudbytzxt0000000000.jpg	35000.0	[]	1428.0	NC	126814.0	27242	2101357089
1.0	2	Biscoe	[u'Lot: 0.55 acres', u'Single Family', u'Built in 1950', u'All time views: 1,536', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $75,000', u'Last sale price/sqft: $75', u'1000 sqft basement', u'Attic', u'Ceiling Fan', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 2 spaces, 400 sqft garage', u'Partial basement', u'Porch', u'Wired', u'Rooms: Bedroom 2 Level: M', u'Storm Doors', u'Humidifier', u'Rooms: Kitchen', u'Zip Code: 27209', u'Driveway Type: Paved', u'Insulated Windows', u'Road Description: Public Paved', u'Water: County Sewer', u'Water: County Water', u'Water: Public', u'Sewer: Public', u'Primary Heat Source: Electric', u'Suffix: Street', u'Tax City: Other', u'Rooms: Master Bedroom Level: M', u'Rooms: Kitchen Level: M', u'Water Heater: Electric', u'Community Type: Single Family', u'Rooms: Bedroom 2', u'Rooms: Master Bedroom', u'Style: Cottage', u'Attic Storage', u'Broadband Internet Avail', u'Garage Type: None', u'Window Treatments', u'Foundation: Basement', u'Stairs to Attic', u'Outdoor Storage-Detach', u'Workshop', u'Land Description: Other', u'Tax County: Montgomery', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Exterior material: Vinyl, Wood', u'Foundation type: Concrete Block', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,000 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 7568 12 86 4889', u'Zillow Home ID: 114827470']	http://photos3.zillowstatic.com/p_e/IStg0g3dahc4ko1000000000.jpg	75000.0	[]	1000.0	NC	61174.0	27209	114827470
