baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Boone	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1973', u'154 days on Zillow', u'Views since listing: 4,471', u'All time views: 6,601', u'63 shoppers saved this home', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $171,750', u'Last sale price/sqft: $59', u'MLS #: 39201206', u'Cable Ready', u'Double Pane/Storm Windows', u'Fireplace', u'High Speed Internet Ready', u'Parking: Carport', u'View: Mountain', u'Hot Water: Electric', u'Driveway: Private Paved', u'Appliances: Exhaust Fan', u'Heat: Air Conditioning', u'Sewer: Private', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Zoning: Subdivision', u'Zoning: Residential', u'Heat: C', u'Road: City Maintained Paved', u'Water: City', u'Garage: 1 Car', u'Attic: Pull Down', u'Attic: Un-Floored', u'Basement: Partial Finish', u'Style: Ranch', u'Zoning: R-1', u'Windows: Vinyl', u'Sewer: Septic Permit Unavailable', u'Construction: Masonry', u'Construction: Wood Frame', u'Elevation Range: 3001-3500 ft', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 0', u'Floor size: 2,887 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 2910978715000', u'Zillow Home ID: 102257271']	http://photos3.zillowstatic.com/p_e/IS52lrmtrvvro91000000000.jpg	171750.0	[]	2887.0	NC	189883.0	28607	102257271
2.0	3	Boone	[u'Lot: 0.57 acres', u'Single Family', u'Built in 2003', u'All time views: 6,064', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $176,000', u'Last sale price/sqft: $107', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'View: Mountain', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Basement: Partial', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Driveway: Private Gravel', u'Zoning: Subdivision', u'Basement: Crawl Space', u'Water: Shared Well', u'Road: Private Gravel', u'Zoning: Other-See Remarks', u'Amenities: Short Term Rental Permitted', u'Style: Log', u'Exterior: Log', u'Exterior: Log Siding', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Log', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Mud room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,641 sqft', u'Laundry: In Unit', u'Parcel #: 2922540798000', u'Zillow Home ID: 102318035']	http://photos1.zillowstatic.com/p_e/IS1v0wtl4x4di80000000000.jpg	176000.0	[]	1641.0	NC	199047.0	28607	102318035
2.0	3	Boone	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1984', u'170 days on Zillow', u'Views since listing: 1,907', u'All time views: 2,638', u'32 shoppers saved this home', u'Heating: Other', u'Last sold: Aug 2016 for $189,000', u'Last sale price/sqft: $94', u'MLS #: 39200017', u'Coldwell Banker Blair & Associates', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Laminate, Tile', u'Garden', u'Lawn', u'Patio', u'View: Mountain', u'Flooring: Mixed', u'Area Description: Mountain', u'Exterior: Out Building', u'Area Amenities: Outdoor Activities', u'Water: Well', u'Special Market: Second Home', u'Lot Size: 2 - 1 Acre', u'Special Market: University', u'Fencing: Fenced Yard', u'Road Type: State Road', u'Sewer: Private', u'Rooms: Artist Studio', u'Pre-Wiring: Entertainment System', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Cement concrete, Wood', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Floor size: 2,000 sqft', u'Heating: Other', u'Last remodel year: 2012', u'Laundry: In Unit', u'Parcel #: 2922110226000', u'Zillow Home ID: 102355929']	http://photos3.zillowstatic.com/p_e/IS-1lnuq5r8yg7rx.jpg	189000.0	[]	2000.0	NC	192370.0	28607	102355929
2.5	3	Boone	[u'Baths: 2 full, 1 half', u'Lot: 2.46 acres', u'Single Family', u'Built in 2001', u'All time views: 4,383', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $290,000', u'Last sale price/sqft: $96', u'Fireplace', u'Parking: 676 sqft garage', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Floor size: 3,015 sqft', u'Parcel #: 2913558405000', u'Zillow Home ID: 102274505']	http://photos2.zillowstatic.com/p_e/ISpxufvxlhobm70000000000.jpg	290000.0	[]	3015.0	NC	324827.0	28607	102274505
3.5	4	Boone	[u'Lot: 0.86 acres', u'Single Family', u'Built in 1968', u'All time views: 3,841', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $470,000', u'Last sale price/sqft: $107', u'2123 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Fitness Center', u'Flooring: Carpet', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 990 sqft garage', u'Partial basement', u'Patio', u'Porch', u'Storage', u'Vaulted Ceiling', u'View: City', u'Waterfront', u'Wet Bar', u'Large Flat Yard', u'Covered Porch', u'Dishwasher', u'Breakfast nook', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 11', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 4,392 sqft', u'Heating: Gas', u'Last remodel year: 2014', u'Parcel #: 2910935285000', u'Zillow Home ID: 102267488']	http://photos2.zillowstatic.com/p_e/ISptfdwf7vfmvc1000000000.jpg	470000.0	[]	4392.0	NC	525634.0	28607	102267488
2.0	3	Boone	[u'Lot: 2 acres', u'Single Family', u'Built in 2011', u'All time views: 7,183', u'HOA Fee: $45/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $450,000', u'Last sale price/sqft: $235', u'952 sqft basement', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Hot Tub/Spa', u'Lawn', u'Patio', u'Porch', u'Skylight', u'View: Mountain, Water', u'Waterfront', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,918 sqft', u'Heating: Electric, Propane butane', u'Laundry: In Unit', u'Parcel #: 2932755386000', u'Zillow Home ID: 99379935']	http://photos1.zillowstatic.com/p_e/IS1vgc5qde3nbi0000000000.jpg	450000.0	[]	1918.0	NC	304362.0	28607	99379935
3.0	3	Boone	[u'Lot: 0.61 acres', u'Single Family', u'Built in 2002', u'All time views: 14,082', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $269,000', u'Last sale price/sqft: $103', u'1004 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Tile', u'View: Mountain', u'Style: Mountain', u'Garage: None', u'Heat: Air Conditioning', u'Water: Private Well', u'Sewer: Private', u'Hot Water: Gas', u'Driveway: Private Gravel', u'Zoning: Deed Restrictions', u'Road: Private Gravel', u'Amenities: Rental History Available', u'Sewer: Septic Permit-3 Bedroom', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Recreation room', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 3', u'Structure type: Other', u'Floor size: 2,602 sqft', u'Laundry: In Unit', u'Parcel #: 1889507918000', u'Zillow Home ID: 102247409']	http://photos2.zillowstatic.com/p_e/IStgclj2hi42o80000000000.jpg	269000.0	[]	2602.0	NC	266401.0	28607	102247409
3.0	3	Boone	[u'Lot: 0.39 acres', u'Single Family', u'Built in 2006', u'All time views: 2,681', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $370,000', u'Last sale price/sqft: $122', u'1092 sqft basement', u'Cable Ready', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Furnished', u'High Speed Internet Ready', u'Porch', u'Style: Mountain', u'Hot Water: Electric', u'Driveway: Private Paved', u'Attic: Yes', u'Heat: Air Conditioning', u'Sewer: Private', u'Amenities: Wooded', u'Road: Private Paved', u'Zoning: Subdivision', u'Garage: 2 Car', u'Zoning: Deed Restrictions', u'Amenities: Whirl Pool Tub', u'Zoning: Residential', u'Heat: C', u'Water: Shared Well', u'Exterior: Shakes', u'Appliances: Other-See Remarks', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Attic: Un-Floored', u'Basement: Partial Finish', u'Exterior: Bark Siding', u'Heat: Hot Water-Electric', u'Construction: Wood Frame', u'Views: Seasonal View', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Stucco, Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 3,036 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 2839105538000', u'Zillow Home ID: 99379419']	http://photos2.zillowstatic.com/p_e/IS5qza6xof88mh0000000000.jpg	370000.0	[]	3036.0	NC	389011.0	28607	99379419
2.0	3	Boone	[u'Lot: 1.07 acres', u'Single Family', u'Built in 2003', u'All time views: 11,202', u'Heating: Other', u'Last sold: Jul 2016 for $245,000', u'Last sale price/sqft: $157', u'Fireplace', u'Unfinished basement', u'Style: Mountain', u'Hot Water: Electric', u'Garage: None', u'Fireplace: Other-See Remarks', u'Attic: Yes', u'Sewer: Private', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Southern Exposure', u'Amenities: Wooded', u'Zoning: Subdivision', u'Basement: Crawl Space', u'Water: Shared Well', u'Road: Private Gravel', u'Driveway: Shared Gravel', u'Roof: Architectural Shingle', u'Sewer: Septic Permit-3 Bedroom', u'Construction: Wood Frame', u'Auxiliary Heat Source: Other-See Remarks', u'Elevation Range: 3001-3500 ft', u'Views: Seasonal View', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 1,562 sqft', u'Parcel #: 2819092165000', u'Zillow Home ID: 102331344']	http://photos1.zillowstatic.com/p_e/ISxbzev52o5xec0000000000.jpg	245000.0	[]	1562.0	NC	257182.0	28607	102331344
3.5	3	Boone	[u'Lot: 1.08 acres', u'Single Family', u'Built in 1992', u'All time views: 1,473', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $345,000', u'Last sale price/sqft: $123', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 552 sqft garage', u'Porch', u'Unfinished basement', u'Vaulted Ceiling', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 2,809 sqft', u'Heating: Oil, Wood / pellet', u'Last remodel year: 2003', u'Laundry: In Unit', u'Parcel #: 2930281501000', u'Zillow Home ID: 99379920']	http://photos1.zillowstatic.com/p_e/ISxf6rov7bpdiw0000000000.jpg	345000.0	[]	2809.0	NC	405011.0	28607	99379920
