baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Bunn	[u'Lot: 0.77 acres', u'Single Family', u'Built in 1995', u'All time views: 1,464', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $103,000', u'Last sale price/sqft: $99', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Shower', u'Design: One Story', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Water: City Water', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Equipment: Cooktop ? Electric', u'Equipment: Range Hood', u'Parking: Concrete', u'Foundation: Brick Foundation', u'Special Conditions: Seller Lic. RE Prfssnl.', u'Fireplace Description: No Fireplace', u'Attic Description: Skuttle', u'Restrictive Covenants: Yes', u'Acres: .76-.99 Acres', u'Dishwasher', u'Dryer', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,040 sqft', u'Laundry: In Unit', u'Parcel #: 029628', u'Zillow Home ID: 49945104']	http://photos2.zillowstatic.com/p_e/IS-18xtj46iewp5p.jpg	103000.0	[]	1040.0	NC	100876.0	27508	49945104
3.0	3	Bunn	[u'Baths: 2 full, 1 half', u'Lot: 6 acres', u'Single Family', u'Built in 2005', u'All time views: 4,813', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: May 2016 for $355,000', u'Last sale price/sqft: $122', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Carport, Garage - Attached', u'Pond', u'View: Territorial, Water', u'Beautiful Log Home on 6 Acres with Pond!Many open areas for fencing Pastures. 30x30 Shelter easily enclosed would  make great Barn w/huge loft area. Home features wide-plank Hardwood floors', u'Tongue & Grove', u'Real Tiers', u'Gracious Kitchen w/stainless steel  app.', u'solid surface counter tops', u'Island and Breakfast Bar. Laundry room is 16x14', u'2 Story Living Room with Stone FP. Open Loft  /Office.Finished 30x20 Bonus Room. Tankless Hotwater heater. Wrap Porch', u'Screen Porch', u'Deck and Stone Patio with Firepit', u'Dishwasher', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Craftsman', u'Unit count: 1', u'Floor size: 2,900 sqft', u'Heating: Electric', u'Parcel #: 036959', u'Zillow Home ID: 67549229']	http://photos2.zillowstatic.com/p_e/IS1zzpfrw9z8np1000000000.jpg	355000.0	[]	2900.0	NC	450024.0	27508	67549229
3.0	3	Bunn	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1910', u'All time views: 585', u'Heating: Other', u'Last sold: Jan 2016 for $125,100', u'Last sale price/sqft: $44', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: 660 sqft garage', u'A: Central Air', u'Dining: Separate Dining Room', u'Equipment: Dishwasher', u'Equipment: Electric Range', u'Fireplace Description: Gas Logs', u'Flooring: Carpet', u'Exterior Finish: Vinyl Ext', u'Flooring: Hardwood', u'Flooring: Vinyl Floor', u'Foundation: Block', u'Fuel Heat: Electric Fuel', u'Heating: Forced Air', u'HO Fees Include: None Known', u'Washer Dryer Location: 1st Floor', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Inside City: Yes', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Dining Room Floor: Main', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Garage Floor: Main', u'Subdivision: Not in a Subdivision', u'Fireplace: 2', u'Foundation: Brick Foundation', u'Other Rooms: Den', u'Roof: Roof Age 0-5 Years', u'Storage Floor: Main', u'Patio Floor: Main', u'Style: Farm House', u'Patio', u'Fuel Heat: Gas LP', u'Other Rooms: Sun Room', u'Parking: Detached', u'Warranty Program', u'Heating: Baseboard', u'Covered Porch', u'Parking: Garage', u'Country: USA', u'Acres: .51-.75 Acres', u'Fireplace Description: LP Gas', u'LA1Agent Phone1 CountryId: United States (+1)', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 0', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,870 sqft', u'Last remodel year: 1965', u'Lot depth: 190 ft', u'Lot width: 125 ft', u'Parcel #: 001272', u'Zillow Home ID: 49944487']	http://photos3.zillowstatic.com/p_e/IS5msmvt7f55641000000000.jpg	125100.0	[]	2870.0	NC	164401.0	27508	49944487
2.0	3	Bunn	[u'Lot: 0.79 acres', u'Single Family', u'Built in 1920', u'All time views: 138', u'Cooling: Central', u'Heating: Other', u'Last sold: Nov 2015 for $160,000', u'Last sale price/sqft: $86', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood', u'Parking: 660 sqft garage', u'Porch', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,857 sqft', u'Last remodel year: 1975', u'Parcel #: 036783', u'Zillow Home ID: 62672867']	http://photos1.zillowstatic.com/p_e/ISlamqm1pemgo90000000000.jpg	160000.0	[]	1857.0	NC	115150.0	27508	62672867
2.0	3	Bunn	[u'Lot: 0.76 acres', u'Single Family', u'Built in 1996', u'All time views: 1,826', u'Heating: Other', u'Last sold: Nov 2015 for $73,290', u'Last sale price/sqft: $63', u'Deck', u'Parking: Garage - Attached, 330 sqft garage', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,158 sqft', u'Parcel #: 029625', u'Zillow Home ID: 49957807']	http://photos3.zillowstatic.com/p_e/IStchq7rzfx7je0000000000.jpg	73290.0	[]	1158.0	NC	105316.0	27508	49957807
2.0	3	Bunn	[u'Lot: 1.5 acres', u'Single Family', u'Built in 2005', u'All time views: 2,294', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Apr 2015 for $55,470', u'Last sale price/sqft: $37', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,500 sqft', u'Parcel #: 034449', u'Zillow Home ID: 82320484']	http://photos3.zillowstatic.com/p_e/ISlycj1xzx4m1x1000000000.jpg	55470.0	[]	1500.0	NC	104885.0	27508	82320484
2.0	3	Bunn	[u'Deposit & fees: 750', u'Lot: 1.97 acres', u'Single Family', u'Heating: Other', u'Posted: 10 days ago', u'Views since listing: 690', u'All time views: 773', u'17 shoppers saved this home', u'Rent/sqft: $0.60', u'Other', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Built in 1993', u'Floor size: 1,248 sqft', u'Last sold: Sep 2014 for $571,500', u'Parcel #: 028679', u'Zillow Home ID: 60621440']	http://photos3.zillowstatic.com/p_e/IS2n24f6l04tyl0000000000.jpg	571500.0	[]	1248.0	NC	950.0	27508	60621440
2.0	3	Bunn	[u'Lot: 0.77 acres', u'Single Family', u'Built in 1996', u'All time views: 738', u'Cooling: Other', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2014 for $103,000', u'Last sale price/sqft: $93', u'Attic', u'Ceiling Fan', u'Flooring: Carpet, Laminate, Tile', u'Porch', u'Security System', u'Dishwasher', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,109 sqft', u'Parcel #: 029627', u'Zillow Home ID: 60623041']	http://photos2.zillowstatic.com/p_e/IS5umn6d1wcswx1000000000.jpg	103000.0	[]	1109.0	NC	101226.0	27508	60623041
2.0	3	Bunn	[u'Lot: 1.25 acres', u'Single Family', u'Built in 1986', u'All time views: 1,146', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2014 for $109,000', u'Last sale price/sqft: $88', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 2 spaces', u'Porch', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Office', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,235 sqft', u'Heating: Electric', u'Last remodel year: 1988', u'Parcel #: 000786', u'Zillow Home ID: 67549785']	http://photos2.zillowstatic.com/p_e/ISd4g35l7c5zsy0000000000.jpg	109000.0	[]	1235.0	NC	118492.0	27508	67549785
2.0	3	Bunn	[u'Lot: 1 acre', u'Single Family', u'Built in 1998', u'All time views: 1,130', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2014 for $136,000', u'Last sale price/sqft: $74', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'Lawn', u'Parking: Carport, 2 spaces', u'Porch', u'Security System', u'Storage', u'Wired', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,833 sqft', u'Laundry: In Unit', u'Parcel #: 001367', u'Zillow Home ID: 49958323']	http://photos1.zillowstatic.com/p_e/ISp9omtbdrvufa1000000000.jpg	136000.0	[]	1833.0	NC	140377.0	27508	49958323
