baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	2	Burlington	[u'Lot: 0.29 acres', u'Single Family', u'Built in 1954', u'All time views: 658', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $126,000', u'Last sale price/sqft: $98', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Carpet, Hardwood, Laminate', u'Lawn', u'Parking: Off street', u'Porch', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,280 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 114726', u'Zillow Home ID: 51217665']	http://photos3.zillowstatic.com/p_e/ISu8aqrzir1jlp0000000000.jpg	126000.0	[]	1280.0	NC	96382.0	27215	51217665
1.0	2	Burlington	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1951', u'All time views: 3,252', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $79,900', u'Last sale price/sqft: $63', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Detached, 1 space', u'Porch', u'Foreclosure', u'Downtown Burliington', u'Large lot', u'New Carpet', u'3rd Bedroom', u'Garage', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,274 sqft', u'Lot width: 100 ft', u'Parcel #: 121959', u'Zillow Home ID: 51216902']	http://photos3.zillowstatic.com/p_e/IS95q4c1ztas7p0000000000.jpg	79900.0	[]	1274.0	NC	96251.0	27215	51216902
2.0	3	Burlington	[u'Lot: 1.53 acres', u'Single Family', u'Built in 1934', u'All time views: 1,925', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Aug 2016 for $127,000', u'Last sale price/sqft: $80', u'Attic', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Detached, 3 spaces', u'Patio', u'Unfinished basement', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Master bath', u'Sun room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,580 sqft', u'Heating: Gas', u'Lot width: 79 ft', u'Parcel #: 124163', u'Zillow Home ID: 51244360']	http://photos3.zillowstatic.com/p_e/IShz6wmzde99nk1000000000.jpg	127000.0	[]	1580.0	NC	92914.0	27215	51244360
3.0	4	Burlington	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1998', u'All time views: 3,869', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $328,000', u'Last sale price/sqft: $93', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 648 sqft garage', u'Patio', u'Security System', u'Sprinkler System', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 3,525 sqft', u'Lot width: 105 ft', u'Parcel #: 112610', u'Zillow Home ID: 51231029']	http://photos1.zillowstatic.com/p_e/ISptf5u8upyt6h1000000000.jpg	328000.0	[]	3525.0	NC	344717.0	27215	51231029
3.0	3	Burlington	[u'Lot: 0.79 acres', u'Single Family', u'Built in 1953', u'All time views: 726', u'Heating: Forced air', u'Last sold: Aug 2016 for $208,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Parking: Carport', u'Patio', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,250 sqft', u'Lot width: 200 ft', u'Parcel #: 116432', u'Zillow Home ID: 51218232']	http://photos3.zillowstatic.com/p_e/IS27id8it2wks61000000000.jpg	208000.0	[]	2250.0	NC	203346.0	27215	51218232
2.0	3	Burlington	[u'Baths: 1 full, 1 half', u'Lot: 0.35 acres', u'Single Family', u'Built in 1985', u'All time views: 3,226', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $118,000', u'Last sale price/sqft: $93', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 1 space, 364 sqft garage', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,264 sqft', u'Heating: Gas', u'Lot width: 80 ft', u'Parcel #: 122913', u'Zillow Home ID: 51218724']	http://photos3.zillowstatic.com/p_e/IShb81ppqxybbf0000000000.jpg	118000.0	[]	1264.0	NC	134621.0	27215	51218724
4.0	4	Burlington	[u'Baths: 3 full, 1 half', u'Lot: 1.02 acres', u'Single Family', u'Built in 1951', u'All time views: 6,755', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2016 for $300,000', u'Last sale price/sqft: $74', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 729 sqft garage', u'Patio', u'Dishwasher', u'Range / Oven', u'Dining room', u'Sun room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 4,066 sqft', u'Heating: Gas', u'Lot width: 146 ft', u'Parcel #: 115820', u'Zillow Home ID: 51230318']	http://photos2.zillowstatic.com/p_e/ISplti7kyjfpsu0000000000.jpg	300000.0	[]	4066.0	NC	385949.0	27215	51230318
2.0	3	Burlington	[u'Lot: 1.17 acres', u'Single Family', u'Built in 2004', u'All time views: 5,453', u'Cooling: Central, Refrigeration', u'Heating: Forced air', u'Last sold: Aug 2016 for $193,000', u'Last sale price/sqft: $131', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 598 sqft garage', u'Patio', u'Porch', u'Vaulted Ceiling', u'Lancaster Water Softener Filtration System in Garage', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,478 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Parcel #: 119729', u'Zillow Home ID: 67332500']	http://photos1.zillowstatic.com/p_e/ISptnv3wx8p5rp1000000000.jpg	193000.0	[]	1478.0	NC	181187.0	27215	67332500
3.0	4	Burlington	[u'Lot: 0.42 acres', u'Single Family', u'Built in 1964', u'All time views: 4,145', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Aug 2016 for $210,000', u'Last sale price/sqft: $75', u'840 sqft basement', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces, 540 sqft garage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Brick, Wood', u'Roof type: Other', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,782 sqft', u'Heating: Gas', u'Lot width: 106 ft', u'Parcel #: 113337', u'Zillow Home ID: 51230736']	http://photos2.zillowstatic.com/p_e/ISdko4gmgc87k30000000000.jpg	210000.0	[]	2782.0	NC	253822.0	27215	51230736
2.0	3	Burlington	[u'Lot: 36.8 acres', u'Single Family', u'Built in 1970', u'All time views: 596', u'Heating: Forced air', u'Last sold: Aug 2016 for $365,000', u'Last sale price/sqft: $253', u'Fireplace', u'Parking: 440 sqft garage', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,441 sqft', u'Parcel #: 119791', u'Zillow Home ID: 51227520']	http://photos1.zillowstatic.com/p_e/ISd0d6m026ky061000000000.jpg	365000.0	[]	1441.0	NC	257170.0	27215	51227520
