baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Calabash	[u'Lot: 0.7 acres', u'Single Family', u'Built in 1984', u'All time views: 4,283', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $85,000', u'Last sale price/sqft: $54', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Laminate', u'Jetted Tub', u'Lawn', u'Parking: Garage - Detached', u'Wet Bar', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Other, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,572 sqft', u'Heating: Electric', u'Parcel #: 2414E092', u'Zillow Home ID: 78244432']	http://photos3.zillowstatic.com/p_e/ISewlqkij5v0rd0000000000.jpg	85000.0	[]	1572.0	NC	147583.0	28467	78244432
2.0	3	Carolina Shores	[u'Lot: 0.27 acres', u'Single Family', u'Built in 1990', u'All time views: 2,866', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $152,000', u'Last sale price/sqft: $95', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Patio', u'Porch', u'Tennis Court', u'1st Floor Master', u'Construction Type: Stick Built', u'Amenities-Neigh: Golf Course', u'Amenities-Neigh: Picnic Area', u'Construction: Wood Frame', u'Foundation: Slab', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Parking: Paved', u'Roof: Shingle', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Maint - Grounds', u'Amenities-Neigh: Pool', u'Fuel Tank: None', u'Dry Connect', u'Water: Sewer Tap Available', u'HOA Amenities: Maint - Roads', u'Amenities-Neigh: Clubhouse', u'None', u'Water: Water Tap Available', u'List Office Board Code: Brunswick County Association of Realtors', u'Dishwasher', u'Refrigerator', u'Dining room', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,601 sqft', u'Parcel #: 240EC021', u'Zillow Home ID: 78244998']	http://photos1.zillowstatic.com/p_e/IS1nygy6vnqwsd0000000000.jpg	152000.0	[]	1601.0	NC	158092.0	28467	78244998
2.0	3	Calabash	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1994', u'All time views: 5,423', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $129,000', u'Last sale price/sqft: $99', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Sale: For Sale', u'Status Category: Active', u'Type: DETACHED', u'Style: Ranch', u'Middle School: Outside of Horry & Georgetown Co', u'High School: Outside of Horry & Georgetown Co', u'Frequency HOA Paid: Does not have HOA', u'Construction: Resale', u'State: NC', u'County: Brunswick', u'City: Calabash', u'Zip: 28467', u'Section: Landing I', u'Section: II', u'Section: III', u'Status: PENDING SALE - CASH TERMS', u'Est. SqFt Under Roof: 1201-1300', u'Est. Heated SqFt: 1201-1300', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Exterior material: Other', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,300 sqft', u'Laundry: In Unit', u'Parcel #: 255GI043', u'Zillow Home ID: 78254786']	http://photos3.zillowstatic.com/p_e/IShv3nu7jemgle0000000000.jpg	129000.0	[]	1300.0	NC	141144.0	28467	78254786
2.5	3	Carolina Shores	[u'Baths: 2 full, 1 half', u'Lot: 0.29 acres', u'Single Family', u'Built in 1994', u'All time views: 1,845', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $200,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Tile', u'Hot Tub/Spa', u'Parking: 2 spaces', u'Patio', u'Porch', u'Skylight', u'Tennis Court', u'Vaulted Ceiling', u'1st Floor Master', u'Construction Type: Stick Built', u'Amenities-Neigh: Golf Course', u'Amenities-Neigh: Picnic Area', u'Appliances: Disposal', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Laundry Location: Garage', u'Parking: Paved', u'Road Type: St)', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Pantry', u'HOA Amenities: Pool - Outdoor', u'Amenities-Neigh: Pool', u'Shades', u'Fuel Tank: None', u'Laundry Location: Hookup - Dryer', u'Laundry Location: Hookup - Washer', u'Ceiling - Trey', u'Smoke Detectors', u'Dry Connect', u'Irrigation System', u'Service Providers: Sewer Provider: Town', u'Fireplace: None', u'Service Providers: Water Provider: County', u'HOA Amenities: Tax Comm Areas', u'Attic: Stairs - Pull Down', u'HOA Amenities: Clubhouse', u'Amenities-Neigh: Clubhouse', u'Service Providers: Electric Provider: Brunswick Electric', u'None', u'HOA Amenities: Picnic Grounds', u'None', u'Accessibility: None', u'Rooms: Other Room', u'List Office Board Code: Brunswick County Association of Realtors', u'Roof: Architectural Shingle', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Sun room', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,185 sqft', u'Laundry: In Unit', u'Parcel #: 240LB006', u'Zillow Home ID: 78251287']	http://photos2.zillowstatic.com/p_e/ISh7pzzcmiay5n0000000000.jpg	200000.0	[]	2185.0	NC	205751.0	28467	78251287
2.0	3	Carolina Shores	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1986', u'All time views: 2,138', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $230,000', u'Last sale price/sqft: $93', u'Basketball Court', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Tile', u'Hot Tub/Spa', u'Porch', u'Skylight', u'Tennis Court', u'Vaulted Ceiling', u'View: Water', u'1st Floor Master', u'Construction Type: Stick Built', u'Accessibility: Bathroom', u'Amenities-Neigh: Picnic Area', u'Appliances: Disposal', u'Attic: Floored', u'Basement: None', u'Construction: Wood Frame', u'Shutters - Hurricane', u'Water Heater: Electric', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Lot Description: Cul-de-Sac Lot', u'Thermal Windows', u'Road Type: St)', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Kitchen', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Pantry', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Pool - Outdoor', u'Amenities-Neigh: Pool', u'Shades', u'Accessibility: Doors', u'Smoke Detectors', u'Walk-in Shower', u'Dry Connect', u'Lot Description: Golf Course Lot', u'Laundry Location: Room', u'Appliances: Central Vac', u'Irrigation System', u'Fuel Tank: Propane Buried', u'Flooring: Marble', u'Fireplace: None', u'Service Providers: Water Provider: County', u'HOA Amenities: Clubhouse', u'Amenities-Neigh: Clubhouse', u'Service Providers: Electric Provider: Brunswick Electric', u'HOA Amenities: Picnic Grounds', u'Parking: Unpaved', u'List Office Board Code: Brunswick County Association of Realtors', u'Roof: Architectural Shingle', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Sun room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,460 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 2403A079', u'Zillow Home ID: 78248208']	http://photos1.zillowstatic.com/p_e/ISxj595l6wz7jb0000000000.jpg	230000.0	[]	2460.0	NC	250990.0	28467	78248208
2.0	3	Calabash	[u'Single Family', u'Built in 1998', u'All time views: 3,173', u'HOA Fee: $25/mo', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Aug 2016 for $128,000', u'Last sale price/sqft: $91', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached', u'Porch', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,401 sqft', u'Laundry: In Unit', u'Parcel #: 240LH073', u'Zillow Home ID: 78251962']	http://photos3.zillowstatic.com/p_e/ISlupq0u8h3a341000000000.jpg	128000.0	[]	1401.0	NC	142520.0	28467	78251962
1.0	3	Calabash	[u'Lot: 3,920 sqft', u'Single Family', u'Built in 1988', u'All time views: 3,321', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $75,000', u'Last sale price/sqft: $77', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: 1 space', u'Skylight', u'Vaulted Ceiling', u'1st Floor Master', u'Construction Type: Stick Built', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Fencing: None', u'Road Type: Private', u'Roof: Shingle', u'Appliances: Vent Hood', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Pool - Outdoor', u'Amenities-Neigh: Pool', u'Shades', u'Fuel Tank: None', u'Laundry Location: Hookup - Dryer', u'Laundry Location: Hookup - Washer', u'None', u'Dry Connect', u'Water: Sewer Tap Available', u'Fireplace: None', u'Parking: Off Street', u'Service Providers: Water Provider: County', u'Pool: None', u'Service Providers: Electric Provider: Brunswick Electric', u'None', u'Water: Water Tap Available', u'Porch: None', u'Laundry Location: Closet', u'None', u'Lot Description: Open', u'List Office Board Code: Brunswick County Association of Realtors', u'Dining room', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Floor size: 968 sqft', u'Parcel #: 241OL009', u'Zillow Home ID: 78244719']	http://photos1.zillowstatic.com/p_e/ISlqqwyrwql07x0000000000.jpg	75000.0	[]	968.0	NC	100984.0	28467	78244719
4.5	5	Calabash	[u'Lot: 7,679 sqft', u'Single Family', u'Built in 2006', u'All time views: 3,139', u'HOA Fee: $90/mo', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $665,000', u'Last sale price/sqft: $133', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Hot Tub/Spa', u'Intercom', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 3 spaces', u'Patio', u'Pond', u'Pool', u'Porch', u'Security System', u'Skylight', u'Sprinkler System', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Wet Bar', u'Wired', u'1st Floor Master', u'Foundation: Brick', u'Construction Type: Stick Built', u'Accessibility: Hallways', u'Amenities-Neigh: Picnic Area', u'Appliances: Disposal', u'Basement: None', u'Construction: Wood Frame', u'Shutters - Hurricane', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Foundation: Crawl Space', u'Heating System: Electric', u'Parking: Paved', u'Road Type: Maintained', u'Road Type: St)', u'Water: Municipal Sewer', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Pantry', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Mgmt Fee', u'HOA Amenities: Pool - Outdoor', u'Heating System: Zoned', u'Appliances: Oven - Gas', u'Amenities-Neigh: Pool', u'Storm Windows', u'9Ft+ Ceilings', u'Shades', u'Rooms: Bedroom 4', u'Whirlpool', u'Flooring: See Remarks', u'Rooms: Bedroom 5', u'Smoke Detectors', u'Walk-in Shower', u'Appliances: Central Vac', u'Amenities-Neigh: Sidewalk', u'Appliances: Cooktop - Gas', u'Appliances: Double Oven', u'Appliances: Ice Maker', u'Irrigation System', u'Gas Logs', u'Fuel Tank: Propane Buried', u'Water Heater: Propane', u'Rooms: Bonus', u'Parking: Off Street', u'HOA Amenities: Tax Comm Areas', u'Attic: Stairs - Pull Down', u'HOA Amenities: Clubhouse', u'Amenities-Neigh: Clubhouse', u'Attic: Eave Storage', u'Service Providers: Electric Provider: Brunswick Electric', u'Shutters - Functional', u'HOA Amenities: Street Lights', u'Sealed Crawl Space', u'HOA Amenities: Picnic Grounds', u'HOA Amenities: Sidewalk', u'Lot Description: Open', u'Accessibility: Kitchen', u'List Office Board Code: Brunswick County Association of Realtors', u'Solid Surface', u'Walk-In Closet', u'Cooling System: Zoned', u'Service Providers: Sewer Provider: Brunswick County Public Utilities', u'Service Providers: Water Provider: Brunswick County Public Utilities', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Slate', u'Room count: 10', u'Stories: 3', u'Structure type: Craftsman', u'Floor size: 5,001 sqft', u'Heating: Electric, Gas, Other', u'Laundry: In Unit', u'Parcel #: 255HB019', u'Zillow Home ID: 81590943']	http://photos3.zillowstatic.com/p_e/ISx356ql1nb6yu1000000000.jpg	665000.0	[]	5001.0	NC	752549.0	28467	81590943
2.0	3	Calabash	[u'Lot: 0.3 acres', u'Single Family', u'Built in 2009', u'All time views: 653', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $225,000', u'Last sale price/sqft: $112', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Tile', u'Furnished', u'Parking: Garage - Attached', u'Patio', u'Pool', u'Porch', u'Vaulted Ceiling', u'Sale: For Sale', u'Status Category: Active', u'Type: DETACHED', u'Style: Ranch', u'Utilities Available: Water Public', u'Construction: Resale', u'Available Amenities: Home Owners Assoc. Fees', u'Available Amenities: Restrictions', u'Heating and Cooling: Electric', u'Levels: Single Level', u'Lot Location: Outside City Limits', u'Master Bath: Shower', u'Master Bedroom: 1st Flr Level', u'Other Rooms: Utility', u'Utilities Available: Electricity', u'Utilities Available: Sewer', u'Water Heater: Electric', u'Storm Doors', u'Smoke Detector', u'Utilities Available: Underground Utilities', u'Available Amenities: Seller Disclosure', u'Wind Treat Convey', u'Split Bedroom Plan', u'Master Bath: Vanity', u'Available Amenities: Facilities', u'Kitchen: Pantry', u'Other Rooms: Carolina Room', u'Status: PEND. CNTGT. ON FINANCING', u'Other Rooms: Workshop', u'Kitchen: Breakfast Bar', u'Lot Description: Corner', u'Formal Dining: Yes', u'Master Bath: Double Sink', u'Master Bath: Garden Tub', u'Other Rooms: Foyer', u'Workshop', u'Available Amenities: Long Term Rental Allowed', u'State: NC', u'Middle School: Shallotte Middle School', u'High School: West Brunswick High School', u'County: Brunswick', u'Windows', u'Foundation: Slab', u'Lawn Sprinkler', u'City: Calabash', u'Zip: 28467', u'Garage Door Opener', u'Frequency HOA Paid: Quarterly', u'Kitchen: Stainless Steel Apps.', u'Section: Berkshire At Spring Mill Plantat', u'Est. Heated SqFt: 1701-1800', u'Est. SqFt Under Roof: 1901-2000', u'HOA Fee Includes: Pool Service', u'HOA Fee Includes: Recreation Facilities', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Floor size: 2,000 sqft', u'Laundry: In Unit', u'Parcel #: 225PA005', u'Zillow Home ID: 84168226']	http://photos1.zillowstatic.com/p_e/ISp5t3zhitb2tg1000000000.jpg	225000.0	[]	2000.0	NC	207268.0	28467	84168226
3.0	3	Calabash	[u'Lot: 0.96 acres', u'Single Family', u'Built in 2008', u'All time views: 3,331', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $315,000', u'Last sale price/sqft: $85', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Intercom', u'Jetted Tub', u'Lawn', u'Pool', u'Porch', u'Security System', u'1st Floor Master', u'Construction Type: Stick Built', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Fencing: None', u'Water: Municipal Water', u'Rooms: Living Room', u'Tankless Water Heater', u'Heating System: Electric', u'Parking: Paved', u'Road Type: St)', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Pantry', u'Exterior Structures: Shed', u'Attic: None', u'Shades', u'Laundry Location: Hookup - Dryer', u'Laundry Location: Hookup - Washer', u'Rooms: Bedroom 4', u'None', u'Smoke Detectors', u'Dry Connect', u'Lot Description: Golf Course Lot', u'Appliances: Cooktop - Gas', u'Appliances: Double Oven', u'Gas Logs', u'Fuel Tank: Propane Buried', u'Water Heater: Propane', u'Water Heater: Tankless', u'Service Providers: Water Provider: Town', u'Service Providers: Sewer Provider: Town', u'Service Providers: Electric Provider: Brunswick Electric', u'Appliances: Convection Oven', u'Amenities-Neigh: None', u'Laundry Location: Closet', u'HOA Amenities: No Amenities', u'None', u'Parking: Circular', u'Accessibility: None', u'Rooms: Other Room', u'Exterior Structures: Fountain', u'List Office Board Code: Brunswick County Association of Realtors', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Composition', u'Room count: 14', u'Stories: 2', u'Floor size: 3,700 sqft', u'Last remodel year: 2008', u'Laundry: In Unit', u'Parcel #: 2250010904', u'Zillow Home ID: 78227011']	http://photos3.zillowstatic.com/p_e/ISlamelcn17lud1000000000.jpg	315000.0	[]	3700.0	NC	350935.0	28467	78227011
