baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.0	4	Camden	"[u'Lot: 10 acres', u'Single Family', u'Built in 2004', u'All time views: 5,241', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $435,000', u'Last sale price/sqft: $137', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Hot Tub/Spa', u'Jetted Tub', u'Parking: Garage - Attached', u'Pool', u'Porch', u'Security System', u'Vaulted Ceiling', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Rooms: Kitchen', u'Drive: Concrete', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Two Stories', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u""9' Ceilings"", u'Construction: Brick Veneer', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'FROG', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Appliances: Oven-Electric', u'Workshop', u'Appliances: Other', u'Rooms: Den', u'Privacy Fence', u'Newly Decorated', u'Air Conditioning: Zone', u'Flood Zone: Zone B', u'Partial Fence', u'Flood Zone: X (Shaded)', u'County: Camden', u'Location Description: 5.1-10 acres', u'Chain Link Fence', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Stories: 2', u'Floor size: 3,164 sqft', u'Laundry: Shared', u'Parcel #: 02.8944.00.06.0134.0000', u'Zillow Home ID: 106952130']"	http://photos3.zillowstatic.com/p_e/IS6ydbqedzq86g1000000000.jpg	435000.0	[]	3164.0	NC	389072.0	27921	106952130
3.5	4	Camden	[u'Baths: 3 full, 1 half', u'Lot: 0.97 acres', u'Single Family', u'Built in 2003', u'All time views: 729', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $332,500', u'Last sale price/sqft: $107', u'Flooring: Carpet, Hardwood, Other', u'Parking: Garage - Attached, Garage - Detached', u'Pool', u'Waterfront', u'Ownership Type: Simple', u'AICUZ Crash: None', u'AICUZ Noise: A', u'Living Room Level: 1', u'Master Bedrm Level: 2', u'Water Type: County', u'Foundation Type: Crawl', u'Parking: Garage', u'Parking: 2 Car', u'Family Room Level: 1', u'Kitchen Level: 1', u'Parking: 1 Car', u'Fence Description: Privacy', u'Fence YN: Yes', u'Water Heater Type: Electric', u'Roof: Composite', u'Energy Efficiency: Storm Doors', u'Style: Contemp', u'Sewer Type: Septic', u'Subdivision Number: 010', u'Subdivision Name: DANSONS GRANT', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Stories: 2', u'Floor size: 3,118 sqft', u'Zillow Home ID: 2098388495']	http://photos1.zillowstatic.com/p_e/ISxnkn199v0vn90000000000.jpg	332500.0	[]	3118.0	NC	306806.0	27921	2098388495
2.0	3	Camden	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1997', u'All time views: 5,026', u'HOA Fee: $4/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $233,000', u'Last sale price/sqft: $119', u'Attic', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'clothing rack and utility sink in laundery room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,960 sqft', u'Heating: Electric', u'Last remodel year: 2010', u'Laundry: In Unit', u'Zillow Home ID: 2128317257']	http://photos1.zillowstatic.com/p_e/IS9ple0uusf3vx1000000000.jpg	233000.0	[]	1960.0	NC	217524.0	27921	2128317257
1.0	3	Camden	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1960', u'All time views: 822', u'Cooling: Central', u'Last sold: Mar 2016 for $50,000', u'Last sale price/sqft: $29', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Parking: Carport', u'Porch', u'Vaulted Ceiling', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Rooms: Great Room', u'Type & Style: One Story', u'Construction: Aluminum Siding', u'Rooms: Kitchen', u'Location Description: Under 1 acre', u'Water Desc: None', u'Storage Building', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Owner Acc Financing: FHA', u'Appliances: Oven-Electric', u'Foundation: Raised Slab', u'Heating System: Other', u'Air Conditioning: Other', u'Attic: Other', u'Laminated Counter Tops', u'Foundation: Slab', u'Water Heater: Other', u'County: Camden', u'Construction: Solid Masonry', u'Flood Zone: Other', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,700 sqft', u'Laundry: Shared', u'Zillow Home ID: 2099759590']	http://photos2.zillowstatic.com/p_e/IS56k15f6zi2kr1000000000.jpg	50000.0	[]	1700.0	NC	137481.0	27921	2099759590
2.0	3	Camden	[u'Lot: 0.62 acres', u'Single Family', u'Built in 1951', u'92 days on Zillow', u'Views since listing: 3,136', u'All time views: 6,995', u'36 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $69,000', u'Last sale price/sqft: $46', u'MLS #: 1625956', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Parking: Garage - Detached', u'Patio', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Rooms: Great Room', u'Type & Style: One Story', u'Type & Style: Traditional', u'Construction: Aluminum Siding', u'Foundation: Crawl Space', u'Attic: Pull Down Stairs', u'Rooms: Living Room', u'Rooms: Kitchen', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Storm Doors', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Flood Zone: None', u'Appliances: Hood', u'Partial Fence', u'County: Camden', u'Chain Link Fence', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Family room', u'Master bath', u'Sun room', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,506 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2102705413']	http://photos2.zillowstatic.com/p_e/ISaxfj6oos0yy01000000000.jpg	69000.0	[]	1506.0	NC	148008.0	27921	2102705413
2.0	3	Camden	[u'Lot: 10 acres', u'Single Family', u'Built in 2004', u'All time views: 979', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $270,000', u'Last sale price/sqft: $130', u'1841 sqft basement', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 400 sqft garage', u'Ownership Type: Simple', u'AICUZ Crash: None', u'AICUZ Noise: A', u'Pool: No Pool', u'Water Type: County', u'Appliances: Dryer Hookup', u'Foundation Type: Crawl', u'Parking: Garage', u'Parking: 2 Car', u'Waterfront Description: Not Waterfront', u'Kitchen Level: 1', u'Great Room Level: 1', u'Master Bedrm Level: 1', u'Fence Description: Back Fenced', u'Fence Description: Privacy', u'Fence YN: Yes', u'Style: Ranch', u'Water Heater Type: Electric', u'Roof: Composite', u'Energy Efficiency: Storm Doors', u'Sewer Type: Septic', u'Subdivision Number: 003', u'Subdivision Name: BELL FARM ESTATES', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Foundation type: Stone', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,081 sqft', u'Laundry: In Unit', u'Parcel #: 02.8926.00.34.3052.0000', u'Zillow Home ID: 106951260']	http://photos2.zillowstatic.com/p_e/IStw4mvfmjsysq1000000000.jpg	270000.0	[]	2081.0	NC	260259.0	27921	106951260
2.0	3	Camden	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1940', u'All time views: 337', u'Last sold: Dec 2015 for $135,000', u'Last sale price/sqft: $112', u'Floor size: 1,200 sqft', u'Zillow Home ID: 2111970782']	http://photos2.zillowstatic.com/p_e/ISp9c9veu25b420000000000.jpg	135000.0	[]	1200.0	NC	129789.0	27921	2111970782
2.5	3	Camden	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2002', u'All time views: 4,390', u'HOA Fee: $16/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $450,000', u'Last sale price/sqft: $145', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 3 spaces', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Rooms: Great Room', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Storage Building', u'Location Description: Association Fees', u'Large Master Bedroom', u'Water Desc: Water Access', u'Underground Utilities', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Two Stories', u'Gas Logs (Propane)', u'Ownership Rights: Not Applicable', u'Solid Surface Counter Tops', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Rooms: Foyer', u'Water Desc: Pier', u'Half Bath', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Appliances: Oven-Electric', u'Workshop', u'Rooms: Utility Room', u'Other', u'Newly Decorated', u'Construction: Solid Brick', u'Dishwasher', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,100 sqft', u'Zillow Home ID: 2109446923']	http://photos2.zillowstatic.com/p_e/IS56gu43u4blmo1000000000.jpg	450000.0	[]	3100.0	NC	431486.0	27921	2109446923
2.0	3	Camden	[u'Lot: 4 acres', u'Single Family', u'Built in 2004', u'All time views: 814', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Nov 2015 for $267,000', u'Last sale price/sqft: $130', u'1812 sqft basement', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate', u'Parking: Garage - Attached, 200 sqft garage', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Drive: Concrete', u'Water Desc: None', u'Drive: Asphalt', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Attic: Floored', u'Rooms: Foyer', u'Water: Well Water', u'Location Description: Wooded Lot', u'FROG', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Workshop', u'Storm Windows', u'Newly Decorated', u'Laminated Counter Tops', u'Air Conditioning: Zone', u'Location Description: 3.1-10 acres', u'Invisible Dog Fence', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Stone', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,047 sqft', u'Parcel #: 02.8945.00.89.5400.0000', u'Zillow Home ID: 106952278']	http://photos1.zillowstatic.com/p_e/IS9dsz77qygllo0000000000.jpg	267000.0	[]	2047.0	NC	265977.0	27921	106952278
3.0	3	Camden	[u'Lot: 10.01 acres', u'Single Family', u'Built in 2004', u'All time views: 1,199', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Nov 2015 for $424,000', u'Last sale price/sqft: $137', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached', u'Porch', u'Vaulted Ceiling', u'Water Heater: Electric', u'Water: County Water', u'Roof: Architectural', u'Rooms: Great Room', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Ownership Rights: Not Applicable', u'Construction: Brick Veneer', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Attic: Storage Only', u'Owner Acc Financing: Conventional', u'Rooms: Foyer', u'Storm Doors', u'FROG', u'Owner Acc Financing: VA', u'Floors: Wall to Wall', u'Drive: Gravel', u'Newly Decorated', u'Location Description: Horses Permitted', u'Stable', u'Flood Zone: Zone B', u'Partial Fence', u'Flood Zone: X (Shaded)', u'Location Description: 5.1-10 acres', u'Location Description: Over 10 acres', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 1', u'Floor size: 3,100 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2101889126']	http://photos1.zillowstatic.com/p_e/ISd403aglgvben0000000000.jpg	424000.0	[]	3100.0	NC	359662.0	27921	2101889126
