baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Cary	[u'Lot: 0.29 acres', u'Single Family', u'Built in 1989', u'All time views: 5,386', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $212,000', u'Last sale price/sqft: $153', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Porch', u'Skylight', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Equipment: Ice Maker Connection', u'Shower', u'Design: One Story', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Corner Lot', u'Lot Description: Hardwood Trees', u'Lot Description: Wooded Lot', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Other Rooms: Separate Living room', u'Garden Tub', u'Equipment: Range Hood', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Parking: Parking Pad', u'Washer Dryer Location: Kitchen', u'Storage Floor: Main', u'Exterior Finish: Masonite', u'Foundation: Slab', u'Lot Description: Garden Area', u'Flooring: Bamboo', u'Subdivision: The Ranches', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'10Ft+ Ceiling', u'HOA 2 Fees Required: Yes', u'HOA 2 Fee Payment: Annually', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,382 sqft', u'Heating: Gas', u'Last remodel year: 1989', u'Parcel #: 075314432539000', u'Zillow Home ID: 6515904']	http://photos3.zillowstatic.com/p_e/ISushl0wjwusmg0000000000.jpg	212000.0	[]	1382.0	NC	230007.0	27513	6515904
2.5	4	Cary	[u'Baths: 2 full, 1 half', u'Lot: 7,840 sqft', u'Single Family', u'Built in 1989', u'All time views: 770', u'Heating: Forced air', u'Last sold: Aug 2016 for $345,000', u'Last sale price/sqft: $140', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Parking: Garage - Attached, 130 sqft garage', u'Porch', u'Skylight', u'Vaulted Ceiling', u'A: Central Air', u'A: C', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Equipment: Ice Maker Connection', u'Gutters', u'Foundation: Crawl Space', u'Heating: Dual Zone Heat', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Lot Description: Landscaped', u'Roof: Shingle', u'Attic Description: Pull Down', u'Style: Traditional', u'Living Room Floor: Main', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Utility Room Floor: Main', u'Storm Doors', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Other Rooms: Utility Room', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Equipment: Garage Opener', u'Garden Tub', u'Equipment: Self Clean Oven', u'Insulated Windows', u'Walking Trails', u'Parking: Concrete', u'Style: Transitional', u'Water Heater: Water Htr Age 3-6 Yrs', u'Exterior Finish: Masonite', u'Roof: 25 Year Warranty', u'Accessibility: Main Floor Laundry', u'Insulated Glass', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Programmable Thermostats', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'Solid Surface Counter Top', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'10Ft+ Ceiling', u'HOA 2 Fees Required: Yes', u'HOA 2 Fee Payment: Annually', u'Quartz Counter Tops', u'Subdivision: Arlington Ridge', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Room count: 9', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,465 sqft', u'Heating: Gas', u'Last remodel year: 1989', u'Parcel #: 074404816340000', u'Zillow Home ID: 6507625']	http://photos1.zillowstatic.com/p_e/ISaxfjidcv4ck30000000000.jpg	345000.0	[]	2465.0	NC	348330.0	27513	6507625
4.0	5	Cary	[u'Baths: 3 full, 1 half', u'Single Family', u'Built in 1993', u'All time views: 1,478', u'HOA Fee: $14/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $299,000', u'Last sale price/sqft: $142', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 466 sqft garage', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Sun room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,101 sqft', u'Heating: Electric, Gas', u'Last remodel year: 1993', u'Zillow Home ID: 2098129548']	http://photos1.zillowstatic.com/p_e/ISlelwxu9j5utt1000000000.jpg	299000.0	[]	2101.0	NC	318824.0	27513	2098129548
3.0	4	Cary	[u'Baths: 2 full, 1 half', u'Lot: 0.3 acres', u'Single Family', u'Built in 1994', u'All time views: 2,076', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $325,500', u'Last sale price/sqft: $110', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Softwood', u'Parking: Garage - Attached, 484 sqft garage', u'Skylight', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Recreation room', u'Sun room', u'Workshop', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,966 sqft', u'Heating: Gas', u'Last remodel year: 1994', u'Laundry: In Unit', u'Parcel #: 075408897802000', u'Zillow Home ID: 60533844']	http://photos3.zillowstatic.com/p_e/IS5euyvcowv5hu1000000000.jpg	325500.0	[]	2966.0	NC	371902.0	27513	60533844
5.0	5	Cary	[u'Lot: 0.38 acres', u'Single Family', u'Built in 2004', u'All time views: 11,131', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $765,000', u'Last sale price/sqft: $133', u'1753 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 720 sqft garage', u'Porch', u'Security System', u'Sprinkler System', u'Vaulted Ceiling', u'Exterior material: Brick', u'Stories: 2', u'Floor size: 5,759 sqft', u'Heating: Gas', u'Last remodel year: 2004', u'Parcel #: 075414449018000', u'Zillow Home ID: 67554205']	http://photos3.zillowstatic.com/p_e/ISxb3u5baru2o71000000000.jpg	765000.0	[]	5759.0	NC	838226.0	27513	67554205
3.0	4	Cary	[u'Baths: 2 full, 1 half', u'Lot: 0.3 acres', u'Single Family', u'Built in 1992', u'All time views: 1,119', u'Heating: Forced air', u'Last sold: Aug 2016 for $398,000', u'Last sale price/sqft: $129', u'Deck', u'Fireplace', u'Parking: 440 sqft garage', u'Exterior material: Wood', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 3,086 sqft', u'Last remodel year: 1992', u'Parcel #: 074302871051000', u'Zillow Home ID: 6520092']	http://photos2.zillowstatic.com/p_e/ISyzpj3016sj380000000000.jpg	398000.0	[]	3086.0	NC	406719.0	27513	6520092
2.0	3	Cary	[u'Available now', u'Lease: Monthly', u'Deposit & fees: 1295', u'Lot: 0.35 acres', u'Pets: No', u'Single Family', u'Cooling: Central', u'Heating: Forced air, Other', u'Posted: 15 days ago', u'Views since listing: 1,397', u'All time views: 3,924', u'37 shoppers saved this home', u'Rent/sqft: $0.95', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Living room', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Other', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Built in 1976', u'Floor size: 1,363 sqft', u'Last remodel year: 1976', u'Last sold: Aug 2016 for $200,000', u'Parcel #: 075416936100000', u'Zillow Home ID: 6445398']	http://photos3.zillowstatic.com/p_e/IS2rhy3n5gmy4r0000000000.jpg	200000.0	[]	1363.0	NC	1350.0	27513	6445398
2.5	3	Cary	[u'Lot: 0.29 acres', u'Single Family', u'Built in 1993', u'All time views: 4,588', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $310,000', u'Last sale price/sqft: $133', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Attached, Off street, On street, 484 sqft garage', u'Patio', u'Granite countertop', u'Stainless steel appliances', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Wood', u'Room count: 8', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,330 sqft', u'Last remodel year: 1993', u'Laundry: In Unit', u'Parcel #: 076414345851000', u'Zillow Home ID: 6531333']	http://photos1.zillowstatic.com/p_e/ISx7o38e6q6csk1000000000.jpg	310000.0	[]	2330.0	NC	326976.0	27513	6531333
1.0	1	Cary	[u'Single Family', u'Built in 1985', u'All time views: 1,953', u'HOA Fee: $100/mo', u'Last sold: Aug 2016 for $81,000', u'Last sale price/sqft: $109', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Laminate', u'Parking: Off street', u'Pool', u'Tennis Court', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Family room', u'Laundry room', u'Pantry', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 3', u'Stories: 1', u'Structure type: Other', u'Floor size: 742 sqft', u'Zillow Home ID: 2137603269']	http://photos1.zillowstatic.com/p_e/IS1bplq03ov7nl0000000000.jpg	81000.0	[]	742.0	NC	108754.0	27513	2137603269
3.0	4	Cary	[u'Baths: 2 full, 1 half', u'Lot: 7,840 sqft', u'Single Family', u'Built in 1991', u'All time views: 5,360', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $360,000', u'Last sale price/sqft: $131', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Tile, Other', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 308 sqft garage', u'Porch', u'Vaulted Ceiling', u'Wired', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Composition', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,750 sqft', u'Heating: Gas', u'Last remodel year: 1991', u'Parcel #: 075305084417000', u'Zillow Home ID: 6523531']	http://photos3.zillowstatic.com/p_e/IStk7s45j29xne1000000000.jpg	360000.0	[]	2750.0	NC	393959.0	27513	6523531
