baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Chapel Hill	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1965', u'63 days on Zillow', u'Views since listing: 3,494', u'All time views: 3,643', u'47 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $239,000', u'Last sale price/sqft: $157', u'MLS #: 2075042', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached', u'Range / Oven', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Stories: 1', u'Floor size: 1,520 sqft', u'Parcel #: 9799644129', u'Zillow Home ID: 50041876']	http://photos2.zillowstatic.com/p_e/IS13729xq2odaj0000000000.jpg	239000.0	[]	1520.0	NC	240018.0	27517	50041876
3.0	3	Chapel Hill	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 2001', u'All time views: 8,026', u'HOA Fee: $460/mo', u'Cooling: Other', u'Heating: Forced air, Heat pump, Other', u'Last sold: Aug 2016 for $683,000', u'Last sale price/sqft: $186', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 4 spaces, 504 sqft garage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Office', u'Exterior material: Other', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,676 sqft', u'Parcel #: 9798575292', u'Zillow Home ID: 60074867']	http://photos2.zillowstatic.com/p_e/IS5qn1fw6a90000000000000.jpg	683000.0	[]	3676.0	NC	690631.0	27517	60074867
3.0	4	Chapel Hill	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1962', u'All time views: 4,418', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $450,000', u'Last sale price/sqft: $126', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Softwood, Tile', u'Parking: On street', u'Patio', u'Dishwasher', u'Dining room', u'Family room', u'Pantry', u'Workshop', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 11', u'Stories: 1', u'Floor size: 3,571 sqft', u'Heating: Gas', u'Parcel #: 9788807899', u'Zillow Home ID: 60074744']	http://photos1.zillowstatic.com/p_e/ISxrvyow1009b70000000000.jpg	450000.0	[]	3571.0	NC	486693.0	27517	60074744
3.0	4	Chapel Hill	[u'Lot: 0.73 acres', u'Single Family', u'Built in 2003', u'All time views: 3,414', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2016 for $564,500', u'Last sale price/sqft: $177', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Parking: Garage - Attached', u'Porch', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Other', u'Room count: 9', u'Structure type: Craftsman', u'Floor size: 3,182 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 0077682', u'Zillow Home ID: 74952506']	http://photos3.zillowstatic.com/p_e/ISxjdrgccg6jl41000000000.jpg	564500.0	[]	3182.0	NC	559328.0	27517	74952506
3.0	3	Chapel Hill	[u'Lot: 0.25 acres', u'Single Family', u'Built in 2002', u'All time views: 876', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2016 for $383,900', u'Last sale price/sqft: $140', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached', u'Pool', u'Porch', u'Tennis Court', u'A: Central Air', u'Attic Description: Floored', u'Sep Shower', u'Foundation: Crawl Space', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Lot Description: Landscaped', u'Roof: Shingle', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Office', u'Office: Main', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Equipment: Cooktop ? Electric', u'HO Fees Include: Street Lights', u'Other Rooms: Finish', u'Style: Transitional', u'Water: County Water', u'Water: Community Sewer', u'Accessibility: Main Floor Laundry', u'Other Rooms: 3 Season Room', u'Roof: Roof Age 11+ Years', u'Irrigation System', u'Other Rooms: Room Over Garage', u'Subdivision: Governors Village', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'10Ft+ Ceiling', u'Pantry', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Stories: 0', u'Floor size: 2,736 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0074377', u'Zillow Home ID: 74950851']	http://photos1.zillowstatic.com/p_e/IS9plivsl6whli1000000000.jpg	383900.0	[]	2736.0	NC	405870.0	27517	74950851
3.0	5	Chapel Hill	[u'Lot: 0.27 acres', u'Single Family', u'Built in 2002', u'All time views: 13,503', u'HOA Fee: $85/mo', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jul 2016 for $374,000', u'Last sale price/sqft: $115', u'Basketball Court', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Sports Court', u'Tennis Court', u'View: Territorial', u'Age: 11-20 Years Old', u'Lot Size: 2 Acre', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Roof type: Other', u'Room count: 12', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,247 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0074386', u'Zillow Home ID: 74950861']	http://photos2.zillowstatic.com/p_e/IStc16pmu01tgv0000000000.jpg	374000.0	[]	3247.0	NC	419645.0	27517	74950861
4.5	5	Chapel Hill	[u'Baths: 4 full, 1 half', u'Lot: 0.34 acres', u'Single Family', u'Built in 2005', u'All time views: 3,277', u'HOA Fee: $695/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $585,000', u'Last sale price/sqft: $161', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 3 spaces', u'Pool', u'Porch', u'Skylight', u'Wired', u'A: Central Air', u'A: C', u'Attic Description: Permanent Stairs', u'Attic Description: Unfinished Att', u'Sep Shower', u'Equipment: Disposal', u'Foundation: Crawl Space', u'Heating: Dual Zone Heat', u'HO Fees Include: Maint Com. Area', u'Washer Dryer Location: Utility Room WD', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Bedroom 5 Floor: Second', u'Office: Main', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Equipment: Cooktop ? Gas', u'Equipment: Garage Opener', u'Parking: Concrete', u'Style: Transitional', u'Equipment: Double Oven', u'HO Fees Include: Clubhouse', u'Attic Description: Exhaust Fan', u'Play Equipment', u'Subdivision: Southpoint Manor', u'Parking: Garage', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Bookshelves', u'Garage Shop', u'Butler?s Pantry', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Metal', u'Room count: 10', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,633 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 199199', u'Zillow Home ID: 80198914']	http://photos1.zillowstatic.com/p_e/ISp1mvs84mxuyr1000000000.jpg	585000.0	[]	3633.0	NC	647395.0	27517	80198914
3.0	4	Chapel Hill	[u'Lot: 1.06 acres', u'Single Family', u'Built in 1979', u'All time views: 5,672', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $400,000', u'Last sale price/sqft: $155', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 1 space', u'Skylight', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Sun room', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 8', u'Stories: 3', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,574 sqft', u'Parcel #: 9797041317', u'Zillow Home ID: 88952648']	http://photos3.zillowstatic.com/p_e/IS52xsv6pwow311000000000.jpg	400000.0	[]	2574.0	NC	392920.0	27517	88952648
5.0	4	Chapel Hill	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1996', u'All time views: 5,596', u'Last sold: Jul 2016 for $560,000', u'Last sale price/sqft: $143', u'Parking: Garage - Attached, 616 sqft garage', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 3', u'Unit count: 1', u'Floor size: 3,907 sqft', u'Parcel #: 9787286380', u'Zillow Home ID: 50035903']	http://photos3.zillowstatic.com/p_e/IS56cfisl0hi8m0000000000.jpg	560000.0	[]	3907.0	NC	560233.0	27517	50035903
3.5	4	Chapel Hill	[u'Baths: 3 full, 1 half', u'Lot: 3.2 acres', u'Single Family', u'Built in 1992', u'All time views: 10,481', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jul 2016 for $387,500', u'Last sale price/sqft: $132', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'A: Central Air', u'A: C', u'Gutters', u'A: C Age 6+ Years', u'Fuel Heat: Electric Fuel', u'Heating: Dual Zone Heat', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Water: Septic Tank', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Design: 2 Story', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Lot Description: Partially Cleared', u'Garage Floor: Lower', u'Lot Description: Wooded Lot', u'Other Rooms: Utility Room', u'Breakfast Room Floor: Main', u'A: C Age 3-6 Years', u'Equipment: Cooktop ? Gas', u'Heating: Heat Age 3-6 Yrs', u'Other Rooms: Entry Foyer', u'Other Rooms: Separate Living room', u'Whirlpool', u'Equipment: Garage Opener', u'Equipment: Self Clean Oven', u'Horses Allowed', u'Roof: Roof Age 0-5 Years', u'Style: Transitional', u'Exterior Finish: Masonite', u'Equipment: Double Oven', u'Foundation: Basement', u'Attic Description: Walk In', u'Flooring: Brick', u'Bedroom 4 Floor: Lower', u'Design: 2.5 Story', u'Family Room Floor: Lower', u'Roof: 50 Year Warranty', u'Parking: Garage', u'Subdivision: Big Woods Hills', u'9 Ft Ceiling', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: 3-5.9 Acres', u'10Ft+ Ceiling', u'Bookshelves', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Brick', u'Stories: 0', u'Floor size: 2,936 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0065741', u'Zillow Home ID: 74946169']	http://photos3.zillowstatic.com/p_e/ISi7115b9qgqmr1000000000.jpg	387500.0	[]	2936.0	NC	449549.0	27517	74946169
2.0	2	Chapel Hill	[u'Lot: 1,830 sqft', u'Single Family', u'Built in 1989', u'All time views: 734', u'Last sold: Jul 2016 for $168,500', u'Last sale price/sqft: $150', u'Fireplace', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,120 sqft', u'Parcel #: 142959', u'Zillow Home ID: 49997385']	http://photos3.zillowstatic.com/p_e/IS27ydny5c82j71000000000.jpg	168500.0	[]	1120.0	NC	167979.0	27517	49997385
5.0	4	Chapel Hill	[u'Baths: 4 full, 1 half', u'Lot: 2 acres', u'Single Family', u'Built in 2000', u'All time views: 6,563', u'HOA Fee: $327/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $950,000', u'Last sale price/sqft: $129', u'Flooring: Hardwood', u'Gated Entry', u'Lawn', u'Parking: Garage - Attached, 3 spaces', u'Patio', u'Porch', u'A: Central Air', u'Sep Shower', u'Dining: Separate Dining Room', u'Equipment: Dishwasher', u'Equipment: Microwave', u'Porch', u'Shower', u'Equipment: Refrigerator', u'Flooring: Carpet', u'Flooring: Hardwood', u'Flooring: Tile Floor', u'Fuel Heat: Natural Gas', u'Heating: Forced Air', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Basement Description: Inside Entrance', u'Water Heater: Gas', u'Basement Description: Outside Entrance', u'Master Bedroom Floor: Main', u'Shower', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Dining Room Floor: Main', u'Fireplace Description: In Living Room', u'Kitchen Floor: Main', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Lot Description: Wooded Lot', u'Porch Floor: Main', u'Parking: Rear', u'Basement: Yes', u'Other Area: Main', u'Breakfast Room Floor: Main', u'Equipment: Cooktop ? Gas', u'Garage Floor: Main', u'Fireplace: 2', u'Equipment: Self Clean Oven', u'Gated Community', u'Insulated Windows', u'Dining: Breakfast Room', u'HO Fees Include: Street Lights', u'Other Rooms: Walk In Pantry', u'Parking: Concrete', u'Other Rooms: Den', u'Style: Transitional', u'Water: County Water', u'Patio Floor: Main', u'Lot Description: Secluded', u'Water: Community Sewer', u'Basement Description: Daylight', u'Basement Description: Finished Bsmt', u'Basement Description: Heated', u'Equipment: Double Oven', u'Patio', u'Flooring: Marble', u'Foundation: Basement', u'Style: Contemporary', u'A: 3 Zone', u'Fee', u'Irrigation System', u'Subdivision: Governors Club', u'Heating: 3 Zone', u'Golf Course Community', u'Other Rooms: Rec Room', u'Bedroom 4 Floor: Lower', u'Fireplace Description: In Master Bedroom', u'Design: 2.5 Story', u'Lot Description: Golf Course', u'Office: Lower', u'Lvng Area: Lower', u'Lvng Area: Lower', u'Storage Floor: Lower', u'Other Area: Lower', u'Equipment: Trash Comp', u'Other Rooms: Dressing Room', u'Exterior Finish: Stucco', u'Family Room Floor: Lower', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Ceiling Fan', u'Granite Counter Tops', u'Walk in Closet', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: 1-2.9 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'10Ft+ Ceiling', u'Bookshelves', u'Pantry', u'Wet Bar', u'Tile Countertops', u'LA1Agent Phone1 CountryId: United States (+1)', u'Tray Ceiling', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Other', u'Room count: 14', u'Stories: 3', u'Structure type: Contemporary', u'Floor size: 7,336 sqft', u'Heating: Gas', u'Zillow Home ID: 2127529202']	http://photos3.zillowstatic.com/p_e/ISlehl2c8hvnf00000000000.jpg	950000.0	[]	7336.0	NC	816226.0	27517	2127529202
3.0	4	Chapel Hill	[u'Lot: 0.67 acres', u'Single Family', u'Built in 1978', u'All time views: 6,468', u'Cooling: Central', u'Last sold: Jul 2016 for $660,000', u'Last sale price/sqft: $221', u'Attic', u'Cable Ready', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 576 sqft garage', u'Wired', u'A: Central Air', u'A: C', u'Attic Description: Floored', u'Basement Description: No Basement', u'Shower', u'Tub', u'Foundation: Crawl Space', u'Heating: Dual Zone Heat', u'HO Fees Include: HO Association', u'Washer Dryer Location: Utility Room WD', u'Lot Description: Landscaped', u'Roof: Shingle', u'Attic Description: Pull Down', u'Style: Traditional', u'Living Room Floor: Main', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Design: 2 Story', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Lot Description: Partially Cleared', u'Lot Description: Wooded Lot', u'Office: Main', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Ceramic Bath Wall', u'Flooring: Ceramic', u'Exterior Finish: Masonite', u'Parking: Side', u'Fee', u'Attic Description: Walk In', u'Lot Description: Garden Area', u'Parking: Brick', u'Subdivision: The Oaks', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Bookshelves', u'Pantry', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,980 sqft', u'Last remodel year: 2008', u'Lot depth: 190 ft', u'Lot width: 154 ft', u'Parcel #: 9798495445', u'Zillow Home ID: 50040601']	http://photos1.zillowstatic.com/p_e/ISlayn8mdi36rm0000000000.jpg	660000.0	[]	2980.0	NC	669427.0	27517	50040601
