baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Chilcoot	[u'Baths: 2 full, 1 half', u'Lot: 5 acres', u'Single Family', u'Built in 2006', u'All time views: 2,745', u'Cooling: Central', u'Last sold: Oct 2015 for $200,000', u'Last sale price/sqft: $95', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Parking: 461 sqft garage', u'Vaulted Ceiling', u'IDX Include: Yes', u'Construction Phase: FINISHED', u'Sub Status: Standard', u'APPLIANCES: Range', u'APPLIANCES: Microwave', u'APPLIANCES: Dishwasher', u'APPLIANCES: Refrigerator', u'DECKS: 1', u'FLOOR COVERINGS: Carpet', u'FLOOR COVERINGS: Tile', u'GAS: Propane', u'HEATING: Propane', u'VIEW: Panoramic', u'CONSTRUCTION: Framed', u'FLOOR COVERINGS: Wood', u'FOUNDATION: Slab', u'GARAGE: Attached', u'HEATING: CFAH', u'OTHER: High Ceilings', u'OTHER: Phone', u'Garage: Two', u'FLOOR COVERINGS: Stone', u'Stories: Three', u'TOPOGRAPHY: Upslope', u'Furnished: None', u'Setting: Street', u'LAUNDRY: Room', u'OUT BUILDINGS: Yes', u'OUT BUILDINGS: See Remarks', u'SEWER: Septic', u'SubArea: 11P', u'FOUNDATION: Perim Block', u'HEATING: Wood Stove', u'WOODSTOVE: Living Room', u'WOODSTOVE: Freestanding', u'WATER: Well', u'OTHER: Pantry', u'BONUS ROOMS: Rec Room', u'OTHER: Zoned for Horses', u'GARAGE: Insulated', u'SPC DISC: Private Road', u'BONUS ROOMS: Great Room', u'BONUS ROOMS: Formal Dining', u'HEATING: Wood', u'VIEW: City', u'WOODSTOVE: Tile', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone2 CountryId: United States (+1)', u'LA1Agent Phone3 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Call to Show: Go Direct', u'Dining room', u'Stories: 0', u'Floor size: 2,109 sqft', u'Heating: Gas', u'Parcel #: 010170010000', u'Zillow Home ID: 112414727']	http://photos2.zillowstatic.com/p_e/IS5qn9h3octbgi0000000000.jpg	200000.0	[]	2109.0	CA	290769.0	96105	112414727
2.0	3	Chilcoot	[u'Lot: 5.04 acres', u'Single Family', u'Built in 1994', u'All time views: 6,525', u'Cooling: None', u'Heating: Other, Stove', u'Last sold: Jun 2015 for $210,000', u'Last sale price/sqft: $105', u'Attic', u'Deck', u'Fireplace', u'Flooring: Other', u'Parking: Carport, Garage - Attached', u'Porch', u'View: Mountain', u'APPLIANCES: Dishwasher', u'APPLIANCES: Disposal', u'APPLIANCES: Oven', u'APPLIANCES: Range', u'Architecture: Log', u'BONUS ROOMS: Breakfast Room', u'BONUS ROOMS: Mud Room', u'Class: RESIDENTIAL', u'Construction Phase: FINISHED', u'CONSTRUCTION/EXT: Log', u'DECKS: 2', u'FIREPLACE: Other', u'FOUNDATION: Perim Concrete', u'Furnished: None', u'Garage: None', u'GARAGE/ PARKING: Other', u'GAS: Propane', u'HANDICAPPED FRIENDLY: Other', u'HEATING: Propane', u'IDX Include: Yes', u'LAUNDRY: Room', u'OTHER: High Ceilings', u'OTHER: Zoned for Horses', u'OUT BUILDINGS: See Remarks', u'OUT BUILDINGS: Yes', u'ROOF: Composition', u'Setting: Greenbelt', u'SEWER: Septic', u'SPC DISC: Other', u'Stories: Two', u'Sub Status: Standard', u'SubArea: 11P', u'TOPOGRAPHY: Level', u'Type: Single Family', u'VIEW: Mountain', u'VIEW: Panoramic', u'WATER: Well', u'WATERFRONT AMENITIES: Other', u'WOODSTOVE: Living Room', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Family room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Heating: Gas', u'Parcel #: 010170005000', u'Zillow Home ID: 83356178']	http://photos1.zillowstatic.com/p_e/ISp5hiyh16i6v50000000000.jpg	210000.0	[]	2000.0	CA	263513.0	96105	83356178
2.0	3	Chilcoot	[u'Lot: 0.88 acres', u'Single Family', u'Built in 2005', u'All time views: 1,548', u'Last sold: Apr 2015 for $100,000', u'Last sale price/sqft: $80', u'Parking: 484 sqft garage', u'Floor size: 1,253 sqft', u'Parcel #: 010120024000', u'Zillow Home ID: 112428669']	http://photos1.zillowstatic.com/p_e/ISxfywztzp3p9i0000000000.jpg	100000.0	[]	1253.0	CA	144585.0	96105	112428669
2.5	3	Chilcoot	[u'Baths: 2 full, 1 half', u'Lot: 5 acres', u'Single Family', u'Built in 2006', u'All time views: 2,734', u'Cooling: Central', u'Last sold: Oct 2015 for $200,000', u'Last sale price/sqft: $95', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Parking: 461 sqft garage', u'Vaulted Ceiling', u'IDX Include: Yes', u'Construction Phase: FINISHED', u'Sub Status: Standard', u'APPLIANCES: Range', u'APPLIANCES: Microwave', u'APPLIANCES: Dishwasher', u'APPLIANCES: Refrigerator', u'DECKS: 1', u'FLOOR COVERINGS: Carpet', u'FLOOR COVERINGS: Tile', u'GAS: Propane', u'HEATING: Propane', u'VIEW: Panoramic', u'CONSTRUCTION: Framed', u'FLOOR COVERINGS: Wood', u'FOUNDATION: Slab', u'GARAGE: Attached', u'HEATING: CFAH', u'OTHER: High Ceilings', u'OTHER: Phone', u'Garage: Two', u'FLOOR COVERINGS: Stone', u'Stories: Three', u'TOPOGRAPHY: Upslope', u'Furnished: None', u'Setting: Street', u'LAUNDRY: Room', u'OUT BUILDINGS: Yes', u'OUT BUILDINGS: See Remarks', u'SEWER: Septic', u'SubArea: 11P', u'FOUNDATION: Perim Block', u'HEATING: Wood Stove', u'WOODSTOVE: Living Room', u'WOODSTOVE: Freestanding', u'WATER: Well', u'OTHER: Pantry', u'BONUS ROOMS: Rec Room', u'OTHER: Zoned for Horses', u'GARAGE: Insulated', u'SPC DISC: Private Road', u'BONUS ROOMS: Great Room', u'BONUS ROOMS: Formal Dining', u'HEATING: Wood', u'VIEW: City', u'WOODSTOVE: Tile', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone2 CountryId: United States (+1)', u'LA1Agent Phone3 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Call to Show: Go Direct', u'Dining room', u'Stories: 0', u'Floor size: 2,109 sqft', u'Heating: Gas', u'Parcel #: 010170010000', u'Zillow Home ID: 112414727']	http://photos2.zillowstatic.com/p_e/IS5qn9h3octbgi0000000000.jpg	200000.0	[]	2109.0	CA	290769.0	96105	112414727
2.0	3	Chilcoot	[u'Lot: 5.04 acres', u'Single Family', u'Built in 1994', u'All time views: 6,517', u'Cooling: None', u'Heating: Other, Stove', u'Last sold: Jun 2015 for $210,000', u'Last sale price/sqft: $105', u'Attic', u'Deck', u'Fireplace', u'Flooring: Other', u'Parking: Carport, Garage - Attached', u'Porch', u'View: Mountain', u'APPLIANCES: Dishwasher', u'APPLIANCES: Disposal', u'APPLIANCES: Oven', u'APPLIANCES: Range', u'Architecture: Log', u'BONUS ROOMS: Breakfast Room', u'BONUS ROOMS: Mud Room', u'Class: RESIDENTIAL', u'Construction Phase: FINISHED', u'CONSTRUCTION/EXT: Log', u'DECKS: 2', u'FIREPLACE: Other', u'FOUNDATION: Perim Concrete', u'Furnished: None', u'Garage: None', u'GARAGE/ PARKING: Other', u'GAS: Propane', u'HANDICAPPED FRIENDLY: Other', u'HEATING: Propane', u'IDX Include: Yes', u'LAUNDRY: Room', u'OTHER: High Ceilings', u'OTHER: Zoned for Horses', u'OUT BUILDINGS: See Remarks', u'OUT BUILDINGS: Yes', u'ROOF: Composition', u'Setting: Greenbelt', u'SEWER: Septic', u'SPC DISC: Other', u'Stories: Two', u'Sub Status: Standard', u'SubArea: 11P', u'TOPOGRAPHY: Level', u'Type: Single Family', u'VIEW: Mountain', u'VIEW: Panoramic', u'WATER: Well', u'WATERFRONT AMENITIES: Other', u'WOODSTOVE: Living Room', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Family room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Heating: Gas', u'Parcel #: 010170005000', u'Zillow Home ID: 83356178']	http://photos1.zillowstatic.com/p_e/ISp5hiyh16i6v50000000000.jpg	210000.0	[]	2000.0	CA	263513.0	96105	83356178
2.0	3	Chilcoot	[u'Lot: 0.88 acres', u'Single Family', u'Built in 2005', u'All time views: 1,553', u'Last sold: Apr 2015 for $100,000', u'Last sale price/sqft: $80', u'Parking: 484 sqft garage', u'Floor size: 1,253 sqft', u'Parcel #: 010120024000', u'Zillow Home ID: 112428669']	http://photos1.zillowstatic.com/p_e/ISxfywztzp3p9i0000000000.jpg	100000.0	[]	1253.0	CA	144585.0	96105	112428669
2.5	3	Chilcoot	[u'Baths: 2 full, 1 half', u'Lot: 5 acres', u'Single Family', u'Built in 2006', u'All time views: 2,729', u'Cooling: Central', u'Last sold: Oct 2015 for $200,000', u'Last sale price/sqft: $95', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Parking: 461 sqft garage', u'Vaulted Ceiling', u'IDX Include: Yes', u'Construction Phase: FINISHED', u'Sub Status: Standard', u'APPLIANCES: Range', u'APPLIANCES: Microwave', u'APPLIANCES: Dishwasher', u'APPLIANCES: Refrigerator', u'DECKS: 1', u'FLOOR COVERINGS: Carpet', u'FLOOR COVERINGS: Tile', u'GAS: Propane', u'HEATING: Propane', u'VIEW: Panoramic', u'CONSTRUCTION: Framed', u'FLOOR COVERINGS: Wood', u'FOUNDATION: Slab', u'GARAGE: Attached', u'HEATING: CFAH', u'OTHER: High Ceilings', u'OTHER: Phone', u'Garage: Two', u'FLOOR COVERINGS: Stone', u'Stories: Three', u'TOPOGRAPHY: Upslope', u'Furnished: None', u'Setting: Street', u'LAUNDRY: Room', u'OUT BUILDINGS: Yes', u'OUT BUILDINGS: See Remarks', u'SEWER: Septic', u'SubArea: 11P', u'FOUNDATION: Perim Block', u'HEATING: Wood Stove', u'WOODSTOVE: Living Room', u'WOODSTOVE: Freestanding', u'WATER: Well', u'OTHER: Pantry', u'BONUS ROOMS: Rec Room', u'OTHER: Zoned for Horses', u'GARAGE: Insulated', u'SPC DISC: Private Road', u'BONUS ROOMS: Great Room', u'BONUS ROOMS: Formal Dining', u'HEATING: Wood', u'VIEW: City', u'WOODSTOVE: Tile', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone2 CountryId: United States (+1)', u'LA1Agent Phone3 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Call to Show: Go Direct', u'Dining room', u'Stories: 0', u'Floor size: 2,109 sqft', u'Heating: Gas', u'Parcel #: 010170010000', u'Zillow Home ID: 112414727']	http://photos2.zillowstatic.com/p_e/IS5qn9h3octbgi0000000000.jpg	200000.0	[]	2109.0	CA	290769.0	96105	112414727
2.0	3	Chilcoot	[u'Lot: 5.04 acres', u'Single Family', u'Built in 1994', u'All time views: 6,529', u'Cooling: None', u'Heating: Other, Stove', u'Last sold: Jun 2015 for $210,000', u'Last sale price/sqft: $105', u'Attic', u'Deck', u'Fireplace', u'Flooring: Other', u'Parking: Carport, Garage - Attached', u'Porch', u'View: Mountain', u'APPLIANCES: Dishwasher', u'APPLIANCES: Disposal', u'APPLIANCES: Oven', u'APPLIANCES: Range', u'Architecture: Log', u'BONUS ROOMS: Breakfast Room', u'BONUS ROOMS: Mud Room', u'Class: RESIDENTIAL', u'Construction Phase: FINISHED', u'CONSTRUCTION/EXT: Log', u'DECKS: 2', u'FIREPLACE: Other', u'FOUNDATION: Perim Concrete', u'Furnished: None', u'Garage: None', u'GARAGE/ PARKING: Other', u'GAS: Propane', u'HANDICAPPED FRIENDLY: Other', u'HEATING: Propane', u'IDX Include: Yes', u'LAUNDRY: Room', u'OTHER: High Ceilings', u'OTHER: Zoned for Horses', u'OUT BUILDINGS: See Remarks', u'OUT BUILDINGS: Yes', u'ROOF: Composition', u'Setting: Greenbelt', u'SEWER: Septic', u'SPC DISC: Other', u'Stories: Two', u'Sub Status: Standard', u'SubArea: 11P', u'TOPOGRAPHY: Level', u'Type: Single Family', u'VIEW: Mountain', u'VIEW: Panoramic', u'WATER: Well', u'WATERFRONT AMENITIES: Other', u'WOODSTOVE: Living Room', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Family room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,000 sqft', u'Heating: Gas', u'Parcel #: 010170005000', u'Zillow Home ID: 83356178']	http://photos1.zillowstatic.com/p_e/ISp5hiyh16i6v50000000000.jpg	210000.0	[]	2000.0	CA	263513.0	96105	83356178
2.0	3	Chilcoot	[u'Lot: 0.88 acres', u'Single Family', u'Built in 2005', u'All time views: 1,540', u'Last sold: Apr 2015 for $100,000', u'Last sale price/sqft: $80', u'Parking: 484 sqft garage', u'Floor size: 1,253 sqft', u'Parcel #: 010120024000', u'Zillow Home ID: 112428669']	http://photos1.zillowstatic.com/p_e/ISxfywztzp3p9i0000000000.jpg	100000.0	[]	1253.0	CA	144585.0	96105	112428669
2.5	3	Chilcoot	[u'Baths: 2 full, 1 half', u'Lot: 5 acres', u'Single Family', u'Built in 2006', u'All time views: 2,730', u'Cooling: Central', u'Last sold: Oct 2015 for $200,000', u'Last sale price/sqft: $95', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Parking: 461 sqft garage', u'Vaulted Ceiling', u'IDX Include: Yes', u'Construction Phase: FINISHED', u'Sub Status: Standard', u'APPLIANCES: Range', u'APPLIANCES: Microwave', u'APPLIANCES: Dishwasher', u'APPLIANCES: Refrigerator', u'DECKS: 1', u'FLOOR COVERINGS: Carpet', u'FLOOR COVERINGS: Tile', u'GAS: Propane', u'HEATING: Propane', u'VIEW: Panoramic', u'CONSTRUCTION: Framed', u'FLOOR COVERINGS: Wood', u'FOUNDATION: Slab', u'GARAGE: Attached', u'HEATING: CFAH', u'OTHER: High Ceilings', u'OTHER: Phone', u'Garage: Two', u'FLOOR COVERINGS: Stone', u'Stories: Three', u'TOPOGRAPHY: Upslope', u'Furnished: None', u'Setting: Street', u'LAUNDRY: Room', u'OUT BUILDINGS: Yes', u'OUT BUILDINGS: See Remarks', u'SEWER: Septic', u'SubArea: 11P', u'FOUNDATION: Perim Block', u'HEATING: Wood Stove', u'WOODSTOVE: Living Room', u'WOODSTOVE: Freestanding', u'WATER: Well', u'OTHER: Pantry', u'BONUS ROOMS: Rec Room', u'OTHER: Zoned for Horses', u'GARAGE: Insulated', u'SPC DISC: Private Road', u'BONUS ROOMS: Great Room', u'BONUS ROOMS: Formal Dining', u'HEATING: Wood', u'VIEW: City', u'WOODSTOVE: Tile', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone2 CountryId: United States (+1)', u'LA1Agent Phone3 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Call to Show: Go Direct', u'Dining room', u'Stories: 0', u'Floor size: 2,109 sqft', u'Heating: Gas', u'Parcel #: 010170010000', u'Zillow Home ID: 112414727']	http://photos2.zillowstatic.com/p_e/IS5qn9h3octbgi0000000000.jpg	200000.0	[]	2109.0	CA	290769.0	96105	112414727
