baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Clayton	[u'Baths: 2 full, 1 half', u'Lot: 6,098 sqft', u'Single Family', u'Built in 2000', u'All time views: 1,412', u'HOA Fee: $96/mo', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Aug 2016 for $149,900', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Porch', u'Basement Description: No Basement', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Roof: Shingle', u'Style: Traditional', u'Water: City Sewer', u'Water: City Water', u'Shower', u'Inside City: Yes', u'Design: 2 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Lot Description: Open', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Parking: Front', u'Fenced Yard', u'Garage Floor: Main', u'Washer Dryer Location: Closet', u'Style: Transitional', u'Storage Floor: Main', u'Foundation: Slab', u'Subdivision: Grovewood', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Pantry', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 0', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,363 sqft', u'Heating: Electric', u'Last remodel year: 2000', u'Parcel #: 05H03030T', u'Zillow Home ID: 69105937']	http://photos1.zillowstatic.com/p_e/ISyjd32do2ish80000000000.jpg	149900.0	[]	1363.0	NC	144681.0	27520	69105937
2.0	3	Clayton	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2000', u'All time views: 957', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $155,000', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 384 sqft garage', u'Porch', u'Tennis Court', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Washer Dryer Location: 1st Floor', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Parking: Front', u'Parking: Rear', u'Other Area: Main', u'Breakfast Room Floor: Main', u'Style: Ranch', u'Parking: Earth', u'Equipment: Elec. Dryer HU', u'Equipment: Range Hood', u'Water: County Water', u'Detached Workshop', u'Private Fence', u'Subdivision: South Plantation', u'Washer Dryer Location: Laundry Room', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Pantry', u'Dishwasher', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,403 sqft', u'Heating: Electric', u'Last remodel year: 2001', u'Parcel #: 06F04040I', u'Zillow Home ID: 69128374']	http://photos1.zillowstatic.com/p_e/IS952a8j6z46kc1000000000.jpg	155000.0	[]	1403.0	NC	150271.0	27520	69128374
2.0	3	Clayton	[u'Lot: 1 acre', u'Single Family', u'Built in 1985', u'All time views: 3,623', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $148,000', u'Last sale price/sqft: $123', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Lawn', u'Parking: Off street', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Range / Oven', u'Dining room', u'Laundry room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Parcel #: 05F01026', u'Zillow Home ID: 69090969']	http://photos3.zillowstatic.com/p_e/ISxf6juyzaexjm1000000000.jpg	148000.0	[]	1200.0	NC	143764.0	27520	69090969
3.0	4	Clayton	[u'Lot: 0.34 acres', u'Single Family', u'Built in 2013', u'All time views: 2,494', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $258,900', u'Last sale price/sqft: $85', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 462 sqft garage', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Foundation: Crawl Space', u'HO Fees Include: HO Association', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Style: Traditional', u'Washer Dryer Location: 2nd Floor', u'Living Room Floor: Main', u'Bedroom 2 Floor: Main', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Other Rooms: 1st Floor Bedroom', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Other Rooms: Utility Room', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Equipment: Garage Opener', u'Garden Tub', u'Other Rooms: Finish', u'Parking: Concrete', u'Other Rooms: Den', u'Other Rooms: Sit Rm', u'Style: Transitional', u'Water: County Water', u'Water: County Sewer', u'Utility Room Floor: Second', u'Family Room Floor: Second', u'Other Area: Second', u'Other Rooms: Rec Room', u'Subdivision: Hunters Mill', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Solid Surface Counter Top', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Pantry', u'Tile Countertops', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Stone, Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,040 sqft', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 06F04055Z', u'Zillow Home ID: 83180393']	http://photos1.zillowstatic.com/p_e/ISa9lnqi1t1wlj0000000000.jpg	258900.0	[]	3040.0	NC	273989.0	27520	83180393
3.0	4	Clayton	[u'Baths: 2 full, 1 half', u'Lot: 0.4 acres', u'Single Family', u'Built in 2009', u'All time views: 3,039', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $209,900', u'Last sale price/sqft: $79', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 420 sqft garage', u'Porch', u'Basement Description: No Basement', u'Sep Shower', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: HO Association', u'Water Heater: Electric WH', u'Roof: Shingle', u'Style: Traditional', u'Living Room Floor: Main', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'HO Fees Include: Street Lights', u'Water: County Water', u'Water: County Sewer', u'Utility Room Floor: Second', u'Subdivision: The Pointe', u'Parking: Garage', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Dryer', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,651 sqft', u'Last remodel year: 2009', u'Laundry: In Unit', u'Parcel #: 06G05023T', u'Zillow Home ID: 82806573']	http://photos3.zillowstatic.com/p_e/IShzyl98lv210d1000000000.jpg	209900.0	[]	2651.0	NC	212545.0	27520	82806573
2.0	4	Clayton	[u'Lot: 0.95 acres', u'Single Family', u'Built in 1977', u'All time views: 1,941', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $146,000', u'Last sale price/sqft: $97', u'Fireplace', u'Flooring: Tile', u'Parking: Carport, Garage - Detached, 2 spaces', u'A: Central Air', u'Equipment: Ice Maker Connection', u'Shower', u'Tub', u'Design: One Story', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Water: Well', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Water: City Water', u'Fenced Yard', u'Style: Ranch', u'Subdivision: Not in a Subdivision', u'Parking: Concrete', u'Foundation: Slab', u'Private Fence', u'Pool: Above Ground Pool', u'Parking: Garage', u'Acres: .76-.99 Acres', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,502 sqft', u'Heating: Gas', u'Last remodel year: 1975', u'Laundry: In Unit', u'Parcel #: 06F04024D', u'Zillow Home ID: 69130929']	http://photos1.zillowstatic.com/p_e/ISdwle3hhvuxlu0000000000.jpg	146000.0	[]	1502.0	NC	130215.0	27520	69130929
4.0	3	Clayton	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2004', u'All time views: 1,192', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $415,000', u'Last sale price/sqft: $114', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 8 spaces, 726 sqft garage', u'Pool', u'Security System', u'Skylight', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Shower', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Utility Room Floor: Main', u'Storm Doors', u'Entrance Hall Floor: Main', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Bedroom 3 Floor: Second', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Corner Lot', u'Other Rooms: Family Room', u'Lot Description: Wooded Lot', u'Other Rooms: Utility Room', u'Parking: Circular Drive', u'Parking: Front', u'Other Area: Main', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Fenced Yard', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Other Rooms: Separate Living room', u'Equipment: Garage Opener', u'Equipment: Cooktop ? Electric', u'Equipment: Self Clean Oven', u'HO Fees Include: Street Lights', u'Flooring: Ceramic', u'Parking: Concrete', u'Style: Transitional', u'Lvng Area: Second', u'HO Fees Include: Clubhouse', u'Water: Community Water', u'Lvng Area: Second', u'Irrigation System', u'Other Area: Additional', u'Subdivision: Ole Mill Stream', u'Parking: Garage', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'Coffered Ceiling', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'10Ft+ Ceiling', u'Pantry', u'Garage Shop', u'Acres: .76-.99 Acres', u'HOA 2 Fees Required: Yes', u'HOA 2 Fee Payment: Annually', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Office', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 13', u'Stories: 15', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,645 sqft', u'Last remodel year: 2004', u'Parcel #: 05H01016Z', u'Zillow Home ID: 69098280']	http://photos2.zillowstatic.com/p_e/IS5m40ip59tyvn1000000000.jpg	415000.0	[]	3645.0	NC	436688.0	27520	69098280
2.0	3	Clayton	[u'Lot: 1.53 acres', u'Single Family', u'Built in 1999', u'All time views: 1,080', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $149,900', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Laminate, Linoleum / Vinyl, Tile', u'Parking: Off street', u'Patio', u'Porch', u'Vaulted Ceiling', u'Wired', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Gutters', u'A: C Age 6+ Years', u'Shower', u'Tub', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Style: Traditional', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Storm Doors', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Lot Description: Partially Cleared', u'Other Rooms: Utility Room', u'Parking: Asphalt', u'Parking: Front', u'Other Area: Main', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Whirlpool', u'Equipment: Elec. Dryer HU', u'Out Building', u'Parking: Concrete', u'Parking: Parking Pad', u'Storage Floor: Main', u'Other Area: Main', u'Equipment: Double Oven', u'Private Fence', u'Water Heater: Water Htr Age 0-3 Yrs', u'Pool: Above Ground Pool', u'Lot Description: Golf Course', u'Subdivision: Savannah', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Pantry', u'Dishwasher', u'Microwave', u'Range / Oven', u'Laundry room', u'Master bath', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,362 sqft', u'Heating: Gas', u'Last remodel year: 1999', u'Parcel #: 05H04018Q', u'Zillow Home ID: 69119375']	http://photos3.zillowstatic.com/p_e/ISqd7omvdnli421000000000.jpg	149900.0	[]	1362.0	NC	152311.0	27520	69119375
3.0	3	Clayton	[u'Baths: 2 full, 1 half', u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 5,369', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $205,000', u'Last sale price/sqft: $90', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached, 440 sqft garage', u'A: Central Air', u'Basement Description: No Basement', u'Shower', u'Tub', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Design: 1.5 Story', u'Kitchen Floor: Main', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Style: Ranch', u'Garden Tub', u'Equipment: Cooktop ? Electric', u'Water: County Water', u'Lvng Area: Second', u'Fiberglass Bath', u'Subdivision: Allens Landing', u'Parking: Garage', u'Smoke Alarm', u'Country: USA', u'Acres: 1-2.9 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,286 sqft', u'Heating: Electric', u'Last remodel year: 2001', u'Parcel #: 06F04027Y', u'Zillow Home ID: 69112176']	http://photos2.zillowstatic.com/p_e/ISt4n9wwk1pl2m0000000000.jpg	205000.0	[]	2286.0	NC	222622.0	27520	69112176
2.0	2	Clayton	[u'Lot: 1.86 acres', u'Single Family', u'Built in 1987', u'All time views: 2,743', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $144,000', u'Last sale price/sqft: $108', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Tile', u'Garden', u'Lawn', u'Parking: Carport, 2 spaces', u'Porch', u'RV Parking', u'Two Bedrooms    Two Full Baths    Dining Room    Large Kitchen    Living Room    Country Front Porch', u'Dishwasher', u'Dining room', u'Laundry room', u'Master bath', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,329 sqft', u'Heating: Electric', u'Zillow Home ID: 2126657565']	http://photos1.zillowstatic.com/p_e/ISl6vax4zha3bk1000000000.jpg	144000.0	[]	1329.0	NC	154134.0	27520	2126657565
