baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Clemmons	[u'Lot: 5,663 sqft', u'Single Family', u'All time views: 700', u'Last sold: Aug 2016 for $164,495', u'Last sale price/sqft: $108', u'Floor size: 1,521 sqft', u'Parcel #: 5892938099', u'Zillow Home ID: 123899016']	http://photos3.zillowstatic.com/p_e/ISeofsf4098kag0000000000.jpg	164495.0	[]	1521.0	NC	150572.0	27012	123899016
2.0	3	Clemmons	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1997', u'All time views: 3,361', u'Heating: Forced air', u'Last sold: Aug 2016 for $152,000', u'Last sale price/sqft: $103', u'Fireplace', u'Parking: 460 sqft garage', u'Patio', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,469 sqft', u'Lot depth: 184 ft', u'Lot width: 75 ft', u'Parcel #: 5894455162', u'Zillow Home ID: 5807367']	http://photos1.zillowstatic.com/p_e/IS1lwubzird9cwz.jpg	152000.0	[]	1469.0	NC	157499.0	27012	5807367
3.0	4	Clemmons	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1995', u'52 days on Zillow', u'Views since listing: 1,093', u'All time views: 1,217', u'19 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $366,000', u'Last sale price/sqft: $118', u'MLS #: 799697', u'717 sqft basement', u'Attic', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Skylight', u'Sprinkler System', u'Neighborhood pool! Membership is optional.', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,106 sqft', u'Heating: Electric', u'Lot depth: 195 ft', u'Lot width: 114 ft', u'Parcel #: 5883279070', u'Zillow Home ID: 5803000']	http://photos2.zillowstatic.com/p_e/ISek4tpmjtd8u70000000000.jpg	366000.0	[]	3106.0	NC	337705.0	27012	5803000
3.0	3	Clemmons	[u'Baths: 2 full, 1 half', u'Lot: 0.33 acres', u'Single Family', u'Built in 1995', u'All time views: 3,992', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $222,000', u'Last sale price/sqft: $90', u'387 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 3', u'Structure type: Other', u'Floor size: 2,456 sqft', u'Parcel #: 5882782664', u'Zillow Home ID: 5806402']	http://photos1.zillowstatic.com/p_e/ISluhwfb2f7ww51000000000.jpg	222000.0	[]	2456.0	NC	248148.0	27012	5806402
4.0	3	Clemmons	[u'Baths: 2 full, 2 half', u'Lot: 1.24 acres', u'Single Family', u'Built in 2003', u'73 days on Zillow', u'Views since listing: 3,624', u'All time views: 4,723', u'59 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $260,900', u'Last sale price/sqft: $99', u'MLS #: 798170', u'420 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Recreation room', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,644 sqft', u'Heating: Gas', u'Parcel #: 5883356898', u'Zillow Home ID: 65033197']	http://photos1.zillowstatic.com/p_e/ISptjcijl5sqj81000000000.jpg	260900.0	[]	2644.0	NC	314420.0	27012	65033197
2.0	3	Clemmons	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1997', u'All time views: 2,232', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $216,000', u'Last sale price/sqft: $90', u'Fireplace', u'Flooring: Carpet', u'Garden', u'Parking: Garage - Attached, 518 sqft garage', u'Patio', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,411 sqft', u'Lot depth: 160 ft', u'Lot width: 117 ft', u'Parcel #: 5882779692', u'Zillow Home ID: 5806358']	http://photos1.zillowstatic.com/p_e/ISibo5zso8tsbo0000000000.jpg	216000.0	[]	2411.0	NC	243994.0	27012	5806358
2.0	3	Clemmons	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 2005', u'All time views: 1,777', u'HOA Fee: $117/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $219,000', u'Last sale price/sqft: $98', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Patio', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,235 sqft', u'Heating: Gas', u'Last remodel year: 2005', u'Parcel #: 03011H0000130', u'Zillow Home ID: 70933518']	http://photos2.zillowstatic.com/p_e/IS5ihj62l3sq291000000000.jpg	219000.0	[]	2235.0	NC	237341.0	27012	70933518
2.1	3	Clemmons	[u'Baths: 2 full, 1 half', u'Lot: 0.31 acres', u'Single Family', u'Built in 1999', u'All time views: 1,384', u'Heating: Forced air', u'Last sold: Jul 2016 for $241,000', u'Last sale price/sqft: $131', u'Deck', u'Fireplace', u'Parking: 528 sqft garage', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,845 sqft', u'Lot depth: 164 ft', u'Lot width: 90 ft', u'Parcel #: 5882974271', u'Zillow Home ID: 5804515']	http://photos1.zillowstatic.com/p_e/IS9xbozuf04sv60000000000.jpg	241000.0	[]	1845.0	NC	233428.0	27012	5804515
2.5	3	Clemmons	[u'Baths: 2 full, 1 half', u'Lot: 0.54 acres', u'Single Family', u'Built in 1974', u'All time views: 3,693', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $166,000', u'Last sale price/sqft: $75', u'420 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'Attic Description: Partially Floored', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Foundation Basement: Basement', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Appliances: Disposal', u'Smoke Alarm', u'Story Number: 1', u'Style: Ranch', u'Elementary School: Call School Board', u'Attic Description: Permanent Stairs', u'Sump Pump', u'Appliances: Remarks', u'Exterior Finish: Brick', u'Dishwasher', u'Range / Oven', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,221 sqft', u'Heating: Electric', u'Last remodel year: 2000', u'Lot depth: 193 ft', u'Lot width: 121 ft', u'Parcel #: 03007F0000042', u'Zillow Home ID: 5707295']	http://photos2.zillowstatic.com/p_e/IS1z3labux1aeg0000000000.jpg	166000.0	[]	2221.0	NC	168002.0	27012	5707295
3.0	3	Clemmons	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1965', u'All time views: 6,599', u'Heating: Heat pump', u'Last sold: Jul 2016 for $318,000', u'Last sale price/sqft: $134', u'1556 sqft basement', u'Deck', u'Finished basement', u'Fireplace', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 11', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,380 sqft', u'Lot depth: 195 ft', u'Lot width: 144 ft', u'Parcel #: 5883706053', u'Zillow Home ID: 5805606']	http://photos3.zillowstatic.com/p_e/ISh7xhjexfgao11000000000.jpg	318000.0	[]	2380.0	NC	276628.0	27012	5805606
