baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Cleveland	[u'Lot: 1.51 acres', u'Single Family', u'Built in 1994', u'All time views: 371', u'Cooling: None', u'Heating: Other', u'Last sold: Jun 2016 for $25,000', u'Last sale price/sqft: $18', u'Ceiling Fan', u'Deck', u'Flooring: Other', u'Foundation Details: Crawl Space', u'Listing Financing: Cash', u'Fireplace Description: Other', u'Laundry Location: Utility Room', u'Sewer: Septic Tank', u'Water: Well', u'Heating: None', u'Zoning: SFR', u'Green Certification: None', u'Property Sub Type: Manufactured Double-Wide', u'Driveway: Earth', u'Architectural Style: Ranch', u'Parking: Parking Space - 2', u'Level', u'Trees', u'Pantry', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Construction Type: Manufactured', u'Exterior material: Vinyl', u'Roof type: Other', u'Structure type: Other', u'Floor size: 1,404 sqft', u'Heating: None', u'Zillow Home ID: 2098479175']	http://photos1.zillowstatic.com/p_e/ISludhtk147gk30000000000.jpg	25000.0	[]	1404.0	NC	127183.0	27013	2098479175
2.5	3	Cleveland	[u'Baths: 2 full, 1 half', u'Lot: 8.81 acres', u'Single Family', u'Built in 1990', u'All time views: 1,534', u'Heating: Heat pump', u'Last sold: Jun 2016 for $244,000', u'Last sale price/sqft: $106', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Carport, 3 spaces', u'Porch', u'Equipment: Hood', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Driveway: Asphalt', u'Laundry Location: 1st Floor', u'Property Sub Type: 1 Story Basement', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Equipment: Surround Sound', u'Terrace', u'Building - Barn', u'Laundry Location: Laundry Room', u'Parking: Garage - 2 Car', u'Wooded', u'Level', u'Cleared', u'Private', u'Pantry', u'Split BR Plan', u'Creekfront', u'Flooring: Tile', u'Flooring: Laminate Wood', u'Construction Type: Site Built', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Unspecificed', u'Selling Agent Primary Board: Unspecificed', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 1', u'Floor size: 2,300 sqft', u'Heating: None', u'Laundry: In Unit', u'Parcel #: 718 026', u'Zillow Home ID: 93078972']	http://photos2.zillowstatic.com/p_e/ISdgt9wk1mf0hh0000000000.jpg	244000.0	[]	2300.0	NC	256831.0	27013	93078972
2.0	3	Cleveland	[u'Baths: 1 full, 1 half', u'Lot: 2 acres', u'Single Family', u'Built in 1960', u'All time views: 2,080', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $135,000', u'Last sale price/sqft: $85', u'Attic', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Parking: Carport, 1 space', u'Porch', u'Unfinished basement', u'Dishwasher', u'Exterior material: Brick', u'Stories: 1', u'Floor size: 1,596 sqft', u'Heating: Electric', u'Parcel #: 277 019', u'Zillow Home ID: 123062889']	http://photos1.zillowstatic.com/p_e/ISxrncy601psdd1000000000.jpg	135000.0	[]	1596.0	NC	159407.0	27013	123062889
3.0	4	Cleveland	[u'Lot: 3 acres', u'Single Family', u'Built in 1999', u'All time views: 6,872', u'HOA Fee: $10/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $287,500', u'Last sale price/sqft: $86', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 629 sqft garage', u'Patio', u'Porch', u'Storage', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Wired', u'Living room', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Family room', u'Office', u'Pantry', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,344 sqft', u'Heating: Electric', u'Parcel #: 731A039', u'Zillow Home ID: 75030017']	http://photos2.zillowstatic.com/p_e/IS1fgpin15la321000000000.jpg	287500.0	[]	3344.0	NC	304610.0	27013	75030017
2.0	3	Cleveland	[u'Lot: 0.9 acres', u'Single Family', u'Built in 2001', u'All time views: 957', u'Heating: Heat pump', u'Last sold: Feb 2016 for $83,000', u'Last sale price/sqft: $59', u'Flooring: Carpet, Laminate', u'Parking: Carport', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Water: Well', u'Outbuilding', u'Property Sub Type: Manufactured Double-Wide', u'Laundry Location: Laundry Room', u'Dishwasher', u'Refrigerator', u'Exterior material: Vinyl', u'Floor size: 1,404 sqft', u'Zillow Home ID: 2142674310']	http://photos1.zillowstatic.com/p_e/ISphu0ft29ghok0000000000.jpg	83000.0	[]	1404.0	NC	127444.0	27013	2142674310
2.0	2	Cleveland	[u'Lot: 14 acres', u'Single Family', u'Built in 1966', u'All time views: 988', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $150,000', u'Last sale price/sqft: $132', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Patio', u'Porch', u'Storage', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,134 sqft', u'Heating: None', u'Parcel #: 277 016', u'Zillow Home ID: 75013445']	http://photos2.zillowstatic.com/p_e/ISp9g4mfiblkmq1000000000.jpg	150000.0	[]	1134.0	NC	159578.0	27013	75013445
3.0	3	Cleveland	[u'Lot: 0.67 acres', u'Single Family', u'Built in 1993', u'193 days on Zillow', u'Views since listing: 3,824', u'All time views: 4,453', u'68 shoppers saved this home', u'Cooling: Central', u'Heating: Other', u'Last sold: Dec 2015 for $31,000', u'Last sale price/sqft: $20', u'Patio', u'Stainless steel appliances', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Stories: 1', u'Floor size: 1,584 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 251 03201', u'Zillow Home ID: 93068011']	http://photos2.zillowstatic.com/p_e/ISp5xi9nya4bp91000000000.jpg	31000.0	[]	1584.0	NC	92929.0	27013	93068011
3.0	4	Cleveland	[u'Lot: 3.7 acres', u'Single Family', u'Built in 1991', u'All time views: 3,276', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $300,000', u'Last sale price/sqft: $100', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 6 spaces, 960 sqft garage', u'Patio', u'Porch', u'detached 3 car garage 864 sq. ft.', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Workshop', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,986 sqft', u'Last remodel year: 1991', u'Laundry: In Unit', u'Lot width: 355 ft', u'Parcel #: 4786785049.000', u'Zillow Home ID: 80910659']	http://photos2.zillowstatic.com/p_e/IShnhchacd7rnh1000000000.jpg	300000.0	[]	2986.0	NC	293108.0	27013	80910659
2.5	3	Cleveland	[u'Lot: 0.49 acres', u'Single Family', u'Built in 2012', u'All time views: 2,275', u'HOA Fee: $29/mo', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $250,000', u'Last sale price/sqft: $105', u'Cable Ready', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 440 sqft garage', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,371 sqft', u'Last remodel year: 2012', u'Lot width: 101 ft', u'Parcel #: 4770267400.000', u'Zillow Home ID: 84127829']	http://photos1.zillowstatic.com/p_e/ISxf28jzydxbev0000000000.jpg	250000.0	[]	2371.0	NC	250851.0	27013	84127829
2.0	3	Cleveland	[u'Lot: 1 acre', u'Single Family', u'Built in 1968', u'All time views: 2,873', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $114,000', u'Last sale price/sqft: $83', u'896 sqft basement', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Patio', u'Porch', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,375 sqft', u'Heating: Electric', u'Last remodel year: 1998', u'Parcel #: 4772311278.000', u'Zillow Home ID: 6096837']	http://photos1.zillowstatic.com/p_e/IS99lvomxvh5371000000000.jpg	114000.0	[]	1375.0	NC	98294.0	27013	6096837
