baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Connelly Spg	[u'Lot: 2.95 acres', u'Single Family', u'Built in 2004', u'All time views: 1,374', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $342,500', u'Last sale price/sqft: $127', u'Cable Ready', u'Fireplace', u'Hot Tub/Spa', u'Parking: Garage - Attached', u'Patio', u'Pool', u'Porch', u'Security System', u'Laundry on Main', u'Water-Lake: None', u'Water: Septic Tank', u'County: Burke', u'Style: 1.5 Story', u'Walk-Up Attic', u'Other Room 2: Bonus Room', u'Pantry', u'Molding', u'Gas Logs', u'Ceiling - Beamed', u'Type: Stick Built', u'Bonus Room (Y: Yes', u'Breakfast nook', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,687 sqft', u'Last remodel year: 2005', u'Parcel #: 17471', u'Zillow Home ID: 68736987']	http://photos1.zillowstatic.com/p_e/IS9tkw42s3wde10000000000.jpg	342500.0	[]	2687.0	NC	276370.0	28612	68736987
2.0	3	Connelly Springs	[u'Lot: 2.07 acres', u'Single Family', u'Built in 1996', u'All time views: 3,530', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $35,000', u'Last sale price/sqft: $33', u'Porch', u'Exterior material: Metal', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,064 sqft', u'Last remodel year: 1996', u'Parcel #: 42214', u'Zillow Home ID: 80888928']	http://photos3.zillowstatic.com/p_e/IShb03dnrfjh7d1000000000.jpg	35000.0	[]	1064.0	NC	33734.0	28612	80888928
1.0	3	Connelly Spg	[u'Lot: 2.71 acres', u'Single Family', u'Built in 1944', u'All time views: 1,518', u'Heating: Heat pump', u'Last sold: May 2016 for $100,000', u'Last sale price/sqft: $79', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Porch', u'Roof: Fiberglass Shingles', u'Water: Septic', u'Electric: Duke Power', u'Eat-in Kitchen', u'Main Bedroom-Main Level', u'Water: Well', u'Outbuilding', u'Cable: Not Known (Cable)', u'Miscellaneous: Acreage', u'Miscellaneous: Workshop', u'Storm Windows', u'Lot Description: Long Range Mtn Views', u'Property Status: Pending', u'Lot Description: Level', u'Interior Walls: Plaster', u'Foundation: Partial Basement', u'Road Surface: Gravel', u'Road Maintenance: Private', u'Appliances: Hood', u'Great Room', u'Acreage Range: 2.5-4.5 acres', u'Water: Community', u'Exterior Finish: Asbestos Siding', u'Style: Farmhouse', u'Dryer', u'Washer', u'Exterior material: Other', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,264 sqft', u'Last remodel year: 1959', u'Laundry: In Unit', u'Parcel #: 07852', u'Zillow Home ID: 68730068']	http://photos1.zillowstatic.com/p_e/ISd4wzkr51h9n51000000000.jpg	100000.0	[]	1264.0	NC	94367.0	28612	68730068
3.0	3	Connelly Springs	[u'Lot: 1.58 acres', u'Single Family', u'Built in 2005', u'All time views: 3,682', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $210,000', u'Last sale price/sqft: $84', u'1498 sqft basement', u'Cable Ready', u'Deck', u'Fenced Yard', u'Flooring: Laminate', u'Parking: Carport, 2 spaces', u'Patio', u'Pool', u'Porch', u'Style: Ranch', u'Interior Walls: Sheetrock', u'Water: Connected to Public Water', u'Electric: Duke Power', u'Road Surface: Paved', u'Eat-in Kitchen', u'Large Master Bedroom', u'Main Bedroom-Main Level', u'Outbuilding', u'Acreage Range: 1-2.5 acres', u'Fireplace: None', u'Lot Description: Gentle Slope', u'Property Status: Pending', u'Lot Description: Level', u'Miscellaneous: None', u'Water: Connected to Public Sewer', u'Road Maintenance: City', u'Foundation: Full Basement', u'Alarm Systems', u'Appliances: Hood', u'Great Room', u'Insulated Windows', u'Lot Description: Mixed', u'Primary: Other Secondary-See Remarks', u'Dryer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,498 sqft', u'Last remodel year: 2006', u'Laundry: In Unit', u'Parcel #: 58445', u'Zillow Home ID: 71840323']	http://photos1.zillowstatic.com/p_e/ISptvhy0aly8680000000000.jpg	210000.0	[]	2498.0	NC	201510.0	28612	71840323
2.0	3	Connelly Spg	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1974', u'All time views: 1,762', u'HOA Fee: $86/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $124,500', u'Last sale price/sqft: $88', u'600 sqft basement', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate', u'Gated Entry', u'Hot Tub/Spa', u'Parking: Carport, Off street, 1 space', u'Partial basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Exterior material: Brick, Composition', u'Roof type: Metal', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,416 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1985', u'Parcel #: 21841', u'Zillow Home ID: 68732651']	http://photos1.zillowstatic.com/p_e/ISplpzhsbtyj2v0000000000.jpg	124500.0	[]	1416.0	NC	122931.0	28612	68732651
2.5	3	Connelly Springs	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1963', u'All time views: 368', u'Cooling: Central', u'Heating: Other', u'Last sold: May 2016 for $140,000', u'Last sale price/sqft: $77', u'Fireplace', u'Parking: Garage - Attached', u'Pool', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,808 sqft', u'Last remodel year: 1979', u'Parcel #: 22714', u'Zillow Home ID: 68726902']	http://photos3.zillowstatic.com/p_e/ISledavrxbpg5f1000000000.jpg	140000.0	[]	1808.0	NC	138584.0	28612	68726902
2.0	4	Connelly Springs	[u'Lot: 2 acres', u'Single Family', u'Built in 2008', u'All time views: 3,605', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $56,000', u'Last sale price/sqft: $37', u'Barbecue', u'Deck', u'Fenced Yard', u'Garden', u'Gated Entry', u'Lawn', u'Parking: Off street', u'RV Parking', u'Storage', u'View: Mountain', u'Living room', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 1,500 sqft', u'Parcel #: 50536', u'Zillow Home ID: 68747928']	http://photos2.zillowstatic.com/p_e/IShfb6e0zeyxdi0000000000.jpg	56000.0	[]	1500.0	NC	54703.0	28612	68747928
2.0	3	Connellys Springs	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1999', u'All time views: 1,354', u'Heating: Heat pump', u'Last sold: Apr 2016 for $160,000', u'Last sale price/sqft: $98', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport', u'Patio', u'Porch', u'Storage', u'Interior Walls: Sheetrock', u'Water: Connected to Public Water', u'Water: Septic', u'Road Surface: Paved', u'Road Maintenance: State', u'Ceramic Tile Bath', u'Eat-in Kitchen', u'Large Master Bedroom', u'Main Bedroom-Main Level', u'Electric: REA', u'Style: One Story', u'Foundation: Crawl Space', u'Property Status: Pending', u'Lot Description: Level', u'Window Treatments', u'Miscellaneous: None', u'Acreage Range: 2-1 acre', u'Drop-down Stairs', u'Great Room', u'Roof: Architectural Shingles', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,625 sqft', u'Heating: Gas', u'Zillow Home ID: 2131695062']	http://photos1.zillowstatic.com/p_e/ISpld6bio6b4xn1000000000.jpg	160000.0	[]	1625.0	NC	164848.0	28612	2131695062
2.0	4	Connelly Springs	[u'Lot: 1.69 acres', u'Single Family', u'Built in 2008', u'All time views: 1,987', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $56,100', u'Last sale price/sqft: $40', u'Ceiling Fan', u'Flooring: Linoleum / Vinyl', u'Porch', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Electric Dryer Hookup', u'Laundry Location: 1st Floor', u'Laundry Location: Utility Room', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Property Sub Type: Modular Home', u'Architectural Style: Ranch', u'Parking: Driveway', u'Outbuilding', u'Hilly', u'Flooring: Laminate Tile', u'Dishwasher', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,404 sqft', u'Last remodel year: 2005', u'Parcel #: 50535', u'Zillow Home ID: 90049879']	http://photos1.zillowstatic.com/p_e/ISlamic0rkn3401000000000.jpg	56100.0	[]	1404.0	NC	60631.0	28612	90049879
2.0	3	Connelly Springs	[u'Lot: 0.74 acres', u'Single Family', u'Built in 2005', u'All time views: 3,850', u'Cooling: Central', u'Heating: Other', u'Last sold: Apr 2016 for $130,000', u'Last sale price/sqft: $108', u'Deck', u'Fireplace', u'Lawn', u'Parking: Garage - Attached', u'Porch', u'Foundation Details: Crawl Space', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Laundry Location: Closet', u'Laundry Location: 1st Floor', u'Fireplace Description: Other', u'Attic Stairs Pulldown', u'Other', u'Property Sub Type: 1 Story', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Zoning: Residential', u'Water: County Water', u'Heating: Other', u'Green Certification: None', u'Architectural Style: Ranch', u'None', u'Parking: Garage - 2 Car', u'Parking: Garage Door Opener', u'Flooring: Tile', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,204 sqft', u'Last remodel year: 2006', u'Parcel #: 58437', u'Zillow Home ID: 71840377']	http://photos2.zillowstatic.com/p_e/IS1fc2i4zvpzsg0000000000.jpg	130000.0	[]	1204.0	NC	130702.0	28612	71840377
