baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Conover	[u'Lot: 0.36 acres', u'Single Family', u'Built in 1999', u'All time views: 2,239', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $119,500', u'Last sale price/sqft: $82', u'Cable Ready', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Off street', u'Foundation Details: Crawl Space', u'Equipment: Oven', u'Equipment: Electric Dryer Hookup', u'Water: City Water', u'Laundry Location: 1st Floor', u'Doors Windows: Insulated Windows', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Zoning: Residential', u'Cul-de-sac Lot', u'Property Sub Type: Modular Home', u'Architectural Style: Ranch', u'Parking: Driveway', u'Level', u'Split BR Plan', u'Flooring: Laminate Wood', u'Selling Agent MLS Board: Catawba Valley Association of Realtors', u'Selling Agent Primary Board: Catawba Valley Association of Realtors', u'Listing Agent MLS Board: Catawba Valley Association of Realtors', u'Listing Agent Primary Board: Catawba Valley Association of Realtors', u'Construction Type: Off Frame Modular', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,456 sqft', u'Heating: Electric', u'Lot depth: 150 ft', u'Lot width: 100 ft', u'Parcel #: 3751171261770000', u'Zillow Home ID: 71555141']	http://photos3.zillowstatic.com/p_e/ISi7deb6gsgx981000000000.jpg	119500.0	[]	1456.0	NC	122343.0	28613	71555141
2.0	3	Conover	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 1999', u'All time views: 758', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $118,000', u'Last sale price/sqft: $107', u'Ceiling Fan', u'Deck', u'Flooring: Carpet', u'Parking: Garage - Attached, 308 sqft garage', u'Porch', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Equipment: Oven', u'Equipment: Electric Dryer Hookup', u'Sewer: City Sewer', u'Water: City Water', u'Laundry Location: 1st Floor', u'Property Sub Type: 1 Story', u'Driveway: Concrete', u'Outbuilding', u'Laundry Location: Laundry Room', u'Parking: Garage - 1 Car', u'Flooring: Tile', u'Construction Type: Site Built', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Catawba Valley Association of Realtors', u'Selling Agent Primary Board: Catawba Valley Association of Realtors', u'Dishwasher', u'Microwave', u'Refrigerator', u'Walk-in closet', u'Exterior material: Vinyl', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,104 sqft', u'Lot depth: 133 ft', u'Lot width: 75 ft', u'Parcel #: 3733209047370000', u'Zillow Home ID: 71957160']	http://photos3.zillowstatic.com/p_e/ISl6rnkoamv2040000000000.jpg	118000.0	[]	1104.0	NC	116455.0	28613	71957160
2.0	3	Conover	[u'Lot: 0.5 acres', u'Single Family', u'Built in 2007', u'All time views: 913', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $124,000', u'Last sale price/sqft: $86', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: 1 space', u'Sewer: Septic', u'Water: City Water', u'Lot Description: Level', u'Garage Count: 1 Car Garage', u'Lot Size: 2 - 1 Acre', u'Kitchen Eat-in Kitchen', u'Pre-Wiring: Garage Door', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 0', u'Floor size: 1,446 sqft', u'Lot depth: 129 ft', u'Lot width: 167 ft', u'Parcel #: 3743087893550000', u'Zillow Home ID: 71965306']	http://photos1.zillowstatic.com/p_e/IS-m4c75ac04tb1.jpg	124000.0	[]	1446.0	NC	124705.0	28613	71965306
4.0	4	Conover	[u'Baths: 3 full, 1 half', u'Lot: 0.64 acres', u'Single Family', u'Built in 1974', u'All time views: 7,618', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $205,000', u'Last sale price/sqft: $69', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces, 483 sqft garage', u'Porch', u'Security System', u'Sewer: Septic', u'Water: City Water', u'Garage Count: 2 Car Garage', u'Other: Association Fee', u'Area Amenities: Golf', u'Basement: Partial', u'General: Window Treatments', u'Kitchen Eat-in Kitchen', u'Lot Description: Corner', u'Pre-Wiring: Garage Door', u'Exterior: Storm door', u'Views: Pond', u'Dishwasher', u'Range / Oven', u'Trash compactor', u'Walk-in closet', u'Exterior material: Brick, Vinyl, Wood', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,974 sqft', u'Lot depth: 165 ft', u'Lot width: 158 ft', u'Parcel #: 3752075967780000', u'Zillow Home ID: 71553380']	http://photos1.zillowstatic.com/p_e/ISxnkroldeyga71000000000.jpg	205000.0	[]	2974.0	NC	295092.0	28613	71553380
1.0	2	Conover	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1956', u'All time views: 3,513', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $75,000', u'Last sale price/sqft: $75', u'480 sqft basement', u'Cable Ready', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, 1 space', u'Porch', u'Unfinished basement', u'View: Territorial', u'Water-Lake: None', u'Water: Public Water', u'County: Catawba', u'Water: Public Sewer', u'None', u'Style: Bsmt', u'Type: Stick Built', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,000 sqft', u'Heating: Electric', u'Lot depth: 258 ft', u'Lot width: 144 ft', u'Parcel #: 3742170120550000', u'Zillow Home ID: 71943689']	http://photos1.zillowstatic.com/p_e/IS1zfig7l8snjd0000000000.jpg	75000.0	[]	1000.0	NC	74960.0	28613	71943689
3.0	3	Conover	[u'Baths: 2 full, 1 half', u'Lot: 0.57 acres', u'Single Family', u'Built in 1997', u'All time views: 1,209', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $310,000', u'Last sale price/sqft: $149', u'Fireplace', u'Flooring: Carpet, Tile', u'Parking: Garage - Attached, 877 sqft garage', u'Patio', u'Security System', u'Skylight', u'Water: City Water', u'Lot Description: Level', u'Garage Count: 2 Car Garage', u'Basement: Crawl Space', u'Area Amenities: Golf', u'Kitchen Granite Countertops', u'Sewer: City', u'Lot Size: 2 - 1 Acre', u'Kitchen Eat-in Kitchen', u'Community Type: Gated', u'Pre-Wiring: Garage Door', u'Exterior: Storm door', u'Community Type: Golf Course', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Brick', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,076 sqft', u'Lot depth: 168 ft', u'Lot width: 151 ft', u'Parcel #: 3752052929740000', u'Zillow Home ID: 71945764']	http://photos1.zillowstatic.com/p_e/ISpxa4t8tvu7yl1000000000.jpg	310000.0	[]	2076.0	NC	326994.0	28613	71945764
3.0	3	Conover	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1984', u'All time views: 2,285', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $165,000', u'Last sale price/sqft: $66', u'421 sqft basement', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Carport, 1 space', u'Partial basement', u'Patio', u'Porch', u'Security System', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,519 sqft', u'Heating: Gas', u'Last remodel year: 1997', u'Laundry: In Unit', u'Lot depth: 177 ft', u'Lot width: 110 ft', u'Parcel #: 3741088934130000', u'Zillow Home ID: 71955877']	http://photos3.zillowstatic.com/p_e/ISh7xh7h7gdeqh1000000000.jpg	165000.0	[]	2519.0	NC	160022.0	28613	71955877
3.0	3	Conover	[u'Lot: 13.77 acres', u'Single Family', u'Built in 1993', u'All time views: 4,431', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $362,500', u'Last sale price/sqft: $144', u'Fireplace', u'Flooring: Other', u'Jetted Tub', u'Parking: Garage - Attached, 576 sqft garage', u'Patio', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'Dishwasher', u'Pantry', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,524 sqft', u'Heating: None', u'Parcel #: 3743103660650000', u'Zillow Home ID: 71946707']	http://photos1.zillowstatic.com/p_e/ISd09ztiq6bc1l1000000000.jpg	362500.0	[]	2524.0	NC	350645.0	28613	71946707
2.0	3	Conover	[u'Lot: 1.06 acres', u'Single Family', u'Built in 1999', u'All time views: 497', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $78,350', u'Last sale price/sqft: $50', u'Fireplace', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Lot depth: 313 ft', u'Lot width: 148 ft', u'Parcel #: 3751183064770000', u'Zillow Home ID: 71548854']	http://photos2.zillowstatic.com/p_e/IS5uu99cq07vha1000000000.jpg	78350.0	[]	1564.0	NC	75019.0	28613	71548854
2.0	2	Conover	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1967', u'All time views: 1,285', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jun 2016 for $129,000', u'Last sale price/sqft: $63', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport, Garage - Attached, 1 space, 338 sqft garage', u'Patio', u'Pool', u'Porch', u'Equipment: Hood', u'Heating: Central Air', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Sewer: City Sewer', u'Water: City Water', u'Laundry Location: Basement', u'Property Sub Type: 1 Story Basement', u'Driveway: Concrete', u'Fenced Yard', u'Listing Financing: USDA', u'Outbuilding', u'Zoning: SFR', u'Architectural Style: Ranch', u'None', u'Parking: Garage Door Opener', u'Parking: Parking Space - 2', u'Parking: Driveway', u'Sloping', u'Kitchen Island', u'Window Treatments', u'Construction Type: Site Built', u'Selling Agent MLS Board: Unspecificed', u'Selling Agent Primary Board: Unspecificed', u'Listing Agent MLS Board: Catawba Valley Association of Realtors', u'Listing Agent Primary Board: Catawba Valley Association of Realtors', u'Dishwasher', u'Dryer', u'Microwave', u'Washer', u'Dining room', u'Laundry room', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,038 sqft', u'Heating: Other', u'Laundry: In Unit', u'Lot depth: 217 ft', u'Lot width: 110 ft', u'Parcel #: 3741104760000000', u'Zillow Home ID: 71949216']	http://photos3.zillowstatic.com/p_e/IShr495einhd0f1000000000.jpg	129000.0	[]	2038.0	NC	132464.0	28613	71949216
