baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Corapeake	[u'Lot: 1 acre', u'Single Family', u'Built in 1992', u'All time views: 3,681', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $155,000', u'Last sale price/sqft: $132', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, Garage - Detached, 800 sqft garage', u'Country Home', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Composition', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,176 sqft', u'Heating: Electric', u'Parcel #: 05-01096', u'Zillow Home ID: 106979592']	http://photos1.zillowstatic.com/p_e/IS9914mik867xf0000000000.jpg	155000.0	[]	1176.0	NC	187576.0	27926	106979592
2.0	4	Corapeake	[u'Baths: 2 full, 1 half', u'Lot: 1.28 acres', u'Single Family', u'Built in 2005', u'All time views: 7,041', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $200,000', u'Last sale price/sqft: $78', u'Fireplace', u'Flooring: Laminate, Tile', u'Parking: Carport', u'Water Heater: Electric', u'Water: County Water', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Attic: Pull Down Stairs', u'Rooms: Living Room', u'Rooms: Kitchen', u'Water Desc: None', u'Large Master Bedroom', u'Washer Hook-up', u'Dryer Hook-up', u'Gas Logs (Propane)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Rooms: Foyer', u'Garage: Garage-None', u'Half Bath', u'Split Floor Plan', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Location Description: None', u'Rooms: Den', u'Floors: Wall to Wall', u'Flood Zone: None', u'Drive: Gravel', u'Heating System: Electric Furnace', u'Un-FROG', u'Above Ground Swimming Pool', u'County: Gates', u'Invisible Dog Fence', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 2,550 sqft', u'Parcel #: 10-00282', u'Zillow Home ID: 106977409']	http://photos2.zillowstatic.com/p_e/IStgkf4t522mse1000000000.jpg	200000.0	[]	2550.0	NC	215717.0	27926	106977409
3.0	3	Gates	[u'Baths: 2 full, 1 half', u'Lot: 5.38 acres', u'Single Family', u'Built in 1992', u'All time views: 1,531', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $190,000', u'Last sale price/sqft: $119', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Laminate, Tile', u'Pool', u'Water Heater: Electric', u'Water: County Water', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Large Master Bedroom', u'No Fence', u'Type & Style: Two Stories', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Rooms: Utility Room', u'Flood Zone: None', u'Drive: Gravel', u'Location Description: 3.1-10 acres', u'County: Gates', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,600 sqft', u'Laundry: In Unit', u'Parcel #: 01-01101', u'Zillow Home ID: 106976555']	http://photos1.zillowstatic.com/p_e/ISdovsmem5wejq1000000000.jpg	190000.0	[]	1600.0	NC	154612.0	27937	106976555
2.0	3	Corapeake	[u'Lot: 1.21 acres', u'Single Family', u'Built in 1997', u'All time views: 2,307', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jan 2016 for $30,000', u'Last sale price/sqft: $26', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport', u'Porch', u'Water Heater: Electric', u'Water: County Water', u'Attic: None', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Water Desc: None', u'Storage Building', u'Washer Hook-up', u'Dryer Hook-up', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Owner Acc Financing: FHA', u'Flood Zone: None', u'Drive: Gravel', u'Modular: Multi Section Manufacture', u'Ownership Rights: Government Owned', u'County: Gates', u'Range / Oven', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,147 sqft', u'Laundry: Shared', u'Zillow Home ID: 2123385182']	http://photos2.zillowstatic.com/p_e/ISpxyy4to06pxh1000000000.jpg	30000.0	[]	1147.0	NC	137416.0	27926	2123385182
2.0	3	Corapeake	[u'Lot: 2.69 acres', u'Single Family', u'Built in 2008', u'177 days on Zillow', u'Views since listing: 2,282', u'All time views: 7,802', u'16 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2015 for $158,000', u'Last sale price/sqft: $65', u'MLS #: 83695', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Jetted Tub', u'Parking: Carport', u'Wet Bar', u'Water Heater: Electric', u'Water: County Water', u'Rooms: Great Room', u'Type & Style: One Story', u'Foundation: Crawl Space', u'Rooms: Kitchen', u'Water Desc: None', u'Storage Building', u'Large Master Bedroom', u'Washer Hook-up', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u'Sewer: Septic-Sewer', u'Owner Acc Financing: Conventional', u'Garage: Garage-None', u'Location Description: 1- 3 acres', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Rooms: Utility Room', u'Floors: Wall to Wall', u'Newly Decorated', u'Location Description: Horses Permitted', u'Modular: Multi Section Manufacture', u'Rooms: Rec Room', u'Drive: Other', u'County: Gates', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Composition', u'Stories: 1', u'Floor size: 2,432 sqft', u'Laundry: In Unit', u'Parcel #: 04-00903', u'Zillow Home ID: 106979393']	http://photos2.zillowstatic.com/p_e/ISecer4mync4po0000000000.jpg	158000.0	[]	2432.0	NC	195730.0	27926	106979393
2.0	3	Corapeake	[u'Lot: 1.88 acres', u'Single Family', u'Built in 1996', u'All time views: 2,099', u'Cooling: Central, Solar', u'Heating: Heat pump, Stove', u'Last sold: Oct 2015 for $131,000', u'Last sale price/sqft: $107', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Garage - Detached, Off street, 2 spaces, 860 sqft garage', u'Storage', u'Vaulted Ceiling', u'View: Territorial', u'Ownership Type: Simple', u'AICUZ Crash: None', u'Pool: No Pool', u'Fence Description: None', u'Water Type: County', u'Appliances: Dryer Hookup', u'Foundation Type: Crawl', u'Heating: Programmable Thermostat', u'Rooms Other: Utility Room', u'Parking: Garage', u'Waterfront Description: Not Waterfront', u'Walk-In Attic', u'Rooms Other: Bath', u'AICUZ Noise: -65', u'Rooms Other: First Floor Master Bedroom', u'Style: Ranch', u'Rooms Other: 1st FBR', u'Appliances: 220 V Elec', u'Water Heater Type: Electric', u'Parking: Multi Car', u'Cooling: C', u'Sewer Type: Septic', u'Parking: 4 Car', u'Subdivision Number: 002', u'Subdivision Name: CORAPEAKE', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Foundation type: Concrete', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,219 sqft', u'Heating: Electric, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 05-00500', u'Zillow Home ID: 106979734']	http://photos2.zillowstatic.com/p_e/IS1nupumu9qjzp1000000000.jpg	131000.0	[]	1219.0	NC	153921.0	27926	106979734
2.0	4	Corapeake	[u'Lot: 10.1 acres', u'Single Family', u'Built in 2004', u'All time views: 2,504', u'Heating: Forced air', u'Last sold: Feb 2015 for $168,000', u'Last sale price/sqft: $79', u'Fireplace', u'Parking: Carport', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 2,128 sqft', u'Parcel #: 10-00966', u'Zillow Home ID: 106978039']	http://photos3.zillowstatic.com/p_e/ISxvyziwhqejpo0000000000.jpg	168000.0	[]	2128.0	NC	201735.0	27926	106978039
2.0	3	Corapeake	[u'Lot: 3.24 acres', u'Single Family', u'Built in 1988', u'All time views: 2,442', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Sep 2014 for $135,100', u'Last sale price/sqft: $123', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, 1 space', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Sun room', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,101 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 04-00711', u'Zillow Home ID: 106979335']	http://photos2.zillowstatic.com/p_e/IS1z35yewmgbdk1000000000.jpg	135100.0	[]	1101.0	NC	182493.0	27926	106979335
2.0	3	Corapeake	[u'Lot: 3.01 acres', u'Single Family', u'Built in 1997', u'All time views: 348', u'Heating: Heat pump', u'Last sold: Jun 2014 for $33,000', u'Last sale price/sqft: $18', u'Fireplace', u'Pool', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,812 sqft', u'Parcel #: 04-01059', u'Zillow Home ID: 106979141']	http://photos2.zillowstatic.com/p_e/ISphecx6hko34q1000000000.jpg	33000.0	[]	1812.0	NC	176558.0	27926	106979141
2.0	3	Corapeake	[u'Lot: 1.01 acres', u'Single Family', u'Built in 1996', u'All time views: 6,715', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: May 2014 for $125,000', u'Last sale price/sqft: $62', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Garden', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Garage - Detached, Off street, 1600 sqft garage', u'Porch', u'Security System', u'View: Territorial', u'Wet Bar', u'Wired', u'Ownership Type: Simple', u'AICUZ Crash: None', u'Pool: No Pool', u'Water Type: County', u'Foundation Type: Crawl', u'Parking: Garage', u'Waterfront Description: Not Waterfront', u'Rooms Other: Bath', u'AICUZ Noise: -65', u'Flooring Type: Ceramic', u'Fence Description: Back Fenced', u'Fence Description: Privacy', u'Fence YN: Yes', u'Rooms Other: First Floor Master Bedroom', u'Equipment: Security Sys', u'Style: Ranch', u'Window Treatments', u'Rooms Other: 1st FBR', u'Appliances: 220 V Elec', u'Water Heater Type: Electric', u'Rooms Other: Breakfast Area', u'Equipment: Attic Fan', u'Equipment: Gar Door Opener', u'Pull Down Attic Stairs', u'Heating: Electric', u'Bar', u'Fence Description: Wood Fence', u'Sewer Type: Septic', u'Parking: 4 Car', u'Parking: Oversized Gar', u'Miscellaneous: Pet Restrictions', u'Subdivision Name: GATES', u'Subdivision Number: 006', u'Rain Water Harvesting', u'Dishwasher', u'Dryer', u'Freezer', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Recreation room', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,000 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2006', u'Laundry: In Unit', u'Parcel #: 05-01316', u'Zillow Home ID: 106979493']	http://photos2.zillowstatic.com/p_e/ISpxmtoja6hxr41000000000.jpg	125000.0	[]	2000.0	NC	194886.0	27926	106979493
