baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
5.0	4	Corolla	[u'Baths: 3 full, 2 half', u'Lot: 9,918 sqft', u'Single Family', u'Built in 2016', u'All time views: 2,609', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $395,000', u'Last sale price/sqft: $209', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport', u'Pool', u'Vaulted Ceiling', u'Waterfront', u'Wet Bar', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Health Club', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ASSOCIATION AMENITIES: Playground', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'County: Currituck', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Park', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'FOUNDATION: Piling', u'HEATING: Central', u'HEATING: Electric', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'OPTIONAL ROOMS: Pantry', u'SEWER: Municipal Sewer', u'STYLE: Coastal', u'VIEW DESCRIPTION: Sound', u'Primary Residence (Y: Yes', u'ASSOCIATION FEE INCLUDES: Management', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'LOT DESCRIPTION: Corner', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'Area: Corolla Westside', u'Subdivision: Monteray Shores', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Pool Type: Private and Association', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Recreation room', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Floor size: 1,890 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100826809']	http://photos3.zillowstatic.com/p_e/ISl2g8yyxrnu770000000000.jpg	395000.0	[]	1890.0	NC	403480.0	27927	2100826809
3.5	4	Corolla	"[u'Single Family', u'Built in 2013', u'All time views: 1,544', u'HOA Fee: $667/mo', u'Last sold: Jul 2016 for $390,000', u'Last sale price/sqft: $173', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Yearly Income Act: Estimated', u'Oil: No Representation', u'Area: Corolla Oceanside', u'ASSOCIATION AMENITIES: Ocean Access', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'PARKING: Paved', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Living Room Level: 3', u'Kitchen Level: 3', u'Bedroom 3 Level: 2', u'Association Fee Y: Yes', u'County: Currituck', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Landscaped', u'HEATING: Central', u'HEATING: Electric', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'STYLE: Coastal', u'Bedroom 1 Level: 2', u'EXTERIOR: Lap Siding', u'ASSOCIATION FEE INCLUDES: Management', u'COUNTER TOPS: Other', u'FOUNDATION: Slab', u'Bedroom 2 Level: 2', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Walkways', u'COUNTER TOPS: Laminate', u'GARAGE: 1 Car', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Beach Access', u'EXTRAS: Lawn Sprinklers', u'SEWER: Community Septic', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'Rental Co: Sun Realty', u'Family Room Level: Ground', u'LOT DESCRIPTION: Zero Lot Line', u'Subdivision: Corolla Bay', u'Bedroom 4 Level: Ground', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Pool Type: Association', u'Floor size: 2,248 sqft', u'Zillow Home ID: 2102802535']"	http://photos1.zillowstatic.com/p_e/IS91nff38uktwb0000000000.jpg	390000.0	[]	2248.0	NC	438751.0	27927	2102802535
5.5	6	Corolla	[u'Baths: 5 full, 1 half', u'Lot: 0.34 acres', u'Single Family', u'Built in 2006', u'All time views: 4,026', u'Cooling: Central', u'Last sold: Jul 2016 for $421,000', u'Last sale price/sqft: $174', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Furnished', u'Hot Tub/Spa', u'Pool', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Yearly Income Act: Estimated', u'FLOOD ZONE: X', u'GARAGE: None', u'Association Fee Y: Yes', u'County: Currituck', u'EXTRAS: Outside Lighting', u'FOUNDATION: Piling', u'HEATING: Central', u'VIEW DESCRIPTION: Sound', u'SEWER: Private Septic', u'STYLE: Reverse Floor Plan', u'VIEW DESCRIPTION: Ocean', u'Rental Co: Twiddy and Company', u'WATER: Well', u'Area: 4-Wheel Drive Area', u'FLOOD ZONE: Cobra', u'ROADS: Unpaved', u'WATER: Private', u'Subdivision: North Swan Bch', u'EXTRAS: Water Filter', u'EXTRAS: Storage Shed', u'CONSTRUCTION: Modular (Pre-Fab)', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Unit count: 1', u'Floor size: 2,422 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2101781089']	http://photos1.zillowstatic.com/p_e/ISd4kmynhf689c1000000000.jpg	421000.0	[]	2422.0	NC	444736.0	27927	2101781089
4.0	5	Corolla	[u'Single Family', u'Built in 1991', u'All time views: 6,655', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $337,000', u'Last sale price/sqft: $112', u'Fireplace', u'Flooring: Carpet', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Health Club', u'ASSOCIATION AMENITIES: Ocean Access', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ASSOCIATION AMENITIES: Playground', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'OPTIONAL ROOMS: Game Room', u'ROADS: Paved', u'WATER: Municipal', u'Subdivision: Corolla Light', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'County: Currituck', u'ASSOCIATION AMENITIES: Park', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'EXTERIOR: Shakes', u'EXTRAS: Smoke Detector(s)', u'FOUNDATION: Piling', u'HEATING: Central', u'INTERIOR FEATURES: Dryer Connection', u'SEWER: Municipal Sewer', u'VIEW DESCRIPTION: Sound', u'Yearly Expense Act: Actual', u'ASSOCIATION FEE INCLUDES: Security', u'LOT DESCRIPTION: Cul-de-sac', u'ASSOCIATION AMENITIES: Indoor-Comm. Pool', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'LOT DESCRIPTION: Corner', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Beach Access', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'Area: Corolla Westside', u'ASSOCIATION AMENITIES: Indoor-Comm. Tennis', u'Rental Co: Beach Realty & Construction', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Recreation room', u'Exterior material: Wood', u'Foundation type: Slab', u'Roof type: Asphalt', u'Stories: 3', u'Structure type: Other', u'Floor size: 3,000 sqft', u'Laundry: In Unit', u'Parcel #: 115B00005060000', u'Zillow Home ID: 78320228']	http://photos1.zillowstatic.com/p_e/ISlu57gdk7d4bl0000000000.jpg	337000.0	[]	3000.0	NC	441700.0	27927	78320228
4.0	4	Corolla	"[u'Baths: 3 full, 1 half', u'Lot: 2,448 sqft', u'Single Family', u'Built in 2015', u'All time views: 931', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $399,000', u'Last sale price/sqft: $177', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Parking: Carport', u'Patio', u'Pool', u'Vaulted Ceiling', u'Waterfront', u'Wet Bar', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'Area: Corolla Oceanside', u'ASSOCIATION AMENITIES: Ocean Access', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'PARKING: Paved', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Living Room Level: 3', u'Kitchen Level: 3', u'Bedroom 3 Level: 2', u'Association Fee Y: Yes', u'County: Currituck', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Landscaped', u'HEATING: Central', u'HEATING: Electric', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'STYLE: Coastal', u'Bedroom 1 Level: 2', u'EXTERIOR: Lap Siding', u'ASSOCIATION FEE INCLUDES: Management', u'COUNTER TOPS: Other', u'FOUNDATION: Slab', u'Bedroom 2 Level: 2', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Walkways', u'COUNTER TOPS: Laminate', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Beach Access', u'EXTRAS: Lawn Sprinklers', u'SEWER: Community Septic', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'Family Room Level: Ground', u'LOT DESCRIPTION: Zero Lot Line', u'Subdivision: Corolla Bay', u'Bedroom 4 Level: Ground', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Pool Type: Association', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Floor size: 2,248 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2099744442']"	http://photos3.zillowstatic.com/p_e/IShbskxkqa4jp61000000000.jpg	399000.0	[]	2248.0	NC	400123.0	27927	2099744442
6.5	6	Crolla	[u'Lot: 0.39 acres', u'Single Family', u'Built in 2015', u'All time views: 1,706', u'HOA Fee: $83/mo', u'Last sold: Jun 2016 for $899,000', u'Last sale price/sqft: $253', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'ASSOCIATION AMENITIES: Ocean Access', u'CONSTRUCTION: Wood', u'OPTIONAL ROOMS: Game Room', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Living Room Level: 3', u'Kitchen Level: 3', u'Bedroom 3 Level: 2', u'Bedroom 5 Level: 2', u'Bedroom 4 Level: 2', u'Association Fee Y: Yes', u'County: Currituck', u'AIR CONDITIONING: Zoned', u'APPLIANCES: Wall Oven', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTERIOR: Shakes', u'EXTRAS: Handicap Friendly', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'HEATING: Electric', u'HEATING: Zoned', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'INTERIOR FEATURES: Washer Connection', u'OPTIONAL ROOMS: Pantry', u'VIEW DESCRIPTION: Sound', u'OPTIONAL ROOMS: Utility Room', u'ASSOCIATION FEE INCLUDES: Management', u'LOT DESCRIPTION: Cul-de-sac', u'Bedroom 2 Level: 2', u'COUNTER TOPS: Laminate', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Beach Access', u'PARKING: Under', u'SEWER: Community Septic', u'OPTIONAL ROOMS: Shipswatch', u'Game Room Level: Ground', u'Bedroom 6 Level: Ground', u'Bedroom 1 Level: 3', u'Utility Room Level: Ground', u'Area: Corolla Westside', u'Subdivision: Corolla Bay', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Pool Type: Private', u'Floor size: 3,555 sqft', u'Zillow Home ID: 2102649300']	http://photos2.zillowstatic.com/p_e/IS5uygtre6tknb1000000000.jpg	899000.0	[]	3555.0	NC	744665.0	27927	2102649300
4.0	4	Corolla	"[u'Baths: 3 full, 1 half', u'Lot: 2,448 sqft', u'Single Family', u'Built in 2015', u'All time views: 1,317', u'HOA Fee: $167/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $409,900', u'Last sale price/sqft: $182', u'Barbecue', u'Basketball Court', u'Cable Ready', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Hot Tub/Spa', u'Lawn', u'Parking: Carport, Off street, On street, 1 space', u'Patio', u'Pool', u'Porch', u'Sports Court', u'Sprinkler System', u'Vaulted Ceiling', u'Waterfront', u'Wet Bar', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Area: Corolla Oceanside', u'ASSOCIATION AMENITIES: Ocean Access', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'PARKING: Paved', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Living Room Level: 3', u'Kitchen Level: 3', u'Bedroom 3 Level: 2', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'County: Currituck', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTRAS: Landscaped', u'HEATING: Central', u'HEATING: Electric', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'STYLE: Coastal', u'Bedroom 1 Level: 2', u'EXTERIOR: Lap Siding', u'ASSOCIATION FEE INCLUDES: Management', u'COUNTER TOPS: Other', u'FOUNDATION: Slab', u'Bedroom 2 Level: 2', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Walkways', u'COUNTER TOPS: Laminate', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'EXTRAS: Beach Access', u'EXTRAS: Lawn Sprinklers', u'SEWER: Community Septic', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'Family Room Level: Ground', u'LOT DESCRIPTION: Zero Lot Line', u'Subdivision: Corolla Bay', u'Bedroom 4 Level: Ground', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Pool Type: Association', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 3', u'Floor size: 2,248 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2100596900']"	http://photos2.zillowstatic.com/p_e/IS1vkvqyesj2r61000000000.jpg	409900.0	[]	2248.0	NC	404181.0	27927	2100596900
4.0	6	Corolla	[u'Single Family', u'Built in 2005', u'All time views: 975', u'Cooling: Central', u'Last sold: Jun 2016 for $358,000', u'Last sale price/sqft: $150', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Hot Tub/Spa', u'Parking: Carport', u'Pool', u'Vaulted Ceiling', u'Wet Bar', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Area: Corolla Oceanside', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'County: Currituck', u'AIR CONDITIONING: Zoned', u'CONSTRUCTION: Frame', u'HEATING: Central', u'HEATING: Zoned', u'INTERIOR FEATURES: Master Bath', u'LOT DESCRIPTION: Level', u'LOT DESCRIPTION: Cul-de-sac', u'COUNTER TOPS: Laminate', u'SEWER: Community Septic', u'Subdivision: Ocean Sands', u'Rental Co: Seaside Vacations', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Pool Type: Private', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Floor size: 2,386 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2099898479']	http://photos2.zillowstatic.com/p_e/IStggc7uge40te1000000000.jpg	358000.0	[]	2386.0	NC	402040.0	27927	2099898479
6.0	6	Corolla	[u'Lot: 0.58 acres', u'Single Family', u'Built in 2001', u'All time views: 4,832', u'36 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $362,000', u'Last sale price/sqft: $107', u'Deck', u'Fireplace', u'Flooring: Carpet, Tile', u'Pool', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Area: Corolla Oceanside', u'CONSTRUCTION: Wood', u'GARAGE: None', u'OPTIONAL ROOMS: Game Room', u'ROADS: Paved', u'WATER: Municipal', u'Association Fee Y: Yes', u'County: Currituck', u'CONSTRUCTION: Frame', u'FOUNDATION: Piling', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'PARKING: Off Street', u'ROADS: Public', u'STYLE: Coastal', u'SEWER: Private Septic', u'COUNTER TOPS: Laminate', u'EXTRAS: Outside Shower', u'STYLE: Reverse Floor Plan', u'PARKING: Under', u'Subdivision: Ocean Sands', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'LA2Agent Phone1 CountryId: United States (+1)', u'LA2Agent Phone4 CountryId: United States (+1)', u'Pool Type: Private', u'Exterior material: Vinyl', u'Foundation type: Slab', u'Roof type: Asphalt', u'Stories: 3', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,378 sqft', u'Parcel #: 126A0000188000C', u'Zillow Home ID: 97069912']	http://photos3.zillowstatic.com/p_e/IS-1f5lrxqzw3lul.jpg	362000.0	[]	3378.0	NC	682313.0	27927	97069912
3.5	4	Corolla	[u'Baths: 3 full, 1 half', u'Single Family', u'Built in 1986', u'All time views: 3,117', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $425,000', u'Last sale price/sqft: $208', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Furnished', u'Jetted Tub', u'Parking: Carport, 3 spaces', u'Pool', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Health Club', u'ASSOCIATION AMENITIES: Ocean Access', u'ASSOCIATION AMENITIES: Outdoor-Comm. Tennis', u'ASSOCIATION AMENITIES: Playground', u'CONSTRUCTION: Wood', u'LOT DESCRIPTION: Wooded', u'PARKING: Paved', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Subdivision: Corolla Light', u'Rental Co: Brindley Beach Vacations', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'County: Currituck', u'AIR CONDITIONING: Zoned', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'EXTRAS: Outside Lighting', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'HEATING: Central', u'HEATING: Electric', u'HEATING: Zoned', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'VIEW DESCRIPTION: Sound', u'ASSOCIATION FEE INCLUDES: Management', u'ASSOCIATION FEE INCLUDES: Security', u'FOUNDATION: Slab', u'LOT DESCRIPTION: Bulkheaded', u'LOT DESCRIPTION: Cul-de-sac', u'ASSOCIATION AMENITIES: Indoor-Comm. Pool', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION FEE INCLUDES: Tennis Courts', u'ASSOCIATION FEE INCLUDES: Walkways', u'COUNTER TOPS: Laminate', u'EXTRAS: Outside Shower', u'INTERIOR FEATURES: All Window Treatments', u'LOT DESCRIPTION: Corner', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'GARAGE: 3 + Car', u'SEWER: Community Septic', u'ASSOCIATION AMENITIES: Racquetball', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'INTERIOR FEATURES: Beamed Ceiling(s)', u'Area: Corolla Westside', u'ASSOCIATION AMENITIES: Indoor-Comm. Tennis', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Foundation type: Piling', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,040 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 115B00003060000', u'Zillow Home ID: 78320149']	http://photos1.zillowstatic.com/p_e/IS1z70dy6iuqlb1000000000.jpg	425000.0	[]	2040.0	NC	432624.0	27927	78320149
