baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Danbury	[u'Lot: 7 acres', u'Single Family', u'Built in 2002', u'All time views: 1,136', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $185,000', u'Last sale price/sqft: $94', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 2', u'Floor size: 1,967 sqft', u'Parcel #: 695700921007', u'Zillow Home ID: 78356709']	http://photos1.zillowstatic.com/p_e/ISx3liaivatz4k1000000000.jpg	185000.0	[]	1967.0	NC	194588.0	27016	78356709
2.0	3	Danbury	[u'Lot: 4 acres', u'Single Family', u'Built in 2002', u'All time views: 2,319', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2015 for $197,500', u'Last sale price/sqft: $104', u'Fireplace', u'Flooring: Hardwood, Tile', u'Unfinished basement', u'Appliances: Built-in Microwave', u'Appliances: Dishwasher', u'Attic Description: Access Only', u'Built Information: Existing', u'Cooling: Central', u'Garden Space', u'Paved Drive', u'Association: Winston-Salem', u'Deck', u'Exterior Finish: Stone', u'Fireplace Location: Living Room', u'Flooring: Tile', u'Flooring: Wood', u'Heating: Heat Pump', u'Status: Pending', u'Heating Fuel: Electric', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Jetted Tub', u'Separate Shower', u'Foundation Basement: Basement', u'List Type: Exclusive Right to Sell', u'Appliances: Range', u'Lot Description: Wooded', u'Sewer: Septic', u'Accent Lighting', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Water: Well', u'Story Number: 1.5', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Skylight', u'Screened Porch', u'Fireplace Location: Basement', u'Lot Description: Secluded Lot', u'Elementary School: Lawsonville', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Master bath', u'Exterior material: Stone, Vinyl', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,904 sqft', u'Heating: Electric, Other', u'Parcel #: 695700182682', u'Zillow Home ID: 93091296']	http://photos3.zillowstatic.com/p_e/IS5arpztxia9qi1000000000.jpg	197500.0	[]	1904.0	NC	206043.0	27016	93091296
1.0	2	Danbury	[u'Lot: 1 acre', u'Single Family', u'Built in 1973', u'All time views: 438', u'Last sold: Jul 2015 for $58,000', u'Last sale price/sqft: $72', u'Floor size: 800 sqft', u'Zillow Home ID: 2145509397']	http://photos1.zillowstatic.com/p_e/ISpp46w4f0z4s91000000000.jpg	58000.0	[]	800.0	NC	63913.0	27016	2145509397
2.0	2	Danbury	[u'Lot: 33.8 acres', u'Single Family', u'Built in 1995', u'All time views: 6,629', u'Cooling: Central, Geothermal', u'Last sold: Apr 2015 for $266,000', u'Last sale price/sqft: $101', u'Ceiling Fan', u'Fenced Yard', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Patio', u'Storage', u'Vaulted Ceiling', u'View: Mountain', u'Living room', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Pantry', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 2', u'Floor size: 2,623 sqft', u'Heating: Electric, Solar', u'Parcel #: 693800213823', u'Zillow Home ID: 78355419']	http://photos2.zillowstatic.com/p_e/IS1nuhgi7jhekq1000000000.jpg	266000.0	[]	2623.0	NC	239411.0	27016	78355419
1.0	3	Danbury	[u'Lot: 51 acres', u'Single Family', u'Built in 1950', u'All time views: 142', u'Last sold: Dec 2014 for $120,000', u'Last sale price/sqft: $120', u'Exterior material: Stone', u'Foundation type: Footing', u'Stories: 1', u'Floor size: 1,000 sqft', u'Parcel #: 694800368207', u'Zillow Home ID: 78356034']	http://photos1.zillowstatic.com/p_e/IS113rtcy3p4jvn.jpg	120000.0	[]	1000.0	NC	0.0	27016	78356034
2.0	3	Danbury	[u'Lot: 10 acres', u'Single Family', u'Built in 2000', u'All time views: 1,055', u'Cooling: Other', u'Heating: Baseboard, Heat pump', u'Last sold: Aug 2014 for $100,000', u'Last sale price/sqft: $53', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Jetted Tub', u'Parking: Garage - Detached, 800 sqft garage', u'Porch', u'Security System', u'View: Water', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Exterior material: Brick, Vinyl', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,872 sqft', u'Heating: Electric', u'Parcel #: 695700816156', u'Zillow Home ID: 78356700']	http://photos1.zillowstatic.com/p_e/IS-bwz81a8y3ntp.jpg	100000.0	[]	1872.0	NC	210999.0	27016	78356700
1.0	2	Danbury	[u'Lot: 2.04 acres', u'Single Family', u'Built in 1940', u'All time views: 624', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2014 for $55,000', u'Last sale price/sqft: $50', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Range / Oven', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 1,100 sqft', u'Heating: Electric', u'Parcel #: 694900178122', u'Zillow Home ID: 78356082']	http://photos3.zillowstatic.com/p_e/IS5649gsgoei2r1000000000.jpg	55000.0	[]	1100.0	NC	80668.0	27016	78356082
1.0	2	Danbury	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1921', u'All time views: 174', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2014 for $125,000', u'Last sale price/sqft: $68', u'Fireplace', u'Parking: Garage - Attached, 1000 sqft garage', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1.5', u'Floor size: 1,850 sqft', u'Parcel #: 694606491618', u'Zillow Home ID: 78356004']	http://photos3.zillowstatic.com/p_e/IS12hw68c208ecj.jpg	125000.0	[]	1850.0	NC	121931.0	27016	78356004
1.0	3	Danbury	[u'Lot: 55.42 acres', u'Single Family', u'Built in 2008', u'All time views: 835', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2014 for $145,100', u'Last sale price/sqft: $98', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Laminate', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Unfinished basement', u'Cooling System: Central', u'Living room', u'Microwave', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,487 sqft', u'Heating: Electric', u'Parcel #: 695900061505', u'Zillow Home ID: 93091379']	http://photos3.zillowstatic.com/p_e/IS-1roh19atzvn19.jpg	145100.0	[]	1487.0	NC	0.0	27016	93091379
2.5	3	Danbury	[u'Lot: 7 acres', u'Single Family', u'Built in 2002', u'All time views: 1,139', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $185,000', u'Last sale price/sqft: $94', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 2', u'Floor size: 1,967 sqft', u'Parcel #: 695700921007', u'Zillow Home ID: 78356709']	http://photos1.zillowstatic.com/p_e/ISx3liaivatz4k1000000000.jpg	185000.0	[]	1967.0	NC	194588.0	27016	78356709
