baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Deep Gap	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1981', u'All time views: 968', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $140,000', u'Last sale price/sqft: $50', u'1100 sqft basement', u'Finished basement', u'Fireplace', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 2', u'Floor size: 2,800 sqft', u'Parcel #: 2859708472000', u'Zillow Home ID: 102250875']	http://photos2.zillowstatic.com/p_e/ISphi7488owmw41000000000.jpg	140000.0	[]	2800.0	NC	240009.0	28618	102250875
3.0	3	Deep Gap	[u'Lot: 10.99 acres', u'Single Family', u'Built in 2003', u'All time views: 5,139', u'Cooling: Central', u'Heating: Baseboard, Forced air, Other, Radiant, Stove', u'Last sold: Jun 2016 for $360,000', u'Last sale price/sqft: $137', u'512 sqft basement', u'Ceiling Fan', u'Deck', u'Disability Access', u'Double Pane/Storm Windows', u'Fenced Yard', u'Finished basement', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 2 spaces, 576 sqft garage', u'Patio', u'Porch', u'Storage', u'Vaulted Ceiling', u'View: Mountain', u'Wired', u'Style: Mountain', u'Hot Water: Electric', u'Heat: Air Conditioning', u'Water: Private Well', u'Sewer: Private', u'Driveway: Private Gravel', u'Appliances: Washer Hookup', u'Appliances: Dryer Hookup', u'Amenities: Southern Exposure', u'Amenities: Wooded', u'Garage: 2 Car', u'Amenities: Whirl Pool Tub', u'Fireplace: None', u'Road: Private Gravel', u'Zoning: None', u'Exterior: Cedar', u'Appliances: Wall Oven', u'Amenities: Outbuilding', u'Amenities: Short Term Rental Permitted', u'Amenities: Long Term Rental Permitted', u'Basement: Partial Finish', u'Heat: Radiant-Propane', u'Garage: Oversized', u'Roof: Architectural Shingle', u'Appliances: Cooktop-Electric', u'Construction: Wood Frame', u'Elevation Range: 3501-4000 ft', u'Views: Long Range View', u'Views: Long Range-Layers View', u'Creek', u'Spring', u'Dishwasher', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Mud room', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 3', u'Structure type: Other', u'Floor size: 2,624 sqft', u'Heating: Other, Propane butane, Solar, Wood / pellet', u'Parcel #: 2941982254000', u'Zillow Home ID: 102285949']	http://photos3.zillowstatic.com/p_e/ISt8yc9f08m8en0000000000.jpg	360000.0	[]	2624.0	NC	381292.0	28618	102285949
3.0	3	Deep Gap	[u'Lot: 0.7 acres', u'Single Family', u'Built in 1996', u'All time views: 2,108', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2016 for $235,000', u'Last sale price/sqft: $60', u'980 sqft basement', u'Finished basement', u'Fireplace', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Floor size: 3,901 sqft', u'Parcel #: 2859314893000', u'Zillow Home ID: 102308615']	http://photos2.zillowstatic.com/p_e/ISt43anmo7kaz00000000000.jpg	235000.0	[]	3901.0	NC	358435.0	28618	102308615
3.0	2	Deep Gap	[u'Lot: 0.42 acres', u'Single Family', u'Built in 1981', u'All time views: 3,460', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $170,000', u'Last sale price/sqft: $94', u'450 sqft basement', u'Finished basement', u'Fireplace', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Floor size: 1,805 sqft', u'Parcel #: 2859314895000', u'Zillow Home ID: 102239004']	http://photos1.zillowstatic.com/p_e/ISl6rvy8a3jozy0000000000.jpg	170000.0	[]	1805.0	NC	184285.0	28618	102239004
3.5	3	Deep Gap	[u'Lot: 0.81 acres', u'Single Family', u'Built in 1999', u'All time views: 3,063', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $274,500', u'Last sale price/sqft: $91', u'1052 sqft basement', u'Finished basement', u'Flooring: Hardwood', u'View: Mountain', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Floor size: 3,015 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Parcel #: 2859729380000', u'Zillow Home ID: 102353879']	http://photos3.zillowstatic.com/p_e/ISto66ypffye7i0000000000.jpg	274500.0	[]	3015.0	NC	306734.0	28618	102353879
3.0	3	Deep Gap	[u'Lot: 0.45 acres', u'Single Family', u'Built in 1983', u'All time views: 1,884', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $211,600', u'Last sale price/sqft: $81', u'1464 sqft basement', u'Finished basement', u'Fireplace', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Floor size: 2,616 sqft', u'Parcel #: 2858885902000', u'Zillow Home ID: 102277971']	http://photos1.zillowstatic.com/p_e/IS91zgsndlu3tn1000000000.jpg	211600.0	[]	2616.0	NC	228416.0	28618	102277971
1.5	3	Deep Gap	[u'Baths: 1 full, 1 half', u'Lot: 0.77 acres', u'Single Family', u'Built in 1975', u'All time views: 4,809', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $82,000', u'Last sale price/sqft: $79', u'Fireplace', u'Roof type: Other', u'Room count: 5', u'Stories: 2', u'Floor size: 1,034 sqft', u'Parcel #: 2858896813000', u'Zillow Home ID: 102351758']	http://photos1.zillowstatic.com/p_e/ISdgd1r24uqz171000000000.jpg	82000.0	[]	1034.0	NC	136099.0	28618	102351758
2.0	3	Deep Gap	[u'Lot: 1 acre', u'Single Family', u'Built in 2002', u'All time views: 3,481', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $160,000', u'Last sale price/sqft: $111', u'560 sqft basement', u'Finished basement', u'Fireplace', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 2', u'Floor size: 1,436 sqft', u'Parcel #: 2950936590000', u'Zillow Home ID: 102286956']	http://photos2.zillowstatic.com/p_e/ISt00hra8w1ve50000000000.jpg	160000.0	[]	1436.0	NC	189177.0	28618	102286956
2.0	3	Deep Gap	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1980', u'All time views: 1,701', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $127,000', u'Last sale price/sqft: $83', u'Fireplace', u'Parking: 3 spaces', u'Microwave', u'Range / Oven', u'Refrigerator', u'Family room', u'Roof type: Other', u'Room count: 5', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 1,527 sqft', u'Parcel #: 2859312559000', u'Zillow Home ID: 102311287']	http://photos3.zillowstatic.com/p_e/IS88m07mdhqi03.jpg	127000.0	[]	1527.0	NC	150731.0	28618	102311287
2.0	3	Deep Gap	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1972', u'All time views: 832', u'Heating: Forced air, Heat pump', u'Last sold: Jan 2016 for $163,000', u'Last sale price/sqft: $91', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'View: Mountain', u'Living room', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,798 sqft', u'Heating: Electric, Gas', u'Parcel #: 2941944391000', u'Zillow Home ID: 102267586']	http://photos1.zillowstatic.com/p_e/ISpl5sm769ntxq0000000000.jpg	163000.0	[]	1798.0	NC	174576.0	28618	102267586
