baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Herlong	[u'Lot: 1 acre', u'Single Family', u'Built in 1954', u'All time views: 630', u'Last sold: Jun 2015 for $71,000', u'Last sale price/sqft: $76', u'Garden', u'Lawn', u'Parking: Carport, Garage - Detached, 4 spaces, 576 sqft garage', u'Pool', u'Porch', u'RV Parking', u'Sprinkler System', u'View: Mountain', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Unit count: 2', u'Floor size: 940 sqft', u'Last remodel year: 2008', u'Parcel #: 1391001311', u'Zillow Home ID: 19112583']	http://photos3.zillowstatic.com/p_e/ISxn0g25ehf8qp0000000000.jpg	71000.0	[]	940.0	CA	58839.0	96113	19112583
1.0	2	Doyle	[u'Lot: 0.93 acres', u'Single Family', u'Built in 1969', u'All time views: 1,296', u'Cooling: Evaporative, Other', u'Heating: Other, Stove', u'Last sold: Mar 2015 for $28,000', u'Last sale price/sqft: $23', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Off street', u'Porch', u'RV Parking', u'Storage', u'View: Mountain', u'Living room', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 7', u'Stories: 1', u'Floor size: 1,200 sqft', u'Heating: Propane butane', u'Last remodel year: 1984', u'Zillow Home ID: 2109695343']	http://photos3.zillowstatic.com/p_e/ISlqawjvvd4w2e1000000000.jpg	28000.0	[]	1200.0	CA	195791.0	96109	2109695343
2.0	3	Doyle	[u'Lot: 6 acres', u'Single Family', u'Built in 1990', u'All time views: 1,111', u'Cooling: None', u'Heating: Stove', u'Last sold: Apr 2014 for $81,500', u'Last sale price/sqft: $58', u'Deck', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Mountain', u'Dishwasher', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Other', u'Parcel #: 1413703111', u'Unit floor #: 1', u'Zillow Home ID: 19113116']	http://photos3.zillowstatic.com/p_e/IStkj1can06mw91000000000.jpg	81500.0	[]	1400.0	CA	211202.0	96109	19113116
2.0	3	Doyle	[u'Lot: 20 acres', u'Single Family', u'Built in 1977', u'All time views: 1,313', u'Last sold: Jan 2014 for $97,000', u'Last sale price/sqft: $49', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,989 sqft', u'Last remodel year: 1977', u'Parcel #: 1413602711', u'Zillow Home ID: 19113094']	http://photos3.zillowstatic.com/p_e/ISxn8qv4ovtk3e1000000000.jpg	97000.0	[]	1989.0	CA	352086.0	96109	19113094
2.0	2	Frenchmen Lake	[u'Lot: 10.25 acres', u'Single Family', u'Built in 2008', u'All time views: 121', u'Cooling: None', u'Heating: Wall', u'Last sold: Jan 2014 for $70,000', u'Last sale price/sqft: $52', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Slate, Tile', u'Gated Entry', u'Parking: Off street', u'Patio', u'RV Parking', u'Security System', u'Skylight', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,344 sqft', u'Heating: Propane butane, Wood / pellet', u'Last remodel year: 2016', u'Laundry: In Unit', u'Parcel #: 008410004000', u'Zillow Home ID: 112425878']	http://photos3.zillowstatic.com/p_e/ISxz1l4rfly50n1000000000.jpg	70000.0	[]	1344.0	CA	353188.0	96109	112425878
1.0	2	Herlong	[u'Lot: 1 acre', u'Single Family', u'Built in 1954', u'All time views: 622', u'Last sold: Jun 2015 for $71,000', u'Last sale price/sqft: $76', u'Garden', u'Lawn', u'Parking: Carport, Garage - Detached, 4 spaces, 576 sqft garage', u'Pool', u'Porch', u'RV Parking', u'Sprinkler System', u'View: Mountain', u'Exterior material: Wood', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Unit count: 2', u'Floor size: 940 sqft', u'Last remodel year: 2008', u'Parcel #: 1391001311', u'Zillow Home ID: 19112583']	http://photos3.zillowstatic.com/p_e/ISxn0g25ehf8qp0000000000.jpg	71000.0	[]	940.0	CA	58839.0	96113	19112583
1.0	2	Doyle	[u'Lot: 0.93 acres', u'Single Family', u'Built in 1969', u'All time views: 1,295', u'Cooling: Evaporative, Other', u'Heating: Other, Stove', u'Last sold: Mar 2015 for $28,000', u'Last sale price/sqft: $23', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Off street', u'Porch', u'RV Parking', u'Storage', u'View: Mountain', u'Living room', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 7', u'Stories: 1', u'Floor size: 1,200 sqft', u'Heating: Propane butane', u'Last remodel year: 1984', u'Zillow Home ID: 2109695343']	http://photos3.zillowstatic.com/p_e/ISlqawjvvd4w2e1000000000.jpg	28000.0	[]	1200.0	CA	195791.0	96109	2109695343
2.0	3	Doyle	[u'Lot: 6 acres', u'Single Family', u'Built in 1990', u'All time views: 1,101', u'Cooling: None', u'Heating: Stove', u'Last sold: Apr 2014 for $81,500', u'Last sale price/sqft: $58', u'Deck', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'View: Mountain', u'Dishwasher', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Other', u'Parcel #: 1413703111', u'Unit floor #: 1', u'Zillow Home ID: 19113116']	http://photos3.zillowstatic.com/p_e/IStkj1can06mw91000000000.jpg	81500.0	[]	1400.0	CA	211202.0	96109	19113116
2.0	3	Doyle	[u'Lot: 20 acres', u'Single Family', u'Built in 1977', u'All time views: 1,320', u'Last sold: Jan 2014 for $97,000', u'Last sale price/sqft: $49', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,989 sqft', u'Last remodel year: 1977', u'Parcel #: 1413602711', u'Zillow Home ID: 19113094']	http://photos3.zillowstatic.com/p_e/ISxn8qv4ovtk3e1000000000.jpg	97000.0	[]	1989.0	CA	352086.0	96109	19113094
2.0	2	Frenchmen Lake	[u'Lot: 10.25 acres', u'Single Family', u'Built in 2008', u'All time views: 109', u'Cooling: None', u'Heating: Wall', u'Last sold: Jan 2014 for $70,000', u'Last sale price/sqft: $52', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Slate, Tile', u'Gated Entry', u'Parking: Off street', u'Patio', u'RV Parking', u'Security System', u'Skylight', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'View: Mountain', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,344 sqft', u'Heating: Propane butane, Wood / pellet', u'Last remodel year: 2016', u'Laundry: In Unit', u'Parcel #: 008410004000', u'Zillow Home ID: 112425878']	http://photos3.zillowstatic.com/p_e/ISxz1l4rfly50n1000000000.jpg	70000.0	[]	1344.0	CA	353188.0	96109	112425878
