baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	3	Durham	[u'Lot: 9,104 sqft', u'Single Family', u'Built in 1974', u'All time views: 2,415', u'Heating: Baseboard', u'Last sold: Aug 2016 for $134,000', u'Last sale price/sqft: $127', u'A: Central Air', u'Basement Description: No Basement', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Fisher Heights', u'Acres: 0-.25 Acres', u'Exterior material: Brick', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,053 sqft', u'Parcel #: 122452', u'Zillow Home ID: 49982376']	http://photos3.zillowstatic.com/p_e/IS5ajv6dvog15l1000000000.jpg	134000.0	[]	1053.0	NC	111875.0	27707	49982376
2.0	3	Durham	[u'Lot: 0.37 acres', u'Single Family', u'Built in 1997', u'All time views: 3,522', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $175,000', u'Last sale price/sqft: $147', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Tile, Other', u'Porch', u'Vaulted Ceiling', u'15 minutes to Duke Medical Facilities', u'less to downtown Durham...', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,191 sqft', u'Heating: Gas', u'Parcel #: 155238', u'Zillow Home ID: 50004710']	http://photos3.zillowstatic.com/p_e/ISxnsd3qiix3qv0000000000.jpg	175000.0	[]	1191.0	NC	163212.0	27713	50004710
3.0	3	Durham	[u'Baths: 2 full, 1 half', u'Lot: 6,098 sqft', u'Single Family', u'Built in 1940', u'All time views: 2,990', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $338,000', u'Last sale price/sqft: $208', u'Deck', u'Flooring: Hardwood', u'Porch', u'Dishwasher', u'Refrigerator', u'Washer', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,628 sqft', u'Laundry: In Unit', u'Parcel #: 118599', u'Zillow Home ID: 49979794']	http://photos1.zillowstatic.com/p_e/IS6uy8vzjg43800000000000.jpg	338000.0	[]	1628.0	NC	94498.0	27707	49979794
3.0	3	Durham	[u'Baths: 2 full, 1 half', u'Lot: 6,969 sqft', u'Single Family', u'Built in 2016', u'All time views: 4,849', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $289,000', u'Last sale price/sqft: $191', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Security System', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Other', u'Room count: 6', u'Stories: 2', u'Structure type: Bungalow', u'Unit count: 2', u'Floor size: 1,516 sqft', u'Heating: Gas', u'Parcel #: 110650', u'Zillow Home ID: 49973911']	http://photos1.zillowstatic.com/p_e/ISd093hz9wmih31000000000.jpg	289000.0	[]	1516.0	NC	96253.0	27701	49973911
2.0	3	Chapel Hill	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1965', u'63 days on Zillow', u'Views since listing: 3,493', u'All time views: 3,642', u'47 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $239,000', u'Last sale price/sqft: $157', u'MLS #: 2075042', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached', u'Range / Oven', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Stories: 1', u'Floor size: 1,520 sqft', u'Parcel #: 9799644129', u'Zillow Home ID: 50041876']	http://photos2.zillowstatic.com/p_e/IS13729xq2odaj0000000000.jpg	239000.0	[]	1520.0	NC	240018.0	27517	50041876
3.5	4	Durham	[u'Baths: 3 full, 1 half', u'Lot: 0.7 acres', u'Single Family', u'Built in 1987', u'All time views: 1,673', u'Heating: Forced air', u'Last sold: Aug 2016 for $380,000', u'Last sale price/sqft: $107', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 672 sqft garage', u'Porch', u'Security System', u'Unfinished basement', u'A: Central Air', u'A: C', u'Sep Shower', u'Design: 3 Story', u'Equipment: Disposal', u'Gutters', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Washer Dryer Location: 1st Floor', u'Washer Dryer Location: Utility Room WD', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Other Rooms: Office', u'Other Rooms: Utility Room', u'Parking: Circular Drive', u'Parking: Asphalt', u'Parking: Front', u'Other Rooms: Entry Foyer', u'Equipment: Garage Opener', u'Garden Tub', u'Insulated Windows', u'Other Rooms: Finish', u'Lot Description: Cul-De-Sac', u'Style: Transitional', u'Water Heater: Water Htr Age 3-6 Yrs', u'Accessibility: Level Flooring', u'Accessibility: Main Floor Laundry', u'Foundation: Basement', u'Other Rooms: Sun Room', u'Attic Description: Walk In', u'Fiberglass Bath', u'Other Rooms: Rec Room', u'Basement Description: Walk-In Crawl Space', u'Parking: Garage', u'Smoke Alarm', u'Acres: .51-.75 Acres', u'10Ft+ Ceiling', u'Pantry', u'Subdivision: Fairway Woods', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Brick, Stone', u'Room count: 8', u'Stories: 0', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 3,552 sqft', u'Heating: Gas', u'Parcel #: 174339', u'Zillow Home ID: 50015704']	http://photos3.zillowstatic.com/p_e/IS6i5mwee1qpm31000000000.jpg	380000.0	[]	3552.0	NC	402524.0	27705	50015704
2.5	4	Durham	[u'Baths: 2 full, 1 half', u'Lot: 0.25 acres', u'Single Family', u'Built in 1993', u'All time views: 1,986', u'Heating: Forced air', u'Last sold: Aug 2016 for $315,000', u'Last sale price/sqft: $139', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 462 sqft garage', u'Porch', u'A: Central Air', u'A: C', u'Attic Description: Floored', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Disposal', u'Gutters', u'Foundation: Crawl Space', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'Lot Description: Landscaped', u'Roof: Shingle', u'Style: Traditional', u'Water: City Sewer', u'Water: City Water', u'Inside City: Yes', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Corner Lot', u'Other Rooms: Family Room', u'Office: Main', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Fenced Yard', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Equipment: Self Clean Oven', u'Parking: Concrete', u'Parking: Side', u'Other Rooms: Study', u'Attic Description: Walk In', u'Subdivision: Sunningdale', u'Parking: Garage', u'9 Ft Ceiling', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Pantry', u'Dishwasher', u'Microwave', u'Dining room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Stories: 0', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,269 sqft', u'Heating: Gas', u'Parcel #: 136643', u'Zillow Home ID: 49992672']	http://photos3.zillowstatic.com/p_e/ISql5gt00n99h30000000000.jpg	315000.0	[]	2269.0	NC	319101.0	27707	49992672
3.0	4	Durham	[u'Baths: 2 full, 1 half', u'Lot: 5 acres', u'Single Family', u'Built in 2002', u'All time views: 2,178', u'Last sold: Aug 2016 for $420,000', u'Last sale price/sqft: $181', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 460 sqft garage', u'Age: 11-20 Years Old', u'Lot Size: 2-5 Acres', u'Dishwasher', u'Range / Oven', u'Dining room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,321 sqft', u'Parcel #: 9882727387', u'Zillow Home ID: 61825774']	http://photos2.zillowstatic.com/p_e/IS14ryxwuyvkvc3.jpg	420000.0	[]	2321.0	NC	384672.0	27705	61825774
2.0	3	Durham	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1979', u'All time views: 5,283', u'Last sold: Aug 2016 for $221,500', u'Last sale price/sqft: $142', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Off street, On street', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Master bath', u'Exterior material: Composition', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 1,560 sqft', u'Laundry: In Unit', u'Parcel #: 122830', u'Zillow Home ID: 49982824']	http://photos1.zillowstatic.com/p_e/ISuo6q94i2o8gi0000000000.jpg	221500.0	[]	1560.0	NC	160447.0	27707	49982824
2.0	4	Durham	[u'Lot: 0.37 acres', u'Single Family', u'Built in 1956', u'All time views: 3,445', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $260,000', u'Last sale price/sqft: $138', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Carport', u'A: Central Air', u'Basement Description: No Basement', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Washer Dryer Location: 1st Floor', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Shower', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Corner Lot', u'Other Rooms: Family Room', u'Lvng Area: Main', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Parking: Concrete', u'Storage Floor: Main', u'Bedroom 4 Floor: Main', u'Other Rooms: Study', u'Subdivision: Preston Woods', u'Washer Dryer Location: Laundry Room', u'Smoke Alarm', u'Acres: .26-.5 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,879 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 106972', u'Zillow Home ID: 49971250']	http://photos3.zillowstatic.com/p_e/ISq5pwuy1urc540000000000.jpg	260000.0	[]	1879.0	NC	253090.0	27707	49971250
