baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.5	3	Eagle Springs	[u'Lot: 190 sqft', u'Single Family', u'Built in 1968', u'All time views: 569', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $95,000', u'Last sale price/sqft: $66', u'Fireplace', u'Driveway Type: Dirt', u'Rooms: Kitchen', u'Foundation: Crawl Space', u'Road Description: Public Paved', u'Primary Heat Source: Electric', u'Rooms: Master Bedroom Level: M', u'Rooms: Kitchen Level: M', u'Driveway Type: Gravel', u'Water Heater: Electric', u'Community Type: Single Family', u'Rooms: Master Bedroom', u'Tax County: Moore', u'Suffix: Road', u'Sewer: Private', u'Garage Type: None', u'Water: Private Well', u'Water: Private', u'Water: Septic Tank', u'Land Description: Other', u'Zip Code: 27242', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Parcel #: 759500352780', u'Zillow Home ID: 74955077']	http://photos1.zillowstatic.com/p_e/ISli8h8w3ikyui0000000000.jpg	95000.0	[]	1440.0	NC	125795.0	27242	74955077
1.5	2	Eagle Springs	[u'Lot: 2 acres', u'Single Family', u'Built in 1956', u'All time views: 471', u'Cooling: Central', u'Last sold: Jun 2015 for $105,000', u'Last sale price/sqft: $88', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 4', u'Stories: 1', u'Floor size: 1,200 sqft', u'Heating: Electric', u'Parcel #: 850603400096', u'Zillow Home ID: 74968901']	http://photos2.zillowstatic.com/p_e/IStgkvk4ydd0xf1000000000.jpg	105000.0	[]	1200.0	NC	125942.0	27242	74968901
1.0	3	Eagle Springs	[u'Lot: 4 acres', u'Single Family', u'Built in 1959', u'All time views: 1,007', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jun 2015 for $154,000', u'Last sale price/sqft: $96', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'High Speed Internet Ready', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Storage', u'Wired', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Office', u'Workshop', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Metal', u'Room count: 4', u'Stories: 1', u'Floor size: 1,600 sqft', u'Laundry: In Unit', u'Parcel #: 851600079614', u'Zillow Home ID: 74957467']	http://photos3.zillowstatic.com/p_e/IS99xc61a7o26r0000000000.jpg	154000.0	[]	1600.0	NC	151791.0	27242	74957467
1.5	3	Eagle Springs	[u'Lot: 190 sqft', u'Single Family', u'Built in 1968', u'All time views: 580', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $95,000', u'Last sale price/sqft: $66', u'Fireplace', u'Driveway Type: Dirt', u'Rooms: Kitchen', u'Foundation: Crawl Space', u'Road Description: Public Paved', u'Primary Heat Source: Electric', u'Rooms: Master Bedroom Level: M', u'Rooms: Kitchen Level: M', u'Driveway Type: Gravel', u'Water Heater: Electric', u'Community Type: Single Family', u'Rooms: Master Bedroom', u'Tax County: Moore', u'Suffix: Road', u'Sewer: Private', u'Garage Type: None', u'Water: Private Well', u'Water: Private', u'Water: Septic Tank', u'Land Description: Other', u'Zip Code: 27242', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Parcel #: 759500352780', u'Zillow Home ID: 74955077']	http://photos1.zillowstatic.com/p_e/ISli8h8w3ikyui0000000000.jpg	95000.0	[]	1440.0	NC	125795.0	27242	74955077
1.5	2	Eagle Springs	[u'Lot: 2 acres', u'Single Family', u'Built in 1956', u'All time views: 477', u'Cooling: Central', u'Last sold: Jun 2015 for $105,000', u'Last sale price/sqft: $88', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 4', u'Stories: 1', u'Floor size: 1,200 sqft', u'Heating: Electric', u'Parcel #: 850603400096', u'Zillow Home ID: 74968901']	http://photos2.zillowstatic.com/p_e/IStgkvk4ydd0xf1000000000.jpg	105000.0	[]	1200.0	NC	125942.0	27242	74968901
1.0	3	Eagle Springs	[u'Lot: 4 acres', u'Single Family', u'Built in 1959', u'All time views: 1,009', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jun 2015 for $154,000', u'Last sale price/sqft: $96', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'High Speed Internet Ready', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Storage', u'Wired', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Office', u'Workshop', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Metal', u'Room count: 4', u'Stories: 1', u'Floor size: 1,600 sqft', u'Laundry: In Unit', u'Parcel #: 851600079614', u'Zillow Home ID: 74957467']	http://photos3.zillowstatic.com/p_e/IS99xc61a7o26r0000000000.jpg	154000.0	[]	1600.0	NC	151791.0	27242	74957467
1.5	3	Eagle Springs	[u'Lot: 190 sqft', u'Single Family', u'Built in 1968', u'All time views: 568', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $95,000', u'Last sale price/sqft: $66', u'Fireplace', u'Driveway Type: Dirt', u'Rooms: Kitchen', u'Foundation: Crawl Space', u'Road Description: Public Paved', u'Primary Heat Source: Electric', u'Rooms: Master Bedroom Level: M', u'Rooms: Kitchen Level: M', u'Driveway Type: Gravel', u'Water Heater: Electric', u'Community Type: Single Family', u'Rooms: Master Bedroom', u'Tax County: Moore', u'Suffix: Road', u'Sewer: Private', u'Garage Type: None', u'Water: Private Well', u'Water: Private', u'Water: Septic Tank', u'Land Description: Other', u'Zip Code: 27242', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Parcel #: 759500352780', u'Zillow Home ID: 74955077']	http://photos1.zillowstatic.com/p_e/ISli8h8w3ikyui0000000000.jpg	95000.0	[]	1440.0	NC	125795.0	27242	74955077
1.5	2	Eagle Springs	[u'Lot: 2 acres', u'Single Family', u'Built in 1956', u'Cooling: Central', u'Last sold: Jun 2015 for $105,000', u'Last sale price/sqft: $88', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 4', u'Stories: 1', u'Floor size: 1,200 sqft', u'Heating: Electric', u'Parcel #: 850603400096', u'Zillow Home ID: 74968901']	http://photos2.zillowstatic.com/p_e/IStgkvk4ydd0xf1000000000.jpg	105000.0	[]	1200.0	NC	125942.0	27242	74968901
1.0	3	Eagle Springs	[u'Lot: 4 acres', u'Single Family', u'Built in 1959', u'All time views: 1,002', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jun 2015 for $154,000', u'Last sale price/sqft: $96', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'High Speed Internet Ready', u'Lawn', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Storage', u'Wired', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Office', u'Workshop', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Metal', u'Room count: 4', u'Stories: 1', u'Floor size: 1,600 sqft', u'Laundry: In Unit', u'Parcel #: 851600079614', u'Zillow Home ID: 74957467']	http://photos3.zillowstatic.com/p_e/IS99xc61a7o26r0000000000.jpg	154000.0	[]	1600.0	NC	151791.0	27242	74957467
1.5	3	Eagle Springs	[u'Lot: 190 sqft', u'Single Family', u'Built in 1968', u'All time views: 570', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $95,000', u'Last sale price/sqft: $66', u'Fireplace', u'Driveway Type: Dirt', u'Rooms: Kitchen', u'Foundation: Crawl Space', u'Road Description: Public Paved', u'Primary Heat Source: Electric', u'Rooms: Master Bedroom Level: M', u'Rooms: Kitchen Level: M', u'Driveway Type: Gravel', u'Water Heater: Electric', u'Community Type: Single Family', u'Rooms: Master Bedroom', u'Tax County: Moore', u'Suffix: Road', u'Sewer: Private', u'Garage Type: None', u'Water: Private Well', u'Water: Private', u'Water: Septic Tank', u'Land Description: Other', u'Zip Code: 27242', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,440 sqft', u'Parcel #: 759500352780', u'Zillow Home ID: 74955077']	http://photos1.zillowstatic.com/p_e/ISli8h8w3ikyui0000000000.jpg	95000.0	[]	1440.0	NC	125795.0	27242	74955077
