baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	East Bend	[u'Lot: 1.72 acres', u'Single Family', u'Built in 2002', u'85 days on Zillow', u'Views since listing: 674', u'All time views: 733', u'7 shoppers saved this home', u'Last sold: Jul 2016 for $204,000', u'Last sale price/sqft: $125', u'MLS #: 797016', u'View Virtual Tour', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces, 528 sqft garage', u'Unfinished basement', u'Fireplace', u'Gas logs', u'Rocking Chair Front Porch', u'Breakfast Area in Kitchen', u'Spacious unfinished basement for future expansion', u'and extra lot beside of home.', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,628 sqft', u'Last remodel year: 2002', u'Parcel #: 141767', u'Zillow Home ID: 71419519']	http://photos2.zillowstatic.com/p_e/IShnlbfjqqndub1000000000.jpg	204000.0	[]	1628.0	NC	190339.0	27018	71419519
3.0	3	East Bend	[u'Lot: 2.5 acres', u'Single Family', u'Built in 1987', u'232 days on Zillow', u'Views since listing: 3,703', u'All time views: 3,795', u'56 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $238,500', u'Last sale price/sqft: $110', u'MLS #: 780737', u'View Virtual Tour', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 528 sqft garage', u'Patio', u'Security System', u'Storage', u'Granite countertop', u'Living room', u'Stainless steel appliances', u'Garbage disposal', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Workshop', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,171 sqft', u'Last remodel year: 1987', u'Parcel #: 140751', u'Zillow Home ID: 71421855']	http://photos1.zillowstatic.com/p_e/ISxjx27got1koh0000000000.jpg	238500.0	[]	2171.0	NC	202641.0	27018	71421855
2.0	3	East Bend	[u'Lot: 10 acres', u'Single Family', u'Built in 2003', u'All time views: 2,353', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $288,750', u'Last sale price/sqft: $180', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Garden', u'Hot Tub/Spa', u'Parking: Garage - Attached, 3 spaces, 672 sqft garage', u'Porch', u'Security System', u'Unfinished basement', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,601 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2003', u'Parcel #: 144701', u'Zillow Home ID: 71417524']	http://photos2.zillowstatic.com/p_e/IS5e60x3vlwnfq0000000000.jpg	288750.0	[]	1601.0	NC	213408.0	27018	71417524
2.0	2	East Bend	[u'Lot: 1 acre', u'Single Family', u'Built in 1982', u'All time views: 359', u'Last sold: Dec 2015 for $140,500', u'Last sale price/sqft: $68', u'Fireplace', u'Parking: 550 sqft garage', u'Unfinished basement', u'Appliances: Built-in Microwave', u'Appliances: Dishwasher', u'Built Information: Existing', u'Patio', u'Paved Drive', u'Porch', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Fireplace Location: Living Room', u'Flooring: Carpet', u'Fireplace Location: Den', u'Flooring: Wood', u'Heating: Heat Pump', u'Garage Description: Attached Garage', u'Status: Pending', u'Heating Fuel: Electric', u'Water: Public', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Garage Door Opener(s)', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Cooling: Heat Pump', u'Foundation Basement: Basement', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Appliances: Range', u'Sewer: Septic', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Exterior Finish: Vinyl', u'Flooring: Laminate', u'Water Heater: Electric', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Style: Ranch', u'Garage Description: Basement Garage', u'Satellite Dish', u'Vacuum System', u'Storm Windows', u'Elementary School: East Bend', u'Heating: Electric Baseboard', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,066 sqft', u'Last remodel year: 1982', u'Parcel #: 146980', u'Zillow Home ID: 71423973']	http://photos3.zillowstatic.com/p_e/IS9hjvpwd2g3zh0000000000.jpg	140500.0	[]	2066.0	NC	142981.0	27018	71423973
2.5	4	East Bend	[u'Lot: 0.67 acres', u'Single Family', u'Built in 1999', u'All time views: 5,313', u'Last sold: Dec 2015 for $131,000', u'Last sale price/sqft: $75', u'Parking: 784 sqft garage', u'Pool', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,750 sqft', u'Last remodel year: 1999', u'Parcel #: 147585', u'Zillow Home ID: 71417261']	http://photos1.zillowstatic.com/p_e/ISx74wkzi6nwxo0000000000.jpg	131000.0	[]	1750.0	NC	135140.0	27018	71417261
2.0	4	East Bend	[u'Lot: 0.51 acres', u'Single Family', u'Built in 2011', u'All time views: 465', u'Last sold: Oct 2015 for $67,000', u'Last sale price/sqft: $31', u'Ceiling Fan', u'Deck', u'Garden', u'Porch', u'Room count: 7', u'Floor size: 2,128 sqft', u'Parcel #: 142858', u'Zillow Home ID: 118206379']	http://photos2.zillowstatic.com/p_e/IS1vkbvcd5617b1000000000.jpg	67000.0	[]	2128.0	NC	82531.0	27018	118206379
2.5	3	East Bend	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1994', u'All time views: 2,463', u'Heating: Heat pump, Other', u'Last sold: Oct 2015 for $110,000', u'Last sale price/sqft: $65', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, 576 sqft garage', u'Dishwasher', u'Range / Oven', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,705 sqft', u'Heating: Electric, Other', u'Last remodel year: 1994', u'Parcel #: 141891', u'Unit floor #: 2', u'Zillow Home ID: 71422241']	http://photos2.zillowstatic.com/p_e/IS5mofnj7z98rz0000000000.jpg	110000.0	[]	1705.0	NC	173972.0	27018	71422241
2.0	3	East Bend	[u'Lot: 1.95 acres', u'Single Family', u'Built in 1999', u'All time views: 4,889', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Sep 2015 for $176,000', u'Last sale price/sqft: $90', u'Ceiling Fan', u'Flooring: Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 462 sqft garage', u'Patio', u'Porch', u'Living room', u'Dishwasher', u'Microwave', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,950 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1999', u'Laundry: In Unit', u'Parcel #: 138555', u'Zillow Home ID: 71334382']	http://photos3.zillowstatic.com/p_e/ISts1xavxfnq580000000000.jpg	176000.0	[]	1950.0	NC	168060.0	27018	71334382
2.0	3	East Bend	[u'Lot: 1 acre', u'Single Family', u'Built in 1982', u'All time views: 4,205', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2015 for $169,000', u'Last sale price/sqft: $92', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Attached, 840 sqft garage', u'Unfinished basement', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Master bath', u'Sun room', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,842 sqft', u'Heating: Electric, Other', u'Last remodel year: 1982', u'Parcel #: 140439', u'Zillow Home ID: 71423753']	http://photos3.zillowstatic.com/p_e/ISts9fq9kd0ven0000000000.jpg	169000.0	[]	1842.0	NC	164076.0	27018	71423753
2.0	3	East Bend	[u'Lot: 2.2 acres', u'Single Family', u'Built in 1996', u'All time views: 3,539', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Sep 2015 for $153,000', u'Last sale price/sqft: $94', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Breakfast nook', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,625 sqft', u'Heating: Electric', u'Last remodel year: 1996', u'Parcel #: 141840', u'Zillow Home ID: 71416278']	http://photos3.zillowstatic.com/p_e/ISxbfjxe7cvlc11000000000.jpg	153000.0	[]	1625.0	NC	155641.0	27018	71416278
2.0	3	East Bend	[u'Lot: 1 acre', u'Single Family', u'Built in 1987', u'All time views: 447', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $68,000', u'Last sale price/sqft: $42', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Carport, Garage - Attached, Garage - Detached, 1 space, 528 sqft garage', u'Patio', u'Porch', u'Security System', u'Appliances: Exhaust Fan', u'Built Information: Existing', u'Association: Winston-Salem', u'Status: Pending', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Pantry', u'Foundation Basement: Basement', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Sewer: Septic', u'Storm Doors', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Story Number: 1', u'Style: Ranch', u'Lot Description: Partially Wooded', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Trash compactor', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,622 sqft', u'Heating: Electric', u'Last remodel year: 1989', u'Parcel #: 139776', u'Zillow Home ID: 71415937']	http://photos2.zillowstatic.com/p_e/IShbkmd0otwtmt1000000000.jpg	68000.0	[]	1622.0	NC	180578.0	27018	71415937
1.0	3	East Bend	[u'Lot: 2 acres', u'Single Family', u'Built in 1932', u'All time views: 4,511', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2015 for $130,000', u'Last sale price/sqft: $100', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Off street, 1 space, 480 sqft garage', u'RV Parking', u'Living room', u'Dining room', u'Master bath', u'Mud room', u'Exterior material: Shingle', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,302 sqft', u'Last remodel year: 1932', u'Parcel #: 147608', u'Zillow Home ID: 71423156']	http://photos3.zillowstatic.com/p_e/ISh7da07i2erwu1000000000.jpg	130000.0	[]	1302.0	NC	132939.0	27018	71423156
