baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Eden	[u'Lot: 2.41 acres', u'Single Family', u'Built in 1987', u'All time views: 4,856', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $260,000', u'Last sale price/sqft: $107', u'Attic', u'Basketball Court', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'RV Parking', u'Security System', u'Storage', u'Unfinished basement', u'Vaulted Ceiling', u'Wired', u'Park like wooded setting!  Bird paradise...so beautful', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 9', u'Stories: 1', u'Structure type: Craftsman', u'Unit count: 1', u'Floor size: 2,433 sqft', u'Heating: Gas', u'Parcel #: 141523', u'Zillow Home ID: 70153123']	http://photos2.zillowstatic.com/p_e/IS5ytnilov70y41000000000.jpg	260000.0	[]	2433.0	NC	256036.0	27288	70153123
2.0	4	Eden	[u'Lot: 0.29 acres', u'Single Family', u'Built in 1992', u'All time views: 2,146', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $123,000', u'Last sale price/sqft: $87', u'Fireplace', u'Flooring: Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Patio', u'Porch', u'Storage', u'Basement: Crawl Space', u'Exterior: Storage Shed', u'Sewer: Public', u'Location: Cul-de-sac', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,414 sqft', u'Heating: Electric', u'Parcel #: 108517', u'Zillow Home ID: 70136607']	http://photos3.zillowstatic.com/p_e/ISh7hxsbcp83ak1000000000.jpg	123000.0	[]	1414.0	NC	116630.0	27288	70136607
1.0	3	Eden	[u'Lot: 0.36 acres', u'Single Family', u'Built in 1981', u'All time views: 2,125', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $86,000', u'Last sale price/sqft: $80', u'Attic', u'Ceiling Fan', u'Deck', u'Lawn', u'Porch', u'Basement: Crawl Space', u'Sewer: Public', u'Location: Cul-de-sac', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Brick, Wood', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,081 sqft', u'Heating: Electric', u'Parcel #: 108786', u'Zillow Home ID: 70153197']	http://photos1.zillowstatic.com/p_e/ISpdbjle96atqa0000000000.jpg	86000.0	[]	1081.0	NC	81992.0	27288	70153197
4.0	5	Eden	[u'Baths: 3 full, 1 half', u'Lot: 2.12 acres', u'Single Family', u'Built in 1951', u'All time views: 5,765', u'Heating: Forced air', u'Last sold: Jul 2016 for $167,900', u'Last sale price/sqft: $89', u'1895 sqft basement', u'Deck', u'Finished basement', u'Fireplace', u'Gated Entry', u'Lawn', u'Parking: Carport, 2 spaces', u'View: Water', u'Breakfast nook', u'Exterior material: Brick', u'Roof type: Built up', u'Unit count: 1', u'Floor size: 1,895 sqft', u'Parcel #: 110665', u'Zillow Home ID: 70137852']	http://photos1.zillowstatic.com/p_e/IS1ne5ovraus0b1000000000.jpg	167900.0	[]	1895.0	NC	142170.0	27288	70137852
2.0	3	Eden	[u'Baths: 1 full, 1 half', u'Lot: 0.37 acres', u'Single Family', u'Built in 1977', u'All time views: 2,116', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $74,000', u'Last sale price/sqft: $62', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, 1 space', u'Porch', u'Dishwasher', u'Range / Oven', u'Dining room', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,189 sqft', u'Heating: Electric', u'Parcel #: 141193', u'Zillow Home ID: 70156665']	http://photos2.zillowstatic.com/p_e/ISd8nbvpjayzuj1000000000.jpg	74000.0	[]	1189.0	NC	79397.0	27288	70156665
2.0	4	Eden	[u'Single Family', u'Built in 1930', u'All time views: 1,139', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $70,000', u'Last sale price/sqft: $38', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Security System', u'Built Information: Existing', u'Association: Winston-Salem', u'Water: Public', u'Dryer Connection', u'Gas Logs', u'Foundation Basement: Basement', u'List Type: Exclusive Right to Sell', u'Typeof Sale: Owner Sale', u'Status: Active', u'Story Number: 1.5', u'Water Heater: Electric', u'Sewer: Public', u'Exterior Finish: Aluminum', u'Exterior material: Other', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,848 sqft', u'Heating: Electric', u'Parcel #: 137680', u'Zillow Home ID: 70130012']	http://photos2.zillowstatic.com/p_e/ISplxx19fw0jkj1000000000.jpg	70000.0	[]	1848.0	NC	82352.0	27288	70130012
2.0	3	Eden	[u'Baths: 1 full, 1 half', u'Lot: 0.53 acres', u'Single Family', u'Built in 1956', u'359 days on Zillow', u'Views since listing: 3,094', u'All time views: 3,301', u'29 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $80,000', u'Last sale price/sqft: $55', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Lawn', u'Parking: Carport, Garage - Attached, 1 space', u'Patio', u'Porch', u'View: City', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Sun room', u'Workshop', u'Exterior material: Brick, Cement concrete, Metal, Stone', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,444 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 109250', u'Zillow Home ID: 70132812']	http://photos3.zillowstatic.com/p_e/ISxzxpxtn3m6bq0000000000.jpg	80000.0	[]	1444.0	NC	84104.0	27288	70132812
2.0	3	Eden	[u'Lot: 0.89 acres', u'Single Family', u'Built in 1952', u'All time views: 4,276', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $103,000', u'Last sale price/sqft: $47', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Carport, 2 spaces', u'Unfinished basement', u'View: Park', u'Basement: Partial', u'Exterior: Storage Shed', u'Sewer: Public', u'Dishwasher', u'Dining room', u'Sun room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,200 sqft', u'Heating: Electric, Gas', u'Parcel #: 109232', u'Zillow Home ID: 70151787']	http://photos3.zillowstatic.com/p_e/IStw8tjapvzvnw1000000000.jpg	103000.0	[]	2200.0	NC	131190.0	27288	70151787
3.0	3	Eden	[u'Lot: 0.91 acres', u'Single Family', u'Built in 2005', u'All time views: 5,337', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $275,000', u'Last sale price/sqft: $98', u'Attic', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 624 sqft garage', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Exterior material: Cement concrete, Other, Stone', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: French', u'Floor size: 2,808 sqft', u'Heating: Electric, Gas', u'Parcel #: 141686', u'Zillow Home ID: 82804997']	http://photos3.zillowstatic.com/p_e/IS9lmcct6u1g0m0000000000.jpg	275000.0	[]	2808.0	NC	283831.0	27288	82804997
2.0	3	Eden	[u'Single Family', u'Built in 1947', u'All time views: 357', u'Heating: Forced air', u'Last sold: Jun 2016 for $95,000', u'Last sale price/sqft: $62', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Carport, Garage - Attached', u'Porch', u'Unfinished basement', u'Attic Description: Partially Floored', u'Attic Description: Walk in Attic', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Style: Traditional', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Gas Logs', u'Pantry', u'Foundation Basement: Basement', u'Washer Connection', u'Laundry Room - Basement', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Story Number: 1.5', u'Water Heater: Electric', u'Cooling: Window Unit(s)', u'Elementary School: Leaksville-Spray', u'Exterior Finish: Brick', u'Laundry Chute', u'Property Sub Type: Site Built', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,535 sqft', u'Heating: Gas', u'Parcel #: 105004', u'Zillow Home ID: 70144311']	http://photos3.zillowstatic.com/p_e/IStom2u4bi8bj10000000000.jpg	95000.0	[]	1535.0	NC	85388.0	27288	70144311
