baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Elon	[u'Lot: 0.42 acres', u'Single Family', u'Built in 2009', u'All time views: 1,182', u'HOA Fee: $709/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $356,000', u'Last sale price/sqft: $129', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 702 sqft garage', u'Patio', u'Porch', u'Security System', u'Vaulted Ceiling', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 8', u'Stories: 1', u'Structure type: Contemporary', u'Floor size: 2,754 sqft', u'Heating: Gas', u'Last remodel year: 2009', u'Laundry: In Unit', u'Parcel #: 107413', u'Zillow Home ID: 89490557']	http://photos1.zillowstatic.com/p_e/IS9xzm66kxm1za1000000000.jpg	356000.0	[]	2754.0	NC	354966.0	27244	89490557
2.0	5	Elon	[u'Lot: 30.12 acres', u'Single Family', u'Built in 1916', u'All time views: 4,581', u'Cooling: Wall', u'Last sold: Aug 2016 for $230,000', u'Last sale price/sqft: $87', u'Fireplace', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,640 sqft', u'Parcel #: 8859061033', u'Zillow Home ID: 51235011']	http://photos3.zillowstatic.com/p_e/IStcdzzjamre1n0000000000.jpg	230000.0	[]	2640.0	NC	253892.0	27244	51235011
1.0	3	Elon	[u'Lot: 0.42 acres', u'Single Family', u'Built in 1910', u'All time views: 1,222', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $89,000', u'Last sale price/sqft: $73', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Detached, 768 sqft garage', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Family room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,223 sqft', u'Heating: Gas', u'Last remodel year: 2001', u'Lot width: 114 ft', u'Parcel #: 118588', u'Zillow Home ID: 51235162']	http://photos1.zillowstatic.com/p_e/ISdwxf4o4ujbzr1000000000.jpg	89000.0	[]	1223.0	NC	66762.0	27244	51235162
2.0	3	Elon College	[u'Lot: 0.47 acres', u'Single Family', u'Built in 1977', u'All time views: 713', u'Heating: Forced air', u'Last sold: Jul 2016 for $191,500', u'Last sale price/sqft: $90', u'Fireplace', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,124 sqft', u'Parcel #: 108870', u'Zillow Home ID: 51232669']	http://photos2.zillowstatic.com/p_e/ISdozfzabg7k081000000000.jpg	191500.0	[]	2124.0	NC	216801.0	27244	51232669
3.0	4	Elon College	[u'Baths: 2 full, 1 half', u'Lot: 0.36 acres', u'Single Family', u'Built in 1988', u'All time views: 3,318', u'Heating: Forced air', u'Last sold: Jul 2016 for $270,000', u'Last sale price/sqft: $108', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Jetted Tub', u'Parking: Garage - Attached, 483 sqft garage', u'Security System', u'Vaulted Ceiling', u'Home generator', u'Screened porch', u'Neighborhood pool and tennis court', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,498 sqft', u'Lot width: 96 ft', u'Parcel #: 108015', u'Zillow Home ID: 51232316']	http://photos2.zillowstatic.com/p_e/ISyfywfq7y1b701000000000.jpg	270000.0	[]	2498.0	NC	265995.0	27244	51232316
3.0	5	Elon	[u'Baths: 2 full, 1 half', u'Lot: 0.39 acres', u'Single Family', u'Built in 2006', u'All time views: 4,884', u'HOA Fee: $33/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $376,000', u'Last sale price/sqft: $129', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 565 sqft garage', u'Porch', u'View: Water', u'Walking/biking distance to Elon University and Alamance Country Club.', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Stone, Stucco, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,919 sqft', u'Heating: Electric, Gas', u'Lot width: 100 ft', u'Parcel #: 115324', u'Zillow Home ID: 71836508']	http://photos2.zillowstatic.com/p_e/IS5a7up16jec6i0000000000.jpg	376000.0	[]	2919.0	NC	369967.0	27244	71836508
2.0	4	Elon College	[u'Lot: 0.8 acres', u'Single Family', u'Built in 1968', u'All time views: 2,976', u'Heating: Forced air', u'Last sold: Jul 2016 for $157,000', u'Last sale price/sqft: $74', u'Fireplace', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,108 sqft', u'Lot width: 96 ft', u'Parcel #: 109659', u'Zillow Home ID: 51230111']	http://photos1.zillowstatic.com/p_e/IS9pxnrifsaue60000000000.jpg	157000.0	[]	2108.0	NC	164066.0	27244	51230111
2.0	3	Elon	[u'Lot: 8,712 sqft', u'Single Family', u'Built in 2005', u'All time views: 1,019', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $127,000', u'Last sale price/sqft: $93', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Porch', u'Security System', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Disposal', u'Gutters', u'Design: One Story', u'Foundation: Block', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Shower', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Dining: Eat-in Kitchen', u'Fireplace: 0', u'Equipment: Elec. Dryer HU', u'Parking: Concrete', u'Foundation: Brick Foundation', u'Fireplace Description: No Fireplace', u'Attic Description: Skuttle', u'Subdivision: Manning Place', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,369 sqft', u'Laundry: In Unit', u'Parcel #: 110204', u'Zillow Home ID: 67332303']	http://photos1.zillowstatic.com/p_e/ISyjxq5bm1y9a90000000000.jpg	127000.0	[]	1369.0	NC	126267.0	27244	67332303
2.0	3	Elon	[u'Lot: 0.47 acres', u'Single Family', u'Built in 2002', u'All time views: 1,363', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $147,000', u'Last sale price/sqft: $101', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Off street', u'Vaulted Ceiling', u'Concrete Driveway', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,456 sqft', u'Heating: Electric', u'Lot width: 100 ft', u'Parcel #: 118288', u'Zillow Home ID: 66531620']	http://photos2.zillowstatic.com/p_e/ISdcyah43tbrut1000000000.jpg	147000.0	[]	1456.0	NC	135325.0	27244	66531620
2.5	3	Elon College	[u'Lot: 0.76 acres', u'Single Family', u'Built in 1992', u'All time views: 5,837', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $219,000', u'Last sale price/sqft: $82', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 2 spaces, 644 sqft garage', u'Patio', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,669 sqft', u'Heating: Electric, Gas', u'Lot width: 110 ft', u'Parcel #: 108338', u'Zillow Home ID: 51232006']	http://photos1.zillowstatic.com/p_e/ISd4wj4k4py7r30000000000.jpg	219000.0	[]	2669.0	NC	262004.0	27244	51232006
