baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Engelhard	[u'Single Family', u'Built in 1960', u'All time views: 1,633', u'Last sold: Dec 2014 for $154,000', u'Last sale price/sqft: $62', u'Floor size: 2,497 sqft', u'Zillow Home ID: 2106717550']	http://photos3.zillowstatic.com/p_e/IS99xs29itsmck0000000000.jpg	154000.0	[]	2497.0	NC	0.0	27824	2106717550
1.5	3	Engelhard	[u'Lot: 1 acre', u'Single Family', u'Built in 1980', u'All time views: 638', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2014 for $86,000', u'Last sale price/sqft: $57', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 1,499 sqft', u'Parcel #: 4756', u'Zillow Home ID: 106996456']	http://photos1.zillowstatic.com/p_e/IS-1hyd3yv3sgvvh.jpg	86000.0	[]	1499.0	NC	122525.0	27824	106996456
2.0	3	Engelhard	[u'Single Family', u'Built in 1960', u'All time views: 1,625', u'Last sold: Dec 2014 for $154,000', u'Last sale price/sqft: $62', u'Floor size: 2,497 sqft', u'Zillow Home ID: 2106717550']	http://photos3.zillowstatic.com/p_e/IS99xs29itsmck0000000000.jpg	154000.0	[]	2497.0	NC	0.0	27824	2106717550
1.5	3	Engelhard	[u'Lot: 1 acre', u'Single Family', u'Built in 1980', u'All time views: 630', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2014 for $86,000', u'Last sale price/sqft: $57', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 1,499 sqft', u'Parcel #: 4756', u'Zillow Home ID: 106996456']	http://photos1.zillowstatic.com/p_e/IS-1hyd3yv3sgvvh.jpg	86000.0	[]	1499.0	NC	122525.0	27824	106996456
2.0	3	Engelhard	[u'Single Family', u'Built in 1960', u'All time views: 1,622', u'Last sold: Dec 2014 for $154,000', u'Last sale price/sqft: $62', u'Floor size: 2,497 sqft', u'Zillow Home ID: 2106717550']	http://photos3.zillowstatic.com/p_e/IS99xs29itsmck0000000000.jpg	154000.0	[]	2497.0	NC	0.0	27824	2106717550
1.5	3	Engelhard	[u'Lot: 1 acre', u'Single Family', u'Built in 1980', u'All time views: 635', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2014 for $86,000', u'Last sale price/sqft: $57', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 1,499 sqft', u'Parcel #: 4756', u'Zillow Home ID: 106996456']	http://photos1.zillowstatic.com/p_e/IS-1hyd3yv3sgvvh.jpg	86000.0	[]	1499.0	NC	122525.0	27824	106996456
2.0	3	Engelhard	[u'Single Family', u'Built in 1960', u'All time views: 1,621', u'Last sold: Dec 2014 for $154,000', u'Last sale price/sqft: $62', u'Floor size: 2,497 sqft', u'Zillow Home ID: 2106717550']	http://photos3.zillowstatic.com/p_e/IS99xs29itsmck0000000000.jpg	154000.0	[]	2497.0	NC	0.0	27824	2106717550
1.5	3	Engelhard	[u'Lot: 1 acre', u'Single Family', u'Built in 1980', u'All time views: 649', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2014 for $86,000', u'Last sale price/sqft: $57', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 1,499 sqft', u'Parcel #: 4756', u'Zillow Home ID: 106996456']	http://photos1.zillowstatic.com/p_e/IS-1hyd3yv3sgvvh.jpg	86000.0	[]	1499.0	NC	122525.0	27824	106996456
2.0	3	Engelhard	[u'Single Family', u'Built in 1960', u'All time views: 1,624', u'Last sold: Dec 2014 for $154,000', u'Last sale price/sqft: $62', u'Floor size: 2,497 sqft', u'Zillow Home ID: 2106717550']	http://photos3.zillowstatic.com/p_e/IS99xs29itsmck0000000000.jpg	154000.0	[]	2497.0	NC	0.0	27824	2106717550
1.5	3	Engelhard	[u'Lot: 1 acre', u'Single Family', u'Built in 1980', u'All time views: 643', u'Cooling: Central', u'Heating: Other', u'Last sold: Jul 2014 for $86,000', u'Last sale price/sqft: $57', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 1', u'Floor size: 1,499 sqft', u'Parcel #: 4756', u'Zillow Home ID: 106996456']	http://photos1.zillowstatic.com/p_e/IS-1hyd3yv3sgvvh.jpg	86000.0	[]	1499.0	NC	122525.0	27824	106996456
