baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Franklinton	[u'Lot: 1 acre', u'Single Family', u'Built in 2007', u'All time views: 2,663', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $253,900', u'Last sale price/sqft: $116', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 585 sqft garage', u'Security System', u'Vaulted Ceiling', u'View: Territorial', u'finished bonus room', u'upgrades to lighing', u'crawl space plastic covered', u'upgraded landscaping', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Craftsman', u'Floor size: 2,198 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 184600171511', u'Zillow Home ID: 94875809']	http://photos1.zillowstatic.com/p_e/ISph2ffp1rr6ka0000000000.jpg	253900.0	[]	2198.0	NC	258413.0	27525	94875809
2.0	3	Franklinton	[u'Lot: 0.99 acres', u'Single Family', u'Built in 2006', u'All time views: 783', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Aug 2016 for $146,000', u'Last sale price/sqft: $120', u'Ceiling Fan', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Patio', u'Porch', u'Security System', u'Dishwasher', u'Microwave', u'Refrigerator', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,219 sqft', u'Heating: Electric', u'Parcel #: 183600077253', u'Zillow Home ID: 93022609']	http://photos3.zillowstatic.com/p_e/IShjacdsezuptp1000000000.jpg	146000.0	[]	1219.0	NC	143915.0	27525	93022609
3.0	3	Franklinton	[u'Baths: 2 full, 1 half', u'Lot: 0.92 acres', u'Single Family', u'Built in 2013', u'All time views: 2,045', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $273,000', u'Last sale price/sqft: $123', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 3 spaces, 547 sqft garage', u'Patio', u'Porch', u'Security System', u'Skylight', u'Storage', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Stone, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,220 sqft', u'Heating: Electric, Gas', u'Parcel #: 039852', u'Zillow Home ID: 83058333']	http://photos3.zillowstatic.com/p_e/ISxrvi0ff8zpen1000000000.jpg	273000.0	[]	2220.0	NC	277778.0	27525	83058333
3.0	4	Franklinton	[u'Lot: 1.12 acres', u'Single Family', u'Built in 2008', u'All time views: 3,584', u'HOA Fee: $600/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $344,500', u'Last sale price/sqft: $117', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 624 sqft garage', u'Porch', u'PropertySubType: Single Family Detached', u'PropertyType: Residential', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Pantry', u'Exterior material: Stone', u'Roof type: Other', u'Room count: 9', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,957 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 038628', u'Unit floor #: 2', u'Zillow Home ID: 80460660']	http://photos3.zillowstatic.com/p_e/IS9hzjvpc2gdzd0000000000.jpg	344500.0	[]	2957.0	NC	344964.0	27525	80460660
3.0	3	Franklinton	[u'Lot: 12.76 acres', u'Single Family', u'Built in 1861', u'All time views: 3,992', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $325,000', u'Last sale price/sqft: $129', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Dock', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Mother-in-Law Apartment', u'Parking: Off street, 1000 sqft garage', u'Pond', u'Pool', u'Porch', u'RV Parking', u'Storage', u'Vaulted Ceiling', u'View: Territorial, Water', u'Age: Over 50 Years Old', u'Lot Size: 5-10 Acres', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Foundation type: Concrete Block', u'Roof type: Metal', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,512 sqft', u'Heating: Electric, Wood / pellet', u'Last remodel year: 2010', u'Parcel #: 183500386418', u'Zillow Home ID: 93022321']	http://photos3.zillowstatic.com/p_e/IShfvlj23acd5c0000000000.jpg	325000.0	[]	2512.0	NC	286133.0	27525	93022321
2.0	3	Franklinton	[u'Lot: 2.27 acres', u'Single Family', u'Built in 2005', u'All time views: 470', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $150,000', u'Last sale price/sqft: $113', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet', u'Patio', u'Porch', u'Dishwasher', u'Microwave', u'Exterior material: Vinyl', u'Foundation type: Slab', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,330 sqft', u'Heating: Electric', u'Parcel #: 182600494815', u'Zillow Home ID: 93021391']	http://photos1.zillowstatic.com/p_e/ISdorppflsqglm1000000000.jpg	150000.0	[]	1330.0	NC	148339.0	27525	93021391
3.0	3	Franklinton	[u'Baths: 2 full, 1 half', u'Lot: 0.29 acres', u'Single Family', u'Built in 2007', u'All time views: 2,729', u'HOA Fee: $48/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $182,000', u'Last sale price/sqft: $80', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Softwood', u'Lawn', u'Parking: Garage - Attached, Off street, 2 spaces, 440 sqft garage', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,268 sqft', u'Heating: Gas', u'Parcel #: 037188', u'Zillow Home ID: 80469923']	http://photos3.zillowstatic.com/p_e/ISxvmemv6eu8fk1000000000.jpg	182000.0	[]	2268.0	NC	194811.0	27525	80469923
3.0	3	Franklinton	[u'Baths: 2 full, 1 half', u'Lot: 2.13 acres', u'Single Family', u'Built in 2001', u'All time views: 4,793', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $229,000', u'Last sale price/sqft: $106', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Lawn', u'Parking: Garage - Attached, Off street, 2 spaces, 600 sqft garage', u'Patio', u'Pool', u'Porch', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Shingle, Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,156 sqft', u'Heating: Electric', u'Parcel #: 183600203994', u'Zillow Home ID: 93022451']	http://photos2.zillowstatic.com/p_e/IStkzdc7cpnw9t0000000000.jpg	229000.0	[]	2156.0	NC	232756.0	27525	93022451
2.0	3	Franklinton	[u'Lot: 0.95 acres', u'Single Family', u'Built in 2002', u'All time views: 883', u'Cooling: Central', u'Heating: Other', u'Last sold: Jun 2016 for $150,000', u'Last sale price/sqft: $115', u'Deck', u'Dishwasher', u'Garbage disposal', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Floor size: 1,300 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 182600482086', u'Zillow Home ID: 93021375']	http://photos1.zillowstatic.com/p_e/IS17m0xbgbrf2j1000000000.jpg	150000.0	[]	1300.0	NC	142264.0	27525	93021375
2.0	3	Franklinton	[u'Lot: 1.83 acres', u'Single Family', u'Built in 2006', u'All time views: 720', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Jun 2016 for $214,000', u'Last sale price/sqft: $111', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 400 sqft garage', u'Porch', u'Vaulted Ceiling', u'A: Central Air', u'Attic Description: Floored', u'Sep Shower', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Entrance Hall Floor: Main', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'HO Fees Include: HO Fees Include None', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Garage Floor: Main', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Garden Tub', u'Other Rooms: Finish', u'Style: Transitional', u'Parking: Side', u'Attic Description: Walk In', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Pantry', u'Subdivision: Golden Meadow', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Floor size: 1,932 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 182700549167', u'Zillow Home ID: 93021615']	http://photos1.zillowstatic.com/p_e/IS1fkwijlcu1td1000000000.jpg	214000.0	[]	1932.0	NC	190367.0	27525	93021615
