baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Fuquay Varina	"[u'Lot: 0.93 acres', u'Single Family', u'Built in 1984', u'All time views: 7,502', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $232,675', u'Last sale price/sqft: $115', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Garden', u'Lawn', u'Parking: Off street', u'Patio', u'Porch', u'RV Parking', u""Large 14'\xd720' Shed ....with Electric"", u'Hot water', u'Cable', u'Fireplace in house', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 2,024 sqft', u'Heating: Electric', u'Last remodel year: 1984', u'Parcel #: 067801259410000', u'Zillow Home ID: 6474026']"	http://photos3.zillowstatic.com/p_e/ISxvyv71baj7vd1000000000.jpg	232675.0	[]	2024.0	NC	233436.0	27526	6474026
2.0	3	Fuquay Varina	[u'Lot: 1.23 acres', u'Single Family', u'Built in 2002', u'56 days on Zillow', u'Views since listing: 4,264', u'All time views: 4,369', u'136 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $159,900', u'Last sale price/sqft: $123', u'MLS #: 2076023', u'View Virtual Tour', u'Attic', u'Cable Ready', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 328 sqft garage', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,300 sqft', u'Heating: Electric', u'Last remodel year: 2002', u'Parcel #: 080654    0141 54', u'Zillow Home ID: 71846264']	http://photos3.zillowstatic.com/p_e/ISiboh8we4a53n0000000000.jpg	159900.0	[]	1300.0	NC	153982.0	27526	71846264
3.0	3	Fuquay Varina	[u'Baths: 2 full, 1 half', u'Lot: 7,840 sqft', u'Single Family', u'Built in 2015', u'All time views: 488', u'Last sold: Aug 2016 for $272,100', u'Last sale price/sqft: $114', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 8', u'Floor size: 2,394 sqft', u'Parcel #: 065803438459000', u'Zillow Home ID: 122284476']	http://photos3.zillowstatic.com/p_e/IShfr656j24xt30000000000.jpg	272100.0	[]	2394.0	NC	273840.0	27526	122284476
3.0	4	Fuquay Varina	[u'Baths: 2 full, 1 half', u'Lot: 0.27 acres', u'Single Family', u'Built in 2010', u'All time views: 2,061', u'HOA Fee: $40/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $273,000', u'Last sale price/sqft: $129', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 459 sqft garage', u'Patio', u'Pond', u'Porch', u'Security System', u'Sprinkler System', u'View: Water', u'Waterfront', u'Hardwood throughout first floor', u'Gas stove', u'gas fire place', u'upstairs loft', u'new interior and exterior paint 2016.', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Cement concrete, Composition, Shingle, Stone, Wood', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,122 sqft', u'Heating: Other', u'Last remodel year: 2010', u'Parcel #: 067603431612000', u'Zillow Home ID: 111620265']	http://photos2.zillowstatic.com/p_e/IS52xoc5okrj3k1000000000.jpg	273000.0	[]	2122.0	NC	261376.0	27526	111620265
3.0	4	Fuquay Varina	[u'Baths: 2 full, 1 half', u'Lot: 0.66 acres', u'Single Family', u'Built in 2000', u'All time views: 609', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $321,000', u'Last sale price/sqft: $104', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Hot Tub/Spa', u'Parking: Garage - Attached, 2 spaces, 420 sqft garage', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Tub', u'Foundation: Crawl Space', u'HO Fees Include: HO Association', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Style: Traditional', u'Living Room Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Inside City: Yes', u'Design: 2 Story', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Other Rooms: Office', u'Other Rooms: Utility Room', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Bonus Room Floor: Second', u'Garage Floor: Main', u'Equipment: Cooktop ? Electric', u'HO Fees Include: Street Lights', u'Other Rooms: Finish', u'Style: Transitional', u'Parking: Side', u'Roof: Roof Age 11+ Years', u'Warranty Program', u'Water Heater: Tankless', u'Heating: Flr Furnace', u'Washer Dryer Location: No Washer Dryer', u'Subdivision: Whitehurst', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'Acres: .51-.75 Acres', u'HOA 1 Fee Payment: Annually', u'10Ft+ Ceiling', u'Bookshelves', u'Pantry', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,098 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2000', u'Parcel #: 066803309776000', u'Zillow Home ID: 6564922']	http://photos1.zillowstatic.com/p_e/ISi3al3d2olu300000000000.jpg	321000.0	[]	3098.0	NC	311851.0	27526	6564922
2.0	3	Fuquay Varina	[u'Lot: 0.52 acres', u'Single Family', u'Built in 2008', u'All time views: 2,970', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $205,000', u'Last sale price/sqft: $107', u'Attic', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 460 sqft garage', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Shower', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Washer Dryer Location: 1st Floor', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Entrance Hall Floor: Main', u'Design: 1.5 Story', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Other Rooms: Utility Room', u'Bonus Room Floor: Second', u'Fenced Yard', u'Other Rooms: Entry Foyer', u'Garden Tub', u'Parking: Concrete', u'Water: County Water', u'Attic Description: Walk In', u'Washer Dryer Location: No Washer Dryer', u'Subdivision: Mill Branch', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,914 sqft', u'Heating: Electric', u'Last remodel year: 2008', u'Parcel #: 080652    0097 15', u'Zillow Home ID: 82174091']	http://photos1.zillowstatic.com/p_e/ISmysnn1vkv0fo1000000000.jpg	205000.0	[]	1914.0	NC	208486.0	27526	82174091
3.0	4	Fuquay Varina	[u'Baths: 2 full, 1 half', u'Lot: 0.35 acres', u'Single Family', u'Built in 2005', u'All time views: 3,101', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $282,000', u'Last sale price/sqft: $109', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 300 sqft garage', u'Porch', u'Security System', u'Vaulted Ceiling', u'Age: 10 Years Old', u'Lot Size: .35 Acre', u'4th bedroom could be bonus', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Composition', u'Roof type: Composition', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,584 sqft', u'Heating: Gas', u'Last remodel year: 2005', u'Parcel #: 066713134710000', u'Zillow Home ID: 50117042']	http://photos1.zillowstatic.com/p_e/IS9dwab8nth6xz0000000000.jpg	282000.0	[]	2584.0	NC	301029.0	27526	50117042
3.0	3	Fuquay Varina	[u'Baths: 2 full, 1 half', u'Lot: 0.45 acres', u'Single Family', u'Built in 2002', u'All time views: 1,643', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Aug 2016 for $272,000', u'Last sale price/sqft: $100', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 256 sqft garage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Office', u'Roof type: Other', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,711 sqft', u'Last remodel year: 2002', u'Parcel #: 067803412780000', u'Zillow Home ID: 60393544']	http://photos3.zillowstatic.com/p_e/ISuw0jqqv20zi41000000000.jpg	272000.0	[]	2711.0	NC	296130.0	27526	60393544
3.0	4	Fuquay Varina	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 2016', u'230 days on Zillow', u'Views since listing: 829', u'All time views: 831', u'5 shoppers saved this home', u'HOA Fee: $20/mo', u'Last sold: Aug 2016 for $361,000', u'Last sale price/sqft: $151', u'MLS #: 2044049', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Tudor', u'Floor size: 2,387 sqft', u'Zillow Home ID: 2100043802']	http://photos2.zillowstatic.com/p_e/IS1n67sdfu91r51000000000.jpg	361000.0	[]	2387.0	NC	336266.0	27526	2100043802
2.0	3	Fuquay Varina	[u'Lot: 0.81 acres', u'Single Family', u'Built in 1997', u'All time views: 3,767', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $144,000', u'Last sale price/sqft: $126', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'A: Central Air', u'Attic Description: Unfinished Att', u'Basement Description: No Basement', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Parking: Gravel', u'Washer Dryer Location: 1st Floor', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Shower', u'Bedroom 3 Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Master Bedroom', u'Dining: Eat-in Kitchen', u'Washer Dryer Location: Closet', u'Water: County Water', u'Accessibility: Main Floor Laundry', u'Special Conditions: Seller Lic. RE Prfssnl.', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Attic Description: Skuttle', u'Washer Dryer Location: Hall', u'Subdivision: Kennis Creek', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: .76-.99 Acres', u'Dishwasher', u'Microwave', u'Range / Oven', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 0', u'Floor size: 1,144 sqft', u'Heating: Electric', u'Last remodel year: 1997', u'Parcel #: 040664    0150 16', u'Zillow Home ID: 71880872']	http://photos2.zillowstatic.com/p_e/IS2v8y0jvuvun01000000000.jpg	144000.0	[]	1144.0	NC	141368.0	27526	71880872
