baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Garner	[u'Lot: 0.38 acres', u'Single Family', u'Built in 2016', u'206 days on Zillow', u'Views since listing: 4,105', u'All time views: 4,106', u'94 shoppers saved this home', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $249,900', u'Last sale price/sqft: $108', u'MLS #: 2047588', u'View Virtual Tour', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Patio', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Gutters', u'Shower', u'Foundation: Crawl Space', u'HO Fees Include: Maint Com. Area', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Style: Traditional', u'Washer Dryer Location: 2nd Floor', u'Design: 2 Story', u'New Construction: Yes', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Other Rooms: 1st Floor Bedroom', u'Bedroom 3 Floor: Second', u'Breakfast Room Floor: Main', u'Fenced Yard', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Equipment: Garage Opener', u'Garden Tub', u'Flooring: Ceramic', u'Parking: Concrete', u'Water: County Water', u'Bedroom 4 Floor: Main', u'Water: County Sewer', u'Subdivision: Island Creek', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Pantry', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Stories: 0', u'Floor size: 2,313 sqft', u'Heating: Electric', u'Zillow Home ID: 2099819713']	http://photos1.zillowstatic.com/p_e/ISinlzp7j3ebhq1000000000.jpg	249900.0	[]	2313.0	NC	250298.0	27529	2099819713
3.0	2	Garner	[u'Baths: 1 full, 2 half', u'Lot: 1,307 sqft', u'Single Family', u'Built in 1983', u'All time views: 4,662', u'HOA Fee: $89/mo', u'Heating: Forced air', u'Last sold: Aug 2016 for $90,000', u'Last sale price/sqft: $80', u'Fireplace', u'Exterior material: Wood', u'Room count: 4', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,124 sqft', u'Last remodel year: 1983', u'Parcel #: 171113024541000', u'Zillow Home ID: 6477029']	http://photos2.zillowstatic.com/p_e/IS1fs6khz8wfbw1000000000.jpg	90000.0	[]	1124.0	NC	94335.0	27529	6477029
3.0	4	Garner	[u'Baths: 2 full, 1 half', u'Lot: 0.7 acres', u'Single Family', u'Built in 1985', u'All time views: 3,549', u'Heating: Forced air', u'Last sold: Aug 2016 for $206,500', u'Last sale price/sqft: $98', u'Deck', u'Fireplace', u'Parking: 364 sqft garage', u'Dishwasher', u'Microwave', u'Refrigerator', u'Exterior material: Wood', u'Room count: 7', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 2,108 sqft', u'Last remodel year: 1985', u'Parcel #: 161804647822000', u'Zillow Home ID: 6480756']	http://photos1.zillowstatic.com/p_e/ISncv2t52cc3vn.jpg	206500.0	[]	2108.0	NC	221253.0	27529	6480756
2.5	3	Garner	[u'Lot: 0.72 acres', u'Single Family', u'Built in 2001', u'All time views: 1,901', u'HOA Fee: $30/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $245,000', u'Last sale price/sqft: $111', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Parking: Garage - Attached, 2 spaces, 600 sqft garage', u'Patio', u'Porch', u'RV Parking', u'HomePath Financing', u'HomePath Renovation Financing', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,200 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2001', u'Parcel #: 06E03015V', u'Zillow Home ID: 69092166']	http://photos3.zillowstatic.com/p_e/IS-1f5d90trbi7h9.jpg	245000.0	[]	2200.0	NC	239516.0	27529	69092166
1.0	3	Garner	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1913', u'All time views: 10,392', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2016 for $105,000', u'Last sale price/sqft: $72', u'Flooring: Hardwood', u'Basement Description: No Basement', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Lot Description: Hardwood Trees', u'Lot Description: Partially Cleared', u'Dining: Eat-in Kitchen', u'Style: Ranch', u'Fireplace: 0', u'Subdivision: Not in a Subdivision', u'Parking: Earth', u'Fireplace Description: No Fireplace', u'A: C', u'Washer Dryer Location: No Washer Dryer', u'Fuel Heat: No Fuel Heat', u'Water Heater: No Water Heater', u'Heating: No Heat', u'Water: Sewer', u'Equipment: Appliances', u'Acres: 1-2.9 Acres', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,460 sqft', u'Last remodel year: 1954', u'Parcel #: 06D01003', u'Zillow Home ID: 69102575']	http://photos2.zillowstatic.com/p_e/IS5euq1goatngl0000000000.jpg	105000.0	[]	1460.0	NC	127480.0	27529	69102575
3.0	4	Garner	[u'Baths: 2 full, 1 half', u'Lot: 0.82 acres', u'Single Family', u'Built in 2000', u'All time views: 1,593', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $180,000', u'Last sale price/sqft: $111', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 331 sqft garage', u'Pool', u'Security System', u'Vaulted Ceiling', u'Separate Paved Back Drive Way and Basketball court', u'Detached Utility Shed', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,625 sqft', u'Last remodel year: 2000', u'Parcel #: 05E01005N', u'Zillow Home ID: 69117921']	http://photos1.zillowstatic.com/p_e/ISlmvtogaxca5t0000000000.jpg	180000.0	[]	1625.0	NC	175039.0	27529	69117921
2.0	3	Garner	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1980', u'All time views: 2,478', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $135,000', u'Last sale price/sqft: $116', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Off street', u'Porch', u'Security System', u'Bedroom', u'Full Bath', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Dining room', u'Master bath', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,162 sqft', u'Last remodel year: 1980', u'Parcel #: 171013044460000', u'Zillow Home ID: 6459502']	http://photos3.zillowstatic.com/p_e/ISla6ms297q0h71000000000.jpg	135000.0	[]	1162.0	NC	137244.0	27529	6459502
2.5	4	Garner	[u'Baths: 2 full, 1 half', u'Lot: 6,969 sqft', u'Single Family', u'Built in 2008', u'All time views: 5,572', u'HOA Fee: $156/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $225,900', u'Last sale price/sqft: $83', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 4 spaces, 460 sqft garage', u'Patio', u'Pool', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Design: 3 Story', u'Equipment: Disposal', u'Equipment: Ice Maker Connection', u'Shower', u'HO Fees Include: HO Association', u'HO Fees Include: Maint Com. Area', u'HO Fees Include: Maint. Ext.', u'Lot Description: Landscaped', u'Roof: Shingle', u'Style: Traditional', u'Washer Dryer Location: 2nd Floor', u'Living Room Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Corner Lot', u'Parking: Front', u'Bedroom 4 Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Equipment: Cooktop ? Electric', u'Insulated Windows', u'HO Fees Include: Street Lights', u'Other Rooms: Finish', u'Parking: Concrete', u'Water: Community Sewer', u'Foundation: Slab', u'HO Fees Include: Clubhouse', u'Water: Community Water', u'Utility Room Floor: Second', u'Bonus Room Floor: Third', u'Subdivision: Cleveland Springs', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Quarterly', u'Pantry', u'Month to Month: Yes', u'Neighborhood Playground', u'Microwave', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Roof type: Other', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,728 sqft', u'Heating: Electric', u'Last remodel year: 2008', u'Parcel #: 06C01031', u'Zillow Home ID: 83181402']	http://photos2.zillowstatic.com/p_e/ISy787k9s597du1000000000.jpg	225900.0	[]	2728.0	NC	239280.0	27529	83181402
3.0	3	Garner	[u'Baths: 2 full, 1 half', u'Lot: 6,098 sqft', u'Single Family', u'Built in 2005', u'All time views: 1,875', u'Heating: Forced air', u'Last sold: Aug 2016 for $204,500', u'Last sale price/sqft: $79', u'Fireplace', u'Parking: 222 sqft garage', u'Age: 11-20 Years Old', u'Lot Size: 2 Acre', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,580 sqft', u'Last remodel year: 2005', u'Parcel #: 162901195091000', u'Zillow Home ID: 69566593']	http://photos1.zillowstatic.com/p_e/ISy7kw3fpnc2uc1000000000.jpg	204500.0	[]	2580.0	NC	217940.0	27529	69566593
3.0	3	Garner	[u'Baths: 2 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 2014', u'All time views: 370', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $175,000', u'Last sale price/sqft: $115', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 286 sqft garage', u'Patio', u'Porch', u'Basement Description: No Basement', u'Shower', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Washer Dryer Location: Utility Room WD', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Lot Description: Road Frontage', u'Roof: Shingle', u'Style: Traditional', u'Shower', u'Design: 2 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Other Rooms: Family Room', u'Other Rooms: Utility Room', u'Parking: Front', u'Breakfast Room Floor: Main', u'Garage Floor: Main', u'Other Rooms: Walk In Pantry', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Foundation: Slab', u'Water: County Sewer', u'Utility Room Floor: Second', u'Fiberglass Bath', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Water Heater: Water Htr Age 0-3 Yrs', u'Subdivision: Leachburg Place', u'Parking: Garage', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Pantry', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 1,525 sqft', u'Heating: Gas', u'Last remodel year: 2014', u'Laundry: In Unit', u'Parcel #: 06D02021X', u'Zillow Home ID: 125311195']	http://photos2.zillowstatic.com/p_e/IS2fcy2qyax6wo1000000000.jpg	175000.0	[]	1525.0	NC	174957.0	27529	125311195
2.0	3	Garner	[u'Lot: 0.28 acres', u'Single Family', u'Built in 2000', u'All time views: 3,256', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $209,000', u'Last sale price/sqft: $113', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Detached, 2 spaces, 462 sqft garage', u'Vaulted Ceiling', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Vinyl', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,843 sqft', u'Last remodel year: 2000', u'Parcel #: 171020814329000', u'Zillow Home ID: 50119983']	http://photos1.zillowstatic.com/p_e/ISxnoigk151lov1000000000.jpg	209000.0	[]	1843.0	NC	216731.0	27529	50119983
2.5	3	Garner	[u'Baths: 2 full, 1 half', u'Lot: 1.17 acres', u'Single Family', u'Built in 1972', u'All time views: 1,599', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $158,000', u'Last sale price/sqft: $87', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet', u'Porch', u'A: Central Air', u'Equipment: Ice Maker Connection', u'Gutters', u'A: C Age 6+ Years', u'Shower', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Dining: Eat-in Kitchen', u'Lvng Area: Main', u'Fenced Yard', u'Style: Ranch', u'Fireplace: 0', u'Equipment: Cooktop ? Electric', u'Equipment: Self Clean Oven', u'Insulated Windows', u'Ceramic Bath Wall', u'Parking: Concrete', u'Equipment: Double Oven', u'Water: Community Water', u'Parking: Side', u'Other Rooms: Sun Room', u'Detached Workshop', u'Other Rooms: Workshop', u'Water Heater: Water Htr Age 6+ Yrs', u'Play Equipment', u'Subdivision: Country Hills Estates', u'Smoke Alarm', u'Acres: 1-2.9 Acres', u'Dishwasher', u'Dryer', u'Washer', u'Dining room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,816 sqft', u'Last remodel year: 1978', u'Laundry: In Unit', u'Parcel #: 06D01179', u'Zillow Home ID: 69115150']	http://photos2.zillowstatic.com/p_e/IShrgutcaze10q0000000000.jpg	158000.0	[]	1816.0	NC	156696.0	27529	69115150
1.5	3	Garner	[u'Baths: 1 full, 1 half', u'Lot: 0.38 acres', u'Single Family', u'Built in 1968', u'All time views: 725', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $117,000', u'Last sale price/sqft: $103', u'Ceiling Fan', u'Parking: 324 sqft garage', u'Patio', u'Dishwasher', u'Washer', u'Exterior material: Brick', u'Room count: 9', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,137 sqft', u'Last remodel year: 1973', u'Laundry: In Unit', u'Parcel #: 173003437022000', u'Zillow Home ID: 6408467']	http://photos3.zillowstatic.com/p_e/ISlaat44xs6zs50000000000.jpg	117000.0	[]	1137.0	NC	117882.0	27529	6408467
