baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	2	Garysburg	[u'Lot: 7,405 sqft', u'Single Family', u'Built in 1950', u'All time views: 1,300', u'Heating: Baseboard', u'Last sold: Aug 2015 for $10,500', u'Last sale price/sqft: $15', u'Flooring: Carpet, Other', u'Electric HEat', u'WD Hookup', u'Washer/Dryer Hook-up', u'Exterior material: Vinyl, Wood', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 720 sqft', u'Heating: Other', u'Parcel #: 04-00088', u'Zillow Home ID: 114836456']	http://photos2.zillowstatic.com/p_e/IS5afou7k0qlog0000000000.jpg	10500.0	[]	720.0	NC	52003.0	27831	114836456
4.0	3	Garysburg	[u'Lot: 8 acres', u'Single Family', u'Built in 2003', u'All time views: 360', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $253,000', u'Last sale price/sqft: $94', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Concrete', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,700 sqft', u'Heating: Other', u'Parcel #: 08-02313', u'Zillow Home ID: 114838848']	http://photos1.zillowstatic.com/p_e/ISdwp1gdqflsyc1000000000.jpg	253000.0	[]	2700.0	NC	177356.0	27831	114838848
1.5	3	Garysburg	[u'Lot: 0.36 acres', u'Single Family', u'Built in 1970', u'All time views: 603', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2014 for $11,000', u'Last sale price/sqft: $11', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,024 sqft', u'Heating: Other', u'Parcel #: 04-00716', u'Zillow Home ID: 114836389']	http://photos3.zillowstatic.com/p_e/IStkjpuc4y44yn1000000000.jpg	11000.0	[]	1024.0	NC	58567.0	27831	114836389
1.0	1	Garysburg	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 1955', u'All time views: 999', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $19,000', u'Last sale price/sqft: $29', u'Parking: Garage - Attached', u'Sewer: County Sewer', u'Construction: Site Built', u'Garage: None-Garage', u'Appliances: None', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Heating: Other-See Remarks', u'Basement: None', u'Fireplace: None', u'Style: 1 Story', u'Misc Info: Other-See Remarks', u'Other-See Remarks', u'Water: Other-See Remarks', u'Exterior material: Other, Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 4', u'Stories: 0', u'Structure type: Other', u'Floor size: 660 sqft', u'Heating: Other', u'Parcel #: 04-00143', u'Zillow Home ID: 114835846']	http://photos1.zillowstatic.com/p_e/ISpd3tzl9ta1vi0000000000.jpg	19000.0	[]	660.0	NC	52523.0	27831	114835846
1.0	2	Garysburg	[u'Lot: 7,405 sqft', u'Single Family', u'Built in 1950', u'All time views: 1,298', u'Heating: Baseboard', u'Last sold: Aug 2015 for $10,500', u'Last sale price/sqft: $15', u'Flooring: Carpet, Other', u'Electric HEat', u'WD Hookup', u'Washer/Dryer Hook-up', u'Exterior material: Vinyl, Wood', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 720 sqft', u'Heating: Other', u'Parcel #: 04-00088', u'Zillow Home ID: 114836456']	http://photos2.zillowstatic.com/p_e/IS5afou7k0qlog0000000000.jpg	10500.0	[]	720.0	NC	52003.0	27831	114836456
4.0	3	Garysburg	[u'Lot: 8 acres', u'Single Family', u'Built in 2003', u'All time views: 359', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $253,000', u'Last sale price/sqft: $94', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Concrete', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,700 sqft', u'Heating: Other', u'Parcel #: 08-02313', u'Zillow Home ID: 114838848']	http://photos1.zillowstatic.com/p_e/ISdwp1gdqflsyc1000000000.jpg	253000.0	[]	2700.0	NC	177356.0	27831	114838848
1.5	3	Garysburg	[u'Lot: 0.36 acres', u'Single Family', u'Built in 1970', u'All time views: 602', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2014 for $11,000', u'Last sale price/sqft: $11', u'Foundation type: Concrete', u'Room count: 5', u'Stories: 1', u'Floor size: 1,024 sqft', u'Heating: Other', u'Parcel #: 04-00716', u'Zillow Home ID: 114836389']	http://photos3.zillowstatic.com/p_e/IStkjpuc4y44yn1000000000.jpg	11000.0	[]	1024.0	NC	58567.0	27831	114836389
1.0	1	Garysburg	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 1955', u'All time views: 1,001', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $19,000', u'Last sale price/sqft: $29', u'Parking: Garage - Attached', u'Sewer: County Sewer', u'Construction: Site Built', u'Garage: None-Garage', u'Appliances: None', u'Views: Neighborhood', u'Foundation: Crawl Space', u'Heating: Other-See Remarks', u'Basement: None', u'Fireplace: None', u'Style: 1 Story', u'Misc Info: Other-See Remarks', u'Other-See Remarks', u'Water: Other-See Remarks', u'Exterior material: Other, Vinyl', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 4', u'Stories: 0', u'Structure type: Other', u'Floor size: 660 sqft', u'Heating: Other', u'Parcel #: 04-00143', u'Zillow Home ID: 114835846']	http://photos1.zillowstatic.com/p_e/ISpd3tzl9ta1vi0000000000.jpg	19000.0	[]	660.0	NC	52523.0	27831	114835846
1.0	2	Garysburg	[u'Lot: 7,405 sqft', u'Single Family', u'Built in 1950', u'All time views: 1,297', u'Heating: Baseboard', u'Last sold: Aug 2015 for $10,500', u'Last sale price/sqft: $15', u'Flooring: Carpet, Other', u'Electric HEat', u'WD Hookup', u'Washer/Dryer Hook-up', u'Exterior material: Vinyl, Wood', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 5', u'Stories: 0', u'Floor size: 720 sqft', u'Heating: Other', u'Parcel #: 04-00088', u'Zillow Home ID: 114836456']	http://photos2.zillowstatic.com/p_e/IS5afou7k0qlog0000000000.jpg	10500.0	[]	720.0	NC	52003.0	27831	114836456
4.0	3	Garysburg	[u'Lot: 8 acres', u'Single Family', u'Built in 2003', u'All time views: 373', u'Cooling: Other', u'Heating: Other', u'Last sold: Sep 2014 for $253,000', u'Last sale price/sqft: $94', u'Fireplace', u'Parking: Garage - Attached, 600 sqft garage', u'Foundation type: Concrete', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 2,700 sqft', u'Heating: Other', u'Parcel #: 08-02313', u'Zillow Home ID: 114838848']	http://photos1.zillowstatic.com/p_e/ISdwp1gdqflsyc1000000000.jpg	253000.0	[]	2700.0	NC	177356.0	27831	114838848
