baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Gibsonville	[u'Lot: 0.27 acres', u'Single Family', u'Built in 2004', u'All time views: 925', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $210,000', u'Last sale price/sqft: $95', u'Attic', u'Cable Ready', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 578 sqft garage', u'Patio', u'Pond', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,200 sqft', u'Parcel #: 109904', u'Zillow Home ID: 66563955']	http://photos1.zillowstatic.com/p_e/ISme54xygys7mu0000000000.jpg	210000.0	[]	2200.0	NC	186739.0	27249	66563955
3.0	4	Gibsonville	[u'Baths: 2 full, 1 half', u'Lot: 0.29 acres', u'Single Family', u'Built in 2004', u'All time views: 4,501', u'HOA Fee: $85/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $185,000', u'Last sale price/sqft: $91', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 528 sqft garage', u'Pool', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Laundry room', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 7', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,036 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 108211', u'Zillow Home ID: 66563906']	http://photos1.zillowstatic.com/p_e/IS1rd3lk9o1qas0000000000.jpg	185000.0	[]	2036.0	NC	196754.0	27249	66563906
2.0	3	Gibsonville	[u'Lot: 0.84 acres', u'Single Family', u'Built in 1979', u'All time views: 1,641', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $105,000', u'Last sale price/sqft: $87', u'Deck', u'Flooring: Carpet, Laminate', u'Parking: Off street', u'Microwave', u'Range / Oven', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,209 sqft', u'Heating: Electric', u'Last remodel year: 1989', u'Lot depth: 240 ft', u'Lot width: 117 ft', u'Parcel #: 0120565', u'Zillow Home ID: 5982138']	http://photos3.zillowstatic.com/p_e/IStggk5yg02z130000000000.jpg	105000.0	[]	1209.0	NC	97121.0	27249	5982138
2.1	2	Gibsonville	[u'Lot: 1.81 acres', u'Single Family', u'Built in 1963', u'All time views: 628', u'Heating: Other', u'Last sold: Aug 2016 for $9,500', u'Last sale price/sqft: $11', u'Fireplace', u'Flooring: Other', u'Exterior material: Other', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 882 sqft', u'Heating: None', u'Last remodel year: 1963', u'Parcel #: 0120219', u'Zillow Home ID: 5981833']	http://photos1.zillowstatic.com/p_e/ISlu9qdz3c3mcm1000000000.jpg	9500.0	[]	882.0	NC	71589.0	27249	5981833
2.0	3	Gibsonville	[u'Lot: 0.33 acres', u'Single Family', u'Built in 1920', u'All time views: 8,349', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $140,500', u'Last sale price/sqft: $76', u'Attic', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Lawn', u'Parking: Off street', u'Patio', u'Porch', u'Storage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Stone, Vinyl', u'Roof type: Composition', u'Room count: 8', u'Stories: 1', u'Structure type: Craftsman', u'Unit count: 1', u'Floor size: 1,841 sqft', u'Heating: Gas', u'Lot width: 75 ft', u'Parcel #: 108588', u'Zillow Home ID: 51232966']	http://photos2.zillowstatic.com/p_e/IS52x0qbfsn4y01000000000.jpg	140500.0	[]	1841.0	NC	127759.0	27249	51232966
2.0	3	Gibsonville	[u'Lot: 1.07 acres', u'Single Family', u'Built in 2003', u'All time views: 1,338', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $156,000', u'Last sale price/sqft: $94', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 2 spaces, 537 sqft garage', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,657 sqft', u'Last remodel year: 2003', u'Parcel #: 0105544', u'Zillow Home ID: 71215206']	http://photos3.zillowstatic.com/p_e/IStww7zy1oyo690000000000.jpg	156000.0	[]	1657.0	NC	163742.0	27249	71215206
2.0	3	Gibsonville	[u'Lot: 0.32 acres', u'Single Family', u'Built in 2005', u'All time views: 1,465', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $115,000', u'Last sale price/sqft: $96', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Off street', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Pantry', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,200 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 107615', u'Zillow Home ID: 80888383']	http://photos3.zillowstatic.com/p_e/IS5ajzxs0mtsdf0000000000.jpg	115000.0	[]	1200.0	NC	116974.0	27249	80888383
3.0	3	Gibsonville	[u'Baths: 2 full, 1 half', u'Lot: 0.52 acres', u'Single Family', u'Built in 1986', u'All time views: 1,911', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $210,000', u'Last sale price/sqft: $104', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 576 sqft garage', u'Pool', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,016 sqft', u'Heating: Gas', u'Lot width: 110 ft', u'Parcel #: 108384', u'Zillow Home ID: 51232126']	http://photos2.zillowstatic.com/p_e/IShf3oi5tec3qu1000000000.jpg	210000.0	[]	2016.0	NC	227716.0	27249	51232126
2.0	3	Gibsonville	[u'Lot: 0.94 acres', u'Single Family', u'Built in 2003', u'All time views: 2,375', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $153,000', u'Last sale price/sqft: $92', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Patio', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Pantry', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 1,662 sqft', u'Last remodel year: 2003', u'Parcel #: 0105504', u'Zillow Home ID: 59958963']	http://photos2.zillowstatic.com/p_e/IS1r9omsvy1w7l0000000000.jpg	153000.0	[]	1662.0	NC	179321.0	27249	59958963
2.0	3	Gibsonville	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1998', u'All time views: 1,353', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $76,000', u'Last sale price/sqft: $64', u'Great solar potentialSun Number\u2122:\xa078', u'Deck', u'Fireplace', u'Security System', u'Dishwasher', u'Microwave', u'Range / Oven', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,179 sqft', u'Heating: Electric', u'Last remodel year: 1998', u'Lot depth: 80 ft', u'Lot width: 80 ft', u'Parcel #: 0111555', u'Zillow Home ID: 55371262']	http://photos3.zillowstatic.com/p_e/IShz2putn7m7yv0000000000.jpg	76000.0	[]	1179.0	NC	75426.0	27249	55371262
