baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,617', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,583', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,619', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,587', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,628', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,588', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,615', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,600', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,625', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,599', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,626', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,595', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,623', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,593', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 2', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,601', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,622', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,585', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
2.0	3	Glendale Springs	[u'Single Family', u'Built in 1962', u'All time views: 1,620', u'Last sold: Jun 2015 for $115,000', u'Last sale price/sqft: $99', u'Floor size: 1,165 sqft', u'Zillow Home ID: 2130021576']	http://photos2.zillowstatic.com/p_e/IS5i5y13mzwafw0000000000.jpg	115000.0	[]	1165.0	NC	122027.0	28629	2130021576
1.0	3	West Jefferson	[u'Lot: 5.31 acres', u'Single Family', u'Built in 1961', u'All time views: 1,590', u'Last sold: Feb 2016 for $115,100', u'Last sale price/sqft: $79', u'Floor size: 1,462 sqft', u'Parcel #: 12350-027', u'Zillow Home ID: 114784261']	http://photos3.zillowstatic.com/p_e/ISl2kbz865o8u40000000000.jpg	115100.0	[]	1462.0	NC	136866.0	28694	114784261
