baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Goldsboro	[u'Lot: 0.47 acres', u'Single Family', u'Built in 2005', u'All time views: 5,771', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $247,500', u'Last sale price/sqft: $96', u'Age: 11-20 Years Old', u'Dishwasher', u'Microwave', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,574 sqft', u'Zillow Home ID: 2139822891']	http://dev.virtualearth.net/REST/v1/Imagery/Map/Aerial/35.437000,-77.958000/17?mapSize=596,446&key=Au7rlsDVn0-CG7wNZOyP72-Ka-XfbNT1UqVHArNnPj1KSh9CFvvO8TNv_vgi6M1r	247500.0	[]	2574.0	NC	248358.0	27530	2139822891
2.5	3	Goldsboro	[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 1997', u'All time views: 1,265', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $160,000', u'Last sale price/sqft: $75', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Air Conditioning: Central Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Miscellaneous: Other-See Remarks', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Type: Two Story', u'Location Description: Level Lot', u'Deck', u'Appliances: Microwave', u'Gas Logs', u'Outbuildings: Frame', u'Smoke Detector', u'Property Status: Contingent', u'Finished Bonus Room', u'Dishwasher', u'Microwave', u'Exterior material: Vinyl', u'Roof type: Composition', u'Floor size: 2,128 sqft', u'Zillow Home ID: 2098932344']	http://photos3.zillowstatic.com/p_e/ISizeylaekj6p80000000000.jpg	160000.0	[]	2128.0	NC	165740.0	27530	2098932344
2.0	3	Goldsboro	[u'Lot: 0.34 acres', u'Single Family', u'Built in 2016', u'All time views: 184', u'Heating: Heat pump', u'Last sold: Aug 2016 for $162,900', u'Last sale price/sqft: $119', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Gutters', u'Shower', u'Design: One Story', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'New Construction: Yes', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Other Rooms: Family Room', u'Parking: Front', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Style: Ranch', u'Garden Tub', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Water: County Water', u'Foundation: Slab', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Washer Dryer Location: Hall', u'Programmable Thermostats', u'Subdivision: Ingram Fields', u'Green Building Cert: ecoSelect Program', u'Parking: Garage', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Solid Surface Counter Top', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Stories: 1', u'Floor size: 1,372 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2098309616']	http://photos1.zillowstatic.com/p_e/ISmi8xwdmm9hfg1000000000.jpg	162900.0	[]	1372.0	NC	163764.0	27530	2098309616
2.0	3	Goldsboro	[u'Lot: 0.41 acres', u'Single Family', u'Built in 1940', u'All time views: 958', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $171,000', u'Last sale price/sqft: $76', u'Fireplace', u'Parking: Garage - Attached, 400 sqft garage', u'Apx Age: Over 40', u'Construction: Brick Veneer', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Water: Public Water', u'Sewer: Sewer Connection', u'Basement: None', u'Driveway Type: Dirt Drive', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Storage Room', u'Property Status: Active', u'Property Type: Residential', u'Air Conditioning: Central Electric', u'Heating System: Gas Pak', u'Double Pane Windows', u'Type: Bungalow', u'Appliances: Microwave', u'Newly Decorated', u'Gas Logs', u'Dining Room', u'Patio', u'Smoke Detector', u'Great Room', u'Attic: Scuttle', u'Location Description: Other-See Remarks', u'Other-See Remarks', u'Other-See Remarks', u'Attic: Other-See Remarks', u'Driveway Type: Other-See Remarks', u'Recreation Room', u'Outbuildings: Metal', u'Workshop', u'Water Heater: Gas', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 2,249 sqft', u'Parcel #: 123509467161', u'Zillow Home ID: 78369375']	http://photos2.zillowstatic.com/p_e/IS13z35po0th8a0000000000.jpg	171000.0	[]	2249.0	NC	157044.0	27530	78369375
2.5	3	Goldsboro	[u'Baths: 2 full, 1 half', u'Lot: 0.41 acres', u'Single Family', u'Built in 1994', u'All time views: 1,761', u'Cooling: Central', u'Last sold: Aug 2016 for $209,000', u'Last sale price/sqft: $92', u'Attic', u'Cable Ready', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Vaulted Ceiling', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Property Type: Residential', u'Construction: Vinyl Siding', u'Air Conditioning: Central Electric', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Location Description: Level Lot', u'Apx Age: 21-30', u'Large Master Bedroom', u'Attic: Walk-in', u'Appliances: Microwave', u'Newly Decorated', u'Walk-in Closet(s)', u'Dining Room', u'Patio', u'Outbuildings: None', u'Property Status: Contingent', u'Type: 1.5 Story', u'Finished Bonus Room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Floor size: 2,272 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2143114413']	http://photos3.zillowstatic.com/p_e/IS9t09lbh18rio1000000000.jpg	209000.0	[]	2272.0	NC	208191.0	27530	2143114413
3.0	4	Goldsboro	[u'Baths: 2 full, 1 half', u'Lot: 1.04 acres', u'Single Family', u'Built in 1999', u'395 days on Zillow', u'Views since listing: 1,873', u'All time views: 1,874', u'20 shoppers saved this home', u'Cooling: Central', u'Last sold: Aug 2016 for $329,000', u'Last sale price/sqft: $94', u'Deck', u'Parking: Garage - Attached, 3 spaces', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 2', u'Floor size: 3,504 sqft', u'Heating: Electric', u'Zillow Home ID: 2101573043']	http://photos1.zillowstatic.com/p_e/ISp1q6ovgto7n60000000000.jpg	329000.0	[]	3504.0	NC	342170.0	27530	2101573043
3.0	3	Goldsboro	[u'Baths: 2 full, 1 half', u'Lot: 1.15 acres', u'Single Family', u'Built in 2005', u'All time views: 2,600', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $270,000', u'Last sale price/sqft: $106', u'Flooring: Other', u'Parking: Garage - Attached', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Fireplace', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Air Conditioning: Central Electric', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Large Master Bedroom', u'Deck', u'Appliances: Microwave', u'Whirlpool Tub', u'Gas Logs', u'Walk-in Closet(s)', u'Dining Room', u'Location Description: None', u'Patio', u'Outbuildings: None', u'Great Room', u'Property Status: Contingent', u'Construction: Other-See Remarks', u'Type: 1.5 Story', u'Finished Bonus Room', u'Attic: Eve Storage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 8', u'Structure type: Other', u'Floor size: 2,545 sqft', u'Heating: None', u'Zillow Home ID: 2131525168']	http://photos3.zillowstatic.com/p_e/IS5eeys5ruiaft0000000000.jpg	270000.0	[]	2545.0	NC	273369.0	27530	2131525168
2.0	3	Goldsboro	[u'Lot: 0.38 acres', u'Single Family', u'Built in 1978', u'All time views: 1,319', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $143,000', u'Last sale price/sqft: $84', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Lawn', u'Parking: Off street, On street', u'Type: Ranch', u'Construction: Brick Veneer', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Air Conditioning: Central Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Refrigerator', u'Ceiling Fan', u'Property Type: Residential', u'Sewer: Septic Tank', u'Location Description: Level Lot', u'Deck', u'Appliances: Microwave', u'Outbuildings: None', u'Appliances: Self Cleaning Oven', u'Property Status: Contingent', u'Driveway Type: Gravel Drive', u'Appliances: Oven', u'Apx Age: 31-40', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,708 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 022588119471', u'Zillow Home ID: 78376333']	http://photos2.zillowstatic.com/p_e/IS13rpwi45qx5p0000000000.jpg	143000.0	[]	1708.0	NC	137025.0	27530	78376333
2.0	3	Goldsboro	[u'Lot: 5,767 sqft', u'Single Family', u'Built in 2004', u'All time views: 1,892', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $49,900', u'Last sale price/sqft: $44', u'Fireplace', u'Type: Ranch', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Water: Public Water', u'Sewer: Sewer Connection', u'Ceiling Fan', u'Property Status: Active', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Heating System: Central', u'Air Conditioning: Central Electric', u'Driveway Type: Concrete Drive', u'Double Pane Windows', u'Location Description: None', u'Outbuildings: None', u'Appliances: None', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,130 sqft', u'Parcel #: 123600346713', u'Zillow Home ID: 93096793']	http://photos1.zillowstatic.com/p_e/IS-1f5ls81xp9x7h.jpg	49900.0	[]	1130.0	NC	83078.0	27530	93096793
3.0	3	Goldsboro	[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 2015', u'All time views: 1,450', u'Heating: Heat pump', u'Last sold: Jul 2016 for $228,900', u'Last sale price/sqft: $85', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'A: Central Air', u'Basement Description: No Basement', u'Sep Shower', u'Gutters', u'Shower', u'Fuel Heat: Electric Fuel', u'HO Fees Include: Maint Com. Area', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Master Bedroom Floor: Main', u'Utility Room Floor: Main', u'New Construction: Yes', u'Entrance Hall Floor: Main', u'Design: 1.5 Story', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Bedroom 2 Floor: Second', u'Other Rooms: 1st Floor Bedroom', u'Bedroom 3 Floor: Second', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Corner Lot', u'Other Rooms: Family Room', u'Other Rooms: Utility Room', u'Parking: Front', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Whirlpool', u'Garden Tub', u'Other Rooms: Finish', u'Parking: Concrete', u'Roof: Roof Age 0-5 Years', u'Style: Transitional', u'Water: County Water', u'Foundation: Slab', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Other Rooms: Loft Rm', u'Water Heater: Water Htr Age 0-3 Yrs', u'Attic Description: Skuttle', u'Programmable Thermostats', u'Washer Dryer Location: Laundry Room', u'Subdivision: Ingram Fields', u'Green Building Cert: ecoSelect Program', u'Parking: Garage', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Solid Surface Counter Top', u'Coffered Ceiling', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Acres: .26-.5 Acres', u'Pantry', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Stories: 2', u'Floor size: 2,685 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100017946']	http://photos2.zillowstatic.com/p_e/ISeg5nycn4xfz91000000000.jpg	228900.0	[]	2685.0	NC	233252.0	27530	2100017946
