baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Graham	[u'Baths: 1 full, 1 half', u'Lot: 0.48 acres', u'Single Family', u'Built in 1970', u'All time views: 3,191', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $128,500', u'Last sale price/sqft: $83', u'Attic', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Lawn', u'Patio', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,547 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 143695', u'Zillow Home ID: 51239281']	http://photos2.zillowstatic.com/p_e/ISplh9sgek9ody0000000000.jpg	128500.0	[]	1547.0	NC	129854.0	27253	51239281
1.0	3	Graham	[u'Lot: 0.37 acres', u'Single Family', u'Built in 1940', u'49 days on Zillow', u'Views since listing: 719', u'All time views: 762', u'19 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $53,000', u'Last sale price/sqft: $51', u'Cable Ready', u'Lawn', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 1,040 sqft', u'Lot width: 64 ft', u'Parcel #: 134609', u'Zillow Home ID: 51224521']	http://photos3.zillowstatic.com/p_e/ISe8fp0d1ch4du1000000000.jpg	53000.0	[]	1040.0	NC	55398.0	27253	51224521
2.5	3	Graham	[u'Lot: 1 acre', u'Single Family', u'Built in 1984', u'All time views: 855', u'Heating: Forced air', u'Last sold: Aug 2016 for $195,000', u'Last sale price/sqft: $92', u'Fireplace', u'Parking: 440 sqft garage', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 2,127 sqft', u'Parcel #: 143609', u'Zillow Home ID: 51239336']	http://photos1.zillowstatic.com/p_e/IS13f449driuoo0000000000.jpg	195000.0	[]	2127.0	NC	225415.0	27253	51239336
2.0	3	Graham	[u'Baths: 1 full, 1 half', u'Lot: 0.69 acres', u'Single Family', u'Built in 1951', u'All time views: 2,331', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $125,000', u'Last sale price/sqft: $74', u'Attic', u'Fenced Yard', u'Fireplace', u'Parking: Garage - Attached, Garage - Detached', u'Patio', u'Porch', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Pantry', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,683 sqft', u'Laundry: In Unit', u'Lot width: 109 ft', u'Parcel #: 145436', u'Zillow Home ID: 51225051']	http://photos2.zillowstatic.com/p_e/ISt0ghupvnil491000000000.jpg	125000.0	[]	1683.0	NC	126638.0	27253	51225051
2.0	3	Graham	[u'Lot: 0.66 acres', u'Single Family', u'Built in 1996', u'All time views: 3,691', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $135,000', u'Last sale price/sqft: $108', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Tile', u'Patio', u'Porch', u'A: Central Air', u'Attic Description: Unfinished Att', u'Basement Description: No Basement', u'Gutters', u'Shower', u'Design: One Story', u'Foundation: Crawl Space', u'Parking: Gravel', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Entrance Hall Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'Other Rooms: 1st Floor Bedroom', u'HO Fees Include: HO Fees Include None', u'Heating: Heat Age 3-6 Yrs', u'Other Rooms: Entry Foyer', u'Roof: Roof Age 0-5 Years', u'Water Heater: Water Htr Age 3-6 Yrs', u'Insulated Glass', u'Restrictive Covenants: Yes', u'Acres: .51-.75 Acres', u'Subdivision: Hopewood Meadows', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,255 sqft', u'Heating: Gas', u'Lot width: 110 ft', u'Parcel #: 157473', u'Zillow Home ID: 51244822']	http://photos3.zillowstatic.com/p_e/IS9138ccc5f1dv0000000000.jpg	135000.0	[]	1255.0	NC	139366.0	27253	51244822
2.0	3	Graham	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1972', u'All time views: 3,099', u'Last sold: Jul 2016 for $175,000', u'Last sale price/sqft: $98', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Softwood, Tile', u'Garden', u'Lawn', u'Parking: Carport, 2 spaces', u'Patio', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Brick', u'Roof type: Composition', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,790 sqft', u'Last remodel year: 2015', u'Zillow Home ID: 2129932240']	http://photos3.zillowstatic.com/p_e/IStgo6wf865fbn0000000000.jpg	175000.0	[]	1790.0	NC	164560.0	27253	2129932240
3.0	3	Graham	[u'Baths: 2 full, 1 half', u'Lot: 2 acres', u'Single Family', u'Built in 1999', u'All time views: 3,052', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $180,000', u'Last sale price/sqft: $66', u'700 sqft basement', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Patio', u'Porch', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,741 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 152684', u'Zillow Home ID: 66532100']	http://photos2.zillowstatic.com/p_e/IShj2ex2jze7260000000000.jpg	180000.0	[]	2741.0	NC	233434.0	27253	66532100
2.0	3	Graham	[u'Lot: 1 acre', u'Single Family', u'Built in 1996', u'All time views: 1,062', u'Heating: Forced air', u'Last sold: Jul 2016 for $135,000', u'Last sale price/sqft: $110', u'Ceiling Fan', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,224 sqft', u'Parcel #: 142682', u'Zillow Home ID: 51243302']	http://photos2.zillowstatic.com/p_e/IShb0n85euvy831000000000.jpg	135000.0	[]	1224.0	NC	134851.0	27253	51243302
4.0	3	Graham	[u'Baths: 3 full, 1 half', u'Lot: 1.95 acres', u'Single Family', u'Built in 2008', u'All time views: 922', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $469,000', u'Last sale price/sqft: $143', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 2 spaces, 647 sqft garage', u'Patio', u'Pond', u'Porch', u'Vaulted Ceiling', u'View: Water', u'Appliances: MICROWAVE', u'Cooling: CENTRAL', u'ExteriorCondition: EXCELLENT', u'LANDSCAPED', u'SIDEWALKS', u'Floors: CARPET', u'Floors: WOOD', u'Floors: CERAMIC TILE', u'Foundation: CRAWL SPACE', u'HeatingAndFuel: ELECTRIC', u'InteriorCondition: EXCELLENT', u'CATV AVAILABLE', u'Porch: PATIO', u'Roof: SHNGL-COMP.', u'WaterAndSewer: SEPTIC', u'Appliances: RANGE-ELECTRIC', u'Construction: VINYL SIDING', u'Appliances: DISHWASHER', u'PAVED DRIVE', u'HeatingAndFuel: GAS-NATURAL', u'Property Type: Residential', u'GarageAndCarport: GAR-DBLE-ATT', u'AcreageRange: 1.0 - 2.49', u'WaterAndSewer: WELL', u'Construction: BRICK', u'GRANITE CNTR TOP', u'TypeAndStyle: 2 STORY', u'Other Room 2 Level: SECOND', u'TypeAndStyle: TRADITIONAL', u'HeatingAndFuel: DUEL FUEL', u'Porch: PORCH(S)', u'1ST FLOOR MASTER', u'STORAGE BUILDING(S)', u'CEILING FAN(S)', u'WASHER HOOK-UP', u'DRYER HOOK-UP', u'JETTED TUB', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 3,286 sqft', u'Heating: Electric, Gas', u'Laundry: In Unit', u'Parcel #: 143338', u'Zillow Home ID: 89490543']	http://photos2.zillowstatic.com/p_e/ISd0x18ih2hzv00000000000.jpg	469000.0	[]	3286.0	NC	365257.0	27253	89490543
1.0	3	Graham	[u'Lot: 0.25 acres', u'Single Family', u'Built in 1967', u'All time views: 3,038', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $108,000', u'Last sale price/sqft: $63', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: 240 sqft garage', u'Patio', u'Porch', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Equipment: Ice Maker Connection', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Master Bedroom 1st Floor: Yes', u'Attic Description: Pull Down', u'Living Room Floor: Main', u'Water: City Sewer', u'Master Bedroom Floor: Main', u'Water: City Water', u'Bedroom 2 Floor: Main', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Kitchen Floor: Main', u'Lvng Area: Main', u'Style: Ranch', u'Subdivision: Not in a Subdivision', u'Whirlpool', u'Equipment: Range Hood', u'Utility Room Floor: Basement', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: 0-.25 Acres', u'Pantry', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Brick', u'Roof type: Metal', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,701 sqft', u'Heating: Gas', u'Lot width: 84 ft', u'Parcel #: 144241', u'Zillow Home ID: 51240458']	http://photos2.zillowstatic.com/p_e/ISewptxhnrxl751000000000.jpg	108000.0	[]	1701.0	NC	119269.0	27253	51240458
