baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Granite Falls	[u'Lot: 0.46 acres', u'Single Family', u'Built in 2006', u'All time views: 1,141', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $170,000', u'Last sale price/sqft: $97', u'Deck', u'Porch', u'Unfinished basement', u'Water-Lake: None', u'Water: Public Water', u'Water: Septic Tank', u'County: Caldwell', u'Style: Bsmt', u'Pantry', u'Type: Stick Built', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,752 sqft', u'Last remodel year: 2006', u'Lot depth: 195 ft', u'Lot width: 108 ft', u'Parcel #: 08118B 3 39', u'Zillow Home ID: 70082407']	http://photos3.zillowstatic.com/p_e/IS9t44opfg2joo1000000000.jpg	170000.0	[]	1752.0	NC	180991.0	28630	70082407
1.0	3	Granite Falls	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1965', u'All time views: 1,863', u'Heating: Forced air', u'Last sold: Aug 2016 for $47,000', u'Last sale price/sqft: $39', u'Cable Ready', u'Flooring: Hardwood, Linoleum / Vinyl', u'Porch', u'Style: Ranch', u'Water: Connected to Public Water', u'Water: Septic', u'Road Surface: Paved', u'Road Maintenance: State', u'Eat-in Kitchen', u'Main Bedroom-Main Level', u'Foundation: Crawl Space', u'Fireplace: None', u'Lot Description: Gentle Slope', u'Appliances: None', u'Cooling: Window Unit(s)', u'Acreage Range: 2 acre', u'Lot Description: Level', u'Miscellaneous: None', u'None', u'Property Status: Under Contract-May Be Shown', u'Electric: Other-See Remarks', u'Interior Walls: Paneling', u'Dryer', u'Washer', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,196 sqft', u'Last remodel year: 1974', u'Laundry: In Unit', u'Lot depth: 134 ft', u'Lot width: 105 ft', u'Parcel #: 11 28  1 12', u'Zillow Home ID: 70092979']	http://photos1.zillowstatic.com/p_e/ISl6bziudga0yo0000000000.jpg	47000.0	[]	1196.0	NC	74823.0	28630	70092979
4.0	3	Granite Falls	[u'Lot: 0.34 acres', u'Single Family', u'Built in 2003', u'All time views: 4,410', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $212,000', u'Last sale price/sqft: $92', u'889 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 462 sqft garage', u'Patio', u'Pond', u'Security System', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Laundry on Main', u'Water: Public Water', u'County: Caldwell', u'Water: Public Sewer', u'Door-Storm', u'Water-Lake: Pond', u'Scenic View', u'Molding', u'Window Treatment', u'Gas Logs', u'Style: Bsmt', u'Chair Rail', u'Type: Stick Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,309 sqft', u'Heating: Gas', u'Last remodel year: 2002', u'Parcel #: 08 12  2 40', u'Zillow Home ID: 70101934']	http://photos3.zillowstatic.com/p_e/IShfn7fnij7i6d0000000000.jpg	212000.0	[]	2309.0	NC	184287.0	28630	70101934
2.0	3	Granite Falls	[u'Lot: 10 acres', u'Single Family', u'Built in 2007', u'All time views: 1,688', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $270,000', u'Last sale price/sqft: $55', u'Deck', u'Fireplace', u'Parking: 1 space', u'Pool', u'Porch', u'Unfinished basement', u'Laundry on Main', u'Water: Public Water', u'Water: Septic Tank', u'County: Caldwell', u'Fence-Partial', u'Style: Bsmt', u'Pantry', u'Outside Lighting', u'Molding', u'Ceiling - 9 Ft.+', u'Window Treatment', u'Gas Logs', u'Water-Lake: Stream', u'Other Room 1: Family Room', u'Fuel Tank Leased', u'Type: Stick Built', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 4,872 sqft', u'Last remodel year: 2007', u'Parcel #: 08 88  1 27F', u'Zillow Home ID: 70098018']	http://photos1.zillowstatic.com/p_e/IS6itgoj87qpfl0000000000.jpg	270000.0	[]	4872.0	NC	317394.0	28630	70098018
2.0	3	Granite Falls	[u'Lot: 0.58 acres', u'Single Family', u'Built in 2000', u'All time views: 3,959', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $154,500', u'Last sale price/sqft: $107', u'Barbecue', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Partial basement', u'Porch', u'RV Parking', u'Sprinkler System', u'Vaulted Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,450 sqft', u'Heating: Electric', u'Last remodel year: 2001', u'Laundry: In Unit', u'Parcel #: 08118  3 14', u'Zillow Home ID: 70111679']	http://photos3.zillowstatic.com/p_e/IS-4vhw4htlh1zx.jpg	154500.0	[]	1450.0	NC	158743.0	28630	70111679
2.0	3	Granite Falls	[u'Lot: 0.33 acres', u'Single Family', u'Built in 1999', u'All time views: 2,890', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $144,000', u'Last sale price/sqft: $59', u'Deck', u'Parking: Garage - Attached, 3 spaces, 720 sqft garage', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,436 sqft', u'Last remodel year: 1999', u'Lot depth: 140 ft', u'Lot width: 108 ft', u'Parcel #: 08107  3  2L', u'Zillow Home ID: 70096932']	http://photos3.zillowstatic.com/p_e/IS9d8cwqoofedc0000000000.jpg	144000.0	[]	2436.0	NC	157912.0	28630	70096932
2.0	3	Granite Falls	[u'Lot: 1 acre', u'Single Family', u'Built in 1999', u'All time views: 1,441', u'Cooling: Central', u'Heating: Heat pump, Stove', u'Last sold: Jul 2016 for $62,000', u'Last sale price/sqft: $39', u'Fireplace', u'Flooring: Other', u'Parking: Carport', u'Patio', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,600 sqft', u'Heating: None', u'Last remodel year: 1999', u'Parcel #: 07 53  1 14B', u'Zillow Home ID: 70112693']	http://photos3.zillowstatic.com/p_e/IS9hn614dl08vb1000000000.jpg	62000.0	[]	1600.0	NC	84773.0	28630	70112693
1.0	3	Granite Falls	[u'Lot: 10,454 sqft', u'Single Family', u'Built in 1950', u'All time views: 1,939', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $89,900', u'Last sale price/sqft: $70', u'465 sqft basement', u'Attic', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Detached, 1 space, 252 sqft garage', u'Porch', u'Security System', u'HomePath Financing', u'HomePath Renovation Financing', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,278 sqft', u'Heating: Electric', u'Last remodel year: 1965', u'Lot depth: 185 ft', u'Lot width: 100 ft', u'Parcel #: 08 29  1  2', u'Zillow Home ID: 70103178']	http://photos1.zillowstatic.com/p_e/IS9pd8arvcov3v0000000000.jpg	89900.0	[]	1278.0	NC	82638.0	28630	70103178
2.0	5	Granite Falls	[u'Lot: 0.96 acres', u'Single Family', u'Built in 1947', u'All time views: 10,732', u'Heating: Forced air', u'Last sold: Jun 2016 for $78,350', u'Last sale price/sqft: $46', u'Fireplace', u'Unfinished basement', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,712 sqft', u'Last remodel year: 1974', u'Parcel #: 08 18  6  8', u'Zillow Home ID: 70119094']	http://photos3.zillowstatic.com/p_e/IShr41zrip3k420000000000.jpg	78350.0	[]	1712.0	NC	120306.0	28630	70119094
3.0	4	Granite Falls	[u'Lot: 0.33 acres', u'Single Family', u'Built in 2006', u'All time views: 6,663', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $156,450', u'Last sale price/sqft: $84', u'743 sqft basement', u'Deck', u'Flooring: Carpet', u'Parking: Garage - Attached, 2 spaces', u'Partial basement', u'Vaulted Ceiling', u'Dishwasher', u'Master bath', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 8', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,867 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Lot depth: 122 ft', u'Lot width: 117 ft', u'Parcel #: 08115B 1  8', u'Zillow Home ID: 69813851']	http://photos2.zillowstatic.com/p_e/ISt4r00hdb6vin0000000000.jpg	156450.0	[]	1867.0	NC	132260.0	28630	69813851
3.0	3	Granite Falls	[u'Baths: 2 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 2014', u'All time views: 2,066', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $640,000', u'Last sale price/sqft: $185', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, Off street, 1001 sqft garage', u'Pond', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Equipment: Hood', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Driveway: Asphalt', u'Equipment: Ice Maker Connection', u'Equipment: Electric Dryer Hookup', u'Laundry Location: 1st Floor', u'Property Sub Type: 2 Story', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Equipment: Cooktop Gas', u'Pool', u'Water: County Water', u'Recreation Area', u'Club House', u'Lake', u'Walking Trails', u'Pond', u'Zoning: SFR', u'Equipment: Oven', u'Architectural Style: Old World', u'Parking: Garage Door Opener', u'Parking: Parking Space - 2', u'Parking: Garage - 3 Car', u'Views', u'Trees', u'Private', u'Lake Access', u'Land Site', u'Kitchen Island', u'Pantry', u'Built-Ins', u'Flooring: Tile', u'Construction Type: Site Built', u'Selling Agent MLS Board: Catawba Valley Association of Realtors', u'Selling Agent Primary Board: Catawba Valley Association of Realtors', u'Listing Agent MLS Board: Catawba Valley Association of Realtors', u'Listing Agent Primary Board: Catawba Valley Association of Realtors', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,457 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2014', u'Parcel #: 08145  5 97', u'Zillow Home ID: 70091370']	http://photos3.zillowstatic.com/p_e/IShrkltd5l43hc1000000000.jpg	640000.0	[]	3457.0	NC	0.0	28630	70091370
