baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.0	4	Greensboro	[u'Baths: 3 full, 1 half', u'Lot: 0.97 acres', u'Single Family', u'Built in 2007', u'All time views: 4,062', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $425,000', u'Last sale price/sqft: $135', u'Ceiling Fan', u'Deck', u'Fireplace', u'Jetted Tub', u'Parking: 598 sqft garage', u'Security System', u'Appliances: Built-In Oven', u'Appliances: Cook Top', u'Appliances: Exhaust Fan', u'Attic Description: Partially Floored', u'Attic Description: Walk in Attic', u'Built Information: Existing', u'Security Lighting', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Style: Traditional', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Insulated Windows', u'Washer Connection', u'Miscellaneous: Great Room', u'Sewer: Septic', u'Miscellaneous: Balcony', u'Storm Doors', u'Story Number: 2', u'Accent Lighting', u'Typeof Sale: Owner Sale', u'Water: Well', u'Kitchen Island', u'Laundry Room - Main Level', u'Smoke Alarm', u'Attic Description: Eave Storage', u'Vacuum System', u'CO Detector', u'Cooling: Attic Fan', u'Appliances: Convection Oven', u'Water Heater: Tankless', u'List Type: Limited Service', u'Electronic Air Filter', u'Elementary School: Northern Elementary', u'Property Sub Type: Site Built', u'Exterior material: Other', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,159 sqft', u'Last remodel year: 2007', u'Lot depth: 368 ft', u'Lot width: 69 ft', u'Parcel #: 0139317', u'Zillow Home ID: 5995593']	http://photos1.zillowstatic.com/p_e/ISlu18mv9ycbgm0000000000.jpg	425000.0	[]	3159.0	NC	431258.0	27455	5995593
2.0	3	Greensboro	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1971', u'All time views: 12,367', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $190,000', u'Last sale price/sqft: $94', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Off street', u'Patio', u'Pool', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Laundry Room - Main Level', u'Story Number: 1', u'Exterior Finish: Masonite-Type Siding', u'Sewer: Public', u'Style: Ranch', u'Fenced', u'Lot Description: Fence(s)', u'Typeof Sale: Bank', u'Elementary School: Joyner', u'Dishwasher', u'Dining room', u'Laundry room', u'Master bath', u'Exterior material: Wood products', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 2,018 sqft', u'Heating: Gas', u'Last remodel year: 1985', u'Lot depth: 160 ft', u'Lot width: 90 ft', u'Parcel #: 0087633', u'Zillow Home ID: 5966801']	http://photos1.zillowstatic.com/p_e/IS1jnh0bmscwhd0000000000.jpg	190000.0	[]	2018.0	NC	188990.0	27455	5966801
2.0	4	Greensboro	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1995', u'All time views: 2,310', u'HOA Fee: $28/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $253,000', u'Last sale price/sqft: $108', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 770 sqft garage', u'Porch', u'Skylight', u'Vaulted Ceiling', u'Lake Jeanette', u'Southern Shores', u'Hardwood Floors', u'2 story foyer', u'dining room', u'living room', u'den', u'gas log fireplace', u'crown molding', u'plantation shutters', u'vaulted ceiling', u'skylight', u'granite counters', u'double door pantry', u'recessed lights', u'breakfast bar', u'breakfast area', u'laundry room', u'master bedroom', u'vaulted ceiling', u'ceiling fans', u'garden tub', u'walk in shower', u'dual vanities', u'guest bath with dual vanities', u'XL screened porch', u'fenced yard', u'work-shed wired', u'vacuum system', u'Lake Jeanette pool', u'swim and tennis club', u'marina', u'walking trails', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Composition', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,348 sqft', u'Heating: Gas', u'Last remodel year: 1995', u'Lot depth: 150 ft', u'Lot width: 80 ft', u'Parcel #: 0063834', u'Zillow Home ID: 5956102']	http://photos1.zillowstatic.com/p_e/ISxr3xgfkc6mtb0000000000.jpg	253000.0	[]	2348.0	NC	257368.0	27455	5956102
3.0	4	Greensboro	[u'Baths: 2 full, 1 half', u'Lot: 0.47 acres', u'Single Family', u'Built in 1996', u'All time views: 3,229', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $250,000', u'Last sale price/sqft: $113', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 506 sqft garage', u'Patio', u'Porch', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,220 sqft', u'Heating: Gas', u'Last remodel year: 2000', u'Lot depth: 74 ft', u'Lot width: 74 ft', u'Parcel #: 0089803', u'Zillow Home ID: 5968724']	http://photos1.zillowstatic.com/p_e/ISdcml9cs6f2y31000000000.jpg	250000.0	[]	2220.0	NC	244787.0	27455	5968724
2.0	3	Greensboro	[u'Lot: 0.31 acres', u'Single Family', u'Built in 1981', u'All time views: 4,821', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $153,500', u'Last sale price/sqft: $93', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Cable Ready', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate', u'Lawn', u'Porch', u'Storage', u'Dishwasher', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Recreation room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,650 sqft', u'Heating: Gas', u'Last remodel year: 1984', u'Parcel #: 0058847', u'Zillow Home ID: 5951438']	http://photos1.zillowstatic.com/p_e/IS1jnhotwnemle0000000000.jpg	153500.0	[]	1650.0	NC	166156.0	27455	5951438
2.0	3	Greensboro	[u'Lot: 0.27 acres', u'Single Family', u'Built in 1974', u'All time views: 3,482', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $125,000', u'Last sale price/sqft: $82', u'Great solar potentialSun Number\u2122:\xa070', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Patio', u'Pool', u'Porch', u'Association: Greensboro', u'Built Information: Existing', u'Status: Pending', u'Water: Public', u'Storage Building(s)', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Typeof Sale: Bank', u'List Type: Exclusive Agency', u'Exterior Finish: Brick', u'Dishwasher', u'Range / Oven', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,521 sqft', u'Heating: Gas', u'Last remodel year: 1996', u'Lot depth: 142 ft', u'Lot width: 97 ft', u'Parcel #: 0089448', u'Zillow Home ID: 5968388']	http://photos2.zillowstatic.com/p_e/IS5e6wpbdyvdau1000000000.jpg	125000.0	[]	1521.0	NC	141316.0	27455	5968388
2.5	4	Greensboro	[u'Baths: 2 full, 1 half', u'Lot: 0.33 acres', u'Single Family', u'Built in 1969', u'71 days on Zillow', u'Views since listing: 1,532', u'All time views: 1,628', u'25 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $219,900', u'Last sale price/sqft: $89', u'MLS #: 798663', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Jetted Tub', u'Security System', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Style: Traditional', u'Water: Public', u'Built-in Shelves', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Pantry', u'Separate Shower', u'Solid Surface Counter', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Insulated Doors', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Smoke Alarm', u'Sewer: Public', u'Elementary School: Jesse Wharton', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,484 sqft', u'Heating: Gas', u'Last remodel year: 1995', u'Lot depth: 157 ft', u'Lot width: 85 ft', u'Parcel #: 0087824', u'Zillow Home ID: 5966986']	http://photos2.zillowstatic.com/p_e/IS5ard6bqnsdv30000000000.jpg	219900.0	[]	2484.0	NC	231315.0	27455	5966986
4.5	4	Greensboro	[u'Baths: 4 full, 1 half', u'Lot: 0.4 acres', u'Single Family', u'Built in 2001', u'All time views: 3,477', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $400,000', u'Last sale price/sqft: $125', u'Great solar potentialSun Number\u2122:\xa071', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 688 sqft garage', u'Patio', u'Porch', u'Security System', u'Skylight', u'Sprinkler System', u'Appliances: Built-In Oven', u'Appliances: Cook Top', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Neighborhood Pool', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Built-in Shelves', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Pantry', u'List Type: Exclusive Right to Sell', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Laundry Room - Main Level', u'Sewer: Public', u'Built-in Furniture', u'Heating: Multi-Zone', u'Lot Description: Cul De Sac', u'HOA Fee Paid 1: Semi-Annually', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Exterior material: Brick', u'Stories: 0', u'Unit count: 1', u'Floor size: 3,200 sqft', u'Heating: Gas', u'Last remodel year: 2000', u'Parcel #: 0070509', u'Zillow Home ID: 55369694']	http://photos1.zillowstatic.com/p_e/ISpl19hj71gbue0000000000.jpg	400000.0	[]	3200.0	NC	418393.0	27455	55369694
4.0	4	Greensboro	[u'Baths: 3 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 2013', u'All time views: 7,033', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $383,000', u'Last sale price/sqft: $124', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 529 sqft garage', u'Patio', u'Porch', u'Dishwasher', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Stone', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,088 sqft', u'Heating: Electric', u'Last remodel year: 2013', u'Lot depth: 150 ft', u'Lot width: 150 ft', u'Parcel #: 0129216', u'Zillow Home ID: 82669986']	http://photos1.zillowstatic.com/p_e/ISlqyidsaxypsk1000000000.jpg	383000.0	[]	3088.0	NC	399293.0	27455	82669986
3.0	4	Greensboro	[u'Baths: 2 full, 1 half', u'Lot: 0.35 acres', u'Single Family', u'Built in 1988', u'All time views: 4,392', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $226,900', u'Last sale price/sqft: $88', u'Great solar potentialSun Number\u2122:\xa070', u'Attic', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 484 sqft garage', u'Patio', u'Pond', u'Porch', u'Skylight', u'View: City, Park', u'All the wallpaper are Gone! The front door & door trim at foyer entrance have been repaint into white.  3 Bathrooms and kitchen wall have been painted with new paint color instead of wallpaper.', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Wood products', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,577 sqft', u'Heating: Gas', u'Last remodel year: 2000', u'Parcel #: 0089094', u'Zillow Home ID: 5968149']	http://photos3.zillowstatic.com/p_e/ISx3hb6v7fdgio0000000000.jpg	226900.0	[]	2577.0	NC	237766.0	27455	5968149
