baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Greenville	[u'Lot: 9,147 sqft', u'Single Family', u'Built in 2008', u'All time views: 1,291', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $172,500', u'Last sale price/sqft: $85', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Carport, Garage - Attached, 2 spaces', u'Patio', u'Security System', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Water Heater: Electric', u'Parking: Paved', u'Thermal Doors', u'Thermal Windows', u'Road Type: Maintained', u'Road Type: Private', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Fencing: Rear Only', u'HOA Amenities: Pool - Outdoor', u'Fuel Tank: None', u'Ceiling - Trey', u'Foundation: Raised Slab', u'Smoke Detectors', u'Walk-in Shower', u'Fencing: Vinyl', u'Rooms: Bonus', u'Fireplace: None', u'Water: Community Water', u'Water: Community Sewer', u'Attic: Access Only', u'Roof: Composition', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,028 sqft', u'Heating: None', u'Last remodel year: 2010', u'Parcel #: 075511', u'Zillow Home ID: 88956224']	http://photos2.zillowstatic.com/p_e/IShjubuwjw4kex1000000000.jpg	172500.0	[]	2028.0	NC	179272.0	27834	88956224
5.0	5	Greenville	[u'Baths: 4 full, 1 half', u'Lot: 0.25 acres', u'Single Family', u'Built in 2015', u'All time views: 6,812', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $289,900', u'Last sale price/sqft: $90', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Carport, Garage - Attached', u'Porch', u'Security System', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Fencing: None', u'Water: Municipal Water', u'Heating System: Electric', u'Parking: Paved', u'Thermal Doors', u'Thermal Windows', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Maint - Comm Areas', u'Appliances: See Remarks', u'Fuel Tank: None', u'Laundry Location: Hookup - Washer', u'Rooms: Bedroom 4', u'Foundation: Raised Slab', u'New Construction: Yes', u'Dry Connect', u'Laundry Location: Room', u'Rooms: Bonus', u'Attic: Access Only', u'Solid Surface', u'Walk-In Closet', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Stories: 2', u'Unit count: 1', u'Floor size: 3,224 sqft', u'Heating: Electric', u'Last remodel year: 2015', u'Parcel #: 072304', u'Zillow Home ID: 70927345']	http://photos3.zillowstatic.com/p_e/ISh3u0lo11sdmj0000000000.jpg	289900.0	[]	3224.0	NC	0.0	27834	70927345
3.5	4	Greenville	[u'Baths: 3 full, 1 half', u'Lot: 3.35 acres', u'Single Family', u'Built in 2004', u'All time views: 5,393', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $285,000', u'Last sale price/sqft: $84', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Parking: Carport, Garage - Attached, 516 sqft garage', u'Porch', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Attic: Floored', u'Basement: None', u'Construction: Wood Frame', u'Water: Municipal Water', u'Foundation: Crawl Space', u'Tankless Water Heater', u'Parking: Paved', u'Fencing: Chain Link', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Pantry', u'Water: Septic On Site', u'Exterior Structures: Shed', u'Exterior Structures: Workshop', u'Fencing: Wood', u'Fuel Tank: None', u'Rooms: Bedroom 4', u'None', u'Walk-in Shower', u'Laundry Location: Room', u'Gas Logs', u'Rooms: Bonus', u'Water Heater: Tankless', u'Mud Room', u'Pool: None', u'Rooms: Fnshd Room over Garage', u'Lot Description: Wooded', u'Parking: Unpaved', u'HOA Amenities: No Amenities', u'Rooms: Other Room', u'Service Providers: Electric Provider: Greenville Utilities', u'Service Providers: Water Provider: Greenville Utilities', u'Walk-In Closet', u'Roof: Architectural Shingle', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,401 sqft', u'Heating: Gas', u'Last remodel year: 2004', u'Lot depth: 700 ft', u'Lot width: 200 ft', u'Parcel #: 080520', u'Zillow Home ID: 51439691']	http://photos2.zillowstatic.com/p_e/IS5a3fbtgzja9e1000000000.jpg	285000.0	[]	3401.0	NC	305803.0	27834	51439691
2.0	3	Greenville	[u'Lot: 0.31 acres', u'Single Family', u'Built in 2014', u'All time views: 1,024', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Aug 2016 for $179,000', u'Last sale price/sqft: $94', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Foundation: Slab', u'Fencing: None', u'Rooms: Living Room', u'Heating System: Electric', u'Thermal Doors', u'Thermal Windows', u'Road Type: Maintained', u'Road Type: St)', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Rooms: Laundry', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Pantry', u'HOA Amenities: Maint - Comm Areas', u'HOA Amenities: Mgmt Fee', u'9Ft+ Ceilings', u'Shades', u'Fuel Tank: None', u'Ceiling - Trey', u'Smoke Detectors', u'Walk-in Shower', u'Dry Connect', u'Rooms: Bonus', u'Parking: On Site', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,910 sqft', u'Heating: Electric', u'Last remodel year: 2014', u'Parcel #: 076408', u'Zillow Home ID: 102154864']	http://photos2.zillowstatic.com/p_e/IS5ihvfdt4h6550000000000.jpg	179000.0	[]	1910.0	NC	176763.0	27834	102154864
3.0	4	Greenville	[u'Lot: 0.3 acres', u'Single Family', u'Built in 2016', u'All time views: 817', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $292,936', u'Last sale price/sqft: $112', u'Attic', u'Fireplace', u'Flooring: Carpet, Tile', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Attic: Permanent Stairs', u'Fencing: None', u'Gas logs', u'MiscSearch1: Bedroom 1st Floor', u'Type: Site Built', u'WindowsAndDoors: Thermal Doors', u'Attic: Walk In Storage', u'Disclosures: None Known', u'Home Owners Association Y: Yes', u'Master Bedrm 1st Floor', u'MiscSearch2: Less than .5 acres', u'WaterAndSewer: City Sewer', u'WaterAndSewer: City Water', u'WindowsAndDoors: Thermal Windows', u'DiningAndLiving: Formal Dining', u'MiscSearch1: New Construction', u'New Construction Y: Yes', u'Construction: Hardie Plank', u'MiscSearch2: Community Association', u'Roof: Architectural', u'HoaAmenities: Membership Required', u'BasementAndFoundation: Raised Slab', u'Granite', u'Appliances: Stainless steel type', u'Appliances: Electric cooktop', u'Walk-in Shower', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Other', u'Roof type: Composition', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,611 sqft', u'Heating: Electric', u'Parcel #: 076781', u'Zillow Home ID: 102198270']	http://photos3.zillowstatic.com/p_e/ISxv2f5fwegd811000000000.jpg	292936.0	[]	2611.0	NC	220431.0	27834	102198270
3.0	3	Greenville	[u'Lot: 0.29 acres', u'Single Family', u'Built in 2007', u'All time views: 1,677', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $225,000', u'Last sale price/sqft: $105', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Porch', u'Vaulted Ceiling', u'1st Floor Master', u'Construction Type: Stick Built', u'Construction: Wood Frame', u'Storm Doors', u'Foundation: Crawl Space', u'Parking: Paved', u'Thermal Doors', u'Thermal Windows', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Pantry', u'Fencing: Wood', u'9Ft+ Ceilings', u'Shades', u'Fuel Tank: None', u'Ceiling - Trey', u'Whirlpool', u'Smoke Detectors', u'Walk-in Shower', u'Dry Connect', u'Gas Logs', u'Rooms: Bonus', u'Walk-In Closet', u'Roof: Architectural Shingle', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Room count: 10', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,152 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2007', u'Parcel #: 072287', u'Zillow Home ID: 70929173']	http://photos1.zillowstatic.com/p_e/IS17mojpkpsy791000000000.jpg	225000.0	[]	2152.0	NC	227333.0	27834	70929173
1.5	3	Greenville	[u'Lot: 0.51 acres', u'Single Family', u'Built in 1944', u'All time views: 3,017', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $150,000', u'Last sale price/sqft: $68', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Hot Tub/Spa', u'Lawn', u'Parking: Garage - Detached', u'Patio', u'Pool', u'Porch', u'Sprinkler System', u'Transportation', u'View: Park', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Water Heater: Electric', u'Water: Municipal Water', u'Foundation: Crawl Space', u'Water: Municipal Sewer', u'Fencing: Chain Link', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Exterior Structures: Workshop', u'Fuel Tank: None', u'Laundry Location: Room', u'Irrigation System', u'Gas Logs', u'Parking: On Site', u'Amenities-Neigh: None', u'Lot Description: Wooded', u'Parking: Unpaved', u'HOA Amenities: No Amenities', u'None', u'Accessibility: None', u'Service Providers: Electric Provider: Greenville Utilities', u'Service Providers: Water Provider: Greenville Utilities', u'Roof: Composition', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Service Providers: Sewer Provider: Greenville Utilities', u'Dishwasher', u'Freezer', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 11', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 2,197 sqft', u'Heating: Gas', u'Last remodel year: 2010', u'Lot depth: 121 ft', u'Lot width: 182 ft', u'Parcel #: 018145', u'Zillow Home ID: 51426409']	http://photos3.zillowstatic.com/p_e/IS-1onfvvtzlm6vx.jpg	150000.0	[]	2197.0	NC	165027.0	27834	51426409
2.0	4	Greenville	[u'Lot: 0.94 acres', u'Single Family', u'Built in 2007', u'All time views: 7,671', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $73,100', u'Last sale price/sqft: $45', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Porch', u'Security System', u'1st Floor Master', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Rooms: Living Room', u'Heating System: Electric', u'Thermal Doors', u'Thermal Windows', u'Road Type: St)', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'Water: Septic On Site', u'Construction: Stone', u'Fuel Tank: None', u'Laundry Location: Hookup - Dryer', u'Laundry Location: Hookup - Washer', u'Rooms: Bedroom 4', u'Home Warr: Seller', u'Construction Type: Modular', u'Walk-in Shower', u'Dry Connect', u'Fireplace: None', u'Parking: On Site', u'Pool: None', u'Water: Community Water', u'None', u'Amenities-Neigh: None', u'Foundation: Concrete Block', u'Parking: Unpaved', u'None', u'Attic: Access Only', u'Lot Description: Open', u'Accessibility: None', u'Service Providers: Water Provider: Greenville Utilities', u'Roof: Composition', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,620 sqft', u'Heating: Electric', u'Last remodel year: 2007', u'Parcel #: 071856', u'Zillow Home ID: 70929054']	http://photos1.zillowstatic.com/p_e/IS1rpkqhoae5cz0000000000.jpg	73100.0	[]	1620.0	NC	77507.0	27834	70929054
2.0	2	Greenville	[u'Lot: 3,049 sqft', u'Single Family', u'Built in 2000', u'All time views: 2,113', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $64,500', u'Last sale price/sqft: $43', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Carport, Garage - Attached', u'Patio', u'Porch', u'Vaulted Ceiling', u'Construction: Block', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Foundation: Slab', u'Water: Municipal Water', u'Heating System: Electric', u'Parking: Paved', u'Thermal Doors', u'Thermal Windows', u'Road Type: St)', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Great Room', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'Exterior Structures: Shed', u'Fencing: Rear Only', u'Fencing: Wood', u'HOA Amenities: Maint - Grounds', u'Fuel Tank: None', u'Laundry Location: Hookup - Washer', u'Dry Connect', u'Construction: See Remarks', u'Gas Logs', u'Attic: Stairs - Pull Down', u'Porch: None', u'Rooms: Other Room', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dishwasher', u'Microwave', u'Refrigerator', u'Dining room', u'Exterior material: Brick, Vinyl', u'Roof type: Composition', u'Room count: 4', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,496 sqft', u'Heating: Gas', u'Last remodel year: 2000', u'Lot depth: 104 ft', u'Lot width: 30 ft', u'Parcel #: 053282', u'Zillow Home ID: 51453847']	http://photos2.zillowstatic.com/p_e/ISh7de7n2at7ae1000000000.jpg	64500.0	[]	1496.0	NC	74831.0	27834	51453847
2.5	4	Greenville	[u'Lot: 9,147 sqft', u'Single Family', u'Built in 2015', u'All time views: 4,895', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $249,900', u'Last sale price/sqft: $93', u'Ceiling Fan', u'Flooring: Hardwood', u'Parking: Garage - Attached', u'Porch', u'Security System', u'1st Floor Master', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Construction: Wood Frame', u'Foundation: Slab', u'Fencing: None', u'Water: Municipal Water', u'Heating System: Electric', u'Parking: Paved', u'Thermal Doors', u'Thermal Windows', u'Roof: Shingle', u'Water: Municipal Sewer', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Great Room', u'Rooms: Kitchen', u'Rooms: Master Bedroom', u'HOA: Yes', u'Road Type: Paved', u'HOA Amenities: Maint - Comm Areas', u'Appliances: See Remarks', u'Fuel Tank: None', u'Laundry Location: Hookup - Washer', u'New Construction: Yes', u'Walk-in Shower', u'Dry Connect', u'Laundry Location: Room', u'Rooms: Bonus', u'Attic: Access Only', u'Solid Surface', u'Walk-In Closet', u'List Office Board Code: Greenville-Pitt Association of Realtors', u'Dryer', u'Walk-in closet', u'Exterior material: Cement concrete', u'Roof type: Composition', u'Stories: 2', u'Floor size: 2,692 sqft', u'Heating: Electric', u'Last remodel year: 2015', u'Laundry: In Unit', u'Parcel #: 073588', u'Zillow Home ID: 102194684']	http://photos3.zillowstatic.com/p_e/ISlud1thivi89u0000000000.jpg	249900.0	[]	2692.0	NC	252594.0	27834	102194684
