baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	3	Hamptonville	[u'Lot: 1 acre', u'Single Family', u'Built in 1940', u'All time views: 1,445', u'Last sold: Aug 2016 for $122,000', u'Last sale price/sqft: $57', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, Garage - Detached, 3 spaces, 720 sqft garage', u'Porch', u'Security System', u'Dining room', u'Laundry room', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,155 sqft', u'Last remodel year: 1940', u'Parcel #: 118666', u'Zillow Home ID: 71415850']	http://photos3.zillowstatic.com/p_e/ISxz1lcpz1i72t0000000000.jpg	122000.0	[]	2155.0	NC	112584.0	27020	71415850
2.0	3	Hamptonville	[u'Lot: 3.57 acres', u'Single Family', u'Built in 1998', u'All time views: 1,484', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $148,500', u'Last sale price/sqft: $102', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Carport', u'Porch', u'Waterfront', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Listing Financing: Cash', u'Listing Financing: Conventional', u'Equipment: Oven', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Building - Workshop', u'Sewer: Septic Tank', u'Water: Well', u'Outbuilding', u'Whirlpool', u'Property Sub Type: Manufactured Double-Wide', u'Laundry Location: Laundry Room', u'Creek', u'Pantry', u'Creekfront', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Unspecificed', u'Selling Agent Primary Board: Unspecificed', u'Construction Type: Manufactured', u'Dishwasher', u'Microwave', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,456 sqft', u'Last remodel year: 2003', u'Parcel #: 4874505984.000', u'Zillow Home ID: 51670322']	http://photos3.zillowstatic.com/p_e/IS56gadg2a4uij1000000000.jpg	148500.0	[]	1456.0	NC	143930.0	27020	51670322
2.0	3	Hamptonville	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1998', u'All time views: 2,506', u'Cooling: Central', u'Last sold: Jun 2016 for $149,900', u'Last sale price/sqft: $113', u'Ceiling Fan', u'Garden', u'Lawn', u'Parking: 492 sqft garage', u'Porch', u'Garage Count: 2 Car Garage', u'Basement: None', u'Water: Well', u'Exterior: Storage Shed', u'Kitchen Butlers Pantry', u'Lot Size: 1-2 Acres', u'Area Description: Country Living', u'Sewer: Private', u'Exterior: Out Building', u'Area Description: Wine Country', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,330 sqft', u'Heating: Electric', u'Last remodel year: 1997', u'Parcel #: 115768', u'Zillow Home ID: 71418256']	http://photos2.zillowstatic.com/p_e/ISyysve4xw2sv7.jpg	149900.0	[]	1330.0	NC	128663.0	27020	71418256
1.0	3	Hamptonville	[u'Lot: 2.23 acres', u'Single Family', u'Built in 1963', u'All time views: 2,361', u'Cooling: Other', u'Last sold: Mar 2016 for $68,500', u'Last sale price/sqft: $61', u'Parking: Carport, 1 space', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Laundry Location: Kitchen', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Property Sub Type: 1 Story', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Water: Well', u'Outbuilding', u'Exterior Construction: Asbestos', u'Heating: Oil Hot Air', u'Heating: Wall Unit - AC', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Library', u'Exterior material: Other', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,120 sqft', u'Heating: Oil', u'Last remodel year: 1963', u'Parcel #: 117594', u'Zillow Home ID: 71422855']	http://photos2.zillowstatic.com/p_e/ISd8zwr6jczsj50000000000.jpg	68500.0	[]	1120.0	NC	70884.0	27020	71422855
2.0	4	Hamptonville	[u'Lot: 3.4 acres', u'Single Family', u'Built in 1974', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jan 2016 for $180,000', u'Last sale price/sqft: $91', u'1900 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport, 2 spaces', u'Porch', u'View: Mountain', u'Under ground dog fence', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 13', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,982 sqft', u'Heating: Oil, Propane butane, Wood / pellet', u'Last remodel year: 2003', u'Laundry: In Unit', u'Parcel #: 114405', u'Zillow Home ID: 71417819']	http://photos1.zillowstatic.com/p_e/ISxbvzseua5x3f0000000000.jpg	180000.0	[]	1982.0	NC	182037.0	27020	71417819
1.0	1	Hamptonville	[u'Lot: 2.92 acres', u'Single Family', u'Built in 1930', u'All time views: 1,149', u'Cooling: Refrigeration', u'Last sold: Dec 2015 for $2,500,000', u'Last sale price/sqft: $2,083', u'Fireplace', u'Parking: 672 sqft garage', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 3', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Last remodel year: 1930', u'Parcel #: 114023', u'Zillow Home ID: 71423856']	http://photos3.zillowstatic.com/p_e/IS5e2pxlzt8xcm0000000000.jpg	2500000.0	[]	1200.0	NC	111698.0	27020	71423856
3.0	3	Hamptonville	[u'Lot: 40.45 acres', u'Single Family', u'Built in 1997', u'All time views: 1,581', u'Last sold: Dec 2015 for $495,000', u'Last sale price/sqft: $248', u'Fireplace', u'Unfinished basement', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,000 sqft', u'Last remodel year: 1997', u'Parcel #: 114839', u'Zillow Home ID: 69816419']	http://photos1.zillowstatic.com/p_e/ISptnvjoaaearw1000000000.jpg	495000.0	[]	2000.0	NC	497940.0	27020	69816419
2.0	4	Hamptonville	[u'Lot: 0.62 acres', u'Single Family', u'Built in 1950', u'All time views: 2,781', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Nov 2015 for $107,000', u'Last sale price/sqft: $50', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Carport, 2 spaces, 625 sqft garage', u'Unfinished basement', u'Range / Oven', u'Office', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,130 sqft', u'Heating: Propane butane', u'Last remodel year: 1950', u'Parcel #: 117430', u'Zillow Home ID: 71421465']	http://photos1.zillowstatic.com/p_e/IS1r5l99okwjd01000000000.jpg	107000.0	[]	2130.0	NC	109223.0	27020	71421465
2.5	3	Hamptonville	[u'Lot: 3 acres', u'Single Family', u'Built in 1993', u'All time views: 4,305', u'Cooling: Central', u'Heating: Stove', u'Last sold: Oct 2015 for $195,000', u'Last sale price/sqft: $84', u'576 sqft basement', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Hardwood', u'Parking: Carport, 2 spaces', u'Driveway: Gravel', u'Equipment: Dishwasher', u'Heating: Central Air', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Microwave', u'Equipment: Electric Dryer Hookup', u'Equipment: Ceiling Fan(s)', u'Flooring: Ceramic Tile', u'Flooring: Wall-to-wall Carpet', u'Laundry Location: 1st Floor', u'Equipment: Refrigerator', u'Deck', u'Doors Windows: Insulated Windows', u'Porch - Screened', u'Heating: Heat Pump - AC', u'Heating: Heat Pump - Heat', u'Fenced Yard', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Fireplace Description: Living Room', u'Water: Well', u'Exterior Construction: Wood', u'Foundation Details: Basement', u'Property Sub Type: Basement', u'Equipment: Security System', u'Outbuilding', u'Flooring: Laminate', u'Fireplace Description: Woodstove', u'Exterior Construction: Concrete Block', u'Laundry Location: Laundry Room', u'Parking: Carport - 2 Car', u'Fireplace Description: Wood Burning', u'Dishwasher', u'Workshop', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,332 sqft', u'Heating: Other', u'Last remodel year: 2003', u'Lot width: 31 ft', u'Parcel #: 4874900414.000', u'Zillow Home ID: 60306204']	http://photos3.zillowstatic.com/p_e/IS99hcfnzfl45m1000000000.jpg	195000.0	[]	2332.0	NC	153468.0	27020	60306204
2.0	3	Hamptonville	[u'Lot: 5 acres', u'Single Family', u'Built in 1998', u'All time views: 2,879', u'Last sold: Oct 2015 for $145,000', u'Last sale price/sqft: $112', u'Flooring: Carpet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,296 sqft', u'Last remodel year: 1998', u'Parcel #: 113664', u'Zillow Home ID: 71424453']	http://photos2.zillowstatic.com/p_e/IS17idsxy8btlo0000000000.jpg	145000.0	[]	1296.0	NC	155273.0	27020	71424453
