baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Harmony	[u'Lot: 0.36 acres', u'Single Family', u'Built in 1956', u'All time views: 3,714', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $64,000', u'Last sale price/sqft: $53', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Tile', u'Lawn', u'Parking: Off street', u'Patio', u'Porch', u'Living room', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Metal', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Heating: Electric', u'Last remodel year: 2008', u'Laundry: In Unit', u'Lot depth: 224 ft', u'Lot width: 72 ft', u'Parcel #: 4871626526.000', u'Zillow Home ID: 6102703']	http://photos3.zillowstatic.com/p_e/IS-1ksrfv9nnzsd9.jpg	64000.0	[]	1200.0	NC	80991.0	28634	6102703
3.0	3	Harmony	[u'Lot: 1.61 acres', u'Single Family', u'Built in 1910', u'Heating: Forced air', u'Last sold: Jun 2016 for $106,500', u'Last sale price/sqft: $58', u'Deck', u'Fireplace', u'Parking: 600 sqft garage', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,840 sqft', u'Last remodel year: 1960', u'Lot depth: 282 ft', u'Lot width: 292 ft', u'Parcel #: 4870678386.000', u'Zillow Home ID: 6102421']	http://photos3.zillowstatic.com/p_e/IS9tobz264qb7s1000000000.jpg	106500.0	[]	1840.0	NC	121925.0	28634	6102421
4.0	3	Harmony	[u'Lot: 10,454 sqft', u'Single Family', u'Built in 1900', u'All time views: 839', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $225,000', u'Last sale price/sqft: $61', u'Fireplace', u'Roof type: Composition', u'Stories: 2', u'Unit count: 1', u'Floor size: 3,697 sqft', u'Last remodel year: 1974', u'Lot depth: 250 ft', u'Lot width: 120 ft', u'Parcel #: 4871311808.000', u'Zillow Home ID: 6102650']	http://photos1.zillowstatic.com/p_e/ISp1m3j2vtlx2v1000000000.jpg	225000.0	[]	3697.0	NC	240281.0	28634	6102650
3.0	3	Harmony	[u'Lot: 0.61 acres', u'Single Family', u'Built in 1997', u'All time views: 4,305', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $140,500', u'Last sale price/sqft: $57', u'Fireplace', u'Parking: Garage - Attached, 864 sqft garage', u'Pool', u'Roof type: Composition', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,464 sqft', u'Last remodel year: 1997', u'Lot depth: 271 ft', u'Lot width: 101 ft', u'Parcel #: 4853037447.000', u'Zillow Home ID: 6101540']	http://photos2.zillowstatic.com/p_e/ISphmynkt7sqxl1000000000.jpg	140500.0	[]	2464.0	NC	207353.0	28634	6101540
2.0	3	Harmony	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'189 days on Zillow', u'Views since listing: 3,702', u'All time views: 4,941', u'88 shoppers saved this home', u'Last sold: May 2016 for $88,000', u'Last sale price/sqft: $58', u'Ceiling Fan', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Vinyl', u'Room count: 5', u'Floor size: 1,520 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2101130577']	http://photos2.zillowstatic.com/p_e/ISdceb4vshbvhx0000000000.jpg	88000.0	[]	1520.0	NC	108768.0	28634	2101130577
2.5	3	Harmony	[u'Lot: 4.12 acres', u'Single Family', u'Built in 1993', u'All time views: 2,812', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2016 for $116,500', u'Last sale price/sqft: $63', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: 1200 sqft garage', u'Built Information: Existing', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dryer Connection', u'Garage Description: None', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Sewer: Septic', u'Miscellaneous: Horses Allowed', u'Typeof Sale: Owner Sale', u'Water: Well', u'Water Heater: Electric', u'Kitchen Island', u'Story Number: 1', u'Style: Double-Wide', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Metal', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,836 sqft', u'Heating: Electric, Wood / pellet', u'Last remodel year: 1994', u'Lot width: 327 ft', u'Parcel #: 4789384019.000', u'Zillow Home ID: 6098797']	http://photos2.zillowstatic.com/p_e/ISd4wbmo9pw8qp0000000000.jpg	116500.0	[]	1836.0	NC	118014.0	28634	6098797
2.0	3	Harmony	[u'Lot: 1.2 acres', u'Single Family', u'Built in 2007', u'All time views: 3,680', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Mar 2016 for $137,000', u'Last sale price/sqft: $82', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces, 480 sqft garage', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Laundry Location: 1st Floor', u'Doors Windows: Insulated Windows', u'Property Sub Type: 1 Story', u'Driveway: Concrete', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'GardenTub', u'Outbuilding', u'Water: County Water', u'Laundry Location: Laundry Room', u'Parking: Garage - 2 Car', u'Foundation Details: g-Sealed Crawl Space', u'Flooring: Tile', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,680 sqft', u'Last remodel year: 2007', u'Lot width: 112 ft', u'Parcel #: 4871329611.000', u'Zillow Home ID: 51670284']	http://photos2.zillowstatic.com/p_e/IStcpoz9e3giie1000000000.jpg	137000.0	[]	1680.0	NC	143227.0	28634	51670284
2.0	4	Harmony	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1987', u'All time views: 517', u'Heating: Heat pump', u'Last sold: Feb 2016 for $108,500', u'Last sale price/sqft: $75', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Porch', u'Driveway: Gravel', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Oven', u'Equipment: Ice Maker Connection', u'Equipment: Self Cleaning Oven', u'Laundry Location: 1st Floor', u'Doors Windows: Storm Door(s)', u'Architectural Style: Transitional', u'Doors Windows: Insulated Windows', u'Property Sub Type: 1 Story', u'Fenced Yard', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Zoning: Residential', u'Outbuilding', u'Water: County Water', u'Parking: Parking Space - 3+', u'Dishwasher', u'Microwave', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,444 sqft', u'Last remodel year: 1990', u'Lot width: 170 ft', u'Parcel #: 4861972233.000', u'Zillow Home ID: 6101886']	http://photos3.zillowstatic.com/p_e/IStoa1dpajmt091000000000.jpg	108500.0	[]	1444.0	NC	108331.0	28634	6101886
2.5	3	Harmony	[u'Lot: 6.77 acres', u'Single Family', u'Built in 1900', u'All time views: 5,627', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2016 for $142,000', u'Last sale price/sqft: $82', u'Fireplace', u'Guest parking', u'Living room', u'Exterior material: Wood', u'Roof type: Other', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,740 sqft', u'Last remodel year: 1960', u'Parcel #: F100000041', u'Zillow Home ID: 68716546']	http://photos2.zillowstatic.com/p_e/ISpp0b9jppamqh1000000000.jpg	142000.0	[]	1740.0	NC	118412.0	28634	68716546
2.0	3	Harmony	[u'Lot: 1 acre', u'Single Family', u'Built in 2006', u'All time views: 1,837', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $130,000', u'Last sale price/sqft: $79', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 552 sqft garage', u'Living room', u'Master bath', u'Exterior material: Brick, Vinyl', u'Roof type: Other', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,650 sqft', u'Heating: Electric', u'Last remodel year: 2006', u'Parcel #: F1030A0002', u'Zillow Home ID: 82798244']	http://photos1.zillowstatic.com/p_e/ISl67gxl07r8v90000000000.jpg	130000.0	[]	1650.0	NC	163687.0	28634	82798244
2.0	4	Harmony	[u'Lot: 6.74 acres', u'Single Family', u'Built in 1927', u'All time views: 1,198', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $200,000', u'Last sale price/sqft: $85', u'Attic', u'Deck', u'Fireplace', u'Flooring: Other', u'Parking: Carport, 247 sqft garage', u'Patio', u'Storage', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,361 sqft', u'Heating: None', u'Last remodel year: 1950', u'Laundry: In Unit', u'Lot depth: 1000 ft', u'Lot width: 330 ft', u'Parcel #: 4871720170.000', u'Zillow Home ID: 6102722']	http://photos2.zillowstatic.com/p_e/IShje70us3nvv20000000000.jpg	200000.0	[]	2361.0	NC	203323.0	28634	6102722
2.0	3	Harmony	[u'Lot: 2.27 acres', u'Single Family', u'Built in 1992', u'All time views: 1,853', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jan 2016 for $113,000', u'Last sale price/sqft: $74', u'Deck', u'Fireplace', u'Parking: 2 spaces', u'Driveway: Gravel', u'Equipment: Dishwasher', u'Equipment: Hood', u'Flooring: Linoleum', u'Foundation Details: Crawl Space', u'Listing Financing: VA', u'Listing Financing: Cash', u'Listing Financing: FHA', u'Listing Financing: Conventional', u'Equipment: Microwave', u'Equipment: Electric Dryer Hookup', u'Equipment: Ceiling Fan(s)', u'Flooring: Wall-to-wall Carpet', u'Laundry Location: 1st Floor', u'Equipment: Refrigerator', u'Exterior Construction: Vinyl', u'Deck', u'Porch', u'Doors Windows: Insulated Windows', u'Heating: Heat Pump - AC', u'Heating: Heat Pump - Heat', u'Listing Financing: USDA', u'Sewer: Septic Tank', u'Garage Shop', u'Equipment: Security System', u'Equipment: Trash Compactor', u'Water: County Water', u'Flooring: Laminate', u'Property Sub Type: Manufactured Double-Wide', u'Building - Auto Shop', u'Parking: Detached Garage', u'Parking: Parking Space - 3+', u'Parking: Carport - 2 Car', u'Parking: Garage - 3+ Car', u'Parking: Driveway', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,529 sqft', u'Last remodel year: 1998', u'Lot width: 578 ft', u'Parcel #: 4769601909.000', u'Zillow Home ID: 60305491']	http://photos3.zillowstatic.com/p_e/ISly0i4x4998ff1000000000.jpg	113000.0	[]	1529.0	NC	118002.0	28634	60305491
