baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	4	Henderson	[u'Single Family', u'All time views: 541', u'Last sold: Jul 2016 for $19,000', u'Last sale price/sqft: $11', u'Floor size: 1,666 sqft', u'Zillow Home ID: 2097856779']	http://photos1.zillowstatic.com/p_e/ISa17rdtq9n9lb0000000000.jpg	19000.0	[]	1666.0	NC	49949.0	27536	2097856779
1.0	2	Henderson	[u'Single Family', u'Built in 1962', u'All time views: 1,111', u'Heating: Other', u'Last sold: Jul 2016 for $18,000', u'Last sale price/sqft: $17', u'Fireplace', u'Floor size: 1,064 sqft', u'Heating: Other', u'Parcel #: 0085 01011', u'Zillow Home ID: 114867734']	http://photos1.zillowstatic.com/p_e/ISxjhedgohuz5r0000000000.jpg	18000.0	[]	1064.0	NC	46033.0	27536	114867734
1.0	3	Henderson	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1970', u'All time views: 1,228', u'Heating: Other', u'Last sold: Jul 2016 for $15,000', u'Last sale price/sqft: $15', u'Flooring: Hardwood, Linoleum / Vinyl, Softwood', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Structure type: Other', u'Floor size: 992 sqft', u'Heating: Electric', u'Parcel #: 0007 02024', u'Zillow Home ID: 114866815']	http://photos2.zillowstatic.com/p_e/IS1r1yk3cw6zrq1000000000.jpg	15000.0	[]	992.0	NC	61336.0	27536	114866815
2.0	3	Henderson	[u'Single Family', u'Built in 1967', u'All time views: 1,077', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $112,000', u'Last sale price/sqft: $63', u'1777 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Laminate, Linoleum / Vinyl', u'Parking: Carport', u'Partial basement', u'View: Park', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Sun room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,777 sqft', u'Heating: Electric, Gas', u'Laundry: In Unit', u'Parcel #: 0077 05020', u'Zillow Home ID: 114867172']	http://photos2.zillowstatic.com/p_e/IShbcwbj6ej2a10000000000.jpg	112000.0	[]	1777.0	NC	107971.0	27536	114867172
1.0	3	Henderson	[u'Lot: 0.65 acres', u'Single Family', u'Built in 1968', u'All time views: 1,203', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $6,000', u'Last sale price/sqft: $7', u'Flooring: Carpet', u'Exterior material: Other', u'Roof type: Metal', u'Structure type: Other', u'Floor size: 864 sqft', u'Heating: Oil', u'Parcel #: 0094 02003A', u'Zillow Home ID: 114868229']	http://photos2.zillowstatic.com/p_e/ISpdjprly3zt2r1000000000.jpg	6000.0	[]	864.0	NC	23157.0	27536	114868229
2.0	4	Henderson	[u'Lot: 7,840 sqft', u'Single Family', u'Built in 1881', u'All time views: 5,394', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $53,000', u'Last sale price/sqft: $25', u'Flooring: Linoleum / Vinyl, Softwood', u'Parking: Carport, 1 space', u'Dining room', u'Office', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 8', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,114 sqft', u'Parcel #: 0003 04005', u'Zillow Home ID: 114861760']	http://photos1.zillowstatic.com/p_e/ISla237yedku820000000000.jpg	53000.0	[]	2114.0	NC	70066.0	27536	114861760
3.0	4	Henderson	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1965', u'All time views: 2,603', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $149,500', u'Last sale price/sqft: $43', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Softwood', u'Intercom', u'Parking: Garage - Attached, 2 spaces', u'Partial basement', u'Patio', u'Storage', u'Living room', u'Dishwasher', u'Refrigerator', u'Dining room', u'Office', u'Workshop', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 3,440 sqft', u'Heating: Electric', u'Last remodel year: 2008', u'Parcel #: 0018 04002', u'Zillow Home ID: 114860294']	http://photos3.zillowstatic.com/p_e/IShfnzoh6fauw11000000000.jpg	149500.0	[]	3440.0	NC	176789.0	27536	114860294
4.0	4	Henderson	[u'Baths: 3 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 1960', u'All time views: 2,307', u'Heating: Radiant', u'Last sold: May 2016 for $50,000', u'Last sale price/sqft: $17', u'Fireplace', u'Flooring: Hardwood', u'Floor size: 2,937 sqft', u'Parcel #: 0026 02025', u'Zillow Home ID: 114861177']	http://photos2.zillowstatic.com/p_e/IS52lvpaip3k7a1000000000.jpg	50000.0	[]	2937.0	NC	118271.0	27536	114861177
3.0	3	Henderson	[u'Baths: 2 full, 1 half', u'Lot: 0.59 acres', u'Single Family', u'Built in 1920', u'All time views: 3,882', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Apr 2016 for $130,000', u'Last sale price/sqft: $56', u'Cable Ready', u'Fireplace', u'Flooring: Carpet, Hardwood, Softwood', u'Parking: Garage - Attached', u'Security System', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Workshop', u'Exterior material: Stone, Vinyl', u'Roof type: Shake Shingle', u'Floor size: 2,304 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0018 04023', u'Zillow Home ID: 114860296']	http://photos2.zillowstatic.com/p_e/ISpdzdl1fvleq20000000000.jpg	130000.0	[]	2304.0	NC	141227.0	27536	114860296
2.0	3	Henderson	[u'Lot: 0.27 acres', u'Single Family', u'Built in 1981', u'All time views: 2,355', u'Heating: Forced air', u'Last sold: Mar 2016 for $3,000', u'Last sale price/sqft: $3', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'A: Central Air', u'Basement Description: No Basement', u'Design: One Story', u'Foundation: Block', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Lot Description: Road Frontage', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Water: City Sewer', u'Water: City Water', u'Style: Ranch', u'Subdivision: Not in a Subdivision', u'Parking: Concrete', u'Fireplace Description: No Fireplace', u'Water Heater: No Water Heater', u'Special Conditions: Auction', u'Special Conditions: Lender Owned', u'Restrictive Covenants: Yes', u'Country: USA', u'Acres: .26-.5 Acres', u'LA1Agent Phone1 CountryId: United States (+1)', u'Dryer', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 0', u'Structure type: Ranch', u'Floor size: 960 sqft', u'Laundry: In Unit', u'Parcel #: 0067 04029', u'Zillow Home ID: 114866480']	http://photos3.zillowstatic.com/p_e/IS52hc8pxy6r6m1000000000.jpg	3000.0	[]	960.0	NC	39510.0	27536	114866480
2.0	5	Henderson	[u'Lot: 1.08 acres', u'Single Family', u'Built in 1970', u'All time views: 2,322', u'Cooling: Central', u'Heating: Other', u'Last sold: Mar 2016 for $105,000', u'Last sale price/sqft: $33', u'Floor size: 3,216 sqft', u'Parcel #: 0003 04004', u'Zillow Home ID: 114861759']	http://photos3.zillowstatic.com/p_e/IS5ydjo6o1j2tm0000000000.jpg	105000.0	[]	3216.0	NC	117877.0	27536	114861759
2.0	3	Henderson	[u'Lot: 0.59 acres', u'Single Family', u'Built in 1964', u'All time views: 1,054', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Mar 2016 for $133,000', u'Last sale price/sqft: $71', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Softwood, Tile', u'Security System', u'Dryer', u'Refrigerator', u'Washer', u'Roof type: Shake Shingle', u'Floor size: 1,881 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 0016 07014', u'Zillow Home ID: 114860051']	http://photos3.zillowstatic.com/p_e/ISluxsjoddclhj1000000000.jpg	133000.0	[]	1881.0	NC	135463.0	27536	114860051
3.0	3	Henderson	[u'Lot: 0.78 acres', u'Single Family', u'Built in 1971', u'All time views: 1,893', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $225,000', u'Last sale price/sqft: $61', u'Attic', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Parking: Carport, 1 space', u'Skylight', u'Vaulted Ceiling', u'Wet Bar', u'Open plan', u'hardwoods throuh main level', u'full basemnet for kids', u'entertaining or space for 4th bedroom.  Must See', u'private location on wooded lot', u'beutiful view out back from sunroom.  Detached gargage and workshop', u'view of #1 green on Henderson Country Club course.  2 minutes from club house', u'Family location in excellent neighborhood.', u'Dishwasher', u'Breakfast nook', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 3,676 sqft', u'Heating: Gas', u'Parcel #: 0045 01008', u'Zillow Home ID: 114863211']	http://photos3.zillowstatic.com/p_e/ISxfq2zutojeu20000000000.jpg	225000.0	[]	3676.0	NC	231165.0	27536	114863211
