baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.5	3	Hickory	[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 2006', u'All time views: 1,788', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $259,000', u'Last sale price/sqft: $112', u'Cable Ready', u'Fireplace', u'Hot Tub/Spa', u'Parking: Garage - Attached, 2 spaces, 576 sqft garage', u'Patio', u'Vaulted Ceiling', u'Laundry on Main', u'Water-Lake: None', u'Water: Public Water', u'Water: Septic Tank', u'Other Room 1: Laundry', u'County: Catawba', u'Style: 1.5 Story', u'Above Ground Tank', u'Fence-Partial', u'Other Room 2: Bonus Room', u'Molding', u'Ceiling - 9 Ft.+', u'Gas Logs', u'Chair Rail', u'Fuel Tank Leased', u'Cooling: Multi-Zone AC', u'Heating: Multi-Zone', u'Type: Stick Built', u'Bonus Room (Y: Yes', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,303 sqft', u'Lot depth: 196 ft', u'Lot width: 108 ft', u'Parcel #: 3700157340150000', u'Zillow Home ID: 71553705']	http://photos1.zillowstatic.com/p_e/ISdk02ij1c5glo0000000000.jpg	259000.0	[]	2303.0	NC	243067.0	28602	71553705
2.0	4	Hickory	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1977', u'All time views: 1,666', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $150,000', u'Last sale price/sqft: $82', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached, 592 sqft garage', u'Foundation Details: Crawl Space', u'Heating: Central Air', u'Equipment: Oven', u'Water: City Water', u'Laundry Location: 1st Floor', u'Attic Stairs Pulldown', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Property Sub Type: 1.5 Story', u'Exterior Construction: Cedar Shake', u'Flooring: Parquet', u'Parking: Garage - 2 Car', u'Attic Fan', u'Flooring: Tile', u'Construction Type: Site Built', u'Listing Agent MLS Board: Charlotte Regional REALTOR Association Inc', u'Listing Agent Primary Board: Charlotte Regional REALTOR Association Inc', u'Selling Agent MLS Board: Unspecificed', u'Selling Agent Primary Board: Unspecificed', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Washer', u'Sun room', u'Room count: 7', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,830 sqft', u'Laundry: In Unit', u'Lot depth: 156 ft', u'Lot width: 109 ft', u'Parcel #: 2790103508960000', u'Zillow Home ID: 71909347']	http://photos3.zillowstatic.com/p_e/ISew5u05pxa1z80000000000.jpg	150000.0	[]	1830.0	NC	150586.0	28602	71909347
1.0	2	Hickory	[u'Lot: 7.3 acres', u'Single Family', u'Built in 1900', u'All time views: 2,008', u'Cooling: Other', u'Heating: Other', u'Last sold: Aug 2016 for $109,000', u'Last sale price/sqft: $113', u'Attic', u'Ceiling Fan', u'Fireplace', u'Flooring: Laminate', u'Porch', u'Heating: Unknown', u'Water: Septic Tank', u'Unknown', u'County: Catawba', u'Outbuilding', u'Style: Ranch', u'Water: Well', u'Heating: Woodstove', u'Water-Lake: Stream', u'Type: Stick Built', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 965 sqft', u'Laundry: In Unit', u'Parcel #: 3701090695670000', u'Zillow Home ID: 71554516']	http://photos2.zillowstatic.com/p_e/IStwgf6lotph201000000000.jpg	109000.0	[]	965.0	NC	67725.0	28602	71554516
2.0	3	Hickory	[u'Lot: 9,583 sqft', u'Single Family', u'Built in 1991', u'All time views: 4,741', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $24,000', u'Last sale price/sqft: $20', u'Fireplace', u'Flooring: Other', u'Parking: None', u'Walk-in closet', u'Exterior material: Other', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Heating: None', u'Lot depth: 129 ft', u'Lot width: 71 ft', u'Parcel #: 3702115698080000', u'Zillow Home ID: 71906461']	http://photos3.zillowstatic.com/p_e/ISxfik7z5t55oo1000000000.jpg	24000.0	[]	1200.0	NC	53968.0	28602	71906461
2.1	3	Hickory	[u'Baths: 2 full, 1 half', u'Lot: 0.49 acres', u'Single Family', u'Built in 1998', u'All time views: 3,219', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $231,900', u'Last sale price/sqft: $99', u'Fireplace', u'Flooring: Other', u'Parking: Garage - Attached, 2 spaces, 552 sqft garage', u'Patio', u'Porch', u'Vaulted Ceiling', u'Pantry', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,348 sqft', u'Heating: None', u'Lot depth: 146 ft', u'Lot width: 170 ft', u'Parcel #: 3619050849360000', u'Zillow Home ID: 71906580']	http://photos1.zillowstatic.com/p_e/IS9docztusa39c0000000000.jpg	231900.0	[]	2348.0	NC	230426.0	28602	71906580
3.0	4	Hickory	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1999', u'All time views: 5,604', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $225,750', u'Last sale price/sqft: $84', u'900 sqft basement', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 483 sqft garage', u'Porch', u'Sprinkler System', u'Vaulted Ceiling', u'Water: City Water', u'Garage Count: 2 Car Garage', u'Other: Association Fee', u'Sewer: City', u'Pre-Wiring: Garage Door', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Room count: 8', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,696 sqft', u'Heating: Gas', u'Lot depth: 200 ft', u'Lot width: 89 ft', u'Parcel #: 2791089826670000', u'Zillow Home ID: 71904451']	http://photos3.zillowstatic.com/p_e/ISf50zd6nv30yr.jpg	225750.0	[]	2696.0	NC	247462.0	28602	71904451
2.0	2	Hickory	[u'Lot: 1.27 acres', u'Single Family', u'Built in 1989', u'All time views: 848', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $127,000', u'Last sale price/sqft: $83', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Porch', u'Laundry on Main', u'Water-Lake: None', u'Water: Septic Tank', u'County: Catawba', u'Water: Well', u'Style: Bsmt', u'Other Room 2: Computer', u'Other Room 1: Den', u'Type: Stick Built', u'Range / Oven', u'Refrigerator', u'Exterior material: Cement concrete', u'Room count: 5', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,521 sqft', u'Heating: Electric', u'Parcel #: 2780013790180000', u'Zillow Home ID: 71960642']	http://photos1.zillowstatic.com/p_e/ISi32z4l1qfesd1000000000.jpg	127000.0	[]	1521.0	NC	109920.0	28602	71960642
3.0	3	Hickory	[u'Baths: 2 full, 1 half', u'Lot: 7,405 sqft', u'Single Family', u'Built in 2002', u'All time views: 7,444', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Jul 2016 for $138,000', u'Last sale price/sqft: $91', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 1 space, 276 sqft garage', u'Patio', u'Vaulted Ceiling', u'Laundry on Main', u'Water-Lake: None', u'Water: Public Water', u'County: Catawba', u'Water: Public Sewer', u'Walk-Up Attic', u'Style: 2 Story', u'Fence-Full', u'Outside Lighting', u'Gas Logs', u'Type: Stick Built', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Master bath', u'Exterior material: Brick, Vinyl, Wood', u'Roof type: Other', u'Room count: 7', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 1,515 sqft', u'Heating: Gas', u'Lot depth: 110 ft', u'Lot width: 68 ft', u'Parcel #: 3711050845880000', u'Zillow Home ID: 71548352']	http://photos3.zillowstatic.com/p_e/IS56k153dmpw191000000000.jpg	138000.0	[]	1515.0	NC	144952.0	28602	71548352
2.0	3	Hickory	[u'Baths: 1 full, 1 half', u'Lot: 0.39 acres', u'Single Family', u'Built in 1983', u'All time views: 488', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $120,000', u'Last sale price/sqft: $97', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 286 sqft garage', u'Porch', u'Foundation Details: Crawl Space', u'Equipment: Oven', u'Laundry Location: 1st Floor', u'Property Sub Type: 1 Story', u'Driveway: Concrete', u'Sewer: Septic Tank', u'Water: Well', u'Parking: Garage - 1 Car', u'Construction Type: Site Built', u'Selling Agent MLS Board: Unspecificed', u'Selling Agent Primary Board: Unspecificed', u'Listing Agent MLS Board: Catawba Valley Association of Realtors', u'Listing Agent Primary Board: Catawba Valley Association of Realtors', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Exterior material: Other, Wood', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,232 sqft', u'Laundry: In Unit', u'Lot depth: 137 ft', u'Lot width: 120 ft', u'Parcel #: 2790103680840000', u'Zillow Home ID: 71926388']	http://photos3.zillowstatic.com/p_e/IShvjz2nz4iv1a0000000000.jpg	120000.0	[]	1232.0	NC	122419.0	28602	71926388
2.5	3	Hickory	[u'Baths: 2 full, 1 half', u'Lot: 1.88 acres', u'Single Family', u'Built in 1991', u'All time views: 3,495', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $139,000', u'Last sale price/sqft: $79', u'500 sqft basement', u'Cable Ready', u'Deck', u'Finished basement', u'Flooring: Carpet, Hardwood, Tile', u'Pool', u'Porch', u'Interior Walls: Sheetrock', u'Water: Septic', u'Electric: Duke Power', u'Road Surface: Paved', u'Road Maintenance: State', u'Ceramic Tile Bath', u'Large Master Bedroom', u'Main Bedroom-Main Level', u'Water: Well', u'Miscellaneous: Acreage', u'Acreage Range: 1-2.5 acres', u'Fireplace: None', u'Lot Description: Gentle Slope', u'Property Status: Pending', u'Appliances: Hood', u'None', u'Great Room', u'Roof: Architectural Shingles', u'Foundation: Slab', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,761 sqft', u'Laundry: In Unit', u'Parcel #: 3619091556500000', u'Zillow Home ID: 71924195']	http://photos1.zillowstatic.com/p_e/ISp9oq82je95qt0000000000.jpg	139000.0	[]	1761.0	NC	139511.0	28602	71924195
