baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.5	5	High Point	[u'Lot: 2 acres', u'Single Family', u'Built in 1975', u'136 days on Zillow', u'Views since listing: 1,835', u'All time views: 2,080', u'20 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $440,000', u'Last sale price/sqft: $92', u'Cable Ready', u'Fireplace', u'Mother-in-Law Apartment', u'Parking: Garage - Attached, 728 sqft garage', u'Porch', u'Security System', u'Storage', u'Dishwasher', u'Microwave', u'Washer', u'Family room', u'Pantry', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 4,800 sqft', u'Last remodel year: 1990', u'Laundry: In Unit', u'Lot depth: 224 ft', u'Lot width: 300 ft', u'Parcel #: 0197030', u'Zillow Home ID: 6038127']	http://photos2.zillowstatic.com/p_e/IStoade6q9ws7q1000000000.jpg	440000.0	[]	4800.0	NC	445861.0	27262	6038127
1.0	3	High Point	[u'Lot: 7,841 sqft', u'Single Family', u'Built in 1954', u'All time views: 1,085', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $34,000', u'Last sale price/sqft: $26', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Unfinished basement', u'Association: Greensboro', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Foundation Basement: Basement', u'Garage Description: None', u'List Type: Exclusive Right to Sell', u'Story Number: 1', u'Sewer: Public', u'Typeof Sale: Bank', u'Elementary School: Oak View', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,306 sqft', u'Heating: Gas', u'Last remodel year: 1969', u'Lot depth: 154 ft', u'Lot width: 50 ft', u'Parcel #: 0180096', u'Zillow Home ID: 6025255']	http://photos1.zillowstatic.com/p_e/ISa1ry8uoanhvq0000000000.jpg	34000.0	[]	1306.0	NC	55888.0	27262	6025255
2.0	3	High Point	[u'Lot: 0.27 acres', u'Single Family', u'Built in 1948', u'All time views: 2,126', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $118,000', u'Last sale price/sqft: $87', u'Attic', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Lawn', u'Porch', u'Hardwood floors', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,350 sqft', u'Last remodel year: 2006', u'Lot depth: 185 ft', u'Lot width: 63 ft', u'Parcel #: 0192339', u'Zillow Home ID: 6034816']	http://photos1.zillowstatic.com/p_e/ISyyhbeo942ffn.jpg	118000.0	[]	1350.0	NC	106428.0	27262	6034816
1.0	2	High Point	[u'Lot: 9,583 sqft', u'Single Family', u'Built in 1953', u'50 days on Zillow', u'Views since listing: 826', u'All time views: 899', u'13 shoppers saved this home', u'Cooling: None', u'Heating: Forced air', u'Last sold: Aug 2016 for $12,500', u'Last sale price/sqft: $11', u'MLS #: 804822', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Porch', u'Unfinished basement', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Attic Description: Pulldown Stairs', u'Foundation Basement: Basement', u'Garage Description: None', u'Washer Connection', u'Laundry Room - Basement', u'Typeof Sale: Owner Sale', u'Status: Active', u'Water Heater: Electric', u'Association: High Point', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Lot Description: Slope', u'Foundation Basement: Partial', u'None', u'List Type: Limited Service', u'Elementary School: Rankin', u'Property Sub Type: Site Built', u'Exterior material: Vinyl, Wood', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,089 sqft', u'Heating: Gas', u'Last remodel year: 1958', u'Lot depth: 178 ft', u'Lot width: 50 ft', u'Parcel #: 0190415', u'Zillow Home ID: 6033051']	http://photos3.zillowstatic.com/p_e/ISi36urmjh8ngg0000000000.jpg	12500.0	[]	1089.0	NC	51513.0	27262	6033051
5.0	5	High Point	[u'Baths: 4 full, 1 half', u'Lot: 0.51 acres', u'Single Family', u'Built in 1986', u'All time views: 2,775', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $335,000', u'Last sale price/sqft: $119', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 624 sqft garage', u'Patio', u'Pool', u'Security System', u'*Updated kitchen*Shady Lot on cul de sac *', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Other, Wood', u'Roof type: Asphalt', u'Room count: 11', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,805 sqft', u'Heating: Gas', u'Last remodel year: 1996', u'Laundry: In Unit', u'Parcel #: 0180460', u'Zillow Home ID: 6025614']	http://photos3.zillowstatic.com/p_e/IStgkj7qkxa5go0000000000.jpg	335000.0	[]	2805.0	NC	303174.0	27262	6025614
3.0	4	High Point	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1952', u'92 days on Zillow', u'Views since listing: 731', u'All time views: 931', u'1 shopper saved this home', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Jul 2016 for $279,000', u'Last sale price/sqft: $100', u'MLS #: 787952', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached', u'Unfinished basement', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,800 sqft', u'Last remodel year: 1975', u'Lot depth: 190 ft', u'Lot width: 115 ft', u'Parcel #: 0188422', u'Zillow Home ID: 6031490']	http://photos3.zillowstatic.com/p_e/IShzq3m7o4ob9p0000000000.jpg	279000.0	[]	2800.0	NC	313840.0	27262	6031490
1.0	3	High Point	[u'Lot: 9,051 sqft', u'Single Family', u'Built in 1922', u'All time views: 2,752', u'Cooling: None', u'Heating: Forced air', u'Last sold: Jul 2016 for $27,000', u'Last sale price/sqft: $22', u'Fireplace', u'Parking: 200 sqft garage', u'Association: Greensboro', u'Attic Description: Access Only', u'Built Information: Existing', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'Foundation Basement: Basement', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Water Heater: Electric', u'Story Number: 1', u'Sewer: Public', u'Typeof Sale: Bank', u'Foundation Basement: Partial', u'Property Sub Type: Site Built', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,248 sqft', u'Heating: Gas', u'Last remodel year: 1962', u'Lot depth: 146 ft', u'Lot width: 78 ft', u'Parcel #: 180002140000100016', u'Zillow Home ID: 82671319']	http://photos1.zillowstatic.com/p_e/IS17eix960bapd0000000000.jpg	27000.0	[]	1248.0	NC	108184.0	27262	82671319
4.0	4	High Point	[u'Baths: 3 full, 1 half', u'Lot: 0.39 acres', u'Single Family', u'Built in 1975', u'All time views: 2,774', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $214,900', u'Last sale price/sqft: $90', u'629 sqft basement', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 750 sqft garage', u'Patio', u'Porch', u'Security System', u'Living room', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 2,394 sqft', u'Heating: Gas', u'Last remodel year: 1990', u'Laundry: In Unit', u'Lot depth: 190 ft', u'Lot width: 102 ft', u'Parcel #: 0193689', u'Zillow Home ID: 6035741']	http://photos1.zillowstatic.com/p_e/ISd09ve85aswrt0000000000.jpg	214900.0	[]	2394.0	NC	247702.0	27262	6035741
3.5	5	High Point	[u'Baths: 3 full, 1 half', u'Lot: 0.36 acres', u'Single Family', u'Built in 2016', u'All time views: 1,843', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $341,000', u'Last sale price/sqft: $109', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Security System', u'Association: Greensboro', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Pantry', u'Separate Shower', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Story Number: 2', u'Style: Transitional', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Appliances: Disposal', u'Smoke Alarm', u'Built Information: New', u'Garden Tub', u'Sewer: Public', u'Elementary School: Friendship', u'HOA Fee Paid 1: Annual', u'Status: Pending AB', u'Inlaw Suite', u'Exterior Finish: Brick', u'Dishwasher', u'Exterior material: Vinyl', u'Stories: 0', u'Unit count: 1', u'Floor size: 3,142 sqft', u'Heating: Gas', u'Lot depth: 185 ft', u'Lot width: 86 ft', u'Parcel #: 16301L0000020', u'Zillow Home ID: 84109091']	http://photos2.zillowstatic.com/p_e/ISmqqk9ob4kcqb0000000000.jpg	341000.0	[]	3142.0	NC	0.0	27262	84109091
3.0	4	High Point	[u'Baths: 2 full, 1 half', u'Lot: 0.47 acres', u'Single Family', u'Built in 1989', u'All time views: 5,426', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $201,500', u'Last sale price/sqft: $84', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 2 spaces, 550 sqft garage', u'Vaulted Ceiling', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Stucco, Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,385 sqft', u'Heating: Electric, Gas', u'Last remodel year: 1996', u'Lot depth: 175 ft', u'Lot width: 100 ft', u'Parcel #: 0179143', u'Zillow Home ID: 6024640']	http://photos2.zillowstatic.com/p_e/IS1fwxzy94whzx1000000000.jpg	201500.0	[]	2385.0	NC	194263.0	27262	6024640
