baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.0	4	Hillsborough	[u'Baths: 3 full, 1 half', u'Lot: 1 acre', u'Single Family', u'Built in 2001', u'All time views: 2,993', u'HOA Fee: $107/mo', u'Last sold: Aug 2016 for $488,500', u'Last sale price/sqft: $100', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 540 sqft garage', u'Vaulted Ceiling', u'Wet Bar', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 4,864 sqft', u'Laundry: In Unit', u'Parcel #: 188959', u'Zillow Home ID: 59714571']	http://photos3.zillowstatic.com/p_e/ISq590nemuu0311000000000.jpg	488500.0	[]	4864.0	NC	545956.0	27278	59714571
4.0	4	Hillsborough	[u'Lot: 4.24 acres', u'Single Family', u'Built in 1990', u'All time views: 10,473', u'HOA Fee: $8/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $525,000', u'Last sale price/sqft: $126', u'Attic', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Parking: Garage - Detached, 3 spaces, 980 sqft garage', u'Patio', u'Porch', u'Skylight', u'Vaulted Ceiling', u'View: Territorial', u'Wet Bar', u'Living room', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 10', u'Stories: 3', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 4,151 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 9850140918', u'Zillow Home ID: 67399180']	http://photos1.zillowstatic.com/p_e/ISd4sk2sw0q8gi1000000000.jpg	525000.0	[]	4151.0	NC	607053.0	27278	67399180
4.0	3	Hillsborough	[u'Lot: 0.94 acres', u'Single Family', u'Built in 1993', u'All time views: 1,414', u'Cooling: Central, Other', u'Heating: Forced air', u'Last sold: Jul 2016 for $339,900', u'Last sale price/sqft: $136', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 6 spaces, 945 sqft garage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Other', u'Roof type: Other', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,502 sqft', u'Parcel #: 188792', u'Zillow Home ID: 50025657']	http://photos3.zillowstatic.com/p_e/ISxkmoch275zmr.jpg	339900.0	[]	2502.0	NC	353168.0	27278	50025657
2.5	4	Hillsborough	[u'Baths: 2 full, 1 half', u'Lot: 2.59 acres', u'Single Family', u'Built in 1995', u'All time views: 1,084', u'Heating: Forced air', u'Last sold: Jul 2016 for $344,000', u'Last sale price/sqft: $139', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 420 sqft garage', u'Porch', u'A: Central Air', u'A: C', u'Basement Description: No Basement', u'Sep Shower', u'Gutters', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Heating: Dual Zone Heat', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Style: Traditional', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Water: City Water', u'Shower', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Bedroom 2 Floor: Second', u'Other Rooms: 1st Floor Bedroom', u'Bedroom 3 Floor: Second', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Lot Description: Partially Cleared', u'Other Rooms: Office', u'Lot Description: Wooded Lot', u'Parking: Asphalt', u'Breakfast Room Floor: Main', u'Bedroom 4 Floor: Second', u'Lvng Area: Main', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Other Rooms: Separate Living room', u'Equipment: Garage Opener', u'Garden Tub', u'Ceramic Bath Wall', u'Office: Second', u'Parking: Side', u'Other Rooms: Study', u'Attic Description: Walk In', u'Fiberglass Bath', u'Lot Description: Private Rd Main. Agree', u'Other Area: Second', u'Storage Floor: Additional', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'Pantry', u'Subdivision: Arbor Hills', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 0', u'Unit count: 1', u'Floor size: 2,480 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 9863171550', u'Zillow Home ID: 88947448']	http://photos1.zillowstatic.com/p_e/ISp1ikl8h80ymu0000000000.jpg	344000.0	[]	2480.0	NC	349452.0	27278	88947448
2.0	3	Hillsborough	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1961', u'All time views: 2,060', u'Last sold: Jul 2016 for $270,000', u'Last sale price/sqft: $191', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 1', u'Unit count: 2', u'Floor size: 1,417 sqft', u'Lot depth: 264 ft', u'Lot width: 67 ft', u'Parcel #: 9874081620', u'Zillow Home ID: 50048437']	http://photos1.zillowstatic.com/p_e/ISibwb54t6unie0000000000.jpg	270000.0	[]	1417.0	NC	243815.0	27278	50048437
2.0	2	Hillsborough	[u'Lot: 12.01 acres', u'Single Family', u'Built in 1985', u'All time views: 2,960', u'Last sold: Jul 2016 for $373,000', u'Last sale price/sqft: $211', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Other', u'Parking: Carport, 2 spaces', u'Dining room', u'Laundry room', u'Master bath', u'Sun room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 2', u'Structure type: Contemporary', u'Unit count: 2', u'Floor size: 1,769 sqft', u'Parcel #: 0807617361', u'Zillow Home ID: 50029109']	http://photos1.zillowstatic.com/p_e/ISlup22791yg6k1000000000.jpg	373000.0	[]	1769.0	NC	333597.0	27278	50029109
2.0	3	Hillsborough	[u'Lot: 0.58 acres', u'Single Family', u'Built in 2001', u'All time views: 2,545', u'HOA Fee: $110/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $231,000', u'Last sale price/sqft: $148', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 2 spaces, 520 sqft garage', u'Porch', u'Dishwasher', u'Dryer', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 1,565 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 9875422788', u'Zillow Home ID: 50048979']	http://photos3.zillowstatic.com/p_e/ISl631jdv0vt7w1000000000.jpg	231000.0	[]	1565.0	NC	232049.0	27278	50048979
3.0	4	Hillsborough	[u'Lot: 2.45 acres', u'Single Family', u'Built in 1979', u'All time views: 2,546', u'Cooling: Geothermal, Other', u'Heating: Geothermal, Other', u'Last sold: Jul 2016 for $435,000', u'Last sale price/sqft: $161', u'Attic', u'Barbecue', u'Basketball Court', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Hot Tub/Spa', u'Jetted Tub', u'Lawn', u'Parking: Carport, 3 spaces', u'Patio', u'Porch', u'Security System', u'Skylight', u'Vaulted Ceiling', u'View: Park', u'Waterfront', u'Wired', u'Equipment: Ice Maker Connection', u'Gutters', u'Shower', u'Tub', u'Foundation: Block', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'Parking: Gravel', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Inside City: Yes', u'Bedroom 3 Floor: Main', u'Design: 2 Story', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Lot Description: Open', u'HO Fees Include: HO Fees Include None', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Hardwood Trees', u'Lot Description: Partially Cleared', u'Other Rooms: Office', u'Lot Description: Wooded Lot', u'Parking: Front', u'Parking: Rear', u'Breakfast Room Floor: Main', u'A: C Age 3-6 Years', u'Equipment: Cooktop ? Gas', u'Subdivision: Not in a Subdivision', u'Other Rooms: Separate Living room', u'Insulated Windows', u'Walking Trails', u'Out Building', u'Horses Allowed', u'Style: Transitional', u'Lot Description: Secluded', u'Accessibility: Main Floor Laundry', u'Exterior Finish: Cedar', u'Style: Rustic', u'Bedroom 4 Floor: Main', u'Lot Description: Pasture', u'Parking: Side', u'Detached Workshop', u'Heating: 3 Zone', u'Lot Description: Garden Area', u'Barn', u'Private', u'Other Rooms: Loft Rm', u'Roof: Roof Age 6-10 Years', u'Exterior Finish: Log', u'Style: Log Home', u'Lot Description: Unpaved Road', u'Geo Thermal HVAC System', u'Farm', u'Office: Additional', u'Smoke Alarm', u'Acres: 1-2.9 Acres', u'10Ft+ Ceiling', u'Bookshelves', u'Tile Countertops', u'Water Body Name: Eno River', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Office', u'Pantry', u'Workshop', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,698 sqft', u'Heating: Other', u'Laundry: In Unit', u'Parcel #: 9874989926', u'Zillow Home ID: 61825759']	http://photos1.zillowstatic.com/p_e/IS9h3ncs945ddo1000000000.jpg	435000.0	[]	2698.0	NC	408072.0	27278	61825759
3.5	5	Hillsborough	[u'Lot: 0.45 acres', u'Single Family', u'Built in 2002', u'All time views: 2,335', u'Last sold: Jul 2016 for $407,500', u'Last sale price/sqft: $102', u'Fireplace', u'Parking: Garage - Attached, 616 sqft garage', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,996 sqft', u'Parcel #: 9875134781', u'Zillow Home ID: 50048846']	http://photos1.zillowstatic.com/p_e/ISd8bupsoxwuap0000000000.jpg	407500.0	[]	3996.0	NC	406589.0	27278	50048846
3.0	4	Hillsborough	[u'Lot: 2.48 acres', u'Single Family', u'Built in 1999', u'All time views: 7,457', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $290,000', u'Last sale price/sqft: $121', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, Garage - Detached, 662 sqft garage', u'Patio', u'Porch', u'Skylight', u'Vaulted Ceiling', u'A: Central Air', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: Maint Com. Area', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Living Room Floor: Main', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Storage Shed', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Lot Description: Corner Lot', u'Lot Description: Hardwood Trees', u'Bedroom 4 Floor: Second', u'Garage Floor: Main', u'Style: Ranch', u'Equipment: Elec. Dryer HU', u'Equipment: Garage Opener', u'Insulated Windows', u'Lot Description: Cul-De-Sac', u'Parking: Concrete', u'Other Rooms: Sit Rm', u'Style: Transitional', u'Parking: Parking Pad', u'HO Fees Include: Insurance', u'Insulated Glass', u'HO Fees Include: Clubhouse', u'Detached Workshop', u'Water Heater: Tankless', u'Lot Description: Garden Area', u'Subdivision: Hardscrabble', u'Washer Dryer Location: Laundry Room', u'Parking: Garage', u'9 Ft Ceiling', u'Restrictive Covenants: Yes', u'Acres: 1-2.9 Acres', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Monthly', u'Garage Shop', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Composition', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2001', u'Laundry: In Unit', u'Parcel #: 187361', u'Zillow Home ID: 50024706']	http://photos2.zillowstatic.com/p_e/IShfj46392j5e41000000000.jpg	290000.0	[]	2400.0	NC	260632.0	27278	50024706
