baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 857', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 856', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 866', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 859', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 872', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 868', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 854', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 869', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 853', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
2.0	3	Enfield	[u'Lot: 1.17 acres', u'Single Family', u'Built in 1998', u'All time views: 867', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $17,500', u'Last sale price/sqft: $11', u'Fireplace', u'Exterior material: Other', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,564 sqft', u'Parcel #: 0120015', u'Zillow Home ID: 84186511']	http://photos3.zillowstatic.com/p_e/IS95akp5ye0jcj0000000000.jpg	17500.0	[]	1564.0	NC	75816.0	27823	84186511
