baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Holly Springs	[u'Baths: 2 full, 1 half', u'Lot: 10,018 sqft', u'Single Family', u'Built in 2004', u'All time views: 4,893', u'HOA Fee: $25/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $265,000', u'Last sale price/sqft: $119', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 399 sqft garage', u'Patio', u'Porch', u'Storage', u'Vaulted Ceiling', u'granite countertops', u'open plan', u'loft', u'storage', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,233 sqft', u'Heating: Gas', u'Last remodel year: 2004', u'Parcel #: 065806296844000', u'Zillow Home ID: 67553094']	http://photos1.zillowstatic.com/p_e/ISug4ralztcflr1000000000.jpg	265000.0	[]	2233.0	NC	230137.0	27540	67553094
3.0	5	Holly Springs	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 2013', u'All time views: 4,507', u'HOA Fee: $50/mo', u'Heating: Forced air', u'Last sold: Aug 2016 for $306,000', u'Last sale price/sqft: $118', u'Fireplace', u'Parking: 440 sqft garage', u'Exterior material: Wood', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,602 sqft', u'Last remodel year: 2013', u'Parcel #: 064801366463000', u'Zillow Home ID: 122281501']	http://photos3.zillowstatic.com/p_e/IS952urjzleb940000000000.jpg	306000.0	[]	2602.0	NC	327346.0	27540	122281501
3.0	4	Holly Springs	[u'Lot: 10,018 sqft', u'Single Family', u'Built in 2014', u'All time views: 3,111', u'HOA Fee: $60/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $336,000', u'Last sale price/sqft: $110', u'Attic', u'Cable Ready', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 147 sqft garage', u'Patio', u'Pool', u'Porch', u'Security System', u'Wired', u'soccer field and walking trails', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Stone, Vinyl', u'Roof type: Shake Shingle', u'Room count: 12', u'Stories: 2', u'Structure type: Other', u'Floor size: 3,065 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 063702858912000', u'Zillow Home ID: 118507842']	http://photos1.zillowstatic.com/p_e/ISyvax0mbikfyb0000000000.jpg	336000.0	[]	3065.0	NC	321414.0	27540	118507842
5.0	5	Holly Springs	[u'Baths: 4 full, 1 half', u'Lot: 7,405 sqft', u'Single Family', u'Built in 2016', u'35 days on Zillow', u'Views since listing: 1,398', u'All time views: 1,399', u'16 shoppers saved this home', u'HOA Fee: $85/mo', u'Last sold: Aug 2016 for $474,000', u'Last sale price/sqft: $124', u'MLS #: 2080208', u'1008 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached', u'Pool', u'Porch', u'Vaulted Ceiling', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Cement concrete, Stone', u'Roof type: Shake Shingle', u'Room count: 12', u'Stories: 3', u'Structure type: Craftsman', u'Floor size: 3,811 sqft', u'Heating: Gas', u'Zillow Home ID: 2097772033']	http://photos1.zillowstatic.com/p_e/ISmay7kknq00r70000000000.jpg	474000.0	[]	3811.0	NC	575853.0	27540	2097772033
3.0	5	Holly Springs	[u'Lot: 9,583 sqft', u'Single Family', u'Built in 2012', u'All time views: 1,491', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $395,000', u'Last sale price/sqft: $112', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: 400 sqft garage', u'Pool', u'Porch', u'Tennis Court', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Stone, Wood', u'Room count: 15', u'Stories: 2', u'Structure type: Craftsman', u'Floor size: 3,520 sqft', u'Heating: Gas', u'Last remodel year: 2012', u'Parcel #: 064801351930000', u'Zillow Home ID: 117452153']	http://photos3.zillowstatic.com/p_e/IShzixb9z38p640000000000.jpg	395000.0	[]	3520.0	NC	374343.0	27540	117452153
3.0	3	Holly Springs	[u'Baths: 2 full, 1 half', u'Lot: 10,454 sqft', u'Single Family', u'Built in 2002', u'All time views: 3,261', u'HOA Fee: $34/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $181,500', u'Last sale price/sqft: $132', u'Attic', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Other', u'Lawn', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Patio', u'Storage', u'Bamboo flooring in main living area', u'Pantry', u'Laundry Room on 2nd Floor', u'Corner Lot', u'Private Backyard', u'Fenced In', u'Two WIC in Master', u'Master Bathroom', u'Gas Fireplace', u'Patio', u'Dishwasher', u'Garbage disposal', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,378 sqft', u'Heating: Gas', u'Last remodel year: 2002', u'Parcel #: 065918303345000', u'Zillow Home ID: 60393372']	http://photos3.zillowstatic.com/p_e/ISuwswz88kpru21000000000.jpg	181500.0	[]	1378.0	NC	178985.0	27540	60393372
2.5	4	Holly Springs	[u'Lot: 0.53 acres', u'Single Family', u'Built in 2009', u'All time views: 6,316', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $225,000', u'Last sale price/sqft: $93', u'Parking: 576 sqft garage', u'Roof type: Asphalt', u'Stories: 2', u'Floor size: 2,415 sqft', u'Last remodel year: 2007', u'Parcel #: 050635    0103 41', u'Zillow Home ID: 82173408']	http://photos1.zillowstatic.com/p_e/IS10pog5pdsmu8z.jpg	225000.0	[]	2415.0	NC	223719.0	27540	82173408
2.0	3	Holly Springs	[u'Lot: 0.25 acres', u'Single Family', u'Built in 2000', u'48 days on Zillow', u'Views since listing: 5,368', u'All time views: 5,981', u'149 shoppers saved this home', u'Last sold: Aug 2016 for $200,000', u'Last sale price/sqft: $163', u'MLS #: 2077399', u'Floor size: 1,225 sqft', u'Parcel #: 065810351861000', u'Zillow Home ID: 53458002']	http://photos2.zillowstatic.com/p_e/ISqlt2r82bedhp0000000000.jpg	200000.0	[]	1225.0	NC	188467.0	27540	53458002
3.0	3	Holly Springs	[u'Baths: 2 full, 1 half', u'Lot: 5,227 sqft', u'Single Family', u'Built in 2006', u'106 days on Zillow', u'Views since listing: 2,064', u'All time views: 2,113', u'14 shoppers saved this home', u'HOA Fee: $38/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $279,900', u'Last sale price/sqft: $100', u'MLS #: 2075690', u'View Virtual Tour', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, 294 sqft garage', u'Dishwasher', u'Dryer', u'Freezer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,786 sqft', u'Heating: Gas', u'Last remodel year: 2006', u'Laundry: In Unit', u'Parcel #: 065901160767000', u'Zillow Home ID: 79883721']	http://photos1.zillowstatic.com/p_e/IS9ph7k9dok1lv1000000000.jpg	279900.0	[]	2786.0	NC	279501.0	27540	79883721
3.0	3	Holly Springs	[u'Baths: 2 full, 1 half', u'Lot: 0.82 acres', u'Single Family', u'Built in 2004', u'All time views: 1,432', u'Heating: Forced air', u'Last sold: Aug 2016 for $345,000', u'Last sale price/sqft: $144', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, Garage - Detached, 4 spaces, 484 sqft garage', u'Porch', u'Security System', u'A: Central Air', u'A: C', u'Attic Description: Floored', u'Attic Description: Permanent Stairs', u'Attic Description: Unfinished Att', u'Basement Description: No Basement', u'Sep Shower', u'Equipment: Ice Maker Connection', u'Gutters', u'A: C Age 6+ Years', u'Shower', u'Tub', u'Foundation: Crawl Space', u'Heating: Dual Zone Heat', u'Heating: Heat Age 6+ Yrs', u'HO Fees Include: Area Lights', u'Washer Dryer Location: 1st Floor', u'HO Fees Include: Maint Com. Area', u'HO Fees Include: Maint. Ext.', u'Washer Dryer Location: Utility Room WD', u'HO Fees Include: Maint. Grnd', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Water: Well', u'Roof: Shingle', u'Style: Traditional', u'Shower', u'Design: 2 Story', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Master Bedroom Floor: Second', u'Bedroom 2 Floor: Second', u'Bedroom 3 Floor: Second', u'Lot Description: Hardwood Trees', u'Other Rooms: Family Room', u'Lot Description: Partially Cleared', u'Other Rooms: Utility Room', u'Other Area: Main', u'Breakfast Room Floor: Main', u'Bonus Room Floor: Second', u'Dining: Eat-in Kitchen', u'Garage Floor: Main', u'Other Rooms: Entry Foyer', u'Equipment: Elec. Dryer HU', u'Equipment: Garage Opener', u'Garden Tub', u'Equipment: Cooktop ? Electric', u'Equipment: Self Clean Oven', u'Insulated Windows', u'Ceramic Bath Wall', u'HO Fees Include: Street Lights', u'Other Rooms: Finish', u'Parking: Concrete', u'Style: Transitional', u'Parking: Parking Pad', u'HO Fees Include: Insurance', u'Parking: Side', u'Roof: Roof Age 11+ Years', u'Detached Workshop', u'Fiberglass Bath', u'Other Rooms: Workshop', u'A: C Age 0-3 Years', u'Heating: Heat Age 0-3 Yrs', u'Other Rooms: Rec Room', u'Other Rooms: Room Over Garage', u'Other Rooms: Bonus Br Acc', u'Subdivision: Wilbon Ridge', u'Parking: Garage', u'9 Ft Ceiling', u'Granite Counter Tops', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'HOA 1 Fees Required: Yes', u'HOA 1 Fee Payment: Annually', u'Pantry', u'Garage Shop', u'Acres: .76-.99 Acres', u'Tray Ceiling', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Recreation room', u'Walk-in closet', u'Workshop', u'Exterior material: Cement concrete, Other', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,388 sqft', u'Last remodel year: 2004', u'Laundry: In Unit', u'Parcel #: 064704942408000', u'Zillow Home ID: 65335720']	http://photos1.zillowstatic.com/p_e/IS95mhnfq53ble1000000000.jpg	345000.0	[]	2388.0	NC	351395.0	27540	65335720
