baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Hudson	[u'Lot: 1.6 acres', u'Single Family', u'Built in 1965', u'All time views: 775', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $154,000', u'Last sale price/sqft: $77', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Carport', u'Unfinished basement', u'Vaulted Ceiling', u'Dishwasher', u'Dining room', u'Family room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,990 sqft', u'Last remodel year: 1979', u'Lot depth: 465 ft', u'Lot width: 150 ft', u'Parcel #: 11 11  1 10', u'Zillow Home ID: 70104708']	http://photos2.zillowstatic.com/p_e/ISp1u1nq96zlow1000000000.jpg	154000.0	[]	1990.0	NC	146030.0	28638	70104708
3.0	3	Hudson	[u'Single Family', u'Built in 1981', u'All time views: 1,408', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $144,450', u'Last sale price/sqft: $144,450', u'572 sqft basement', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: 667 sqft garage', u'Laundry on Main', u'Water-Lake: None', u'Water: Public Water', u'Water: Septic Tank', u'Other Room 1: Laundry', u'County: Caldwell', u'Style: Bsmt', u'Type: Stick Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1 sqft', u'Last remodel year: 1981', u'Parcel #: 03118B 1 16', u'Zillow Home ID: 69813678']	http://photos2.zillowstatic.com/p_e/ISdc69h1yaksyz0000000000.jpg	144450.0	[]	1.0	NC	135395.0	28638	69813678
1.1	3	Hudson	[u'Lot: 0.56 acres', u'Single Family', u'Built in 1966', u'All time views: 2,145', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $70,000', u'Last sale price/sqft: $64', u'Unfinished basement', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,097 sqft', u'Last remodel year: 1971', u'Lot depth: 250 ft', u'Lot width: 100 ft', u'Parcel #: 03 23  3  1', u'Zillow Home ID: 70117231']	http://photos1.zillowstatic.com/p_e/ISl6rz9szpq4a30000000000.jpg	70000.0	[]	1097.0	NC	81381.0	28638	70117231
2.0	4	Hudson	[u'Lot: 1.13 acres', u'Single Family', u'Built in 1966', u'All time views: 1,853', u'Cooling: None', u'Last sold: Jun 2016 for $66,500', u'Last sale price/sqft: $36', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Porch', u'Style: Ranch', u'Water: Connected to Public Water', u'Electric: Duke Power', u'Road Surface: Paved', u'Main Bedroom-Main Level', u'Outbuilding', u'Cable: Not Known (Cable)', u'Appliances: None', u'Property Status: Pending', u'Lot Description: Level', u'Miscellaneous: None', u'Acreage Range: 2-1 acre', u'Interior Walls: Plaster', u'Foundation: Partial Basement', u'Road Maintenance: City', u'Interior Walls: Paneling', u'Primary: None-Primary', u'Dryer', u'Washer', u'Exterior material: Brick, Wood', u'Roof type: Asphalt', u'Unit count: 1', u'Floor size: 1,870 sqft', u'Laundry: In Unit', u'Lot depth: 456 ft', u'Lot width: 210 ft', u'Parcel #: 03  7  1  5', u'Zillow Home ID: 70086004']	http://photos1.zillowstatic.com/p_e/ISxbvbawwl9dbw1000000000.jpg	66500.0	[]	1870.0	NC	0.0	28638	70086004
3.0	3	Hudson	[u'Lot: 0.35 acres', u'Single Family', u'Built in 1976', u'All time views: 2,287', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $146,000', u'Last sale price/sqft: $80', u'312 sqft basement', u'Deck', u'Fenced Yard', u'Parking: Carport, Garage - Attached, 288 sqft garage', u'Patio', u'Pool', u'RV Parking', u'View: Mountain', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,821 sqft', u'Heating: Electric', u'Last remodel year: 1986', u'Lot depth: 157 ft', u'Lot width: 104 ft', u'Parcel #: 03 90A 1 21', u'Zillow Home ID: 70084658']	http://photos1.zillowstatic.com/p_e/ISdonab3xmwvyk0000000000.jpg	146000.0	[]	1821.0	NC	128815.0	28638	70084658
1.0	3	Hudson	[u'Lot: 1.3 acres', u'Single Family', u'Built in 1961', u'All time views: 540', u'Heating: Forced air', u'Last sold: May 2016 for $121,000', u'Last sale price/sqft: $91', u'Unfinished basement', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,328 sqft', u'Last remodel year: 1974', u'Parcel #: 03 54  1 17', u'Zillow Home ID: 70102325']	http://photos3.zillowstatic.com/p_e/IS5euate9c5zp81000000000.jpg	121000.0	[]	1328.0	NC	91760.0	28638	70102325
2.0	3	Hudson	[u'Lot: 0.34 acres', u'Single Family', u'Built in 1996', u'All time views: 291', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $125,000', u'Last sale price/sqft: $95', u'Roof type: Asphalt', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,309 sqft', u'Last remodel year: 1996', u'Lot depth: 127 ft', u'Lot width: 120 ft', u'Parcel #: 03 25  1 25', u'Zillow Home ID: 70101899']	http://photos1.zillowstatic.com/p_e/IScpxu8ulsqsgz.jpg	125000.0	[]	1309.0	NC	106438.0	28638	70101899
2.5	3	Hudson	[u'Baths: 2 full, 1 half', u'Lot: 0.46 acres', u'Single Family', u'Built in 1967', u'All time views: 1,422', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $123,000', u'Last sale price/sqft: $52', u'368 sqft basement', u'Finished basement', u'Fireplace', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 7', u'Unit count: 1', u'Floor size: 2,388 sqft', u'Last remodel year: 1984', u'Lot depth: 206 ft', u'Lot width: 110 ft', u'Parcel #: 03 85  2108', u'Zillow Home ID: 70116107']	http://photos1.zillowstatic.com/p_e/ISx7sez1d2txnp1000000000.jpg	123000.0	[]	2388.0	NC	132850.0	28638	70116107
1.0	3	Hudson	[u'Lot: 0.51 acres', u'Single Family', u'Built in 1970', u'All time views: 776', u'Cooling: Other', u'Heating: Forced air', u'Last sold: May 2016 for $92,500', u'Last sale price/sqft: $63', u'Exterior material: Brick, Wood', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,458 sqft', u'Last remodel year: 1977', u'Lot depth: 187 ft', u'Lot width: 122 ft', u'Parcel #: 03 82  1 28', u'Zillow Home ID: 70106859']	http://photos1.zillowstatic.com/p_e/IS1bxzujm4vk280000000000.jpg	92500.0	[]	1458.0	NC	91614.0	28638	70106859
2.5	3	Hudson	[u'Baths: 2 full, 1 half', u'Lot: 0.9 acres', u'Single Family', u'Built in 2001', u'All time views: 1,620', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: May 2016 for $292,000', u'Last sale price/sqft: $80', u'618 sqft basement', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, 484 sqft garage', u'Patio', u'Pool', u'Vaulted Ceiling', u'Water: City Water', u'Kitchen Granite Countertops', u'Fencing: Partially Fenced', u'Sewer: City', u'Lot Size: 2 - 1 Acre', u'Kitchen Eat-in Kitchen', u'Garage Description: Garage', u'Pool Description: Inground', u'Pre-Wiring: Garage Door', u'Exterior Living Space: Outdoor Kitchen', u'Garage Count: 5 + Car Garage', u'Pool Description: Pool', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 0', u'Unit count: 1', u'Floor size: 3,650 sqft', u'Heating: Gas', u'Last remodel year: 2001', u'Lot depth: 226 ft', u'Lot width: 146 ft', u'Parcel #: 03 58B 1 21', u'Zillow Home ID: 70103935']	http://photos1.zillowstatic.com/p_e/IS9xvfadp4w4ll0000000000.jpg	292000.0	[]	3650.0	NC	292169.0	28638	70103935
