baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Jackson	[u'Lot: 1 acre', u'Single Family', u'Built in 1913', u'All time views: 2,911', u'Cooling: Central, Other', u'Heating: Other', u'Last sold: Apr 2016 for $83,000', u'Last sale price/sqft: $31', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Carport, Garage - Detached, Off street, 600 sqft garage', u'Water Heater: Electric', u'Sewer: City Sewer', u'Water: City Water', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Drive: Asphalt', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Two Stories', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Brick Veneer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Rooms: Foyer', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Workshop', u'Storm Windows', u'Rooms: Utility Room', u'Location Description: Historic District', u'Foundation: Basement', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Office', u'Pantry', u'Workshop', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Floor size: 2,700 sqft', u'Heating: Oil, Other', u'Last remodel year: 1974', u'Laundry: In Unit', u'Parcel #: 02-00690', u'Zillow Home ID: 114834233']	http://photos1.zillowstatic.com/p_e/ISpp4uureukwl61000000000.jpg	83000.0	[]	2700.0	NC	97697.0	27845	114834233
2.0	4	Jackson	[u'Lot: 0.53 acres', u'Single Family', u'Built in 1946', u'All time views: 1,082', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $81,000', u'Last sale price/sqft: $31', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Other', u'Garden', u'Parking: Garage - Detached, 1 space, 200 sqft garage', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Construction: Site Built', u'Fencing: None', u'Exterior: Siding-Hardboard', u'Views: Neighborhood', u'Doors: Storm-Part', u'A: Central', u'Foundation: Crawl Space', u'Paved Road', u'Misc Info: None', u'Water Amenities: None', u'Style: 1.5 Story', u'Basement: None', u'Gravel Drive', u'Windows: Vinyl Clad', u'Windows: Fold-out', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Other', u'Foundation type: Concrete', u'Roof type: Composition', u'Room count: 7', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,573 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 02-02062', u'Zillow Home ID: 114834065']	http://photos2.zillowstatic.com/p_e/IS56s7jg05eja21000000000.jpg	81000.0	[]	2573.0	NC	117900.0	27845	114834065
2.0	3	Jackson	[u'Lot: 1.26 acres', u'Single Family', u'Built in 1998', u'All time views: 383', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $23,000', u'Last sale price/sqft: $17', u'Flooring: Carpet, Tile', u'Garden', u'Parking: Carport', u'Porch', u'Vaulted Ceiling', u'Appliances: None', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Misc Info: None', u'Views: Country', u'Garage: None-Carport', u'Basement: None', u'Fireplace: None', u'Construction: Mobile Home-Double', u'Style: Ranch', u'Windows: Vinyl Clad', u'Stable', u'Exterior material: Vinyl', u'Foundation type: Piers', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,352 sqft', u'Heating: Other', u'Parcel #: 09-02889', u'Zillow Home ID: 114839739']	http://photos2.zillowstatic.com/p_e/IS5m8n2s8zjv5l0000000000.jpg	23000.0	[]	1352.0	NC	72973.0	27845	114839739
2.0	3	Jackson	[u'Lot: 1 acre', u'Single Family', u'Built in 1890', u'All time views: 1,044', u'Heating: Other', u'Last sold: Apr 2015 for $26,000', u'Last sale price/sqft: $14', u'Fireplace', u'Exterior material: Wood', u'Foundation type: Concrete', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,829 sqft', u'Heating: Other', u'Parcel #: 02-00590', u'Zillow Home ID: 114834193']	http://photos2.zillowstatic.com/p_e/IS5yd77x3kmsw21000000000.jpg	26000.0	[]	1829.0	NC	79171.0	27845	114834193
2.0	3	Jackson	[u'Lot: 8.88 acres', u'Single Family', u'Built in 1997', u'All time views: 862', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Feb 2015 for $175,000', u'Last sale price/sqft: $95', u'Attic', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Security System', u'View: Territorial', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Mud room', u'Pantry', u'Workshop', u'Exterior material: Vinyl', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,840 sqft', u'Heating: Propane butane', u'Parcel #: 09-01775', u'Zillow Home ID: 114839428']	http://photos3.zillowstatic.com/p_e/IS5a7q2hfz45f61000000000.jpg	175000.0	[]	1840.0	NC	103896.0	27845	114839428
2.0	3	Jackson	[u'Lot: 2.1 acres', u'Single Family', u'Built in 1982', u'All time views: 1,587', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $133,000', u'Last sale price/sqft: $71', u'Fireplace', u'Foundation type: Concrete', u'Room count: 6', u'Stories: 1', u'Floor size: 1,877 sqft', u'Heating: Other', u'Parcel #: 07-00180', u'Zillow Home ID: 114838187']	http://photos1.zillowstatic.com/p_e/IS1rhi7z046h8a1000000000.jpg	133000.0	[]	1877.0	NC	74794.0	27845	114838187
1.0	2	Jackson	[u'Lot: 0.3 acres', u'Single Family', u'Built in 1950', u'All time views: 236', u'Cooling: Other', u'Heating: Other', u'Last sold: May 2014 for $46,000', u'Last sale price/sqft: $53', u'Foundation type: Concrete', u'Room count: 4', u'Stories: 1', u'Floor size: 876 sqft', u'Heating: Other', u'Parcel #: 02-00733', u'Zillow Home ID: 114834251']	http://photos1.zillowstatic.com/p_e/ISptrqa1kbclig0000000000.jpg	46000.0	[]	876.0	NC	65047.0	27845	114834251
2.0	3	Jackson	[u'Lot: 0.75 acres', u'Single Family', u'Built in 1954', u'All time views: 353', u'Cooling: Wall', u'Heating: Radiant', u'Last sold: Feb 2014 for $60,000', u'Last sale price/sqft: $23', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: Carport, 2 spaces', u'Porch', u'RV Parking', u'Unfinished basement', u'Microwave', u'Range / Oven', u'Dining room', u'Family room', u'Laundry room', u'Mud room', u'Office', u'Pantry', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,600 sqft', u'Heating: Oil', u'Zillow Home ID: 2112544053']	http://photos2.zillowstatic.com/p_e/ISplxp3xsh5jeu0000000000.jpg	60000.0	[]	2600.0	NC	123601.0	27845	2112544053
1.0	3	Jackson	[u'Lot: 1.82 acres', u'Single Family', u'Built in 1963', u'All time views: 2,243', u'Cooling: Other', u'Heating: Other', u'Last sold: Nov 2013 for $8,500', u'Last sale price/sqft: $6', u'Foundation type: Piers', u'Room count: 6', u'Stories: 1', u'Floor size: 1,496 sqft', u'Heating: Other', u'Parcel #: 04-00626', u'Zillow Home ID: 114836363']	http://photos3.zillowstatic.com/p_e/IShze68xc45dc91000000000.jpg	8500.0	[]	1496.0	NC	66171.0	27845	114836363
2.0	3	Jackson	[u'Lot: 1 acre', u'Single Family', u'Built in 1913', u'All time views: 2,915', u'Cooling: Central, Other', u'Heating: Other', u'Last sold: Apr 2016 for $83,000', u'Last sale price/sqft: $31', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Carport, Garage - Detached, Off street, 600 sqft garage', u'Water Heater: Electric', u'Sewer: City Sewer', u'Water: City Water', u'Foundation: Crawl Space', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Water Desc: None', u'Drive: Asphalt', u'No Fence', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Two Stories', u'Gas Logs (Propane)', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Brick Veneer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Rooms: Foyer', u'Construction: Frame', u'Storm Doors', u'Attic: Access Only', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Workshop', u'Storm Windows', u'Rooms: Utility Room', u'Location Description: Historic District', u'Foundation: Basement', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Library', u'Office', u'Pantry', u'Workshop', u'Exterior material: Brick', u'Foundation type: Concrete', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 2', u'Floor size: 2,700 sqft', u'Heating: Oil, Other', u'Last remodel year: 1974', u'Laundry: In Unit', u'Parcel #: 02-00690', u'Zillow Home ID: 114834233']	http://photos1.zillowstatic.com/p_e/ISpp4uureukwl61000000000.jpg	83000.0	[]	2700.0	NC	97697.0	27845	114834233
