baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	4	Jamestown	[u'Baths: 2 full, 1 half', u'Lot: 0.4 acres', u'Single Family', u'Built in 1984', u'64 days on Zillow', u'Views since listing: 1,764', u'All time views: 1,983', u'25 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $230,000', u'Last sale price/sqft: $79', u'MLS #: 791805', u'Candidate for a community solar programSun Number\u2122:\xa027', u'View Virtual Tour', u'1064 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile, Other', u'Lawn', u'Parking: Garage - Attached, 576 sqft garage', u'Partial basement', u'Patio', u'Security System', u'Vaulted Ceiling', u'Wired', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Pantry', u'Recreation room', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Other', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Colonial', u'Unit count: 1', u'Floor size: 2,900 sqft', u'Last remodel year: 1993', u'Laundry: In Unit', u'Lot depth: 155 ft', u'Lot width: 108 ft', u'Parcel #: 0160437', u'Zillow Home ID: 6012866']	http://photos3.zillowstatic.com/p_e/IS9l2xq25eu0qp1000000000.jpg	230000.0	[]	2900.0	NC	220155.0	27282	6012866
2.1	4	Jamestown	[u'Baths: 2 full, 1 half', u'Lot: 0.33 acres', u'Single Family', u'Built in 1997', u'All time views: 652', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $330,000', u'Last sale price/sqft: $125', u'Limited solar potentialSun Number\u2122:\xa057', u'Fireplace', u'Parking: 484 sqft garage', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,650 sqft', u'Last remodel year: 1997', u'Lot depth: 100 ft', u'Lot width: 100 ft', u'Parcel #: 0159895', u'Zillow Home ID: 6012550']	http://photos3.zillowstatic.com/p_e/IS5afs968h6v570000000000.jpg	330000.0	[]	2650.0	NC	322305.0	27282	6012550
2.0	3	Jamestown	[u'Lot: 0.28 acres', u'Single Family', u'Built in 1995', u'All time views: 1,063', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $167,000', u'Last sale price/sqft: $109', u'Limited solar potentialSun Number\u2122:\xa047', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, 400 sqft garage', u'Appliances: Exhaust Fan', u'Association: Greensboro', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'HOA Fee Paid 1: Monthly', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Foundation Basement: Slab', u'Typeof Sale: Owner Sale', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Fenced', u'Elementary School: Florence', u'Appliances: Remarks', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,526 sqft', u'Heating: Gas', u'Last remodel year: 1998', u'Parcel #: 0208820', u'Zillow Home ID: 6047639']	http://photos1.zillowstatic.com/p_e/IS1nuh0mbm6zj00000000000.jpg	167000.0	[]	1526.0	NC	162637.0	27282	6047639
2.0	3	Jamestown	[u'Lot: 0.36 acres', u'Single Family', u'Built in 1993', u'All time views: 1,213', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $179,000', u'Last sale price/sqft: $102', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 489 sqft garage', u'Porch', u'Appliances: Cook Top', u'Association: Greensboro', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Neighborhood Pool', u'Foundation Basement: Crawl Space', u'HOA Fee Paid 1: Monthly', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Separate Shower', u'Solid Surface Counter', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Lot Description: Wooded', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Smoke Alarm', u'Story Number: 1', u'Exterior Finish: Masonite-Type Siding', u'Garden Tub', u'Sewer: Public', u'Style: Ranch', u'Elementary School: Florence', u'Vaulted Ceilings', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Cement concrete', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,760 sqft', u'Heating: Gas', u'Last remodel year: 1993', u'Lot depth: 82 ft', u'Lot width: 82 ft', u'Parcel #: 0154999', u'Zillow Home ID: 6008207']	http://photos1.zillowstatic.com/p_e/IS99tx7p00ikk70000000000.jpg	179000.0	[]	1760.0	NC	176306.0	27282	6008207
2.5	4	Jamestown	[u'Baths: 2 full, 1 half', u'Lot: 0.26 acres', u'Single Family', u'Built in 1972', u'All time views: 9,216', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $179,900', u'Last sale price/sqft: $85', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached', u'Patio', u'Appliances: Exhaust Fan', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Style: Traditional', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Separate Shower', u'Solid Surface Counter', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Privacy Fence', u'Sewer: Public', u'Fenced', u'Elementary School: Jamestown', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Microwave', u'Range / Oven', u'Dining room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,124 sqft', u'Heating: Electric', u'Last remodel year: 1982', u'Lot depth: 150 ft', u'Lot width: 76 ft', u'Parcel #: 0159538', u'Zillow Home ID: 6012215']	http://photos1.zillowstatic.com/p_e/IS6eanx2i79m950000000000.jpg	179900.0	[]	2124.0	NC	179695.0	27282	6012215
3.0	5	Jamestown	[u'Lot: 0.42 acres', u'Single Family', u'Built in 1999', u'All time views: 3,749', u'HOA Fee: $59/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $415,000', u'Last sale price/sqft: $106', u'Limited solar potentialSun Number\u2122:\xa047', u'553 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Jetted Tub', u'Parking: Garage - Attached, 594 sqft garage', u'Vaulted Ceiling', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Split level', u'Unit count: 1', u'Floor size: 3,900 sqft', u'Heating: Gas', u'Last remodel year: 1999', u'Parcel #: 0160027', u'Zillow Home ID: 55373689']	http://photos2.zillowstatic.com/p_e/IS13fg5yir2syj0000000000.jpg	415000.0	[]	3900.0	NC	401976.0	27282	55373689
2.0	4	Jamestown	[u'Lot: 0.29 acres', u'Single Family', u'Built in 1998', u'All time views: 2,134', u'HOA Fee: $32/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $235,900', u'Last sale price/sqft: $89', u'Great solar potentialSun Number\u2122:\xa075', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Linoleum / Vinyl', u'Garden', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 462 sqft garage', u'Patio', u'Porch', u'Security System', u'Storage', u'Wired', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 12', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,637 sqft', u'Heating: Electric, Gas', u'Last remodel year: 2015', u'Parcel #: 0154899', u'Zillow Home ID: 6008107']	http://photos2.zillowstatic.com/p_e/ISphqt67x8juc41000000000.jpg	235900.0	[]	2637.0	NC	225916.0	27282	6008107
3.5	5	Jamestown	[u'Baths: 3 full, 1 half', u'Lot: 0.39 acres', u'Single Family', u'Built in 1992', u'All time views: 9,117', u'HOA Fee: $39/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $315,900', u'Last sale price/sqft: $105', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces, 528 sqft garage', u'Security System', u'Kitchen Center Island', u'Basement: Crawl Space', u'Sewer: Public', u'Dishwasher', u'Garbage disposal', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,004 sqft', u'Heating: Electric, Gas', u'Last remodel year: 1995', u'Parcel #: 0207162', u'Zillow Home ID: 6046192']	http://photos1.zillowstatic.com/p_e/ISds2508wd4ouo1000000000.jpg	315900.0	[]	3004.0	NC	320749.0	27282	6046192
2.0	3	Jamestown	[u'Available now', u'Lease: One Year', u'Deposit & fees: 1310', u'Lot: 9,148 sqft', u'Pets: Small dogs', u'Laundry: In Unit', u'Parking: Garage - Attached, 420 sqft garage', u'Single Family', u'Cooling: Central', u'Heating: Forced air', u'Posted: 4 days ago', u'Views since listing: 312', u'All time views: 541', u'5 shoppers saved this home', u'Rent/sqft: $0.92', u'Deck', u'Fireplace', u'Lawn', u'Patio', u'Storage', u'Vaulted Ceiling', u'Wired', u'Living room', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Walk-in closet', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Built in 2001', u'Floor size: 1,428 sqft', u'Last remodel year: 2001', u'Last sold: Aug 2016 for $150,000', u'Parcel #: 0208975', u'Zillow Home ID: 6047794']	http://photos3.zillowstatic.com/p_e/ISijmdq46wrzvp1000000000.jpg	150000.0	[]	1428.0	NC	1215.0	27282	6047794
4.0	5	Jamestown	[u'Baths: 3 full, 1 half', u'Lot: 0.53 acres', u'Single Family', u'Built in 1992', u'All time views: 20,672', u'HOA Fee: $38/mo', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jul 2016 for $342,500', u'Last sale price/sqft: $91', u'Candidate for a community solar programSun Number\u2122:\xa027', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 504 sqft garage', u'Patio', u'Sprinkler System', u'Wet Bar', u'Association: Greensboro', u'Built Information: Existing', u'Paved Drive', u'Foundation Basement: Crawl Space', u'Water: Public', u'Built-in Shelves', u'Dead Bolt(s)', u'Gas Logs', u'Pantry', u'Separate Shower', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Story Number: 2', u'Style: Transitional', u'Typeof Sale: Owner Sale', u'Status: Active', u'Exterior Finish: Masonite-Type Siding', u'Sewer: Public', u'Fenced', u'Elementary School: Florence', u'HOA Fee Paid 1: Annual', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Sun room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,777 sqft', u'Heating: Gas', u'Last remodel year: 1995', u'Parcel #: 0207175', u'Zillow Home ID: 6046205']	http://photos1.zillowstatic.com/p_e/ISlqm5vv2su94q0000000000.jpg	342500.0	[]	3777.0	NC	357273.0	27282	6046205
