baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	5	Jarvisburg	[u'Lot: 1.05 acres', u'Single Family', u'Built in 1917', u'All time views: 6,552', u'Heating: Other', u'Last sold: Apr 2016 for $45,000', u'Last sale price/sqft: $19', u'Fireplace', u'Furnished', u'Parking: Garage - Detached, 200 sqft garage', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'Oil: No Representation', u'County: Currituck', u'Subdivision: None', u'Area: Jarvisburg to Poplar Br.', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 2,327 sqft', u'Heating: Other', u'Parcel #: 010900000090000', u'Zillow Home ID: 78322240']	http://photos3.zillowstatic.com/p_e/IStc5t1bpapxic0000000000.jpg	45000.0	[]	2327.0	NC	235510.0	27947	78322240
2.0	3	Jarvisburg	[u'Lot: 1.24 acres', u'Single Family', u'Built in 1949', u'All time views: 2,918', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2016 for $285,100', u'Last sale price/sqft: $165', u'Flooring: Carpet, Hardwood, Tile', u'Furnished', u'Lawn', u'Parking: Carport, Off street, 400 sqft garage', u'Patio', u'View: Water', u'Waterfront', u'Stainless steel appliances', u'Dishwasher', u'Microwave', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Piling', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,726 sqft', u'Laundry: In Unit', u'Parcel #: 0110000170C0000', u'Zillow Home ID: 120992288']	http://photos1.zillowstatic.com/p_e/IS91fplkaj1wt20000000000.jpg	285100.0	[]	1726.0	NC	288807.0	27947	120992288
2.0	3	Jarvisburg	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2002', u'All time views: 756', u'Heating: Forced air, Heat pump', u'Last sold: Jan 2016 for $118,808', u'Last sale price/sqft: $49', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'GARAGE: None', u'OPTIONAL ROOMS: Game Room', u'ROADS: Paved', u'WATER: Municipal', u'Yearly Income Act: Actual', u'County: Currituck', u'CONSTRUCTION: Frame', u'FLOOD ZONE: AE', u'HEATING: Electric', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'PARKING: Off Street', u'ROADS: Public', u'EXTERIOR: Lap Siding', u'FOUNDATION: Masonry', u'OPTIONAL ROOMS: Utility Room', u'PARKING: Unpaved', u'SEWER: Private Septic', u'COUNTER TOPS: Laminate', u'EXTRAS: Fenced Yard', u'STYLE: Ranch', u'CONSTRUCTION: Manufactured (Mobile)', u'Area: Jarvisburg to Poplar Br.', u'Subdivision: Riddick Estates', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Status: Under Contract', u'Status Category: Under Contract', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Floor size: 2,446 sqft', u'Zillow Home ID: 2100714004']	http://photos2.zillowstatic.com/p_e/IShfjkax3rwfqb1000000000.jpg	118808.0	[]	2446.0	NC	272748.0	27947	2100714004
2.0	3	Jarvisburg	[u'Lot: 0.28 acres', u'Single Family', u'Built in 2006', u'All time views: 3,383', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Nov 2015 for $176,000', u'Last sale price/sqft: $104', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'AIR CONDITIONING: Central', u'APPLIANCES: Dishwasher', u'FLOOD ZONE: X', u'HEATING: Heat Pump', u'PARKING: Paved', u'ROOF: Fiber Shingle', u'Yearly Income Act: Actual', u'County: Currituck', u'APPLIANCES: Dryer', u'APPLIANCES: Ice Maker', u'APPLIANCES: Washer', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'EXTERIOR: Vinyl', u'EXTRAS: Ceiling Fan(s)', u'EXTRAS: Garage Door Opener', u'EXTRAS: Outside Lighting', u'EXTRAS: Smoke Detector(s)', u'FLOOR COVERINGS: Carpet', u'GARAGE: 2 Car', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Walk in Closet', u'PARKING: Off Street', u'Primary Residence (Y: Yes', u'FLOOR COVERINGS: Vinyl', u'FOUNDATION: Masonry', u'SEWER: Private Septic', u'COUNTER TOPS: Laminate', u'EXTRAS: Security System', u'WATER: Well', u'ROADS: Unpaved', u'OPTIONAL ROOMS: Office', u'EXTRAS: Storage Shed', u'STYLE: Ranch', u'Area: Jarvisburg to Poplar Br.', u'Subdivision: Albemarle Sound Beach', u'Dishwasher', u'Microwave', u'Office', u'Pantry', u'Exterior material: Vinyl, Wood', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,688 sqft', u'Heating: Electric', u'Parcel #: 110B002009A0000', u'Zillow Home ID: 93019048']	http://photos2.zillowstatic.com/p_e/IS1vkbniwldyiv0000000000.jpg	176000.0	[]	1688.0	NC	183014.0	27947	93019048
2.5	3	Jarvisburg	"[u'Baths: 2 full, 1 half', u'Lot: 5,662 sqft', u'Single Family', u'Built in 2015', u'All time views: 1,983', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Sep 2015 for $176,500', u'Last sale price/sqft: $136', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Laminate, Tile', u'Parking: Garage - Attached', u'Vaulted Ceiling', u'Water Heater: Electric', u'Foundation: Pilings', u'Rooms: Living Room', u'Location Description: Under 1 acre', u'Drive: Concrete', u'Water Desc: Water Access', u'Underground Utilities', u'Washer Hook-up', u'Dryer Hook-up', u'Type & Style: Two Stories', u'Smoke Alarm(s)', u'Ownership Rights: Not Applicable', u'Construction: Vinyl Siding', u""9' Ceilings"", u'Sewer: Septic-Sewer', u'Modular: Not Applicable', u'Owner Acc Financing: Cash', u'Owner Acc Financing: Conventional', u'Water: Well Water', u'County: Currituck', u'Construction: Frame', u'Half Bath', u'Appliances: None', u'Owner Acc Financing: FHA', u'Owner Acc Financing: VA', u'Owner Acc Financing: USDA', u'Rooms: Utility Room', u'Floors: Wall to Wall', u'Attic: Other', u'Laminated Counter Tops', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Roof type: Composition', u'Stories: 2', u'Structure type: Bungalow', u'Floor size: 1,299 sqft', u'Heating: None', u'Parcel #: 110A006012A0000', u'Zillow Home ID: 78320413']"	http://photos2.zillowstatic.com/p_e/IS5uut03t0yrhp0000000000.jpg	176500.0	[]	1299.0	NC	186360.0	27947	78320413
2.0	3	Jarvisburg	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1969', u'Cooling: Other', u'Heating: Other', u'Last sold: Jul 2015 for $278,000', u'Last sale price/sqft: $174', u'Fireplace', u'Exterior material: Other', u'Foundation type: Crawl/Raised', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,594 sqft', u'Parcel #: 110E00000020000', u'Zillow Home ID: 123776007']	http://photos2.zillowstatic.com/p_e/IShn5rgm0q278j0000000000.jpg	278000.0	[]	1594.0	NC	225994.0	27947	123776007
1.5	3	Jarvisburg	[u'Lot: 8,712 sqft', u'Single Family', u'Built in 2004', u'All time views: 900', u'Cooling: Central, Other', u'Heating: Heat pump', u'Last sold: Jun 2015 for $129,000', u'Last sale price/sqft: $129', u'Flooring: Carpet, Hardwood, Tile', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Slab', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,000 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 110C017009A0000', u'Zillow Home ID: 78319869']	http://photos2.zillowstatic.com/p_e/IStkb7f292djux1000000000.jpg	129000.0	[]	1000.0	NC	160490.0	27947	78319869
1.0	2	Jarvisburg	[u'Single Family', u'Built in 1969', u'All time views: 2,603', u'Last sold: Jun 2015 for $69,900', u'Last sale price/sqft: $79', u'Structure type: Bungalow', u'Floor size: 884 sqft', u'Parcel #: 110B003004A0000', u'Zillow Home ID: 93019050']	http://photos2.zillowstatic.com/p_e/ISt82ge8yqyrm51000000000.jpg	69900.0	[]	884.0	NC	169091.0	27947	93019050
3.0	4	Jarvisburg	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2005', u'All time views: 1,661', u'Cooling: Central, Other', u'Heating: Heat pump, Other', u'Last sold: Jun 2015 for $300,000', u'Last sale price/sqft: $120', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Detached, 1000 sqft garage', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Library', u'Office', u'Pantry', u'Workshop', u'Exterior material: Wood', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Stories: 1.5', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 110H00000040003', u'Zillow Home ID: 93019052']	http://photos2.zillowstatic.com/p_e/IS5y1ybh72r4fu1000000000.jpg	300000.0	[]	2500.0	NC	354413.0	27947	93019052
2.5	3	Jarvisburg	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1990', u'All time views: 4,817', u'Cooling: Central, Other', u'Heating: Forced air, Heat pump', u'Last sold: Jan 2015 for $192,000', u'Last sale price/sqft: $96', u'Flooring: Tile', u'Waterfront', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Office', u'Exterior material: Vinyl', u'Foundation type: Crawl/Raised', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Cape cod', u'Unit count: 1', u'Floor size: 2,001 sqft', u'Laundry: In Unit', u'Parcel #: 109A00000050000', u'Zillow Home ID: 78322222']	http://photos3.zillowstatic.com/p_e/ISxnk71u4itksa1000000000.jpg	192000.0	[]	2001.0	NC	249531.0	27947	78322222
