baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Jonesville	[u'Lot: 0.48 acres', u'Single Family', u'Built in 1972', u'All time views: 3,043', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Apr 2016 for $85,000', u'Last sale price/sqft: $56', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Hot Tub/Spa', u'Patio', u'Porch', u'Unfinished basement', u'Dishwasher', u'Range / Oven', u'Laundry room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 4', u'Stories: 0', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,512 sqft', u'Heating: Electric', u'Last remodel year: 1972', u'Parcel #: 124514', u'Zillow Home ID: 71416927']	http://photos2.zillowstatic.com/p_e/IS4zgopri4l3tv.jpg	85000.0	[]	1512.0	NC	112527.0	28642	71416927
1.0	2	Jonesville	[u'Lot: 0.32 acres', u'Single Family', u'Built in 1950', u'All time views: 908', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Oct 2015 for $48,000', u'Last sale price/sqft: $59', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: 1 space, 216 sqft garage', u'Porch', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Access Only', u'Garage: None', u'Private Yard', u'Road Maintenance: Public Maintained', u'Property Status: Active', u'Level Lot', u'Property Type: Residential', u'Foundation: Crawl Space', u'Basement: None', u'Apx Age: Over 50', u'Location Description: Gravel Drive', u'Financing: Lease Purchase', u'Construction: Aluminum Siding', u'Apx SqFt: < 800 SF', u'Financing: Owner Financing', u'Area: Other Area', u'Range / Oven', u'Refrigerator', u'Exterior material: Metal', u'Roof type: Composition', u'Room count: 3', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 816 sqft', u'Last remodel year: 1950', u'Parcel #: 122782', u'Zillow Home ID: 71424801']	http://photos2.zillowstatic.com/p_e/IS1v4ntmz2yetv1000000000.jpg	48000.0	[]	816.0	NC	49037.0	28642	71424801
2.0	3	Jonesville	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1964', u'All time views: 3,021', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Sep 2015 for $114,000', u'Last sale price/sqft: $72', u'Attic', u'Basketball Court', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Garden', u'Lawn', u'Parking: Garage - Attached, 504 sqft garage', u'Pool', u'Unfinished basement', u'Dishwasher', u'Range / Oven', u'Dining room', u'Laundry room', u'Workshop', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,581 sqft', u'Heating: Electric', u'Last remodel year: 1964', u'Parcel #: 122493', u'Zillow Home ID: 70393159']	http://photos1.zillowstatic.com/p_e/IS9lix5n4i2jgk1000000000.jpg	114000.0	[]	1581.0	NC	104338.0	28642	70393159
1.0	2	Jonesville	[u'Lot: 1,170 sqft', u'Single Family', u'Built in 1951', u'All time views: 591', u'Last sold: Aug 2015 for $95,000', u'Last sale price/sqft: $79', u'Fireplace', u'Unfinished basement', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 3', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,195 sqft', u'Last remodel year: 1951', u'Parcel #: 123635', u'Zillow Home ID: 71418277']	http://photos3.zillowstatic.com/p_e/IS52147yvy0wyv0000000000.jpg	95000.0	[]	1195.0	NC	89075.0	28642	71418277
1.0	3	Jonesville	[u'Lot: 0.9 acres', u'Single Family', u'Built in 1947', u'All time views: 942', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2015 for $25,000', u'Last sale price/sqft: $15', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Porch', u'Unfinished basement', u'Built Information: Existing', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Dryer Connection', u'Foundation Basement: Basement', u'Garage Description: None', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Cleared Land', u'Lot Description: Level', u'Sewer: Septic', u'Typeof Sale: Owner Sale', u'Story Number: 1.5', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Style: Cottage', u'Attic Description: Eave Storage', u'Storm Windows', u'Water: Private', u'Elementary School: Boonville', u'Heating: Dual System', u'Property Sub Type: Site Built', u'Dishwasher', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 3', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,625 sqft', u'Heating: Electric, Oil', u'Last remodel year: 1947', u'Parcel #: 125633', u'Zillow Home ID: 71415206']	http://photos2.zillowstatic.com/p_e/ISdk4lfdv7rfb80000000000.jpg	25000.0	[]	1625.0	NC	110868.0	28642	71415206
3.5	5	Jonesville	[u'Lot: 0.9 acres', u'Single Family', u'All time views: 1,205', u'Last sold: Jul 2015 for $75,000', u'Last sale price/sqft: $39', u'Floor size: 1,904 sqft', u'Parcel #: 1301629', u'Zillow Home ID: 86687431']	http://photos1.zillowstatic.com/p_e/ISp5pge3ylq0xf0000000000.jpg	75000.0	[]	1904.0	NC	124994.0	28642	86687431
1.0	3	Jonesville	[u'Lot: 4 acres', u'Single Family', u'Built in 1949', u'All time views: 1,574', u'Last sold: May 2015 for $102,000', u'Last sale price/sqft: $85', u'Fireplace', u'Unfinished basement', u'Exterior material: Metal', u'Roof type: Asphalt', u'Room count: 4', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,200 sqft', u'Last remodel year: 1949', u'Parcel #: 125681', u'Zillow Home ID: 71420339']	http://photos1.zillowstatic.com/p_e/ISx7wxk67eijjn1000000000.jpg	102000.0	[]	1200.0	NC	0.0	28642	71420339
1.0	4	Jonesville	[u'Lot: 0.81 acres', u'Single Family', u'Built in 1925', u'All time views: 1,666', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Apr 2015 for $33,500', u'Last sale price/sqft: $19', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport, 1 space, 900 sqft garage', u'Dining room', u'Laundry room', u'Exterior material: Wood', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Bungalow', u'Unit count: 1', u'Floor size: 1,760 sqft', u'Heating: Electric, Oil', u'Last remodel year: 1925', u'Parcel #: 122480', u'Zillow Home ID: 71420079']	http://photos2.zillowstatic.com/p_e/IS52pyq460cln10000000000.jpg	33500.0	[]	1760.0	NC	92402.0	28642	71420079
2.0	3	Jonesville	[u'Lot: 1 acre', u'Single Family', u'Built in 1935', u'All time views: 791', u'Heating: Heat pump', u'Last sold: Feb 2015 for $62,500', u'Last sale price/sqft: $41', u'Fireplace', u'Unfinished basement', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,516 sqft', u'Last remodel year: 1935', u'Parcel #: 122450', u'Zillow Home ID: 71415478']	http://photos3.zillowstatic.com/p_e/IStcdf03q8fpkq1000000000.jpg	62500.0	[]	1516.0	NC	107409.0	28642	71415478
2.0	5	Jonesville	[u'Lot: 1.01 acres', u'Single Family', u'Built in 1951', u'All time views: 6,437', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Feb 2015 for $47,500', u'Last sale price/sqft: $21', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Carport', u'Unfinished basement', u'Dishwasher', u'Dining room', u'Laundry room', u'Sun room', u'Exterior material: Brick', u'Roof type: Other', u'Room count: 4', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,300 sqft', u'Heating: Electric, Oil', u'Last remodel year: 1951', u'Parcel #: 123691', u'Zillow Home ID: 71420910']	http://photos3.zillowstatic.com/p_e/ISxrjp95r9ri721000000000.jpg	47500.0	[]	2300.0	NC	116635.0	28642	71420910
