baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Kenly	[u'Lot: 0.74 acres', u'Single Family', u'Built in 2002', u'All time views: 3,525', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $108,000', u'Last sale price/sqft: $87', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet', u'Lawn', u'Porch', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Breakfast nook', u'Family room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Shingle, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,246 sqft', u'Heating: Electric', u'Last remodel year: 2002', u'Parcel #: 04Q06002O', u'Zillow Home ID: 69111471']	http://photos2.zillowstatic.com/p_e/ISeo3nn1741bhf0000000000.jpg	108000.0	[]	1246.0	NC	131747.0	27542	69111471
2.0	3	Kenly	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2013', u'All time views: 1,769', u'29 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $107,000', u'Last sale price/sqft: $85', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Patio', u'Porch', u'Vaulted Ceiling', u'Construction Type: Stick Built', u'Appliances: Oven - Electric', u'Basement: None', u'Foundation: Slab', u'Storm Doors', u'Water Heater: Electric', u'Fencing: None', u'Parking: Paved', u'Roof: Shingle', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Rooms: Master Bedroom', u'Road Type: Paved', u'Shades', u'Fuel Tank: None', u'Smoke Detectors', u'Construction: See Remarks', u'Fireplace: None', u'Laundry Location: Closet', u'Attic: Access Only', u'Accessibility: None', u'Walk-In Closet', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Stone, Vinyl', u'Stories: 1', u'Floor size: 1,254 sqft', u'Parcel #: 2760-83-2142.000', u'Zillow Home ID: 122406893']	http://photos3.zillowstatic.com/p_e/ISxn4nq3ca61g20000000000.jpg	107000.0	[]	1254.0	NC	111735.0	27542	122406893
2.0	3	Kenly	[u'Baths: 1 full, 1 half', u'Lot: 0.29 acres', u'Single Family', u'Built in 1971', u'All time views: 828', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $92,000', u'Last sale price/sqft: $70', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Porch', u'Exterior material: Brick', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,306 sqft', u'Heating: Propane butane', u'Last remodel year: 1975', u'Parcel #: 11O03027B', u'Zillow Home ID: 69110254']	http://photos2.zillowstatic.com/p_e/IStoahhvu5jggw0000000000.jpg	92000.0	[]	1306.0	NC	90718.0	27542	69110254
2.0	3	Kenly	[u'Lot: 0.87 acres', u'Single Family', u'Built in 2008', u'All time views: 1,868', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jun 2016 for $129,900', u'Last sale price/sqft: $99', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Laminate, Linoleum / Vinyl', u'Porch', u'Security System', u'Vaulted Ceiling', u'A: Central Air', u'Basement Description: No Basement', u'Gutters', u'Design: One Story', u'Foundation: Crawl Space', u'Fuel Heat: Electric Fuel', u'HO Fees Include: None Known', u'Water Heater: Electric WH', u'Water: Septic Tank', u'Lot Description: Landscaped', u'Bedrooms 1st Floor: Yes', u'Roof: Shingle', u'Master Bedroom 1st Floor: Yes', u'Master Bedroom Floor: Main', u'Bedroom 2 Floor: Main', u'Bedroom 3 Floor: Main', u'Utility Room Floor: Main', u'Entrance Hall Floor: Main', u'Family Room Floor: Main', u'Kitchen Floor: Main', u'Other Rooms: 1st Floor Bedroom', u'Other Rooms: 1st Floor Master Bedroom', u'Other Rooms: Family Room', u'Other Rooms: Utility Room', u'Style: Ranch', u'Other Rooms: Entry Foyer', u'Garden Tub', u'Out Building', u'Parking: Concrete', u'Water: County Water', u'Parking: Parking Pad', u'Attic Description: Skuttle', u'Subdivision: Hickory Grove', u'Washer Dryer Location: Laundry Room', u'Smoke Alarm', u'Restrictive Covenants: Yes', u'Solid Surface Counter Top', u'Pantry', u'Acres: .76-.99 Acres', u'Dishwasher', u'Dryer', u'Range / Oven', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,317 sqft', u'Heating: Gas', u'Last remodel year: 2008', u'Laundry: In Unit', u'Parcel #: 03Q04027V', u'Zillow Home ID: 87979946']	http://photos3.zillowstatic.com/p_e/IShb81pxwj2tiv1000000000.jpg	129900.0	[]	1317.0	NC	129445.0	27542	87979946
2.0	3	Kenly	[u'Lot: 0.84 acres', u'Single Family', u'Built in 1961', u'All time views: 543', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2016 for $125,900', u'Last sale price/sqft: $74', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl, Softwood', u'Dishwasher', u'Refrigerator', u'Dining room', u'Family room', u'Office', u'Pantry', u'Exterior material: Brick, Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,700 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 1975', u'Parcel #: 03P07020D', u'Zillow Home ID: 69100236']	http://photos2.zillowstatic.com/p_e/ISt08712r5qfod0000000000.jpg	125900.0	[]	1700.0	NC	129081.0	27542	69100236
2.0	3	Kenly	[u'Lot: 2 acres', u'Single Family', u'Built in 2001', u'All time views: 5,096', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: May 2016 for $120,000', u'Last sale price/sqft: $80', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Carpet, Linoleum / Vinyl', u'Lawn', u'Porch', u'Vaulted Ceiling', u'3% incentive to buyers agent.', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,501 sqft', u'Heating: Electric', u'Last remodel year: 2015', u'Parcel #: 03R01029K', u'Zillow Home ID: 69104045']	http://photos3.zillowstatic.com/p_e/ISx35mi26d673b1000000000.jpg	120000.0	[]	1501.0	NC	126269.0	27542	69104045
2.1	3	Kenly	[u'Lot: 0.92 acres', u'Single Family', u'Built in 1998', u'All time views: 3,752', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Apr 2016 for $195,000', u'Last sale price/sqft: $97', u'Fireplace', u'Parking: Garage - Attached', u'Stories: 1', u'Floor size: 2,006 sqft', u'Parcel #: 2761-63-4427.000', u'Zillow Home ID: 107071638']	http://photos3.zillowstatic.com/p_e/IS917r539w1lr61000000000.jpg	195000.0	[]	2006.0	NC	181162.0	27542	107071638
2.0	4	Kenly	[u'Lot: 1 acre', u'Single Family', u'Built in 1991', u'All time views: 2,243', u'Heating: Other', u'Last sold: Apr 2016 for $87,500', u'Last sale price/sqft: $54', u'Fireplace', u'Stories: 1', u'Floor size: 1,620 sqft', u'Heating: Other', u'Parcel #: 2677-41-5589.000', u'Zillow Home ID: 107069994']	http://photos3.zillowstatic.com/p_e/ISxbvjc3eizc9w0000000000.jpg	87500.0	[]	1620.0	NC	86643.0	27542	107069994
1.0	2	Kenly	[u'Lot: 8,949 sqft', u'Single Family', u'Built in 1955', u'All time views: 53', u'Cooling: Central', u'Heating: Other', u'Last sold: Mar 2016 for $20,000', u'Last sale price/sqft: $22', u'Exterior material: Other', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 896 sqft', u'Last remodel year: 1960', u'Lot depth: 157 ft', u'Lot width: 57 ft', u'Parcel #: 03019004', u'Zillow Home ID: 69088711']	http://photos1.zillowstatic.com/p_e/IS-ixbr882bwpr1.jpg	20000.0	[]	896.0	NC	79419.0	27542	69088711
2.0	3	Kenly	[u'Lot: 1.19 acres', u'Single Family', u'Built in 2004', u'All time views: 325', u'Heating: Heat pump', u'Last sold: Mar 2016 for $112,000', u'Last sale price/sqft: $88', u'Ceiling Fan', u'Flooring: Carpet, Laminate', u'Dishwasher', u'Dryer', u'Microwave', u'Refrigerator', u'Washer', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,278 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 2669-23-5664.000', u'Zillow Home ID: 107069809']	http://photos2.zillowstatic.com/p_e/IStoqt14iqhbdc0000000000.jpg	112000.0	[]	1278.0	NC	112231.0	27542	107069809
