baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	5	Kernersville	[u'Baths: 2 full, 1 three-quarter', u'Lot: 0.29 acres', u'Single Family', u'Built in 2001', u'All time views: 7,696', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $210,000', u'Last sale price/sqft: $82', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl, Tile', u'Parking: Garage - Attached, 525 sqft garage', u'Living room', u'Dishwasher', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 2,564 sqft', u'Lot depth: 135 ft', u'Lot width: 77 ft', u'Parcel #: 6887434075', u'Zillow Home ID: 55795716']	http://photos2.zillowstatic.com/p_e/IStsten6q6fd960000000000.jpg	210000.0	[]	2564.0	NC	208402.0	27284	55795716
4.0	5	Kernersville	[u'Baths: 3 full, 1 half', u'Lot: 0.59 acres', u'Single Family', u'Built in 2002', u'All time views: 2,693', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $331,000', u'Last sale price/sqft: $101', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Garden', u'Lawn', u'Parking: Garage - Attached, 612 sqft garage', u'Patio', u'Pool', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Pantry', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 2', u'Structure type: Other', u'Unit count: 1', u'Floor size: 3,293 sqft', u'Heating: Gas', u'Last remodel year: 2005', u'Lot depth: 301 ft', u'Lot width: 77 ft', u'Parcel #: 6876281673', u'Zillow Home ID: 60135779']	http://photos3.zillowstatic.com/p_e/ISts54zpog4idi0000000000.jpg	331000.0	[]	3293.0	NC	321288.0	27284	60135779
2.0	3	Kernersville	[u'Lot: 3.6 acres', u'Single Family', u'Built in 1983', u'All time views: 8,417', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $185,000', u'Last sale price/sqft: $99', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, Garage - Detached, 264 sqft garage', u'Security System', u'Unfinished basement', u'2 car detached garage', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Other, Wood products', u'Roof type: Shake Shingle', u'Stories: 2', u'Structure type: Contemporary', u'Unit count: 1', u'Floor size: 1,870 sqft', u'Heating: Electric', u'Last remodel year: 1985', u'Laundry: In Unit', u'Parcel #: 0100500000022', u'Zillow Home ID: 5703579']	http://photos2.zillowstatic.com/p_e/IS1bhrtolovnfl0000000000.jpg	185000.0	[]	1870.0	NC	175356.0	27284	5703579
1.5	3	Kernersville	[u'Lot: 0.44 acres', u'Single Family', u'Built in 1962', u'237 days on Zillow', u'Views since listing: 3,481', u'All time views: 5,455', u'50 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $102,000', u'Last sale price/sqft: $82', u'MLS #: 785147', u'Ceiling Fan', u'Fireplace', u'Flooring: Hardwood, Laminate, Tile', u'Parking: Carport, 1 space', u'Porch', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Foundation Basement: Crawl Space', u'Status: Pending', u'Water: Public', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Story Number: 1', u'Sewer: Public', u'Style: Ranch', u'Exterior Finish: Brick', u'Property Sub Type: Site Built', u'Dishwasher', u'Range / Oven', u'Family room', u'Master bath', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,240 sqft', u'Heating: Electric', u'Lot depth: 258 ft', u'Lot width: 74 ft', u'Parcel #: 6876957466', u'Zillow Home ID: 5767372']	http://photos3.zillowstatic.com/p_e/ISlqe308ngic200000000000.jpg	102000.0	[]	1240.0	NC	104479.0	27284	5767372
2.5	3	Kernersville	[u'Baths: 2 full, 1 half', u'Lot: 0.29 acres', u'Single Family', u'Built in 1993', u'All time views: 1,305', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $150,000', u'Last sale price/sqft: $83', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 500 sqft garage', u'Appliances: Exhaust Fan', u'Attic Description: Access Only', u'Built Information: Existing', u'Association: Winston-Salem', u'Status: Pending', u'Style: Traditional', u'Water: Public', u'Dryer Connection', u'Garage Door Opener(s)', u'List Type: Exclusive Right to Sell', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Sewer: Public', u'Attic Description: Floored Attic', u'Attic Description: Eave Storage', u'Property Sub Type: Site Built', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,803 sqft', u'Heating: Gas', u'Lot depth: 175 ft', u'Lot width: 77 ft', u'Parcel #: 6875325218', u'Zillow Home ID: 5835777']	http://photos1.zillowstatic.com/p_e/IS17um7hrbopzr0000000000.jpg	150000.0	[]	1803.0	NC	155824.0	27284	5835777
3.0	4	Kernersville	[u'Lot: 1 acre', u'Single Family', u'Built in 1987', u'All time views: 12,559', u'HOA Fee: $3/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $297,500', u'Last sale price/sqft: $99', u'610 sqft basement', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached', u'Granite countertop', u'Jacuzzi / Whirlpool', u'Living room', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Master bath', u'Office', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Unit count: 1', u'Floor size: 3,003 sqft', u'Laundry: In Unit', u'Lot depth: 273 ft', u'Lot width: 154 ft', u'Parcel #: 6876037693', u'Zillow Home ID: 5827390']	http://photos3.zillowstatic.com/p_e/ISuoaxp8vmif7m0000000000.jpg	297500.0	[]	3003.0	NC	307728.0	27284	5827390
3.0	4	Kernersville	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2006', u'All time views: 4,133', u'HOA Fee: $25/mo', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $355,000', u'Last sale price/sqft: $133', u'Attic', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Jetted Tub', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 441 sqft garage', u'Patio', u'Porch', u'Vaulted Ceiling', u'Neighborhood has low county taxes but does have curb and gutter', u'public water', u'septic.', u'Dishwasher', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Trash compactor', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 8', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,670 sqft', u'Heating: Electric', u'Lot depth: 339 ft', u'Lot width: 167 ft', u'Parcel #: 6893069294', u'Zillow Home ID: 69558190']	http://photos1.zillowstatic.com/p_e/IS1f0prdmmjsqn1000000000.jpg	355000.0	[]	2670.0	NC	376764.0	27284	69558190
2.5	3	Kernersville	[u'Baths: 2 full, 1 half', u'Lot: 10,018 sqft', u'Single Family', u'Built in 2007', u'All time views: 3,132', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $90,000', u'Last sale price/sqft: $47', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Patio', u'Porch', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Association: Winston-Salem', u'Status: Pending', u'Style: Traditional', u'Water: Public', u'Dryer Connection', u'Pantry', u'Separate Shower', u'Washer Connection', u'Foundation Basement: Slab', u'Lot Description: Level', u'Story Number: 2', u'Water Heater: Electric', u'Laundry Room - Main Level', u'Sewer: Public', u'Heating: Floor Furnace', u'Typeof Sale: Bank', u'HOA Fee Paid 1: Annual', u'Auction Price Type: Reserve Price', u'List Type: Auction', u'Property Sub Type: Site Built', u'Exterior material: Stone, Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 0', u'Floor size: 1,924 sqft', u'Heating: Electric', u'Lot depth: 165 ft', u'Lot width: 52 ft', u'Parcel #: 6865041787', u'Zillow Home ID: 79887117']	http://photos2.zillowstatic.com/p_e/IS5ar50pij8hpp1000000000.jpg	90000.0	[]	1924.0	NC	144015.0	27284	79887117
3.0	3	Kernersville	[u'Baths: 2 full, 1 half', u'Lot: 6,534 sqft', u'Single Family', u'Built in 2004', u'140 days on Zillow', u'Views since listing: 1,066', u'All time views: 1,131', u'17 shoppers saved this home', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $184,000', u'Last sale price/sqft: $77', u'MLS #: 787799', u'View Virtual Tour', u'Fireplace', u'Flooring: Carpet, Laminate', u'Parking: Garage - Attached, 400 sqft garage', u'Dishwasher', u'Range / Oven', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 2', u'Structure type: Other', u'Floor size: 2,400 sqft', u'Heating: Gas', u'Lot depth: 115 ft', u'Lot width: 60 ft', u'Parcel #: 6865537712', u'Zillow Home ID: 65058552']	http://photos3.zillowstatic.com/p_e/IS9pdw47zbk01n1000000000.jpg	184000.0	[]	2400.0	NC	178129.0	27284	65058552
2.0	3	Kernersville	[u'Lot: 5,227 sqft', u'Single Family', u'Built in 2007', u'All time views: 571', u'Heating: Forced air', u'Last sold: Aug 2016 for $122,500', u'Last sale price/sqft: $101', u'Fireplace', u'Parking: 400 sqft garage', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 5', u'Stories: 1', u'Floor size: 1,210 sqft', u'Parcel #: 6874008594', u'Zillow Home ID: 84108811']	http://photos2.zillowstatic.com/p_e/ISppke17oyjqk31000000000.jpg	122500.0	[]	1210.0	NC	132529.0	27284	84108811
4.0	4	Kernersville	[u'Baths: 3 full, 1 half', u'Lot: 0.95 acres', u'Single Family', u'Built in 2011', u'All time views: 5,226', u'HOA Fee: $66/mo', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Aug 2016 for $535,000', u'Last sale price/sqft: $129', u'Parking: Garage - Attached, 851 sqft garage', u'Patio', u'Porch', u'Sprinkler System', u'Appliances: Built-in Microwave', u'Appliances: Built-In Oven', u'Appliances: Cook Top', u'Appliances: Dishwasher', u'Appliances: Exhaust Fan', u'Attic Description: Partially Floored', u'Attic Description: Walk in Attic', u'Built Information: Existing', u'Cooling: Central', u'Patio', u'Paved Drive', u'Porch', u'Security Lighting', u'Association: Winston-Salem', u'Exterior Finish: Brick Veneer', u'Exterior Finish: Stone', u'Neighborhood Pool', u'Flooring: Carpet', u'Fireplace Location: Den', u'Flooring: Tile', u'Flooring: Wood', u'Heating: Heat Pump', u'Garage Description: Attached Garage', u'Heating: Forced Warm Air', u'Heating Fuel: Electric', u'Built-in Shelves', u'Ceiling Fan(s)', u'Dead Bolt(s)', u'Dryer Connection', u'Fireplace Blower', u'Garage Door Opener(s)', u'Gas Logs', u'Jetted Tub', u'Pantry', u'Cooling: Heat Pump', u'Separate Shower', u'Insulated Windows', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Sewer: Septic', u'Insulated Doors', u'Storm Doors', u'Story Number: 2', u'Style: Transitional', u'Typeof Sale: Owner Sale', u'Status: Active', u'Exterior Finish: Vinyl', u'Kitchen Island', u'Appliances: Disposal', u'Laundry Room - Main Level', u'Smoke Alarm', u'Heating Fuel: Natural Gas', u'Water Heater: Gas', u'Appliances: Double Oven', u'Sprinkler System', u'Security System', u'Fireplace Location: Kitchen', u'Lot Description: Partially Wooded', u'Storm Windows', u'Cooling: Multi-Zoned', u'HOA Fee Paid 1: Annual', u'Lot Description: Cul De Sac', u'Appliances: Convection Oven', u'Elementary School: Stokesdale', u'Water: Subdivision', u'Exterior material: Brick', u'Roof type: Composition', u'Stories: 2', u'Structure type: Other', u'Floor size: 4,151 sqft', u'Heating: Gas', u'Last remodel year: 2011', u'Parcel #: 0163745', u'Zillow Home ID: 88947344']	http://photos2.zillowstatic.com/p_e/IStg0coqnplk631000000000.jpg	535000.0	[]	4151.0	NC	615421.0	27284	88947344
3.0	3	Kernersville	[u'Lot: 3,500 sqft', u'Single Family', u'Built in 2003', u'All time views: 3,884', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $213,000', u'Last sale price/sqft: $86', u'Attic', u'Basketball Court', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate, Tile', u'Garden', u'Jetted Tub', u'Lawn', u'Parking: Carport, Garage - Attached, 528 sqft garage', u'Patio', u'Porch', u'Security System', u'Wired', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Structure type: Colonial', u'Floor size: 2,468 sqft', u'Heating: Electric, Propane butane', u'Last remodel year: 2014', u'Laundry: In Unit', u'Lot depth: 159 ft', u'Lot width: 75 ft', u'Parcel #: 6887037047', u'Zillow Home ID: 64998197']	http://photos2.zillowstatic.com/p_e/IShrcrw9ejjn1y1000000000.jpg	213000.0	[]	2468.0	NC	215556.0	27284	64998197
