baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Kill Devil Hills	[u'Single Family', u'Built in 1984', u'All time views: 4,535', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $250,000', u'Last sale price/sqft: $200', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, Garage - Attached, Off street, 637 sqft garage', u'Skylight', u'Vaulted Ceiling', u'View: Water', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Roof type: Asphalt', u'Floor size: 1,248 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2127421337']	http://photos1.zillowstatic.com/p_e/IS1nmfhb245ak00000000000.jpg	250000.0	[]	1248.0	NC	273877.0	27948	2127421337
2.0	3	Kill Devil Hills	"[u'Lot: 7,501 sqft', u'Single Family', u'Built in 1994', u'All time views: 4,621', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Aug 2016 for $236,000', u'Last sale price/sqft: $193', u'Ceiling Fan', u'Deck', u'Flooring: Carpet', u'Furnished', u'Parking: Carport', u'Vaulted Ceiling', u'Area: Kill Devil Hills Westside', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'CONSTRUCTION: Wood', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'CONSTRUCTION: Frame', u'EXTRAS: Outside Lighting', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'HEATING: Electric', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'PARKING: Off Street', u'ROADS: Public', u'OPTIONAL ROOMS: Utility Room', u'SEWER: Private Septic', u'GARAGE: 1 Car', u'INTERIOR FEATURES: All Window Treatments', u'LOT DESCRIPTION: Corner', u'PARKING: Under', u'EXTRAS: Common Laundry Area', u'Subdivision: Moor Shores Two', u'Status: Under Contract', u'Status Category: Under Contract', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Unit count: 1', u'Floor size: 1,220 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2101023124']"	http://photos3.zillowstatic.com/p_e/ISxnk7l1421xrt0000000000.jpg	236000.0	[]	1220.0	NC	217714.0	27948	2101023124
2.0	3	Kill Devil Hills	[u'Lot: 0.39 acres', u'Single Family', u'Built in 1967', u'All time views: 8,620', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $147,525', u'Last sale price/sqft: $102', u'Flooring: Linoleum / Vinyl', u'Parking: Garage - Attached', u'Waterfront', u'Area: Kill Devil Hills Westside', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'CONSTRUCTION: Wood', u'ROADS: Paved', u'WATER: Municipal', u'CONSTRUCTION: Frame', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'HEATING: Central', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'PARKING: Off Street', u'ROADS: Public', u'VIEW DESCRIPTION: Sound', u'EXTERIOR: Lap Siding', u'SEWER: Private Septic', u'COUNTER TOPS: Laminate', u'GARAGE: 1 Car', u'STYLE: Beach Box', u'Subdivision: Avalon Beach', u'Status: Under Contract', u'Status Category: Under Contract', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,450 sqft', u'Heating: None', u'Zillow Home ID: 2104166889']	http://photos1.zillowstatic.com/p_e/ISxjltnt2lbb540000000000.jpg	147525.0	[]	1450.0	NC	213598.0	27948	2104166889
4.0	3	Kill Devil Hills	"[u'Baths: 3 full, 1 half', u'Lot: 0.85 acres', u'Single Family', u'Built in 2013', u'All time views: 3,167', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $420,000', u'Last sale price/sqft: $207', u'Ceiling Fan', u'Deck', u'Dock', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached', u'View: Water', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'County: Dare', u'CONSTRUCTION: Wood', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Bedroom 1 Level: 1', u'Bedroom 3 Level: 2', u'APPLIANCES: Wall Oven', u'CONSTRUCTION: Frame', u'COUNTER TOPS: Granite', u'EXTERIOR: Shakes', u'EXTRAS: Garage Door Opener', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'GARAGE: 2 Car', u""INTERIOR FEATURES: 9' Ceilings"", u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Gas Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'PARKING: Off Street', u'ROADS: Public', u'VIEW DESCRIPTION: Sound', u'Primary Residence (Y: Yes', u'VIEW DESCRIPTION: Salt Marsh', u'LOT DESCRIPTION: Bulkheaded', u'SEWER: Private Septic', u'Living Room Level: 1', u'Kitchen Level: 1', u'Bedroom 2 Level: 2', u'EXTRAS: Outside Shower', u'INTERIOR FEATURES: All Window Treatments', u'Area: Colington', u'OPTIONAL ROOMS: Office', u'EXTRAS: Storage Shed', u'Optional Room 1 Level: 2', u'EXTRAS: Dry Entry', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Subdivision: Jamie Bridges & Odessa Miller', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 2', u'Structure type: Cape cod', u'Floor size: 2,032 sqft', u'Parcel #: 018657002', u'Zillow Home ID: 123059074']"	http://photos2.zillowstatic.com/p_e/IStoe0ftv70j291000000000.jpg	420000.0	[]	2032.0	NC	403253.0	27948	123059074
2.0	3	Kill Devil Hills	[u'Lot: 1,352 sqft', u'Single Family', u'Built in 1994', u'All time views: 5,208', u'HOA Fee: $142/mo', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $205,000', u'Last sale price/sqft: $152', u'Cable Ready', u'Ceiling Fan', u'Controlled Access', u'Deck', u'Dock', u'Fireplace', u'Fitness Center', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Carport, 1 space', u'Patio', u'Pool', u'Vaulted Ceiling', u'View: Park', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Rental Co: None', u'County: Dare', u'ASSOCIATION AMENITIES: Clubhouse', u'ASSOCIATION AMENITIES: Health Club', u'CONSTRUCTION: Wood', u'LOT DESCRIPTION: Wooded', u'PARKING: Paved', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'Yearly Income Act: Actual', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'CONSTRUCTION: Frame', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'GARAGE: 2 Car', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Washer Connection', u'PARKING: Off Street', u'STYLE: Traditional', u'EXTERIOR: Lap Siding', u'ASSOCIATION FEE INCLUDES: Management', u'FOUNDATION: Slab', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION AMENITIES: Common Area', u'INTERIOR FEATURES: All Window Treatments', u'LOT DESCRIPTION: Adj. To Common Area', u'Listing Type: Exclusive Agency', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'PARKING: Under', u'SEWER: Community Septic', u'ASSOCIATION AMENITIES: Board Walk', u'ASSOCIATION FEE INCLUDES: Grounds Maintenance', u'Area: Colington', u'ASSOCIATION FEE INCLUDES: Septic', u'EXTRAS: Common Laundry Area', u'LOT DESCRIPTION: Irregular Terrain', u'Subdivision: Bay Cliff', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Family room', u'Master bath', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 3', u'Floor size: 1,352 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Zillow Home ID: 2100079730']	http://photos1.zillowstatic.com/p_e/ISlaatcqv2rsen0000000000.jpg	205000.0	[]	1352.0	NC	195158.0	27948	2100079730
2.0	3	Kill Devil Hills	[u'Baths: 1 full, 1 half', u'Lot: 6,000 sqft', u'Single Family', u'Built in 1978', u'All time views: 4,944', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $248,000', u'Last sale price/sqft: $225', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Flooring: Laminate, Linoleum / Vinyl', u'Lawn', u'Parking: Carport, 2 spaces', u'View: Water', u'16 x 24 storage/utility room', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Sun room', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Bungalow', u'Floor size: 1,104 sqft', u'Heating: Electric', u'Last remodel year: 2016', u'Laundry: In Unit', u'Zillow Home ID: 2098558006']	http://photos1.zillowstatic.com/p_e/ISd48xajivd8r11000000000.jpg	248000.0	[]	1104.0	NC	238656.0	27948	2098558006
3.0	4	Kill Devil Hills	[u'Baths: 2 full, 1 half', u'Lot: 7,501 sqft', u'Single Family', u'Built in 1991', u'All time views: 3,953', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jul 2016 for $495,900', u'Last sale price/sqft: $221', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fenced Yard', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Hot Tub/Spa', u'Lawn', u'Parking: Carport, 2 spaces', u'Vaulted Ceiling', u'View: Water', u'Waterfront', u'Class: RESIDENTIAL', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'County: Dare', u'CONSTRUCTION: Wood', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Living Room Level: 3', u'Kitchen Level: 3', u'Bedroom 3 Level: 2', u'Yearly Income Act: Actual', u'AIR CONDITIONING: Zoned', u'CONSTRUCTION: Frame', u'EXTERIOR: Shakes', u'EXTRAS: Landscaped', u'EXTRAS: Smoke Detector(s)', u'FLOOD ZONE: AE', u'FOUNDATION: Piling', u'GARAGE: 2 Car', u'HEATING: Electric', u'HEATING: Zoned', u'OPTIONAL ROOMS: Workshop', u'PARKING: Off Street', u'ROADS: Public', u'Yearly Expense Act: Actual', u'Family Room Level: 3', u'Bedroom 1 Level: 2', u'Utility Room Level: 1', u'OPTIONAL ROOMS: Utility Room', u'SEWER: Private Septic', u'Bedroom 2 Level: 2', u'COUNTER TOPS: Laminate', u'EXTRAS: Outside Shower', u'INTERIOR FEATURES: All Window Treatments', u'STYLE: Reverse Floor Plan', u'VIEW DESCRIPTION: Ocean', u'EXTRAS: Beach Access', u'EXTRAS: Fenced Yard', u'PARKING: Under', u'Optional Room 1 Level: 1', u'EXTERIOR: Hurricane Shutters', u'Area: w Hwys', u'Rental Co: Joe Lamb Realty', u'Bedroom 4 Level: 3', u'Subdivision: Va Dare Shores', u'EXTRAS: Dry Entry', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'LA1Agent Phone5 CountryId: United States (+1)', u'LA1Agent Phone2 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 3', u'Floor size: 2,242 sqft', u'Heating: Electric', u'Last remodel year: 2002', u'Laundry: In Unit', u'Zillow Home ID: 2099365876']	http://photos3.zillowstatic.com/p_e/ISt82k9bwe8jne1000000000.jpg	495900.0	[]	2242.0	NC	445476.0	27948	2099365876
3.0	4	Kill Devil Hills	[u'Lot: 1,999 sqft', u'Single Family', u'Built in 1999', u'All time views: 8,352', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $221,000', u'Last sale price/sqft: $128', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Pool', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Bill of Sale In $ Y: Yes', u'Listing Type: Exclusive Right Sell', u'Rental Co: None', u'Yearly Income Act: Estimated', u'County: Dare', u'Oil: No Representation', u'ASSOCIATION AMENITIES: Clubhouse', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'ROADS: Paved', u'ROADS: Private', u'WATER: Municipal', u'Association Fee Y: Yes', u'ASSOCIATION AMENITIES: Boat Ramp', u'ASSOCIATION AMENITIES: Sound Access', u'EXTERIOR: Shakes', u'FOUNDATION: Piling', u'HEATING: Electric', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Ice Maker Connection', u'INTERIOR FEATURES: Master Bath', u'INTERIOR FEATURES: Pantry', u'INTERIOR FEATURES: Some Windows Treated', u'INTERIOR FEATURES: Washer Connection', u'STYLE: Traditional', u'ASSOCIATION FEE INCLUDES: Management', u'ASSOCIATION FEE INCLUDES: Security', u'FOUNDATION: Slab', u'LOT DESCRIPTION: Cul-de-sac', u'ASSOCIATION AMENITIES: Outdoor-Comm. Pool', u'ASSOCIATION AMENITIES: Common Area', u'STYLE: Reverse Floor Plan', u'ASSOCIATION FEE INCLUDES: Common Electric', u'ASSOCIATION FEE INCLUDES: Common Insurance', u'ASSOCIATION FEE INCLUDES: Road Maintenance', u'PARKING: Under', u'ASSOCIATION AMENITIES: Board Walk', u'Area: Colington', u'ASSOCIATION FEE INCLUDES: Septic', u'SEWER: Private Sewer', u'COUNTER TOPS: Corian', u'Subdivision: Bay Cliff', u'LA1Agent Phone1 CountryId: United States (+1)', u'LA1Agent Phone4 CountryId: United States (+1)', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Master bath', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 1,724 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2107504118']	http://photos3.zillowstatic.com/p_e/IS5uyglxpeu1uv0000000000.jpg	221000.0	[]	1724.0	NC	218446.0	27948	2107504118
2.0	2	Kill Devil Hills	[u'Lot: 7,501 sqft', u'Single Family', u'Built in 2006', u'All time views: 1,180', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $238,000', u'Last sale price/sqft: $221', u'Ceiling Fan', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Garage Count: 1 Car Garage', u'Water: Municipal Water', u'Garage Description: Garage', u'Kitchen Butlers Pantry', u'Age: 6-10 Years Old', u'Sewer: Septic', u'Flooring: Ceramic', u'Fencing: Partially Fenced', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Wood', u'Roof type: Asphalt', u'Stories: 0', u'Floor size: 1,079 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Parcel #: 008221008', u'Zillow Home ID: 86675444']	http://photos1.zillowstatic.com/p_e/ISpdfucighwrsr1000000000.jpg	238000.0	[]	1079.0	NC	226707.0	27948	86675444
1.0	2	Kill Devil Hills	[u'Lot: 7,100 sqft', u'Single Family', u'Built in 1980', u'All time views: 4,011', u'Heating: Baseboard', u'Last sold: Jul 2016 for $152,000', u'Last sale price/sqft: $216', u'Deck', u'Flooring: Carpet, Linoleum / Vinyl', u'Area: Kill Devil Hills Westside', u'Class: RESIDENTIAL', u'Waterfront Location: None', u'Sale: For Sale', u'Status: Active', u'Status Category: Active', u'Listing Type: Exclusive Right Sell', u'County: Dare', u'CONSTRUCTION: Wood', u'FLOOD ZONE: X', u'GARAGE: None', u'LOT DESCRIPTION: Wooded', u'PARKING: Paved', u'ROADS: Paved', u'WATER: Municipal', u'Yearly Income Act: Actual', u'CONSTRUCTION: Frame', u'HEATING: Electric', u'INTERIOR FEATURES: Dryer Connection', u'INTERIOR FEATURES: Washer Connection', u'LOT DESCRIPTION: Level', u'PARKING: Off Street', u'ROADS: Public', u'SEWER: Municipal Sewer', u'Living Room Level: 2', u'Kitchen Level: 2', u'Bedroom 1 Level: 2', u'Utility Room Level: 1', u'OPTIONAL ROOMS: Utility Room', u'FOUNDATION: Slab', u'Bedroom 2 Level: 2', u'COUNTER TOPS: Laminate', u'EXTRAS: Outside Shower', u'AIR CONDITIONING: Window Units', u'Optional Room 1 Level: 2', u'CONSTRUCTION: Log', u'STYLE: Chalet', u'Rental Co: Outer Banks Beach Rentals & Sale', u'Subdivision: Ocean Acres Tract 3', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Exterior material: Wood', u'Roof type: Asphalt', u'Floor size: 704 sqft', u'Laundry: In Unit', u'Zillow Home ID: 2100822422']	http://photos2.zillowstatic.com/p_e/ISyz9nzy2wmwxr0000000000.jpg	152000.0	[]	704.0	NC	150539.0	27948	2100822422
