baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	King	[u'Lot: 4 acres', u'Single Family', u'Built in 1974', u'All time views: 6,910', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $276,000', u'Last sale price/sqft: $79', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Exterior material: Stone, Vinyl', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Floor size: 3,500 sqft', u'Heating: Electric, Propane butane', u'Parcel #: 690204944632', u'Zillow Home ID: 78354450']	http://photos2.zillowstatic.com/p_e/ISd0t6tuzgxu2a1000000000.jpg	276000.0	[]	3500.0	NC	287191.0	27021	78354450
2.0	3	King	[u'Single Family', u'All time views: 1,103', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $125,000', u'Last sale price/sqft: $88', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Laminate, Linoleum / Vinyl', u'Parking: Garage - Attached, 200 sqft garage', u'Dining room', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,414 sqft', u'Heating: Electric', u'Parcel #: 691201087455', u'Zillow Home ID: 78353107']	http://photos2.zillowstatic.com/p_e/IShvzvqvc1qgbu1000000000.jpg	125000.0	[]	1414.0	NC	120856.0	27021	78353107
2.5	3	King	[u'Baths: 2 full, 1 half', u'Single Family', u'Built in 2010', u'All time views: 1,048', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $164,000', u'Last sale price/sqft: $84', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Patio', u'Appliances: Exhaust Fan', u'Association: Greensboro', u'Attic Description: Access Only', u'Built Information: Existing', u'Paved Drive', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Washer Connection', u'List Type: Exclusive Right to Sell', u'Foundation Basement: Slab', u'Lot Description: Level', u'Story Number: 2', u'Style: Transitional', u'Typeof Sale: Owner Sale', u'Appliances: Disposal', u'Smoke Alarm', u'Sewer: Public', u'HOA Fee Paid 1: Annual', u'Status: Pending AB', u'Elementary School: Mount Olive', u'Property Sub Type: Site Built', u'Dishwasher', u'Range / Oven', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 1,950 sqft', u'Heating: Gas', u'Zillow Home ID: 2098344117']	http://photos2.zillowstatic.com/p_e/IS5uis3jmtg1ia0000000000.jpg	164000.0	[]	1950.0	NC	160745.0	27021	2098344117
2.0	3	King	[u'Single Family', u'Built in 1994', u'All time views: 531', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $147,000', u'Last sale price/sqft: $86', u'Fireplace', u'Unfinished basement', u'Exterior material: Stone', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 2', u'Floor size: 1,708 sqft', u'Parcel #: 690210279174', u'Zillow Home ID: 78353900']	http://photos2.zillowstatic.com/p_e/IS5q7qp0c31nz7.jpg	147000.0	[]	1708.0	NC	142214.0	27021	78353900
2.0	3	King	[u'Single Family', u'Built in 1997', u'All time views: 1,457', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $54,700', u'Last sale price/sqft: $35', u'Ceiling Fan', u'Fireplace', u'Lawn', u'Patio', u'Living room', u'Dishwasher', u'Refrigerator', u'Family room', u'Master bath', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Floor size: 1,568 sqft', u'Parcel #: 691204842914', u'Zillow Home ID: 93088734']	http://photos3.zillowstatic.com/p_e/ISlulf9eg12ovl1000000000.jpg	54700.0	[]	1568.0	NC	74366.0	27021	93088734
2.5	3	King	[u'Baths: 2 full, 1 half', u'Lot: 0.35 acres', u'Single Family', u'Built in 1987', u'All time views: 4,851', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Jul 2016 for $145,000', u'Last sale price/sqft: $79', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 1 space', u'Patio', u'Porch', u'Unfinished basement', u'Appliances: Exhaust Fan', u'Built Information: Existing', u'Paved Drive', u'Security Lighting', u'Association: Winston-Salem', u'Style: Traditional', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Gas Logs', u'Attic Description: Pulldown Stairs', u'Pantry', u'Foundation Basement: Basement', u'Insulated Windows', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Lot Description: Level', u'Insulated Doors', u'Storm Doors', u'Story Number: 2', u'Accent Lighting', u'Typeof Sale: Owner Sale', u'Water Heater: Electric', u'Smoke Alarm', u'Sewer: Public', u'Fenced', u'Lot Description: Fence(s)', u'Lot Description: Partially Wooded', u'Status: Pending AB', u'Elementary School: King', u'Dishwasher', u'Range / Oven', u'Dining room', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 1,830 sqft', u'Heating: Electric', u'Parcel #: 690209261993', u'Zillow Home ID: 78354735']	http://photos2.zillowstatic.com/p_e/ISd0xxowsokpqu1000000000.jpg	145000.0	[]	1830.0	NC	142635.0	27021	78354735
2.0	3	King	[u'Lot: 0.45 acres', u'Single Family', u'92 days on Zillow', u'Views since listing: 3,295', u'All time views: 3,295', u'69 shoppers saved this home', u'Last sold: Jul 2016 for $106,900', u'Last sale price/sqft: $93', u'MLS #: 25010473', u'Floor size: 1,150 sqft', u'Zillow Home ID: 2098461936']	http://photos3.zillowstatic.com/p_e/IS564hapg8ifx20000000000.jpg	106900.0	[]	1150.0	NC	104714.0	27021	2098461936
3.0	3	King	[u'Lot: 0.58 acres', u'Single Family', u'Built in 1995', u'All time views: 3,905', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $247,000', u'Last sale price/sqft: $85', u'700 sqft basement', u'Ceiling Fan', u'Deck', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Lawn', u'Parking: Garage - Attached, 3 spaces', u'Porch', u'Vaulted Ceiling', u'Dryer Connections', u'Garage Door Opener', u'Gas Logs', u'Kitchen island', u'Storage Building', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Dining room', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Other', u'Room count: 8', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 2,892 sqft', u'Heating: Electric', u'Parcel #: 690210450204', u'Zillow Home ID: 93089237']	http://photos3.zillowstatic.com/p_e/IShrs3huu8sslv1000000000.jpg	247000.0	[]	2892.0	NC	261248.0	27021	93089237
2.5	4	King	[u'Baths: 2 full, 1 half', u'Lot: 0.37 acres', u'Single Family', u'Built in 2006', u'All time views: 2,271', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jul 2016 for $220,000', u'Last sale price/sqft: $81', u'Cable Ready', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Parking: Garage - Attached', u'Built Information: Existing', u'Association: Winston-Salem', u'Status: Pending', u'Water: Public', u'Dead Bolt(s)', u'Dryer Connection', u'Garage Door Opener(s)', u'Attic Description: Pulldown Stairs', u'Pantry', u'Separate Shower', u'Washer Connection', u'Storage Building(s)', u'List Type: Exclusive Right to Sell', u'Story Number: 2', u'Typeof Sale: Owner Sale', u'Kitchen Island', u'Laundry Room - Main Level', u'Garden Tub', u'Sewer: Public', u'Elementary School: Call School Board', u'Fenced', u'Lot Description: Fence(s)', u'Gazebo', u'Exterior Finish: Brick', u'Dishwasher', u'Microwave', u'Range / Oven', u'Exterior material: Vinyl', u'Foundation type: Footing', u'Stories: 0', u'Floor size: 2,730 sqft', u'Heating: Gas', u'Parcel #: 599207583230', u'Zillow Home ID: 93087788']	http://photos1.zillowstatic.com/p_e/ISxn0o4gakiclv0000000000.jpg	220000.0	[]	2730.0	NC	215584.0	27021	93087788
1.0	3	King	[u'Lot: 0.91 acres', u'Single Family', u'Built in 1961', u'All time views: 2,268', u'Cooling: Central', u'Heating: Forced air, Other', u'Last sold: Jul 2016 for $87,000', u'Last sale price/sqft: $58', u'900 sqft basement', u'Cable Ready', u'Ceiling Fan', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Lawn', u'Parking: 200 sqft garage', u'Unfinished basement', u'View: Mountain', u'Living room', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Washer', u'Mud room', u'Recreation room', u'Exterior material: Brick', u'Foundation type: Footing', u'Roof type: Shake Shingle', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,500 sqft', u'Heating: Oil, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 599301281844', u'Zillow Home ID: 78351678']	http://photos2.zillowstatic.com/p_e/ISh7lk9v52pqi00000000000.jpg	87000.0	[]	1500.0	NC	108140.0	27021	78351678
