baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Kittrell	[u'Lot: 2.19 acres', u'Single Family', u'Built in 1998', u'All time views: 1,160', u'Heating: Forced air', u'Last sold: Jul 2016 for $46,500', u'Last sale price/sqft: $29', u'Flooring: Carpet, Linoleum / Vinyl', u'Other', u'Range / Oven', u'Refrigerator', u'Dining room', u'Exterior material: Vinyl', u'Stories: 0', u'Floor size: 1,620 sqft', u'Parcel #: 0463 02028', u'Pets: No', u'Zillow Home ID: 120994492']	http://photos1.zillowstatic.com/p_e/ISus19swfgh6qd0000000000.jpg	46500.0	[]	1620.0	NC	56705.0	27544	120994492
1.0	3	Kittrell	[u'Lot: 0.38 acres', u'Single Family', u'Built in 1976', u'All time views: 357', u'Last sold: Jul 2016 for $39,900', u'Last sale price/sqft: $42', u'Flooring: Carpet, Linoleum / Vinyl', u'Family room', u'Laundry room', u'Room count: 5', u'Floor size: 960 sqft', u'Zillow Home ID: 2098331805']	http://photos3.zillowstatic.com/p_e/IS99hwa9lyc55e0000000000.jpg	39900.0	[]	960.0	NC	82366.0	27544	2098331805
2.0	3	Kittrell	[u'Lot: 3.12 acres', u'Single Family', u'Built in 2002', u'All time views: 4,126', u'Cooling: Central', u'Heating: Forced air, Heat pump', u'Last sold: Jun 2016 for $150,000', u'Last sale price/sqft: $77', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Tile', u'Lawn', u'Parking: Garage - Detached, 3 spaces, 960 sqft garage', u'Porch', u'Security System', u'Vaulted Ceiling', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Pantry', u'Walk-in closet', u'Workshop', u'Exterior material: Wood', u'Roof type: Asphalt', u'Room count: 9', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,937 sqft', u'Heating: Propane butane', u'Laundry: In Unit', u'Parcel #: 010840', u'Zillow Home ID: 62673154']	http://photos3.zillowstatic.com/p_e/IShfraofyobehz0000000000.jpg	150000.0	[]	1937.0	NC	152622.0	27544	62673154
3.0	3	Kittrell	[u'Baths: 2 full, 1 half', u'Lot: 4.16 acres', u'Single Family', u'Built in 2006', u'All time views: 438', u'Heating: Forced air, Heat pump', u'Last sold: Apr 2016 for $252,000', u'Last sale price/sqft: $97', u'Ceiling Fan', u'Flooring: Carpet, Linoleum / Vinyl, Softwood', u'Parking: Garage - Attached', u'Patio', u'Porch', u'Security System', u'Dishwasher', u'Refrigerator', u'Dining room', u'Pantry', u'Exterior material: Vinyl', u'Roof type: Shake Shingle', u'Floor size: 2,604 sqft', u'Heating: Electric', u'Parcel #: 0456 03014', u'Zillow Home ID: 123385666']	http://photos2.zillowstatic.com/p_e/IS5m0txx31r8ec0000000000.jpg	252000.0	[]	2604.0	NC	263836.0	27544	123385666
2.0	3	Kittrell	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2006', u'All time views: 1,478', u'Cooling: Central', u'Heating: Forced air', u'Last sold: May 2015 for $121,000', u'Last sale price/sqft: $62', u'Flooring: Carpet, Laminate, Tile', u'Dishwasher', u'Microwave', u'Dining room', u'Family room', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Other', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,960 sqft', u'Heating: Electric', u'Parcel #: 183900068824', u'Zillow Home ID: 93022856']	http://photos1.zillowstatic.com/p_e/IS9hzr9efwe0ta1000000000.jpg	121000.0	[]	1960.0	NC	176707.0	27544	93022856
3.0	4	Kittrell	[u'Lot: 0.93 acres', u'Single Family', u'Built in 2008', u'All time views: 1,093', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2015 for $158,500', u'Last sale price/sqft: $50', u'Ceiling Fan', u'Fireplace', u'Flooring: Carpet, Tile', u'Porch', u'Dishwasher', u'Dining room', u'Family room', u'Office', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Shake Shingle', u'Room count: 9', u'Stories: 1', u'Structure type: Other', u'Floor size: 3,157 sqft', u'Heating: Electric', u'Parcel #: 183900064564', u'Zillow Home ID: 94875794']	http://photos1.zillowstatic.com/p_e/IS95unls25p1i30000000000.jpg	158500.0	[]	3157.0	NC	272099.0	27544	94875794
3.0	3	Kittrell	[u'Baths: 2 full, 1 half', u'Lot: 16.12 acres', u'Single Family', u'Built in 1860', u'All time views: 80', u'Cooling: Central', u'Heating: Forced air, Other, Stove', u'Last sold: Sep 2014 for $323,000', u'Last sale price/sqft: $81', u'Attic', u'Barbecue', u'Ceiling Fan', u'Deck', u'Dock', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Garden', u'Lawn', u'Parking: None', u'Pond', u'Porch', u'Security System', u'Storage', u'Vaulted Ceiling', u'View: Territorial', u'outbuildings', u'fenced pastures', u'well water', u'water access from several points around the property', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Sun room', u'Walk-in closet', u'Workshop', u'Exterior material: Cement concrete, Wood', u'Roof type: Metal', u'Room count: 11', u'Stories: 3', u'Structure type: Victorian', u'Floor size: 4,000 sqft', u'Heating: Gas, Propane butane, Wood / pellet', u'Laundry: In Unit', u'Parcel #: 0485 01001A', u'Zillow Home ID: 114864034']	http://photos2.zillowstatic.com/p_e/ISe015tb2sb02g1000000000.jpg	323000.0	[]	4000.0	NC	311185.0	27544	114864034
2.0	3	Kittrell	[u'Lot: 1.17 acres', u'Single Family', u'Built in 2001', u'All time views: 1,014', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Sep 2014 for $106,500', u'Last sale price/sqft: $86', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Living room', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,238 sqft', u'Laundry: In Unit', u'Parcel #: 0463A01001', u'Zillow Home ID: 114863659']	http://photos2.zillowstatic.com/p_e/ISd4cgwjd37izf0000000000.jpg	106500.0	[]	1238.0	NC	104599.0	27544	114863659
2.0	3	Kittrell	[u'Lot: 0.92 acres', u'Single Family', u'Built in 2007', u'All time views: 659', u'HOA Fee: $75/mo', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Apr 2014 for $155,000', u'Last sale price/sqft: $84', u'Fireplace', u'Flooring: Carpet, Hardwood, Tile', u'Parking: Garage - Attached, 4 spaces, 400 sqft garage', u'Breakfast nook', u'Dining room', u'Family room', u'Exterior material: Brick', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,849 sqft', u'Heating: Other', u'Parcel #: 183900036297', u'Unit floor #: 0', u'Zillow Home ID: 103939244']	http://photos3.zillowstatic.com/p_e/IShjqc03s7h9mi0000000000.jpg	155000.0	[]	1849.0	NC	180983.0	27544	103939244
4.0	4	Kittrell	[u'Lot: 1.03 acres', u'Single Family', u'Built in 2002', u'All time views: 1,342', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Jan 2014 for $147,000', u'Last sale price/sqft: $48', u'Fireplace', u'Flooring: Carpet, Linoleum / Vinyl', u'Parking: Garage - Attached, 6 spaces', u'Breakfast nook', u'Dining room', u'Family room', u'Office', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 9', u'Stories: 15', u'Structure type: Other', u'Floor size: 3,092 sqft', u'Parcel #: 0463B01021', u'Zillow Home ID: 115926300']	http://photos3.zillowstatic.com/p_e/IS5m8rtvctl7q61000000000.jpg	147000.0	[]	3092.0	NC	283289.0	27544	115926300
